Text,CUIS
stent plus placebo,C0038257;C0032042;C1696465;C1706408
stent plus abciximab,C0038257;C0288672
p,C0369773;C2603361
balloon angioplasty plus abciximab,C0002996;C0002997
pt,C0032743;C0699718
diabetic patients,C0241863;C0030705
total,C0439175;C0439810
death,C0011065;C1306577;C4082313;C4552775
death large mi,C0011065;C3810814;C1306577;C4082313;C4552775
large mi,C0549177;C3810814
tvr,
non diabetic patients,C1829939;C0241863
nct $nmbr$,
characteristics,C1521970
chlorthalidone group,C0441833;C0687744;C1257890;C1519504;C1705428;C1705429
doxazosin group,C0441833;C0687744;C1257890;C1519504;C1705428;C1705429
no of subjects,C0681850;C1550501;C1706203;C2349001;C2697811
age y,C0001779
women,C0043210
race ethnicity white non hispanic,C1533020;C1533021
black non hispanic,C1533017;C1533018
white hispanic,C1533020;C1533021
black hispanic,C1533017;C1533018
other race,C0034510;C1706779;C3853635
education y,C0013621;C0013622;C0013658;C0039401
blood pressure mm hg,C0005823;C0439475;C1271104;C1272641
treated for hypertension,C1522326;C0020538;C1963138
eligibility risk factors t ascvo,C0035648;C1553898
st t wave changes,C0392747;C0443172
type $nmbr$ diabetes,C1320657
cigarette smoking,C0239059;C0700219
hdl c,C3715113
lvh from electrocardiogram,C0149721;C0013798;C1547122;C1623258
lvh from echocardiogram,C0149721;C0013516;C2243117
serum biochemistry potassium mmol l,C0302353;C1532563;C0543465
fasting glucose mg dl,C0015663;C0439269
creatinine mg dl,C0010294;C0439269;C1561535
cholesterol mg dl,C0008377;C0439269
ldl c mg dl,C0439269
hdl c mg dl,C3715113;C0439269
fasting triglycerides mg dl,C0015663;C0041004;C0439269
tirofiban n $nmbr$,C0247025
abciximab n $nmbr$,C0288672
male sex,C0086582
weight kg,C0022718;C0439209;C4054209
smoker,C0337664
medical history,C0262926;C1704706
coronary artery bypass grafting,C0010055
percutaneous coronary revascularization,C1532338
myocardial infarction,C0027051;C0428953;C2926063;C3810814;C4552959
cerebrovascular accident,C0038454
primary target vessel,C0205225;C0449618;C0439612;C0439631
l eft anterior descending coronary artery,C0439394;C0226032;C1706495;C3642217
r ight coronar y artery,C0003842;C0226004
left circumflex artery,C0226037
bypass graft,C0185098
restenotic vessel,C0005847
variable,C0439828;C4553760
no of patients,C0030705
irofiban,
abciximab,C0288672
sex,C0009253;C0036864;C0079399;C0804628;C1314687;C1522384
male,C0086582;C1706180;C1706428;C1706429
female,C0043210;C0086287;C1705497;C1705498
clopidogrel given before procedure,C0070166;C0184661;C2700391;C3274430;C3539779
location of treatment center,C0450429;C1515974;C4284930;C4284931
united states,C0041703
indication for stent,C0392360;C3146298
acute coronary syndrome $nmbr$,C0948089
clinical characteristics,C0683325
hyperlipidemia,C0020473;C0428465;C4555212
history of hypertension,C0455527
histor y of myocardial infarction,C0027051;C0428953;C2926063;C3810814;C4552959
histor y of unstable angina,C0002965
histor y of stable angina,C0340288
histor y of heart failure,C0018801;C0018802;C4554158
congestive heart failure,C0018802
cardiogenic shock during first $nmbr$ hr after randomization,C0036980;C0205435;C1279901;C0034656
previous intervention,C0184661;C0886296;C1273869
percutaneous transluminal coronary angioplasty,C2936173
coronar y artery bypass grafting,C0332835;C1527362;C1961139
administration of study drug,C0150270;C0262754;C3469597
bolus,C1186706;C1511237;C1705509;C3812160
bolus and infusion,C1186706;C1511237;C1705509;C3812160;C0574032;C1827465
infarct territory,C1301808;C2983136
$nmbr$ $nmbr$ f,C0016327
anterior,C0205094
inferior,C0542339;C0678975
infarct related vessel,C0021308;C0005847
l eft anterior descending,C0439394;C0205094;C1706495;C3642217;C0205386;C1547177
r ight coronary,C0205090;C0018787;C0684010;C2603358
circumflex,C1880089
graft,C0181074;C0332835;C1961139
sr ii b $nmbr$ cjl $nmbr$,C0753208;C1709991;C3813610;C3890900;C3891546
age years,C1510829
body mass index kg m $nmbr$,C0022718;C0439209;C4054209
history of hypertension a c,C0455527
history of high cholesterol a $nmbr$,C0019664;C0019665;C0262512;C0262926;C1705255;C2004062
history of diabetes a,C0019664;C0019665;C0262512;C0262926;C1705255;C2004062
history of parental myocardial,C0019664;C0019665;C0262512;C0262926;C1705255;C2004062;C0027061;C1522564
infarction before age $nmbr$ a,C0021308;C0001779
smoking a,C0037369;C0453996;C1881674
never,C2003901
past,
alcohol intake a,C0001948
rarely,C0522498
monthly,C0332177
weekly,C0332174
daily,C0332173
exercise at least weekly a,C0015259;C0332174;C1522704
post menopausal a,C0232970
use of hormone replacement therapy a,C1524063;C0282402
randomized to active yitamin e,C0034656;C3815594
number reporting migraine on $nmbr$ month questionnaire,C0149931;C0034394
aspirin asa $nmbr$ $nmbr$,C0004057;C3853627
placebo n $nmbr$ $nmbr$,C0032042;C1696465;C1706408
odds ratio $nmbr$ ci,C0008107;C3259781
all randomized women,C0034656;C0043210;C3815594
hormonal status,C0458083;C0449438
$nmbr$ $nmbr$ to $nmbr$ $nmbr$,
pre menopausal without hormone replacement,C0332152;C0025320;C0740175;C2257086;C3669034
therapy asa $nmbr$ placebo $nmbr$,C0032042;C1696465;C1706408
pre menopausal with hormone replacement,C0332152;C0025320;C0740175;C2257086;C3669034
post menopausal without hormone replacement,C0019930
therapy asa $nmbr$ $nmbr$ placebo $nmbr$,C0032042;C1696465;C1706408
post menopausal with hormone replacement,C0019930
age yrs,C0001779
digoxin,C0012265
n,C0369718;C0441922
prior mi,C0332152;C3810814;C2826257
diabetes etiology,C0015127;C1314792;C1524003
ischemic,C0475224
nonischemic,
heart rate min_ $nmbr$ mean,C0444504;C2347634;C2348143
systolic bp mm hg mean nyha class,C0488053;C1882083
ttf fv,C1332112;C1705840;C4087167
ct ratio $nmbr$ $nmbr$,C0456603;C1547037
ejection fraction mean,C0444504;C2347634;C2348143
creatinine $nmbr$ $nmbr$ mg dl medications,C0013227;C0802604;C2598133;C4284232
diuretics,C0012798
stent group n $nmbr$,C0038257;C0441848
alteplase group n $nmbr$,C0032143;C0441848
demography,C0011298
median iqr age years,C0549183;C1510829;C0876920;C2347635;C2348144;C2939193
$nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ ^ $nmbr$,
$nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$,
m f,C0016327
$nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$,
history,C0019664;C0019665;C0262512;C0262926;C1705255;C2004062
receiving insulin therapy,C1514756;C0021641;C0039798;C0087111;C1363945;C1533581;C1579433;C3714501
median iqr cholesterol,C0549183;C0008377;C0876920;C2347635;C2348144;C2939193
mmol l,C1532563
previous myocardial infarction,C0027051;C0428953;C2926063;C3810814;C4552959
previous cabg,C0205156;C0010055;C1552607
infarct localisation,C0475264;C1744691
lateral,C0205093
killip class,C1881332
i,C0021966;C0221138
ii,
iii,C0439070;C1705160
iv,C0022326;C4265176
median iqr admission data,C1511726;C3245479;C3714741
systolic blood pressure,C0488055;C0871470;C1306620
mm hg,C0439475
diastolic blood pressure,C0428883;C1305849
heart rate beats min,C0439385
time to admission min,C3854258;C3854259
time to balloon needle min,C0040223;C3541383
losartan n $nmbr$,C0126174
atenolol n $nmbr$,C0004147
all with diabetes n $nmbr$,C0011847;C0011849
all without diabetes n $nmbr$,C0011847;C0011849
demographic and clinical characteristics,C0011298;C0683325
ethnic origin white,C0007457;C0043157;C0220938
hispanic,C0086409
asian,C0078988
heart rate bpm,C0018810
bmi kg m $nmbr$,C0022718;C0439209;C4054209
cornell voltage duration product mmxmsec,C0598352;C0449238;C2926735
sokolow lyon mm,C4330985;C4554674
framingham risk score,C0035647;C0449820;C4050231;C4552904
current smokers,C3173209;C3241966
any vascular diasease,C0005847;C1558950;C1801960
coronary heart disease,C0010054;C0010068;C1956346
cerebrovascular disease,C0007820
peripheral vascular disease,C0085096
atrial fibrillation,C0004238;C0344434;C1963067
isolated systolic hypertension^,C0745133
clopidogrel n $nmbr$,C0070166
ticlopidine n $nmbr$,C0040207
women n,C0043210
diabetes n,C0011847;C0011849
smoking habit n,C4505437
hypercholesterolemia n,C0020443;C1522133
systemic arterial hypertension n,C0020538
previous myocardial infarction n,C0027051;C0428953;C2926063;C3810814;C4552959
previous balloon angioplasty n,C0002996;C0002997
previous bypass surgery n,C0205156;C1536078;C1552607
unstable angina n,C0002965
platelet count x $nmbr$ mm $nmbr$,C4330985;C4554674
baseline demographics,C0011298;C1704791
simvastatin n $nmbr$,C0074554
women men [ ],C0043210;C0025266
disease duration yr,C0872146;C0439234
mmse points,C1552961;C2347617;C3714763
adas cog score,C0449820;C4050231
points,C1552961;C2347617;C3714763
serum ldl cholesterol,C0428474
mg dl,C0439269
csf a $nmbr$ pm,C3540512;C3889436;C0030266;C4049155
csf lathosterol jlg cll,C0064673;C0023434
csf cholesterol,C3540512;C0008377;C3889436
csf $nmbr$ s hydroxy,C3540512;C3889436;C0700307
cholesterol ng ml,C0008377;C0439275
mmse mini mental state examination adas cog alzhei,C0451306
mer s disease assessment,C1261322;C1516048
scale cognitive portion ldl low,C0205251;C1550472;C3890211;C4048187;C4321351;C4522223
density lipoprotein csf,C3540512;C3889436
cerebrospinal fluid,C0007806;C0007807
mmse $nmbr$ $nmbr$,C0451306
simvastatin,C0074554
measures,C0079809;C1879489
n $nmbr$,C0369718;C0441922
serum,C0229671;C1546774;C1550100
aldl cholesterol,C0008377
$nmbr$ $nmbr$ $nmbr$ $nmbr$ b,
csf,C3540512;C3889436
a a $nmbr$,
aab $nmbr$,
alathosterol,
acholesterol,
a $nmbr$ s hydroxy,C0700307
cholesterol,C0008377
$nmbr$ $nmbr$ $nmbr$ $nmbr$ r mmse mini mental,C0205090;C0451306;C0684010;C2603358;C0445542;C0229992
ipeated measures state examinatioi,C0079809;C1301808;C1442792;C3148680;C1879489
analysis compared with the pretreatment condition baseline n ldl low density lipoprotein csf cerebrospinal fluid,C0002778;C0936012;C1524024;C1707455;C0023823
table $nmbr$ characteristics of patients treated with losartan and atenolol,C0039224;C0815172;C1706074;C0332293;C0126174;C0004147
women no,C0043210
ethnicity no,C0015031;C0243103
systolic,C0039155
cornell voltage duration product mm x ms,C2349943;C3539704;C3713294
framingham risk score arbitrary units,C0035647;C0439183;C4552904
current smoker no,C3173209;C3241966
medical history no,C0262926;C1704706
previously untreated isolated systolic hypertension,C0745133
diagnosed diabetes n $nmbr$,C0011847;C0011849
undiagnosed diabetes n $nmbr$,C0011847;C0011849
impaired fasting giucose levei n $nmbr$,C0221099;C0015663
normai fasting giucose levei n $nmbr$,C0015663
p vaiue,C0369773;C2603361
age mean sd y,C0001779;C0444504;C2347634;C2348143
race nonwhite,C0034510;C1706779;C3853635
smoking current,C0521116;C1705970
alcohol with $nmbr$ drink d,C0001948;C0556297
prior myocardial intarction,C0332152;C0027061;C1522564;C2826257
prior stroke,C0038454;C4554100
ptca cabg,C2936173;C0010055
ptca,C2936173
cabg,C0010055
medication use,C0240320
aspirin,C0004057
ace inhibitor,C0003015;C4541021
anyantianginal agent,C0450442;C1254351;C1521826
calcium channel blocker,C0006684;C3536851;C4521885
p blocker,C0369773;C2603361
bmi mean sd,C0444504;C2699239;C2347634;C2348143
waist circumference mean sd in,C0455829;C2699239
blood pressure mean sd mm hg,C0428886;C0439475
lipids mean sd mg dlf,C0023779;C0024671;C0026410;C0439269;C1960952;C2346927;C4321396;C4521761
triglycerides,C0041004
ldl c,
total cholesterol,C0201950;C0543421
fpg mean sd mg dlf,C0024671;C0026410;C0439269;C1960952;C2346927;C4321396;C4521761
fpi mean sd pu rnff,C0444504;C0018387;C2347634;C2348143
outcome,C1274040
hr,
subgroup_name_level,C0441889;C0456079;C1547707;C2946261
combined end poir,C0205195;C0444930;C2746065
it $nmbr$ $nmbr$,
p oo $nmbr$,C0369773;C2603361
no diabetes,C0011847;C0011849
p $nmbr$,C0369773;C2603361
nonfatal myocardiail infarction,C0021308
chd death,C0011065;C1306577;C4082313;C4552775
p o $nmbr$,C0369773;C2603361
stroke,C0038454;C4554100
subgroup_name,C0027365;C1547383;C4522128
subgroup_level fpi gu ml pmol l,C1635169
hazard ratio,C2985465
fasting plasma insulin,C0015663;C0857690
overall n $nmbr$,C0282416;C1561607
rate control group n $nmbr$,C0441848
rhythm control group n $nmbr$,C0441848
female sex no,C0086287
ethnic minority group no,C0015031;C1879937
predominant cardiac diagnosis no,C0011900;C1704338;C1704656
coronar y artery disease,C0852949
cardiomyopathy,C0878544
valvular disease,C3258293
no apparent heart disease,C0750489;C0018799
histor y of congestive heart failure no,C0018802
duration of qualifying atrial fibrillation $nmbr$ days no,C0449238;C2926735;C1514624;C0004238;C0439228;C0344434;C1963067
first episode of atrial fibrillation vs recurrent episode no f,C0332189;C0439615;C0443287;C0016327
any prerandomization failure of an antiarrhythmic drug no,C0231174;C0680095
size of left atrium normal no,C0225860;C0332506
left ventricular ejection fraction,C0428772;C0488728
normal left ventricular ejection fraction no j,C0428772;C0488728
no of participants,C0679646
$nmbr$ chlorthalidone n $nmbr$,C0008294
amlodipine n $nmbr$,C0051696
i lisinopril n $nmbr$,C0021966;C0065374;C0221138
age range y,C0001779;C1514721;C2348147;C3542016
a $nmbr$,
ethnicity,C0015031;C0243103
white non hispanic,C1533020;C1533021
education mean sd y,C0013621;C0013622;C0013658;C0039401
receiving antihypertensive,C1514756;C0003364
treatment,C0039798;C0087111;C1522326;C1533734;C1705169;C3538994;C3887704
treated at baseline,C1522326;C0168634;C1442488
untreated at baseline,C0332155;C0168634;C1442488
$nmbr$ $nmbr$ s $nmbr$ $nmbr$,
eligibility risk factors,C0035648;C1553898
cigarette smoker,C0337667
atherosclerotic cvdj,C0333482
history of ml or stroke,C0019664;C0019665;C0262512;C0262926;C1705255;C2004062;C0038454;C4554100
history of coronary,C0019664;C0019665;C0262512;C0262926;C1705255;C2004062
revascularization,C0581603
other atherosclerotic cvd,C0333482;C0007222
major st depression or,C0041696;C1269683
t wave inversion,C0520888
lvh by electrocardiogram,C0149721;C0013798;C1547122;C1623258
lvh by echocardiogram,C0149721;C0013516;C2243117
history of chd at baseline,C0019664;C0019665;C0262512;C0262926;C1705255;C2004062;C0168634;C1442488
body mass index mean sd,C0005893;C2699239;C0578022;C1305855
current medication use,C0240320
estrogen supplementation,C0014939;C0242297;C2936882;C4542544
women only,C0043210
lioid trial participants,C1997894;C2242969
placebo group n $nmbr$,C0032042;C0441848;C1696465;C1706408
warfarin group n $nmbr$,C0043031;C0441848
median,C0549183;C0876920;C2347635;C2348144;C2939193
female sex,C0086287
race or ethnic group,C0034510;C1706779;C3853635;C0015031;C1879937
non hispanic white,C0007457;C0043157;C0220938
non hispanic black,C0005680;C0027567;C0085756;C0439541
history of diabetes,C0019664;C0019665;C0262512;C0262926;C1705255;C2004062
$nmbr$ previous venous thromboembolisms,C0205156;C1997614;C1552607
family history of venous thromboembolism,C0455533
factor v leiden,C0380964;C0584960;C1414509;C3542419
prothrombin mutation,C1610621
duration of full dose warfarin therapy before enrollment mo,C0444917;C0366686;C0026544;C0332177
time between cessation of full dose warfarin therapy and enrollment mo,C0682295;C0366686;C0026544;C0332177
placebo group,C0032042;C0441833;C0687744;C1257890;C1519504;C1705428;C1705429;C1696465;C1706408
warfarin group,C0441833;C0687744;C1257890;C1519504;C1705428;C1705429
hazard ratio $nmbr$ ci,C0008107;C3259781
p value for interaction^,C1709380;C1704675
no of events,C0441471;C3541888
no $nmbr$ person yr,C0027361;C0439234;C2347489
factor v leiden or prothrombin mutation,C0380964;C0584960;C1414509;C3542419;C1610621
present,C0150312;C0449450
absent,C0332197;C4285062
$nmbr$ $nmbr$ yr,C0439234
no of previous venous thromboembolic events,C1861172;C1997614;C3160733
time since randomization,C0040223;C3541383
time since cessation of full dose warfarin therapy,C0682295;C0366686
$nmbr$ mo,C0026544;C0332177
hba $nmbr$ c strata,C0019016;C1825777;C3538758
rsg $nmbr$ mg day,C0439422
patients n,C0030705
age years mean sd,C1510829;C2699239
gender male female,C0043210;C0086287;C1705497;C1705498
white black other,C0005680;C0027567;C0085756;C0439541
bmi kg m $nmbr$ mean sd,C0022718;C0439209;C4054209;C0444504;C2699239;C2347634;C2348143
hba $nmbr$ c,C0019016;C1825777;C3538758
baseline mean sd,C0168634;C2699239;C1442488
week $nmbr$ mean sd,C0332174;C2699239;C0439230
comparison with baseline,C1707455;C0168634;C1442488
mean change $nmbr$ ci,C0008107;C3259781
comparison with placebo,C1707455;C0032042;C1696465;C1706408
mean difference $nmbr$ ci,C0008107;C3259781
fpg mg dl,C0439269
baseline geometric mean cv,C3538987;C4048877;C4318503
week $nmbr$ geometric mean cv,C3538987;C4048877;C4318503
comparison with baseline mean,C1707455;C0168634;C1442488
change $nmbr$ ci,C0008107;C3259781
comparison with placebo mean,C1707455;C0032042;C1696465;C1706408
difference $nmbr$ ci,C0008107;C3259781
usual care n $nmbr$,C3538928;C1947933
intervention n $nmbr$,C0184661;C0886296;C1273869
demographics,C0011298;C1704791
sex female,C0086287
marital status married,C0024841;C0555047
education high school or higher,C0683862;C0205250
medical characteristics,C0199168;C1521970;C0205476
smoking history,C1519384
hypercholesterolemia,C0020443;C1522133
renal insufficiency,C0035078;C1565489
previous ml,C0439526;C1705224;C3887665
previous cabg surgery,C0038894;C0038895;C0543467;C1274039
previous ptca,C0205156;C2936173;C1552607
chf history,C0019664;C0019665;C0262512;C0262926;C1705255;C2004062
comorbidity score mean sd t,C0009488;C0444504;C2347634;C2348143
systolic blood pressure mean sd mm hg,C0428886;C0439475
body mass index mean sd t,C0005893;C0578022;C1305855
characteristics of the index ml,C1521970;C0439526;C1705224;C3887665
infarct type,C0332307;C1547052
q wave,C0429089;C1305738
non q wave,C0429089;C1305738
indeterminate or unknown,C0205258;C0439673;C3541433;C4050014
infarct location,C0450429;C1515974;C4284930;C4284931
ejection fraction category,C0683312;C3889287
severe dysfunction,C3274777
moderate dysfunction,C3274776
mild dysfunction or normal,C3274775;C0205307;C0231683;C0439166;C2347086;C4553972
killip class lll iv,C2697847;C1261077
treatment of the index ml,C0039798;C0087111;C1522326;C1533734;C1705169;C3538994;C3887704
thrombolytic therapy,C0040044
cabg surgery,C0038894;C0038895;C0543467;C1274039
cardiac catheterization,C0018795
current prescribed medications,C3166216;C3202967
anticoagulants,C0003280
p blockers,C0369773;C2603361
lipid lowering drugs,C0086440
psychosocial risk factors,C0033963
depressed only,C0344315;C0549249
low perceived social support only,C0037438;C0748877;C1540833;C3669642
depressed and low perceived social support,C0344315;C0549249;C0037438;C0748877;C1540833;C3669642
abbreviations ace angiotensin converting enzyme cabg coronary artery bypass graft chf congestive heart failure ml myocardial infarction ptca percutaneous transluminal coronary angioplasty data are presented as no unless otherwise indicated denominator may vary due to missing values tbased on charlson comorbidity index range in sample $nmbr$ $nmbr$ recalculated as weight in kilograms divided by the square of height in meters,C1511726;C3245479;C3714741;C0449450;C1444656;C2825218;C0678226;C0042295;C4546361;C2348147;C0005910;C0043100;C1305866;C1705104;C0332849;C0205120;C1552595;C0441074
patients treated with losartan n $nmbr$,C0030705;C0332293;C0126174
patients treated with atenoloi n $nmbr$,C0030705;C0332293
aii patients n $nmbr$,C1424250;C0030705;C2698414
age x,C0001779
ethnicity n,C0015031;C0243103
bmi kg m^,C0022718;C0439209;C4054209
cornell voltage x duration product mm x ms,C2349943;C3539704;C3713294
sokolow lyon voltage mm,C4330985;C4554674
current smokers n,C3173209;C3241966
atrial fibrillation n,C0004238;C0344434;C1963067
isolated systolic hypertension n,C0745133
patients with clinically evident vascular disease,C0683521
patients without clinically evident vascular disease,C0683521
treated with losartan n $nmbr$,C0332293;C0126174
treated with atenolol n $nmbr$,C0332293;C0004147
adjusted hazard ratio $nmbr$ cl,C2985465;C0596019
unadjusted hazard ratio $nmbr$ cl,C2985465;C0596019
unadjusted hazard ratio $nmbr$ ci,C0008107;C3259781
patients,C0030705
ratet,
primary composite end points,C0205199;C2349179;C1547335
$nmbr$ ^ $nmbr$,
cardiovascular mortality,C0026565;C0026566
\ $nmbr$ $nmbr$ $nmbr$,
total mortality,C0026565;C0026566
hospitalization,C0019993
angina pectoris,C0002962
heart failure,C0018801;C0018802;C4554158
new onset diabetes,C0011847;C0011849
analysis,C0002778;C0936012;C1524024
doubling of baseline serum creatinine or esrd rr ci,C0205173;C1705764;C0008107;C3259781
esrd only rr ci,C0022661;C0035078;C2316810;C0008107;C3259781
unadjusted,C1439367
adjusted for all baseline variables $nmbr$,C0456081;C0168634;C1442488
adjusted for all baseline variables and interaction between acei and baseline upb,C0456081;C0168634;C1442488;C1704675
adjusted for all baseline variables interaction between acei and baseline up and declines in sbp and up,C0456081;C0168634;C1442488;C0085805
relative risk of outcome in acei group iw control group bbaseline variables for models included logarithm of age reciprocal of serum creatinine sbp up excretion treatment assignment and terms for studies $nmbr$ $nmbr$ $nmbr$ and $nmbr$ see footnotes of table $nmbr$ other baseline variables considered for analysis p $nmbr$ $nmbr$ in univariate analysis included dp mean arterial pressure type of antihypertensive regimen in the control group planned duration of follow up whether or not the investigators were blinded whether or not dietary advice was given and the year of publication,C0242492;C1274040;C0439828;C0039798;C1516050;C0087111;C1522326;C1533734;C1705169;C3538994;C3887704;C0233324;C1515273;C1705313;C2826302;C2825232;C0039224;C1706074;C0168634;C1442488;C0750591;C0002778;C0936012;C1524024;C0332307;C1547052;C0009932;C4288391;C1518422;C0035173;C0150108;C0204932;C0439234;C0439508
$nmbr$ prolonged antithrombotic pretreatment n $nmbr$,C0439590;C1550147;C2709094;C3539075;C3539076
$nmbr$ early intervention n $nmbr$,C0242687;C1964029
age median iqr y,C0001779;C0549183;C0876920;C2347635;C2348144;C2939193
active smoker,C0205177;C0337664;C3853793;C3888249
serum cholesterol median iqr mg dl,C0587184;C0439269
arterial hypertension,C0020538
diabetes mellitus,C0011849
insulin dependent,C0021641;C0429964;C0429986;C0851827;C1701901;C3244310;C4321395;C1533581;C1579433;C3714501
previous balloon angioplasty,C0002996;C0002997
entry criteria,C1705654;C0243161
st segment depression,C0520887
cardiac troponin t level $nmbr$ $nmbr$ pg l,C3538889;C0439278
cardiac troponin t level median iqr pg l,C3538889;C0439278
no of coronary vessels with $nmbr$ diameter stenosis,C0010075;C0678234;C1261287;C2632116
none,
left ventricular ejection fraction median iqr,C0428772;C0488728
calcium antagonist strategy n $nmbr$ $nmbr$,C0006684;C0679199
non calcium antagonist strategy n $nmbr$ $nmbr$,C0006684;C0679199
demographic $nmbr$ $nmbr$ $nmbr$ $nmbr$,C0011298
race ethnicity white,C0007457;C0043157;C0220938
other multiracial,C1881928
bmi mean sd kg m $nmbr$,C0022718;C0439209;C4054209
condition $nmbr$ $nmbr$ $nmbr$,C0012634;C0348080;C1705253;C3864998
abnormal angiogram,C0002978;C1548816;C3891555;C4255126
prior ml or abnormal angiogram,C0439526;C1705224;C3887665;C0002978;C1548816;C3891555;C4255126
concordant stress test abnormalities,C0000768;C0000769
cabg $nmbr$ month ago,C0332177;C0439231
pci $nmbr$ month ago,C0332177;C0439231
cabg or pci,C0010055;C4049621
left ventricular hypertrophy,C0149721;C3484363
unstable angina $nmbr$ mo ago,C0026544;C0332177
arrhythmia,C0003811
heart failure class l lll,C0018801;C1261077;C0018802;C4554158
smoking past,C0037369;C0453996;C1881674
within last $nmbr$ d,
diabetesf,
hypercholesterolemiat,
renal impairmentt,C0022646
cancer,C0006826;C0998265;C1306459
