"concept","cuis","rep_cuis","excluded_cuis","cc"
"all cause mortality or hosp for worsening hf hs crp $nmbr$ $nmbr$ mg l","C0015127;C0018488;C0026565;C0026566;C0332271;C0439268;C0444868;C1313497;C1457868;C1524003;C1538440;C1546960;C3273279;C3539085;C3890735;C4048285","C0018801",";C0168634;C1524003",12
"walk for exercise","C0015259;C0080331;C1522704","C0015259","",1380
"left ventricular ejection fraction median iqr","C0428772;C0488728;C0549183;C0876920;C2347635;C2348144;C2939193","C0018801;C0428772","",1273
"coronary angiography","C0085532;C1548829",NULL,NULL,1724
"pg mg","C1627892",NULL,NULL,197
"czp mtx mtx","C0025677;C0054841;C1417487;C1861828;C1872109","C0025677;C1872109","",2217
"final timi flow grade post ppci","C0205088;C0441800;C0687676;C0919553;C1546485;C1704687;C3244287;C3272266;C3469826;C3853528",NULL,NULL,531
"total daily insulin dose units kgt","C0021641;C0439148;C1519795;C1533581;C1579433;C2348070;C3714501;C3853603",NULL,NULL,157
"pef at baseline l_ min","C0030771;C0168634;C0702093;C1442488;C1518922;C1524029;C1542834;C3813700",NULL,NULL,1475
"region united states","C0017446;C0041703;C0205147",NULL,NULL,1550
"laba non users","C1518422;C1706077",NULL,NULL,534
"$nmbr$ ml min $nmbr$ $nmbr$ ni","C0028075;C0439445;C2348274;C3869926;C3869927",NULL,NULL,153
"creatinine mg dl sd","C0010294;C0439269;C1561535;C2699239","C0600061;C0010294","",952
"mean hscrp mg l sd","C0439268;C0444504;C2347634;C2348143;C2699239","C0006560","",286
"body mass index waist to hip ratio","C0005893;C0205682;C0578022;C1305855","C0205682","",1409
"baseline bp mean sd","C0168634;C0488053;C1442488;C2699239",NULL,NULL,625
"nitrate oral or topical","C0028125;C0332237;C0442027;C0699857;C3848573;C4521986",NULL,NULL,2031
"$nmbr$ months number n","C0237753;C0439231;C0449788",NULL,NULL,1556
"oral diabetic agent","C0241863;C0442027;C0450442;C1254351;C1521826;C4521986","C0020616",";C0013227;C3244316;C4284232;C0450442;C1254351;C1515187;C1521826;C2826257",33
"age mean sd yrs","C0001779;C0444504;C2347634;C2348143;C2699239","C0001779","",480
"insulin glargine insulin lispro award $nmbr$ n $nmbr$","C0004446;C0293359;C0907402","C0907402",";C1998602;C0004446;C0005126;C2344255;C4050145;C0229089;C0439164;C1512019;C3273373;C3665488",69
"bdp ff g n $nmbr$","C0004906;C0439267;C1422585;C1538710;C4554348",NULL,NULL,1597
"feno ppb","C1415800",NULL,NULL,1737
"fev $nmbr$ fvc a","C3714541",NULL,NULL,1599
"primary cause of chf","C0015127;C0018802;C0205225;C0439612;C0439631;C1524003",NULL,NULL,2343
"daytime mean sbp abpm at week $nmbr$ mmhg","C0085805;C0332169;C0332174;C0439230;C0439475;C0444504;C2347634;C2348143",NULL,NULL,607
"corticosteroids and immunosuppressants","C0001617;C0021081;C3539185;C3540725;C3540726;C3540727",NULL,NULL,1650
"disease characteristics","C0599878",NULL,NULL,1652
"post hoc analysis","C0002778;C0687676;C0936012;C1524024;C1704687;C3469826",NULL,NULL,245
"mean sd periostin ng ml","C0219433;C0439275;C0444504;C1424662;C2347634;C2348143;C2699239;C3812270",NULL,NULL,37
"all cause mort hf hosp","C0015127;C0018488;C1313497;C1524003;C1538440;C3273279;C3815322","C0018801",";C0168634;C1524003",12
"$nmbr$ yr warfarin experience","C0043031;C0237607;C0439234;C0596545",NULL,NULL,1099
"$nmbr$ $nmbr$ o lt","C0023376;C0230426;C0483204;C3887647;C4521399",NULL,NULL,1678
"health care use rate peryear","C0814514;C0871208;C1521828",NULL,NULL,1103
"components of the first cid","C0205435;C0449432;C1279901;C1707433",NULL,NULL,806
"change from baseline in fevj mb","C0024853;C0168634;C0392747;C0443172;C1442488;C1705241;C4319952",NULL,NULL,767
"clinical features of hf","C0018488;C0683325;C1313497;C1538440;C3273279","C0018801",";C0168634;C1524003",12
"history of atrial fibrillation or flutter","C0016385;C0729790;C2242390",";C0004238","",1009
"nyha classes iii iv","C0278962","C0018802;C1882083","",453
"minutes from prehospital ecg to pci median iqr","C0439232;C0549183;C0700321;C0702093;C0876920;C1282918;C1623258;C2347166;C2347635;C2348144;C2939193;C4049621",NULL,NULL,635
"ulcerative colitis","C0009324",NULL,NULL,1026
"triglycerides mean","C0041004;C0444504;C2347634;C2348143","C0041004","",368
"undiagnosed diabetes n $nmbr$","C0011847;C0011849;C1408353","C0011849",";C1704656;C3687832;C1705970;C4285062;C1079230;C0449450;C3250443;C0021966;C0221138;C0369718;C0441922;C0684224",909
"baseline pssi score mean sd","C0168634;C0444504;C0449820;C1442488;C2347634;C2348143;C2699239;C4050231",NULL,NULL,1287
"migraine without aura","C0338480","C0338480","",1941
"region n a","C0017446;C0205147","C0017446","",369
"severe fev $nmbr$ predicted","C0205082;C0681842;C1882327;C3714541;C4050465;C4050466",NULL,NULL,1599
"insulin pmol l t vital signs","C0021641;C0150404;C0439284;C0518766;C1533581;C1579433;C3714501",NULL,NULL,157
"r $nmbr$ mg","C0024671;C0026410;C0205090;C0439269;C0684010;C1960952;C2346927;C2603358;C4321396;C4521761",NULL,NULL,192
"mean sd egfr ml min $nmbr$ $nmbr$ m $nmbr$","C0369637;C0439445;C0441923;C0444504;C1739039;C2347634;C2348143;C2699239;C3811844;C3812682","C3811844;C0017654","",307
"pcs score","C0449820;C1864389;C1882368;C4050231",NULL,NULL,749
"severe or very severe copd","C0024117;C0205082;C1412502;C3641272;C3714496;C4050419;C4050465;C4050466","C0024117;C0205082",";C4050419;C1412502;C3714496;C0018026;C1304897;C4050465;C4050466",1836
"icd crt d n","C0021122",NULL,NULL,256
"history of chd at baseline no","C0019664;C0019665;C0168634;C0262512;C0262926;C0280604;C1442488;C1705255;C2004062;C3542407",NULL,NULL,970
"all canakinumab","C2718773","C2718773","",372
"median feno ppba","C0549183;C0876920;C2347635;C2348144;C2939193",NULL,NULL,635
"no regular consumption","C0009830;C0205272;C1947907",NULL,NULL,1711
"bb after randomisation","C0004739;C0034656;C0332297",NULL,NULL,714
"previous or current use of im and cs no","C0010182;C0205156;C0271160;C0521116;C1524063;C1552607;C1705970;C3540510;C4085345",NULL,NULL,136
"digitalis n","C0012252;C0304520","C0012265","",989
"smoking status at screening n","C0037369;C0220908;C0220909;C0421330;C0453996;C1519386;C1698960;C1710031;C1710032;C1710477;C1881674;C2348164",NULL,NULL,796
"thrombophilia no e","C0398623",NULL,NULL,623
"non white raceb","C0007457;C0043157;C0220938;C1518422","C0034510;C1518422;C0043157","",1401
"transfusions","C0005841;C0199960;C1879316","C0005841","",1241
"$nmbr$ y rate per $nmbr$ persons se n","C0027361;C0036919;C0871208;C1521828",NULL,NULL,567
"icd vs placebo","C0021122;C0032042;C1696465;C1706408","C0972395","",1360
"no oral antidiabetic medication","C0175795;C0442027;C0935929;C4521986",NULL,NULL,995
"other medical history no","C0262926;C1704706",NULL,NULL,832
"previous coronary artery bypass graft","C2144990","C2144990","",227
"disease site no","C0012634;C0205145;C1515974;C2825164",NULL,NULL,1193
"body mass index mean sd d","C0005893;C0444504;C0578022;C1305855;C2347634;C2348143;C2699239","C1305855","",1734
"absent","C0332197;C4285062",NULL,NULL,485
"canakinumab hscrp $nmbr$ $nmbr$ mg l at $nmbr$ months n $nmbr$","C0439231;C0439268;C2718773","C2718773","",372
"electrocardiogram","C0013798;C1547122;C1623258","C1623258","",1129
"race or ethnic group no t","C0015031;C0034510;C1706779;C1879937;C2603360;C3853635",";C0034510","",1107
"pr virgin islands n","C0042752;C0279759;C0279766;C1418864;C3538934;C3538935;C3889640;C4048189;C4082178;C4082184;C4085573;C4552913;C4552914",NULL,NULL,1518
"demography","C0011298",NULL,NULL,582
"final mean mg dl","C0205088;C0439269;C0444504;C1546485;C2347634;C2348143;C3853528",NULL,NULL,1680
"asia pacific","C0003980","C0003980","",1382
"no of previous biologic dmards no","C0205156;C1552607;C4055380",NULL,NULL,1045
"data are reported as percentage or mean standard deviation unless otherwise indicated ng normoglycemia igm impaired glucose metabolism ldl low density lipoprotein hdl high density lipoprotein fpg fasting plasma glucose a median interquartile range p $nmbr$ $nmbr$ vs ng p $nmbr$ $nmbr$ vs ng","C0015663;C0017725;C0017887;C0023820;C0023821;C0028074;C0178587;C0202042;C0205251;C0221099;C0439165;C0444504;C0455280;C0549183;C0580545;C0596620;C0684224;C0700287;C0871420;C0876920;C1154908;C1442989;C1444656;C1511726;C1549488;C1550472;C1561533;C1706005;C1711350;C1828170;C2347634;C2347635;C2348143;C2348144;C2828392;C2939193;C3245479;C3714741;C3890211;C4048187;C4319718;C4321351;C4522223",NULL,NULL,1482
"previous pci before index acs","C0205156;C0600653;C0742343;C0918012;C1552607;C1552854;C1637833;C2986546;C4049621;C4318612","C1532338","",1661
"at ldl c bq goal at baseline no","C0018017;C0168634;C0560038;C1442488;C1571704;C3541236",NULL,NULL,1688
"mean sd of predicted normal fevi","C0205307;C0231683;C0429706;C0439166;C0444504;C0681842;C0849974;C1561566;C1882327;C2347086;C2347634;C2348143;C2699239;C4528367;C4553972",NULL,NULL,37
"systolic bp mm hg","C0439475;C0871470","C0005823","",1469
"$nmbr$ to $nmbr$ ml min n $nmbr$ $nmbr$","C0439445","C3811844;C0017654","",307
"standard therapy n $nmbr$","C2936643",NULL,NULL,1646
"ind gly n $nmbr$","C0017890;C0523677;C4049864","C3814772;C1722260","",1509
"ratio to baseline in eosinophil count at week $nmbr$ geometric mean se on loge scale cells ll","C0007584;C0007634;C0036919;C0168634;C0175659;C0200638;C0332174;C0349674;C0439230;C0456603;C0750879;C1442488;C1547037;C1947916;C2697934;C2986759",NULL,NULL,1012
"region europe union","C0015179;C0017446;C0205147","C0017446","",369
"exenatide er","C0167117;C3810541;C3811131",NULL,NULL,759
"change from baseline median iqr","C0168634;C0392747;C0443172;C0549183;C0876920;C1442488;C1705241;C2347635;C2348144;C2939193;C4319952",NULL,NULL,635
"genotype","C0017431",NULL,NULL,602
"s e","C0565930;C2603362",NULL,NULL,1784
"asian or oriental","C0078988;C0699027","C0078988","",284
"creatinine clearance $nmbr$ ml min no weight $nmbr$ kg no","C0005910;C0022718;C0043100;C0439209;C0439445;C0812399;C1305866;C1705104;C4054209","C0812399",";C3889287;C0452249;C0522467;C1337213;C1576800;C3890003;C0005910;C0022718;C1305866;C1705104;C1705224;C3887665",79
"bmi mean sd kg m $nmbr$","C0444504;C0578022;C1532718;C2347634;C2348143;C2699239",";C1305855","",206
"n indacaterol $nmbr$ ug indacaterol $nmbr$ ug placebo","C0032042;C0369718;C0441922;C1319635;C1696465;C1706408;C1722260","C0032042","",28
"group difference","C0441833;C0687744;C1257890;C1519504;C1705241;C1705242;C1705428;C1705429",NULL,NULL,1466
"left sided colitis","C2887821",NULL,NULL,43
"cornell voltage duration product mm x ms","C0449238;C0598352;C1514468;C1704444;C2349943;C2926735;C3539704;C3713294;C4330985;C4554674",NULL,NULL,126
"immy without corticosteroid n","C0001617;C3536709",NULL,NULL,1650
"ethnicitya hispanic or latino","C0086409;C0086528","C0086528;C0086409;C0015031","",363
"history of chd at baseline","C0019664;C0019665;C0168634;C0262512;C0262926;C0280604;C1442488;C1705255;C2004062;C3542407",NULL,NULL,970
"hazard inleraction","C0598697",NULL,NULL,345
"renal subgroup","C0022646;C1079230;C1515021",NULL,NULL,1637
"das $nmbr$ esr mean sd","C0051767;C0057671;C0444504;C2347634;C2348143;C2699239;C3811131",NULL,NULL,1914
"total cholesterol mmo $nmbr$ $nmbr$","C0201950;C0543421","C0543421","",1504
"treatment before admission","C0039798;C0087111;C0184666;C0809949;C1522326;C1533734;C1705169;C3538994;C3887704",NULL,NULL,470
"all cause","C0015127;C1524003",NULL,NULL,924
"europe israel or australia","C0004340;C0015176;C0022271","C0015176","",337
"bmi kg m $nmbr$ mean","C0444504;C0578022;C1532718;C2347634;C2348143",";C1305855","",206
"baseline short acting anticholinergics","C0079613;C0168634;C0242896;C1282927;C1442488;C1704930;C1806781;C1869853;C2350002;C3537307;C3540711;C3890007;C4048375",NULL,NULL,1704
"hbalc $nmbr$ mmol mol $nmbr$ $nmbr$ n $nmbr$ $nmbr$","C3829066","","",820
"$nmbr$ help needed still independent","C0027552;C0085862;C0686904;C1269765;C1290940;C1299583;C1552861",NULL,NULL,1202
"gaviscon da n $nmbr$","C0011318;C0061146;C3668815",NULL,NULL,1074
"ileum","C0020885","C0020885","",1341
"severe oab subgroup","C0205082;C1079230;C1515021;C4050465;C4050466",NULL,NULL,313
"mortality shock or congestive heart failure within $nmbr$ days","C0018802;C0026565;C0026566;C0036974;C0439228","C0018801",";C0168634;C1524003",12
"ascvd b no","C3665365",NULL,NULL,344
"aa g","C0282379;C0439267;C1235746;C1882141;C4554792",NULL,NULL,1754
"variables $nmbr$","C0439828",NULL,NULL,1018
"vasoprotectives","C0304533",NULL,NULL,2316
"total randomised n","C0439175;C0439810",NULL,NULL,508
"a $nmbr$ c n","C1272460",NULL,NULL,419
"abdominal aortic no","C0003484",NULL,NULL,1699
"present smokerc","C0150312;C0449450",NULL,NULL,287
"nontraumatic leg or foot amputation","C0023216;C0188605;C1140621",NULL,NULL,1613
"age $nmbr$ yr or $nmbr$ yr","C0001779;C0439234","C0001779","",480
"sacubitril valsartan","C4033631","C4033631","",2084
"$nmbr$ placebo","C0032042;C1696465;C1706408","C0032042","",28
"oral corticosteroid","C0001617;C0442027;C3536709;C4521986",NULL,NULL,1650
"weight kg mean s e","C0005910;C0043100;C0444504;C1275571;C1305866;C1705104;C2347634;C2348143","C0043100","",1915
"antidiabetic medications","C0935929",NULL,NULL,995
"change to week $nmbr$","C0332174;C0392747;C0439230;C0443172;C1705241;C4319952",NULL,NULL,767
"disease duration y mean sd","C0444504;C0872146;C2347634;C2348143;C2699239","C0449238;C0872146","",903
"digoxin n $nmbr$ $nmbr$","C0012265","C0012265","",989
"rivaroxaban plus","C1739768","C1739768","",1225
"other atherosclerotic cvd st depression on","C0007222;C0333482;C0520887","C0004153","",1698
"row n $nmbr$","C1552840;C1552846",NULL,NULL,852
"body mass index kg m $nmbr$","C0005893;C0578022;C1305855;C1532718","C1305855","",1734
"age year mean sd","C0001779;C0439234;C0439508;C0444504;C2347634;C2348143;C2699239","C0001779","",480
"pra median min max ng ml h","C0033727;C0369286;C0441932;C0549183;C0564385;C0633231;C0702093;C0876920;C1141951;C1419788;C1524029;C1533072;C2347635;C2348144;C2827900;C2939193;C3274822;C3669212;C3813700;C4050009;C4283900;C4528284",NULL,NULL,1475
"insulin therapy","C0021641;C0039798;C0087111;C1363945;C1533581;C1579433;C3714501",NULL,NULL,2347
"class ia","C0020980;C0456387;C0694634;C1518526;C1705943;C1947960",NULL,NULL,452
"body mass index kg m $nmbr$ sd","C0005893;C0578022;C1305855;C1532718;C2699239","C1305855","",1734
"age y median $nmbr$ th to $nmbr$ th percentiles","C0001779;C0039725;C0039738;C0549183;C0876920;C1264641;C1420718;C2347635;C2348144;C2939193;C4282123;C4285344","C0001779","",2234
"use of inhaled glucocorticoids at baseline","C0004048;C0017710;C0168634;C1442488;C1524063;C3540777;C3540778","C3540778","",2182
"characteristic outcome","C1274040;C1521970",NULL,NULL,1602
"dabigatran $nmbr$ mg bid vs warfarin","C0024671;C0026410;C0043031;C0439269;C1960952;C2346927;C2348066;C4321396;C4521761",NULL,NULL,775
"lp a nmol l mean sd","C0065058;C0439282;C0444504;C1439335;C2347634;C2348143;C2699239;C4553379",NULL,NULL,37
"$nmbr$ year risk for chd","C0439234;C0439508;C1282512",NULL,NULL,1099
"all bleeding","C0019080",NULL,NULL,707
"immunosuppressant with or without corticosteroid","C0001617;C0021081;C3536709",NULL,NULL,1650
"fatigue range $nmbr$ $nmbr$","C0015672;C1514721;C2348147;C3463815;C3542016;C4050243;C4554645","C0015672",";C4050243;C3542016;C0424589;C0542479;C1442080;C4330907;C0444504;C4553152",10
"carotid","C0741968","C0007272","",1547
"chronic bronchitist","C0205191",NULL,NULL,1701
"hormonal status","C0449438;C0458083",NULL,NULL,543
"bmi indicates body mass index sbp systolic blood pressure dbp lipoprotein a ldl c was calculated with the friedewald formula hypertension and diabetes were based on physician diagnosis smoker includes current and past smokers","C0005893;C0011847;C0011849;C0011900;C0012164;C0020538;C0031831;C0065058;C0085805;C0125953;C0332257;C0337664;C0444686;C0488055;C0489829;C0521116;C0536221;C0578022;C0804815;C0871470;C1096202;C1305855;C1306620;C1439335;C1441506;C1444637;C1527178;C1552866;C1704338;C1704656;C1705501;C1705938;C1705970;C1963138;C2700399;C3813197;C4281799;C4284302",NULL,NULL,456
"normoalbuminuria no total no","C0439175;C0439810",NULL,NULL,508
"age $nmbr$ $nmbr$ yr elevated biomarkers and previous vascular","C0001779;C0005516;C0005847;C0205156;C0205250;C0439234;C1552607;C1558950;C1801960;C3163633","C0001779","",480
"active canakinumab n $nmbr$ $nmbr$","C0205177;C2718773;C3853793;C3888249",NULL,NULL,496
"crcl at randomization ml min","C0034656;C0439445;C1846718","C3811844;C0017654","",307
"placebo insulin n $nmbr$","C0021641;C0032042;C1533581;C1579433;C1696465;C1706408;C3714501",NULL,NULL,157
"aqlq score mean sd","C0444504;C0449820;C2347634;C2348143;C2699239;C4050231;C4055434",NULL,NULL,1287
"teaes reported by $nmbr$ patients in the overall brv group n","C0030705;C0155502;C0282416;C0441848;C1561607;C1709908",NULL,NULL,1743
"nyha class ii n $nmbr$","C1882085","C0018802;C1882083","",453
"with higher classes indicating greater limitations on physical activity owing to","C0015259;C0026606;C0205250;C0449295;C0456387;C1518526;C1704243;C1705943;C4019422","C0015259","",1380
"cvd death","C0007222;C0011065;C1306577;C4082313;C4552775",NULL,NULL,323
"who idf ifg","C1334085;C1708411",NULL,NULL,1259
"non drug eluting stent","C1322815;C1518422","C1322815","",365
"current smoker $nmbr$ cigarettes day no","C0332173;C0439228;C0439505;C0677453;C3173209;C3241966","C3241966","",1420
"potassium at admission mmol l $nmbr$","C0032821;C0184666;C0202194;C0304475;C0597277;C0809949;C1532563;C3714637","C0302353","",1959
"systolic pressure at ankle level mmhg mean sd","C0003086;C0003087;C0039155;C0439475;C0441889;C0444504;C0445074;C0456079;C0871470;C1547707;C2347634;C2348143;C2699239;C2946261",NULL,NULL,1287
"evenls per $nmbr$ $nmbr$ palienl years","C0439234",NULL,NULL,1099
"weight kg mean sd","C0005910;C0022718;C0043100;C0439209;C0444504;C1305866;C1705104;C2347634;C2348143;C2699239;C4054209",NULL,NULL,2326
"xi $nmbr$ $nmbr$ p $nmbr$ $nmbr$","C1720296",NULL,NULL,520
"us n $nmbr$","C0369718;C0441922",NULL,NULL,1553
"rivaroxaban","C1739768","C1739768","",1225
"nonischemic cardiomyopathy no","C0878544",NULL,NULL,652
"lipid medication n","C0013227;C0023779;C3244316;C4284232",NULL,NULL,2265
"cabg","C0010055","C0010055","",389
"body mass index no i","C0005893;C0021966;C0221138;C0578022;C1305855","C1305855","",1734
"total resolution of dactylitisb","C0439175;C0439810;C1514893;C1706463;C2699488",NULL,NULL,508
"cvd","C0007222","C0007222","",1790
"at weeks $nmbr$ and $nmbr$","C0439230",NULL,NULL,1012
"amlodipine $nmbr$ mg v $nmbr$","C0024671;C0026410;C0051696;C0439269;C1960952;C2346927;C4321396;C4521761","","",78
"screening absolute reversibility fev $nmbr$ ml","C0205344;C0220908;C0220909;C0439526;C0449261;C1698960;C1705224;C1710031;C1710032;C1710477;C2348164;C3714541;C3887665","C0449261;C0231999","",1315
"total pack yrs","C0439175;C0439810;C1968515;C2825051;C2828395",NULL,NULL,139
"sjc $nmbr$ joints mean sd","C0022417;C0392905;C0444504;C2347634;C2348143;C2699239",";C0451521","",1140
"apob apoa $nmbr$ ratio","C0003592;C0003593;C0456603;C0523508;C1547037;C3252643;C4553344;C4553379","C0003592","",427
"prior acbi or arb use","C0042153;C0332152;C0457083;C1947944;C2826257;C3888198",NULL,NULL,44
"stage $nmbr$ a ckd cohort post hoc analysis excluding metformin users","C0025598;C0086027;C0205390;C0332196;C0687676;C1300072;C1306673;C1561643;C1704687;C1706077;C2828389;C3469826",NULL,NULL,541
"calima overall n $nmbr$","C0282416;C1561607",NULL,NULL,1743
"oil","C0028908;C0032085;C1517288;C3541397",NULL,NULL,1681
"cabg history","C0010055;C0019664;C0019665;C0262512;C0262926;C1705255;C2004062","C0010055","",389
"difference in ls mean vs placebo $nmbr$ ci","C0008107;C0023668;C0032042;C0444504;C1696465;C1705241;C1705242;C1706408;C2347634;C2348143;C3259781",NULL,NULL,519
"p value for interaction age continuous","C0001779;C0549178;C1704675;C1709380","C0001779","",480
"steroids n","C0038317",NULL,NULL,1648
"documented coronary artery disease","C0010054;C0010068;C1301725;C1609436;C1956346","C0010068;C1956346",";C0026410;C1710701",226
"alcohol use $nmbr$ drink wk","C0001948;C0042153;C0332174;C0439230;C0452428;C0457083;C0556297;C1947944","C0001948","",875
"physical role","C0031809;C0035820;C0205485;C1509143;C1705810;C3871154",NULL,NULL,506
"all strokes n","C0038454;C0369718;C0441922;C4554100",NULL,NULL,1762
"myocardial infarction without st segment elevation no","C1536220",NULL,NULL,570
"previous angina pectoris","C0002962;C0205156;C1552607","C0002962",";C1552607;C0428953;C2926063;C3810814;C1424025;C2606415;C1883468",65
"subjects $nmbr$ years of age n","C0681850;C1510829;C1550501;C1706203;C2349001;C2697811","C1510829","",481
"number of patients with fractures","C0016658;C2360800",NULL,NULL,1811
"oral anticoagulants","C0354604","C0354604","",1747
"mean sd","C0444504;C2347634;C2348143;C2699239",NULL,NULL,1287
"non anterior","C0205094;C1518422","C0205094","",1243
"baseline crp","C0168634;C1442488;C3890735;C4048285",NULL,NULL,1545
"criterion","C0243161",NULL,NULL,783
"nonfatal stroke","C0038454;C4554100",NULL,NULL,507
"time since first luts years","C0040223;C0205435;C0439234;C0574785;C1279901;C3541383",NULL,NULL,757
"amlodipine vaisartan n $nmbr$","C0051696","","",78
"albiglutide n $nmbr$","C2607479","C2607479","",277
"cha $nmbr$ ds $nmbr$ vasc $nmbr$","C1420648;C3714751",NULL,NULL,968
"ldl c median iqr mg dl","C0439269;C0549183;C0876920;C2347635;C2348144;C2939193","C0023824","",1068
"heparin plus tirofiban n $nmbr$","C0019134;C0247025;C0332287;C0770546",NULL,NULL,804
"bmi mean kg m $nmbr$ sd","C0444504;C0578022;C1532718;C2347634;C2348143;C2699239",";C1305855","",206
"death from any cause","C0007465","C0007465","",1423
"management distribution medical treatment","C0001554;C0030677;C0199168;C0205476;C0376636;C0520511;C0679624;C1273870;C1704711;C3273539",NULL,NULL,488
"loop diuretic","C0354100;C3536704","C0354100","",991
"psoriatic arthritis pain","C0003872;C0030193;C0518090;C1962977;C2984058;C4085210;C4085211;C4085212;C4317006;C4553004;C4554132","","",2176
"yes n $nmbr$","C1549445;C1705108;C1710701",NULL,NULL,147
"death due to renal failure","C0011065;C0035078;C0678226;C1306577;C1963154;C4082313;C4552775","C0035078;C0011065","",939
"p value fo interactio","C1709380",NULL,NULL,7
"total time of fondaparinux treatment before","C0039798;C0040223;C0087111;C0439175;C0439810;C1098510;C1522326;C1533734;C1705169;C3538994;C3541383;C3887704","C1098510","",859
"sfc $nmbr$ $nmbr$ pg twice daily n $nmbr$","C0030827;C0072225;C0585361;C1266240;C4521536",NULL,NULL,208
"medical therapies","C0418981",NULL,NULL,640
"fpi mean sd pu mlt","C0018387;C0444504;C2347634;C2348143;C2699239;C4553833",NULL,NULL,2135
"p $nmbr$ vs usual care","C0369773;C1947933;C2603361;C3538928",NULL,NULL,391
"p","C0369773;C2603361",NULL,NULL,1823
"current smokers n medicai history n","C0019664;C0019665;C0262512;C0262926;C1705255;C2004062;C3173209;C3241966","C3241966","",1420
"sal n $nmbr$","C0036140;C0037494;C0206136",NULL,NULL,853
"control $nmbr$ months n $nmbr$","C0243148;C0439231;C1550141;C1882979;C2587213;C3274648;C4553389",NULL,NULL,675
"family history of venous thromboembolism","C0015576;C0042449;C0241889;C0348013;C0455533;C1704727;C1997614","C0241889","",1493
"estimated gfr ml min per $nmbr$ $nmbr$ m $nmbr$ mean sd","C0017654;C0369637;C0439445;C0441923;C0444504;C0750572;C1424601;C2347634;C2348143;C2699239","C3811844;C0017654","",592
"interaction pf","C1704675;C3815179",NULL,NULL,888
"seronegative rf ve and acpa ve subgroup","C0035448;C0042469;C0201660;C0521144;C0748398;C1079230;C1515021;C1525410;C1547111;C1706063;C3714652;C4321495",NULL,NULL,347
"micral test result","C0456984;C0587081",NULL,NULL,805
"czp $nmbr$ mg n lll","C0024671;C0026410;C0054841;C0439269;C1261077;C1861828;C1872109;C1960952;C2346927;C4321396;C4521761",NULL,NULL,2274
"clopidogrel $nmbr$ mg loading doset","C0024671;C0026410;C0070166;C0439269;C1708715;C1960952;C2346927;C4321396;C4521761","C0070166",";C0369286;C0033727;C4049621",217
"change from baseline to week $nmbr$ in uas $nmbr$","C0168634;C0332174;C0392747;C0439230;C0443172;C1442488;C1705241;C4319952",NULL,NULL,625
"sbp $nmbr$ mm hg and dbp $nmbr$ mm hg $nmbr$ $nmbr$","C0085805;C0439475;C0536221;C3813197;C4281799",NULL,NULL,607
