CUI,matchedText,preferred,hasMSH,semTypes
C0017480,DE,Germany,true,geoa
C3541240,DE,Device Events Domain,false,inpr
C0205232,Fine,Fine - adjective,false,qlco
C0687757,fine,Legal fine,false,rnlw
C0745732,List,List,false,inpr
C3272378,LIST,Sequence Data Type,false,inpr
C0040028,ET,"Thrombocythemia, Essential",true,dsyn
C0028125,Nitrates,Nitrates,true,chvs
C0332257,include,Including (qualifier),false,ftcn
C1552866,include,include - SetOperator,false,idcn
C2700399,Include,Include (action),false,acty
C1521827,Preparation,Preparation,false,acty
C3812761,Preparation,Prepared Material,false,qnco
C0013227,Drug,Pharmaceutical Preparations,true,phsu
C1254351,DRUG,Pharmacologic Substance,false,phsu
C0699857,Nitrate,Nitrate,false,inch
C3848573,Nitrate,nitrate ion,false,elii;phsu
C0006684,Calcium Channel Blocker,Calcium Channel Blockers,true,phsu
C3536851,Calcium Channel Blocker,Calcium Channel Blocker [EPC],false,phsu
C4521885,Calcium channel blocker,Calcium channel blocker (disposition),false,qlco
C0001645,Beta Blocker,Adrenergic beta-Antagonists,true,phsu
C0005893,Body mass index,Body mass index procedure,false,diap
C0578022,Body Mass Index,Finding of body mass index,false,fndg
C1305855,BODY MASS INDEX,Body mass index,true,clna
C0005910,Weight,Body Weight,true,orga
C0043100,Weight,Weight,true,qnco
C1305866,weight,Weighing patient,false,hlca
C1705104,Weight,Importance Weight,false,qlco
C0332849,Divided,Divide,false,ftcn
C0205120,SQUARE,Square shape,false,spco
C1552595,Square,Style Type - Square,false,inpr
C0441074,Meters,Meters (physical object),false,medd
C0008377,CHOLESTEROL,Cholesterol,true,bacs;orch
C0475211,Litre,liter,false,qnco
C0041004,TRIGLYCERIDES,Triglycerides,true,bacs;orch
C2911648,Multiply,Multiplication,false,qnco
C1719797,Multiply,Multiply - dosing instruction fragment,false,ftcn
C1532563,Millimole per Liter,Millimole per Liter,false,qnco
C0439190,millimoles,millimole,false,qnco
C0032042,Placebo,Placebos,true,topp
C1696465,PLACEBO,placebo,false,bodm
C1706408,PLACEBO,Placebo Control,false,resa
C0017245,Gemfibrosil,Gemfibrozil,true,orch;phsu
C1137094,Risk Reduction,Risk Reduction,true,inbe
C0596019,Cl -,Chloride Ion,false,elii
C1709380,P-Value,P-Value,false,qnco
C0439175,% total,% of total,false,qnco
C0439810,Total,Total,false,qlco
C0001779,AGE,Age,false,orga
C0439234,yr,year,false,tmco
C0034510,RACE,Racial group,true,popg
C3853635,Race,Race,false,popg
C1706779,RACE,AMACR wt Allele,false,gngm
C0007457,WHITE,Caucasoid Race,true,popg
C0043157,WHITE,Caucasians,true,popg
C0220938,WHITE,White color,false,qlco
C0241889,FAMILY HISTORY,Family history,true,fndg
C1549445,Yes,Yes - Yes/no indicator,false,idcn
C1705108,YES,Yes (indicator),false,cnce
C1710701,Yes,YES1 wt Allele,false,gngm
C0037369,SMOKING,Smoking,true,inbe
C1881674,Smoking,Medical Device Emits Smoke,false,fndg
C0453996,Smoking,Tobacco smoking behavior,true,inbe
C0521116,CURRENT,Current (present time),false,tmco
C1705970,Current,Electrical Current,false,npop
C0750523,FORMER,FORMER,false,idcn
C0205156,FORMER,Previous,false,tmco
C0011847,Diabetes,Diabetes,false,dsyn
C0011849,Diabetes,Diabetes Mellitus,true,dsyn
C0042153,use,utilization qualifier,true,ftcn
C0457083,Use,Usage,false,ftcn
C1947944,Use,Use - dosing instruction imperative,false,inpr
C0457083,Use,Usage,false,ftcn
C0042153,use,utilization qualifier,true,ftcn
C1947944,Use,Use - dosing instruction imperative,false,inpr
C0023822,HDL Cholesterol,High Density Lipoprotein Cholesterol,true,bacs;orch
C0392885,HDL Cholesterol,High density lipoprotein measurement,false,lbpr
C0439269,mg dl,mg/dL,false,qnco
C0041004,TRIGLYCERIDES,Triglycerides,true,bacs;orch
C0023824,LDL Cholesterol,LDL Cholesterol Lipoproteins,true,bacs;orch
C0202117,LDL Cholesterol,Low density lipoprotein cholesterol measurement,false,lbpr
C0439269,mg dl,mg/dL,false,qnco
C0439269,mg dl,mg/dL,false,qnco
C0008107,CI,Chile,true,geoa
C3259781,CI,Coagulation Index Measurement,false,lbpr
C1709380,P-Value,P-Value,false,qnco
C1441547,Derived,Derivation,false,qlco
C3245521,derived,Derived value,false,idcn
C1137094,Risk Reduction,Risk Reduction,true,inbe
C2825415,Negative Number,Negative Number,false,cnce
C0442805,Increase,Increase,false,ftcn
C1171304,risk diabetes,diabetes risk,false,qnco
C0020538,HYPERTENSION,Hypertensive disease,true,dsyn
C1963138,Hypertension,"Hypertension, CTCAE",false,fndg
C1704788,Defined,Definition,false,inpr
C3539106,Defined,Sufficiently defined concept definition status (core metadata concept),false,inpr
C0241889,FAMILY HISTORY,Family history,true,fndg
C0205447,ONE,One,false,qnco
C1518469,First Degree Relatives,Number of First Degree Relatives (Affected),false,qnco
C1546180,Age of death,Age at death,false,fndg
C1547282,Show,Show,false,anim
C0024671,MG,Mammography,true,diap
C0026410,MG,Mongolia,true,geoa
C0439269,mg%,mg/dL,false,qnco
C1960952,mg %,Milligram percent,false,qnco
C2346927,Mg++,Magnesium Cation,false,elii;phsu
C4321396,MG,MG,false,diap
C4521761,MG,United States Military Commissioned Officer O8,false,clas
C0439241,decilitre,deciliter,false,qnco
C0439190,mmol,millimole,false,qnco
C0475211,Litre,liter,false,qnco
C0428475,Triglyceride level,Triglyceride level - finding,false,lbtr
C0202117,LDL cholesterol levels,Low density lipoprotein cholesterol measurement,false,lbpr
C0850994,ldl cholesterol levels,cholesterol ldl test,false,lbpr
C0680240,according,Agreement,false,socb
C0042295,Values,Values,false,qlco
C0332849,Divide,Divide,false,ftcn
C0681850,Subject,Study Subject,false,grup
C1550501,{Subject},Subject -direct target,false,ftcn
C1706203,Subject,Subject - topic,false,idcn
C2349001,Subject,Human Study Subject,false,popg
C2697811,Subject,Investigative Subject,false,ftcn
C0038257,Stent,"Stent, device",true,medd
C0032042,Placebo,Placebos,true,topp
C1696465,PLACEBO,placebo,false,bodm
C1706408,PLACEBO,Placebo Control,false,resa
C0038257,Stent,"Stent, device",true,medd
C0288672,ABCIXIMAB,abciximab,true,aapp;imft;phsu
C0369773,P NOS,P Blood group antibodies,false,aapp;imft
C2603361,P',P prime,false,clna
C0002996,"Angioplasty, Balloon","Angioplasty, Balloon",true,topp
C0002997,balloon angioplasty,"Angioplasty, Balloon, Coronary",true,topp
C0032743,PT,Positron-Emission Tomography,true,diap
C0699718,PT,Physical therapy (field),false,bmod
C0241863,DIABETIC,diabetic,false,fndg
C0030705,Patients,Patients,true,podg
C0439175,% total,% of total,false,qnco
C0439810,Total,Total,false,qlco
C0011065,DEATH,Cessation of life,true,orgf
C1306577,Death,Death (finding),false,fndg
C4082313,Death NOS,Death Adverse Event Not Associated with More Specific CTCAE Term NOS,false,fndg
C4552775,Death NOS,"Death NOS, CTCAE",false,fndg
C0011065,DEATH,Cessation of life,true,orgf
C3810814,MI,Myocardial Infarction ECG Assessment,false,diap
C1306577,Death,Death (finding),false,fndg
C4082313,Death NOS,Death Adverse Event Not Associated with More Specific CTCAE Term NOS,false,fndg
C4552775,Death NOS,"Death NOS, CTCAE",false,fndg
C0549177,LARGE,Large,false,qnco
C3810814,MI,Myocardial Infarction ECG Assessment,false,diap
C1829939,{Non-patient},{Non-patient},false,clna
C0241863,DIABETIC,diabetic,false,fndg
C1521970,Characteristics,Characteristics,false,qlco
C0441833,Group,Groups,false,idcn
C0687744,group,Social group,false,popg
C1257890,Group,Population Group,true,popg
C1519504,Group,Stage Grouping,false,ftcn
C1705428,Group,Group Object,false,cnce
C1705429,Group,User Group,false,popg
C0441833,Group,Groups,false,idcn
C0687744,group,Social group,false,popg
C1257890,Group,Population Group,true,popg
C1519504,Group,Stage Grouping,false,ftcn
C1705428,Group,Group Object,false,cnce
C1705429,Group,User Group,false,popg
C0681850,Subject,Study Subject,false,grup
C1550501,{Subject},Subject -direct target,false,ftcn
C1706203,Subject,Subject - topic,false,idcn
C2349001,Subject,Human Study Subject,false,popg
C2697811,Subject,Investigative Subject,false,ftcn
C0001779,AGE,Age,false,orga
C0043210,Women,Woman,true,popg
C1533020,"Hispanic, white",Hispanic white finding,false,fndg
C1533021,"Hispanic, white",Hispanic white racial group,false,popg
C1533017,"Hispanic, black",Hispanic black finding,false,fndg
C1533018,"Hispanic, black",Hispanic black racial group,false,popg
C1533020,"Hispanic, white",Hispanic white finding,false,fndg
C1533021,"Hispanic, white",Hispanic white racial group,false,popg
C1533017,"Hispanic, black",Hispanic black finding,false,fndg
C1533018,"Hispanic, black",Hispanic black racial group,false,popg
C0034510,RACE,Racial group,true,popg
C1706779,RACE,AMACR wt Allele,false,gngm
C3853635,Race,Race,false,popg
C0013621,Education,Knowledge acquisition,true,edac
C0013622,education,Educational aspects,true,clas
C0013658,"Education, NOS",Educational Status,true,fndg
C0039401,Education,Educational process of instructing,true,edac
C0005823,BLOOD PRESSURE,Blood Pressure,true,orgf
C0439475,mmHG,mmHg,false,qnco
C1271104,Blood Pressure,Blood pressure finding,false,fndg
C1272641,Blood pressure,Systemic arterial pressure,true,fndg
C1522326,Treated,Treating,false,ftcn
C0020538,HYPERTENSION,Hypertensive disease,true,dsyn
C1963138,Hypertension,"Hypertension, CTCAE",false,fndg
C0035648,Risk Factors,risk factors,true,fndg
C1553898,risk factors,risk factors - observation list,false,inpr
C0392747,changes,Changing,false,ftcn
C0443172,changes,Changed status,false,qnco
C1320657,type diabetes,Diabetes type,false,fndg
C0239059,cigarette smoking,Cigarette smoke (substance),false,hops
C0700219,CIGARETTE SMOKING,Cigarette smoking behavior,true,inbe
C3715113,HDL,HSD11B1 wt Allele,false,gngm
C0149721,LVH,Left Ventricular Hypertrophy,true,dsyn
C0013798,Electrocardiogram,Electrocardiogram,true,diap
C1547122,Electro-Cardiogram,Electro-Cardiogram,false,spco
C1623258,Electrocardiogram,Electrocardiography,true,diap
C0149721,LVH,Left Ventricular Hypertrophy,true,dsyn
C0013516,Echocardiogram,Echocardiography,true,diap
C2243117,Echocardiogram,Echocardiogram (image),false,inpr
C0302353,Serum Potassium,Serum potassium measurement,false,lbpr
C1532563,mmol/L,Millimole per Liter,false,qnco
C0543465,serum potassium,Serum Potassium result,false,lbtr
C0015663,FASTING,Fasting,true,fndg
C0439269,mg dl,mg/dL,false,qnco
C0010294,CREATININE,Creatinine,true,bacs;orch
C0439269,mg dl,mg/dL,false,qnco
C1561535,Creatinine,"Creatinine, CTCAE",false,fndg
C0008377,CHOLESTEROL,Cholesterol,true,bacs;orch
C0439269,mg dl,mg/dL,false,qnco
C0439269,mg dl,mg/dL,false,qnco
C3715113,HDL,HSD11B1 wt Allele,false,gngm
C0439269,mg dl,mg/dL,false,qnco
C0015663,FASTING,Fasting,true,fndg
C0041004,TRIGLYCERIDES,Triglycerides,true,bacs;orch
C0439269,mg dl,mg/dL,false,qnco
C0247025,TIROFIBAN,tirofiban,true,orch;phsu
C0288672,ABCIXIMAB,abciximab,true,aapp;imft;phsu
C0086582,MALE SEX,Males,true,orga
C0022718,KG,Kyrgyzstan,true,geoa
C0439209,kg,Kilogram,false,qnco
C4054209,/kg,Per Kilogram,false,qnco
C0337664,Smoker,Smoker,true,fndg
C0262926,Medical History,Medical History,false,fndg
C1704706,Medical History,Medical History Domain,false,inpr
C0010055,Coronary Artery Bypass Grafting,Coronary Artery Bypass Surgery,true,topp
C1532338,"Revascularization, Percutaneous Coronary",Percutaneous Coronary Intervention,true,topp
C0027051,"Infarction, Myocardial",Myocardial Infarction,true,dsyn
C0428953,MYOCARDIAL INFARCTION,Electrocardiogram: myocardial infarction (finding),false,lbtr
C2926063,Myocardial infarction,Myocardial infarction:Finding:Point in time:^Patient:Ordinal,false,clna
C3810814,Myocardial Infarction,Myocardial Infarction ECG Assessment,false,diap
C4552959,Myocardial infarction,"Myocardial Infarction, CTCAE",false,fndg
C0038454,CEREBROVASCULAR ACCIDENT,Cerebrovascular accident,true,dsyn
C0205225,Primary,Primary,false,qlco
C0449618,Target vessel,Target vessel,false,blor
C0439612,Primary,True primary (qualifier value),false,tmco
C0439631,Primary,Primary operation,false,topp
C0439394,l's,liter/second,false,qnco
C0226032,Anterior Descending Coronary Artery,Anterior descending branch of left coronary artery,false,bpoc
C1706495,L-,upper case letter ell,false,inpr
C3642217,/L,Per Liter,false,qnco
C0003842,ARTERY,Arteries,true,bpoc
C0226004,artery,Arterial system,false,bdsy
C0226037,Left circumflex artery,Structure of circumflex branch of left coronary artery,false,bpoc
C0185098,Bypass graft,Bypass graft,false,topp
C0005847,Vessel,Blood Vessel,true,bpoc
C0439828,Variable,Variable (uniformity),false,qlco
C4553760,Variable,Study Variable,false,inpr
C0030705,Patients,Patients,true,podg
C0288672,ABCIXIMAB,abciximab,true,aapp;imft;phsu
C0009253,Sex,Coitus,true,orgf
C0036864,Sex,Sex Behavior,true,bhvr
C0079399,sex,Gender,true,orga
C0804628,Sex,Gender:Type:Point in time:^Patient:Nominal,false,clna
C1314687,Sex,Sexual intercourse - finding,false,fndg
C1522384,SEX,sex,true,orga
C0086582,MALE,Males,true,orga
C1706180,Male,"Male Gender, Self Report",false,qlco
C1706428,MALE,Male Phenotype,false,qlco
C1706429,Male,"Male, Self-Reported",false,orga
C0086287,FEMALE,Females,true,orga
C0043210,female,Woman,true,popg
C1705497,Female,"Female, Self-Report",false,qlco
C1705498,FEMALE,Female Phenotype,false,qlco
C0070166,CLOPIDOGREL,clopidogrel,true,orch;phsu
C0184661,Procedure,Interventional procedure,true,topp
C2700391,Procedure,Procedure (set of actions),false,ftcn
C3274430,PROCEDURE,Physical Medical Procedure,false,hlca
C3539779,Procedure,CDISC SDTM Procedure Terminology,false,inpr
C0450429,Location,Location,false,spco
C1515974,Location,Anatomic Site,false,blor
C4284930,Location,Location of Pharyngeal Residue Following Swallowing,false,fndg
C4284931,Location,Location of Oral Residue Following Swallowing,false,fndg
C0041703,UNITED STATES,United States,true,geoa
C0392360,indication,Indication of (contextual qualifier),false,idcn
C3146298,Indication,Indication,false,idcn
C0948089,Acute Coronary Syndrome,Acute Coronary Syndrome,true,dsyn
C0683325,clinical characteristics,clinical aspects,false,clna
C0020473,"Hyperlipidaemia, NOS",Hyperlipidemia,true,dsyn
C0428465,Hyperlipidemia,Serum lipids high (finding),false,fndg
C4555212,Hyperlipidemia,"Hyperlipidemia, CTCAE",false,fndg
C0455527,History of - hypertension,H/O: hypertension,false,fndg
C0027051,"Infarction, Myocardial",Myocardial Infarction,true,dsyn
C0428953,MYOCARDIAL INFARCTION,Electrocardiogram: myocardial infarction (finding),false,lbtr
C2926063,Myocardial infarction,Myocardial infarction:Finding:Point in time:^Patient:Ordinal,false,clna
C3810814,Myocardial Infarction,Myocardial Infarction ECG Assessment,false,diap
C4552959,Myocardial infarction,"Myocardial Infarction, CTCAE",false,fndg
C0002965,"Angina, Unstable","Angina, Unstable",true,dsyn
C0340288,"Angina, Stable",Stable angina,true,dsyn
C0018801,"Failure, Heart",Heart failure,true,dsyn
C0018802,Heart Failure,Congestive heart failure,true,dsyn
C4554158,Heart failure,"Heart Failure, CTCAE",false,fndg
C0018802,CONGESTIVE HEART FAILURE,Congestive heart failure,true,dsyn
C0036980,CARDIOGENIC SHOCK,"Shock, Cardiogenic",true,patf
C0205435,First,First (number),false,qnco
C1279901,First,Firstly,false,qlco
C0034656,Randomization,Randomization,true,resa
C0184661,Intervention,Interventional procedure,true,topp
C0886296,intervention,Nursing interventions,false,hlca
C1273869,Intervention,Intervention regimes,false,hlca
C2936173,Percutaneous Transluminal Coronary Angioplasty,Percutaneous Transluminal Coronary Angioplasty,true,topp
C0332835,grafting,Transplanted tissue,true,tisu
C1527362,grafting,grafting qualifier,true,qlco
C1961139,Grafting,Grafting procedure,false,topp
C0150270,Drug administration,Medication Management,false,hlca
C0262754,Administration drug,drug management,false,hlca
C3469597,Drug administration,Administration of medication,false,topp
C1186706,Bolus,Bolus of ingested food,false,bdsu
C1511237,Bolus,bolus infusion,false,topp
C1705509,{Bolus},Bolus Dosing Unit,false,qnco
C3812160,Bolus,Radiotherapy Bolus,false,medd
C1186706,Bolus,Bolus of ingested food,false,bdsu
C1511237,Bolus,bolus infusion,false,topp
C1705509,{Bolus},Bolus Dosing Unit,false,qnco
C3812160,Bolus,Radiotherapy Bolus,false,medd
C0574032,Infusion,Infusion procedures,false,topp
C1827465,Infusion,Infusion route,false,ftcn
C1301808,Territory,Geographic state,false,geoa
C2983136,Territory,Territory,false,geoa
C0016327,F-,Fluorides,true,inch;phsu
C0205094,ANTERIOR,Anterior,false,spco
C0542339,INFERIOR,Inferior,false,spco
C0678975,inferior,inferiority,false,socb
C0021308,INFARCT,Infarction,true,patf
C0005847,Vessel,Blood Vessel,true,bpoc
C0439394,l's,liter/second,false,qnco
C0205094,ANTERIOR,Anterior,false,spco
C1706495,L-,upper case letter ell,false,inpr
C3642217,/L,Per Liter,false,qnco
C0205386,Descending,Descending,false,qlco
C1547177,Descending,Sequencing - Descending,false,ftcn
C0205090,R-,Right,false,spco
C0018787,coronary,Heart,true,bpoc
C0684010,R.,Rabbi,true,prog
C2603358,R',R prime,false,clna
C1880089,Circumflex,Circumflex,false,spco
C0181074,{Graft},Graft material,false,bodm
C0332835,GRAFT,Transplanted tissue,true,tisu
C1961139,"Graft, NOS",Grafting procedure,false,topp
C0753208,SR,Gamma synuclein,true,aapp;bacs
C1709991,SR,SNCG wt Allele,false,gngm
C3813610,SR,Skin Response Domain,false,inpr
C3890900,SR,Final Statistical Report,false,inpr
C3891546,SR,SR cell line,false,emod
C1510829,Age-Years,Age-Years,false,tmco
C0022718,KG,Kyrgyzstan,true,geoa
C0439209,kg,Kilogram,false,qnco
C4054209,/kg,Per Kilogram,false,qnco
C0455527,History of - hypertension,H/O: hypertension,false,fndg
C0019664,History,History,true,ocdi
C0019665,history,Historical aspects qualifier,true,ftcn
C0262512,"History, NOS",History of present illness,false,fndg
C0262926,History,Medical History,false,fndg
C1705255,History,Concept History,false,cnce
C2004062,History,History of previous events,false,fndg
C0019664,History,History,true,ocdi
C0019665,history,Historical aspects qualifier,true,ftcn
C0262512,"History, NOS",History of present illness,false,fndg
C0262926,History,Medical History,false,fndg
C1705255,History,Concept History,false,cnce
C2004062,History,History of previous events,false,fndg
C0019664,History,History,true,ocdi
C0019665,history,Historical aspects qualifier,true,ftcn
C0262512,"History, NOS",History of present illness,false,fndg
C0262926,History,Medical History,false,fndg
C1705255,History,Concept History,false,cnce
C2004062,History,History of previous events,false,fndg
C0027061,Myocardial,Myocardium,true,tisu
C1522564,Myocardial,Myocardial,false,spco
C0021308,Infarction,Infarction,true,patf
C0001779,AGE,Age,false,orga
C0037369,SMOKING,Smoking,true,inbe
C0453996,Smoking,Tobacco smoking behavior,true,inbe
C1881674,Smoking,Medical Device Emits Smoke,false,fndg
C2003901,NEVER,Never (frequency),false,tmco
C0001948,Alcohol intake,Alcohol consumption,true,inbe
C0522498,Rarely,Rare,false,qlco
C0332177,Monthly,Monthly (qualifier value),false,tmco
C0332174,Weekly,Weekly,false,tmco
C0332173,Daily,Daily,false,tmco
C0015259,Exercise,Exercise,true,dora
C0332174,Weekly,Weekly,false,tmco
C1522704,Exercise,Exercise Pain Management,false,topp
C0232970,post Menopausal,Postmenopausal state,false,fndg
C1524063,Use of,Use of,false,ftcn
C0282402,Hormone Replacement Therapy,Hormone replacement therapy,true,topp
C0034656,Randomized,Randomization,true,resa
C3815594,RANDOMIZED,Subject is Randomized,false,fndg
C0149931,MIGRAINE,Migraine Disorders,true,dsyn
C0034394,Questionnaire,Questionnaires,true,inpr
C0004057,ASA,Aspirin,true,orch;phsu
C3853627,ASA,"Arylsulfatase A, human",false,aapp;enzy
C0032042,Placebo,Placebos,true,topp
C1696465,PLACEBO,placebo,false,bodm
C1706408,PLACEBO,Placebo Control,false,resa
C0008107,CI,Chile,true,geoa
C3259781,CI,Coagulation Index Measurement,false,lbpr
C0034656,Randomized,Randomization,true,resa
C0043210,Women,Woman,true,popg
C3815594,RANDOMIZED,Subject is Randomized,false,fndg
C0458083,Hormonal,Hormonal,false,qlco
C0449438,Status,Status,false,qlco
C0332152,Pre,Before,false,tmco
C0025320,Menopausal,Menopause,true,phsf
C0740175,Pre,Before values,false,qlco
C2257086,PRE,photoreactivating enzyme activity,false,genf
C3669034,PRE,Pure Spanish horse breed (organism),false,mamm
C0032042,Placebo,Placebos,true,topp
C1696465,PLACEBO,placebo,false,bodm
C1706408,PLACEBO,Placebo Control,false,resa
C0332152,Pre,Before,false,tmco
C0025320,Menopausal,Menopause,true,phsf
C0740175,Pre,Before values,false,qlco
C2257086,PRE,photoreactivating enzyme activity,false,genf
C3669034,PRE,Pure Spanish horse breed (organism),false,mamm
C0019930,Postmenopausal hormone replacement,Postmenopausal Hormone Replacement Therapy,true,topp
C0032042,Placebo,Placebos,true,topp
C1696465,PLACEBO,placebo,false,bodm
C1706408,PLACEBO,Placebo Control,false,resa
C0019930,Postmenopausal hormone replacement,Postmenopausal Hormone Replacement Therapy,true,topp
C0001779,AGE,Age,false,orga
C0012265,DIGOXIN,Digoxin,true,orch;phsu
C0369718,N NOS,N not otherwise specified Antibody,false,aapp;imft
C0441922,N+,N+ (tumor staging),false,inpr
C0332152,Prior,Before,false,tmco
C3810814,MI,Myocardial Infarction ECG Assessment,false,diap
C2826257,PRIOR,Prior Medication Usage,false,evnt
C0015127,etiology,Etiology aspects,true,ftcn
C1314792,Etiology,Etiology,true,ftcn
C1524003,Etiology,Science of Etiology,false,cnce
C0475224,Ischemic,Ischemic,false,ftcn
C0444504,Mean,Statistical mean,false,qnco
C2347634,Mean,Population Mean,false,qnco
C2348143,Mean,Sample Mean,false,qnco
C0488053,BP mean,Intravascular mean:Pressure:Point in time:Arterial system:Quantitative,false,clna
C1882083,NYHA Class,New York Heart Association Class,false,fndg
C1332112,TTF,RHOH gene,false,gngm
C1705840,TTF,RHOH wt Allele,false,gngm
C4087167,TTF,Tumour treating fields therapy,false,topp
C0456603,RATIO,Ratio,false,qnco
C1547037,Ratio,data type - ratio,false,inpr
C0444504,Mean,Statistical mean,false,qnco
C2347634,Mean,Population Mean,false,qnco
C2348143,Mean,Sample Mean,false,qnco
C0013227,Medications,Pharmaceutical Preparations,true,phsu
C0802604,Medications,Medications:Presence or Identity:Duration of the study:^Patient:Nominal,false,clna
C2598133,Medications,Medications:-:Point in time:^Patient:-,false,clna
C4284232,Medications,Medications,false,inpr
C0012798,DIURETICS,Diuretics,true,phsu
C0038257,Stent,"Stent, device",true,medd
C0441848,Group N,Group N,false,inpr
C0032143,ALTEPLASE,alteplase,true,aapp;enzy;phsu
C0441848,Group N,Group N,false,inpr
C0011298,Demography,Demography,true,ocdi
C0549183,Median,Midline (qualifier value),false,spco
C1510829,Age-Years,Age-Years,false,tmco
C0876920,Median,Median Statistical Measurement,false,qnco
C2347635,Median,Population Median,false,qnco
C2348144,Median,Sample Median,false,qnco
C2939193,Median,Median (qualifier value),false,spco
C0016327,F-,Fluorides,true,inch;phsu
C0019664,History,History,true,ocdi
C0019665,history,Historical aspects qualifier,true,ftcn
C0262512,"History, NOS",History of present illness,false,fndg
C0262926,History,Medical History,false,fndg
C1705255,History,Concept History,false,cnce
C2004062,History,History of previous events,false,fndg
C1514756,RECEIVING,Receive,false,qlco
C0021641,INSULIN,Insulin,true,aapp;horm;phsu
C0039798,therapy,therapeutic aspects,true,ftcn
C0087111,Therapy,Therapeutic procedure,true,topp
C1363945,Therapy,Therapy Object (animal model),false,fndg
C1533581,INSULIN,Recombinant Insulin,false,aapp;horm;phsu
C1579433,Insulin,Insulin [EPC],false,phsu
