"";"docid_page";"row";"col";"value";"characteristic_level";"characteristic_name";"characteristic_name_";"characteristic_level_";"arms"
"36";"11527638_1";12;7;"78";"Nonischemic";"Heart rate, min_1 (mean)";"Age";"60-69";"Placebo"
"37";"11527638_1";12;8;"77";"Nonischemic";"Heart rate, min_1 (mean)";"Age";"70-79";"Digoxin"
"38";"11527638_1";12;9;"78";"Nonischemic";"Heart rate, min_1 (mean)";"Age";"70-79";"Placebo"
"39";"11527638_1";12;10;"78";"Nonischemic";"Heart rate, min_1 (mean)";"Age";">80";"Digoxin"
"40";"11527638_1";12;11;"78";"Nonischemic";"Heart rate, min_1 (mean)";"Age";">80";"Placebo"
"41";"11527638_1";13;2;"121";"Nonischemic";"Systolic BP, mm Hg (mean) NYHA class";"Age";"<50";"Digoxin"
"42";"11527638_1";13;3;"122";"Nonischemic";"Systolic BP, mm Hg (mean) NYHA class";"Age";"<50";"Placebo"
"43";"11527638_1";13;4;"121";"Nonischemic";"Systolic BP, mm Hg (mean) NYHA class";"Age";"50-59";"Digoxin"
"44";"11527638_1";13;5;"122";"Nonischemic";"Systolic BP, mm Hg (mean) NYHA class";"Age";"50-59";"Placebo"
"45";"11527638_1";13;6;"128";"Nonischemic";"Systolic BP, mm Hg (mean) NYHA class";"Age";"60-69";"Digoxin"
"46";"11527638_1";13;7;"128";"Nonischemic";"Systolic BP, mm Hg (mean) NYHA class";"Age";"60-69";"Placebo"
"47";"11527638_1";13;8;"131";"Nonischemic";"Systolic BP, mm Hg (mean) NYHA class";"Age";"70-79";"Digoxin"
"48";"11527638_1";13;9;"130";"Nonischemic";"Systolic BP, mm Hg (mean) NYHA class";"Age";"70-79";"Placebo"
"49";"11527638_1";13;10;"132";"Nonischemic";"Systolic BP, mm Hg (mean) NYHA class";"Age";">80";"Digoxin"
"50";"11527638_1";13;11;"130";"Nonischemic";"Systolic BP, mm Hg (mean) NYHA class";"Age";">80";"Placebo"
"51";"11527638_1";14;2;"75%";"■(-(■(";"Systolic BP, mm Hg (mean) NYHA class";"Age";"<50";"Digoxin"
"52";"11527638_1";14;3;"75%";"■(-(■(";"Systolic BP, mm Hg (mean) NYHA class";"Age";"<50";"Placebo"
"53";"11527638_1";14;4;"72%";"■(-(■(";"Systolic BP, mm Hg (mean) NYHA class";"Age";"50-59";"Digoxin"
"54";"11527638_1";14;5;"72%";"■(-(■(";"Systolic BP, mm Hg (mean) NYHA class";"Age";"50-59";"Placebo"
"55";"11527638_1";14;6;"69%";"■(-(■(";"Systolic BP, mm Hg (mean) NYHA class";"Age";"60-69";"Digoxin"
"56";"11527638_1";14;7;"69%";"■(-(■(";"Systolic BP, mm Hg (mean) NYHA class";"Age";"60-69";"Placebo"
"57";"11527638_1";14;8;"65%";"■(-(■(";"Systolic BP, mm Hg (mean) NYHA class";"Age";"70-79";"Digoxin"
"58";"11527638_1";14;9;"66%";"■(-(■(";"Systolic BP, mm Hg (mean) NYHA class";"Age";"70-79";"Placebo"
"59";"11527638_1";14;10;"57%";"■(-(■(";"Systolic BP, mm Hg (mean) NYHA class";"Age";">80";"Digoxin"
"60";"11527638_1";14;11;"55%";"■(-(■(";"Systolic BP, mm Hg (mean) NYHA class";"Age";">80";"Placebo"
"61";"11527638_1";15;2;"25%";"TTf-fV";"Systolic BP, mm Hg (mean) NYHA class";"Age";"<50";"Digoxin"
"62";"11527638_1";15;3;"25%";"TTf-fV";"Systolic BP, mm Hg (mean) NYHA class";"Age";"<50";"Placebo"
"63";"11527638_1";15;4;"28%";"TTf-fV";"Systolic BP, mm Hg (mean) NYHA class";"Age";"50-59";"Digoxin"
"64";"11527638_1";15;5;"28%";"TTf-fV";"Systolic BP, mm Hg (mean) NYHA class";"Age";"50-59";"Placebo"
"65";"11527638_1";15;6;"31%";"TTf-fV";"Systolic BP, mm Hg (mean) NYHA class";"Age";"60-69";"Digoxin"
"66";"11527638_1";15;7;"31%";"TTf-fV";"Systolic BP, mm Hg (mean) NYHA class";"Age";"60-69";"Placebo"
"67";"11527638_1";15;8;"35%";"TTf-fV";"Systolic BP, mm Hg (mean) NYHA class";"Age";"70-79";"Digoxin"
"68";"11527638_1";15;9;"34%";"TTf-fV";"Systolic BP, mm Hg (mean) NYHA class";"Age";"70-79";"Placebo"
"69";"11527638_1";15;10;"43%";"TTf-fV";"Systolic BP, mm Hg (mean) NYHA class";"Age";">80";"Digoxin"
"70";"11527638_1";15;11;"45%";"TTf-fV";"Systolic BP, mm Hg (mean) NYHA class";"Age";">80";"Placebo"
"71";"11527638_1";16;2;"33%";"TTf-fV";"CT ratio > 0.55";"Age";"<50";"Digoxin"
"72";"11527638_1";16;3;"31%";"TTf-fV";"CT ratio > 0.55";"Age";"<50";"Placebo"
"73";"11527638_1";16;4;"31%";"TTf-fV";"CT ratio > 0.55";"Age";"50-59";"Digoxin"
"74";"11527638_1";16;5;"29%";"TTf-fV";"CT ratio > 0.55";"Age";"50-59";"Placebo"
"75";"11527638_1";16;6;"31%";"TTf-fV";"CT ratio > 0.55";"Age";"60-69";"Digoxin"
"76";"11527638_1";16;7;"32%";"TTf-fV";"CT ratio > 0.55";"Age";"60-69";"Placebo"
"77";"11527638_1";16;8;"36%";"TTf-fV";"CT ratio > 0.55";"Age";"70-79";"Digoxin"
"78";"11527638_1";16;9;"37%";"TTf-fV";"CT ratio > 0.55";"Age";"70-79";"Placebo"
"79";"11527638_1";16;10;"49%";"TTf-fV";"CT ratio > 0.55";"Age";">80";"Digoxin"
"80";"11527638_1";16;11;"49%";"TTf-fV";"CT ratio > 0.55";"Age";">80";"Placebo"
"81";"11527638_1";17;2;"30.5%";"TTf-fV";"Ejection fraction (mean)";"Age";"<50";"Digoxin"
"82";"11527638_1";17;3;"29.4%";"TTf-fV";"Ejection fraction (mean)";"Age";"<50";"Placebo"
"83";"11527638_1";17;4;"30.5%";"TTf-fV";"Ejection fraction (mean)";"Age";"50-59";"Digoxin"
"84";"11527638_1";17;5;"29.4%";"TTf-fV";"Ejection fraction (mean)";"Age";"50-59";"Placebo"
"85";"11527638_1";17;6;"31.8%";"TTf-fV";"Ejection fraction (mean)";"Age";"60-69";"Digoxin"
"86";"11527638_1";17;7;"31.8%";"TTf-fV";"Ejection fraction (mean)";"Age";"60-69";"Placebo"
"87";"11527638_1";17;8;"33.1%";"TTf-fV";"Ejection fraction (mean)";"Age";"70-79";"Digoxin"
"88";"11527638_1";17;9;"33.6%";"TTf-fV";"Ejection fraction (mean)";"Age";"70-79";"Placebo"
"89";"11527638_1";17;10;"36.6%";"TTf-fV";"Ejection fraction (mean)";"Age";">80";"Digoxin"
"90";"11527638_1";17;11;"33.8%";"TTf-fV";"Ejection fraction (mean)";"Age";">80";"Placebo"
"91";"11527638_1";18;2;"4%";"TTf-fV";"Creatinine 1.7 mg/dl Medications";"Age";"<50";"Digoxin"
"92";"11527638_1";18;3;"6%";"TTf-fV";"Creatinine 1.7 mg/dl Medications";"Age";"<50";"Placebo"
"93";"11527638_1";18;4;"6%";"TTf-fV";"Creatinine 1.7 mg/dl Medications";"Age";"50-59";"Digoxin"
"94";"11527638_1";18;5;"5%";"TTf-fV";"Creatinine 1.7 mg/dl Medications";"Age";"50-59";"Placebo"
"95";"11527638_1";18;6;"13%";"TTf-fV";"Creatinine 1.7 mg/dl Medications";"Age";"60-69";"Digoxin"
"96";"11527638_1";18;7;"12%";"TTf-fV";"Creatinine 1.7 mg/dl Medications";"Age";"60-69";"Placebo"
"97";"11527638_1";18;8;"20%";"TTf-fV";"Creatinine 1.7 mg/dl Medications";"Age";"70-79";"Digoxin"
"98";"11527638_1";18;9;"20%";"TTf-fV";"Creatinine 1.7 mg/dl Medications";"Age";"70-79";"Placebo"
"99";"11527638_1";18;10;"25%";"TTf-fV";"Creatinine 1.7 mg/dl Medications";"Age";">80";"Digoxin"
"100";"11527638_1";18;11;"33%";"TTf-fV";"Creatinine 1.7 mg/dl Medications";"Age";">80";"Placebo"
"101";"11527638_1";19;2;"77%";"Diuretics";"Creatinine 1.7 mg/dl Medications";"Age";"<50";"Digoxin"
"102";"11527638_1";19;3;"75%";"Diuretics";"Creatinine 1.7 mg/dl Medications";"Age";"<50";"Placebo"
"103";"11527638_1";19;4;"79%";"Diuretics";"Creatinine 1.7 mg/dl Medications";"Age";"50-59";"Digoxin"
"104";"11527638_1";19;5;"78%";"Diuretics";"Creatinine 1.7 mg/dl Medications";"Age";"50-59";"Placebo"
"105";"11527638_1";19;6;"79%";"Diuretics";"Creatinine 1.7 mg/dl Medications";"Age";"60-69";"Digoxin"
"106";"11527638_1";19;7;"82%";"Diuretics";"Creatinine 1.7 mg/dl Medications";"Age";"60-69";"Placebo"
"107";"11527638_1";19;8;"85%";"Diuretics";"Creatinine 1.7 mg/dl Medications";"Age";"70-79";"Digoxin"
"108";"11527638_1";19;9;"86%";"Diuretics";"Creatinine 1.7 mg/dl Medications";"Age";"70-79";"Placebo"
"109";"11527638_1";19;10;"89%";"Diuretics";"Creatinine 1.7 mg/dl Medications";"Age";">80";"Digoxin"
"110";"11527638_1";19;11;"92%";"Diuretics";"Creatinine 1.7 mg/dl Medications";"Age";">80";"Placebo"
"111";"11527638_1";20;2;"94%";"ACE inhibitors";"Creatinine 1.7 mg/dl Medications";"Age";"<50";"Digoxin"
"112";"11527638_1";20;3;"96%";"ACE inhibitors";"Creatinine 1.7 mg/dl Medications";"Age";"<50";"Placebo"
"113";"11527638_1";20;4;"92%";"ACE inhibitors";"Creatinine 1.7 mg/dl Medications";"Age";"50-59";"Digoxin"
"114";"11527638_1";20;5;"96%";"ACE inhibitors";"Creatinine 1.7 mg/dl Medications";"Age";"50-59";"Placebo"
"115";"11527638_1";20;6;"93%";"ACE inhibitors";"Creatinine 1.7 mg/dl Medications";"Age";"60-69";"Digoxin"
"116";"11527638_1";20;7;"94%";"ACE inhibitors";"Creatinine 1.7 mg/dl Medications";"Age";"60-69";"Placebo"
"117";"11527638_1";20;8;"94%";"ACE inhibitors";"Creatinine 1.7 mg/dl Medications";"Age";"70-79";"Digoxin"
"118";"11527638_1";20;9;"92%";"ACE inhibitors";"Creatinine 1.7 mg/dl Medications";"Age";"70-79";"Placebo"
"119";"11527638_1";20;10;"93%";"ACE inhibitors";"Creatinine 1.7 mg/dl Medications";"Age";">80";"Digoxin"
"120";"11527638_1";20;11;"91%";"ACE inhibitors";"Creatinine 1.7 mg/dl Medications";"Age";">80";"Placebo"
"121";"11527638_1";4;2;"437";NA;"n";"Age";"<50";"Digoxin"
"122";"11527638_1";4;3;"404";NA;"n";"Age";"<50";"Placebo"
"123";"11527638_1";4;4;"748";NA;"n";"Age";"50-59";"Digoxin"
"124";"11527638_1";4;5;"797";NA;"n";"Age";"50-59";"Placebo"
"125";"11527638_1";4;6;"1,465";NA;"n";"Age";"60-69";"Digoxin"
"126";"11527638_1";4;7;"1,420";NA;"n";"Age";"60-69";"Placebo"
"127";"11527638_1";4;8;"1,013";NA;"n";"Age";"70-79";"Digoxin"
"128";"11527638_1";4;9;"1,079";NA;"n";"Age";"70-79";"Placebo"
"129";"11527638_1";4;10;"226";NA;"n";"Age";">80";"Digoxin"
"130";"11527638_1";4;11;"199";NA;"n";"Age";">80";"Placebo"
"131";"11527638_1";5;2;"75%";NA;"Male";"Age";"<50";"Digoxin"
"132";"11527638_1";5;3;"77%";NA;"Male";"Age";"<50";"Placebo"
"133";"11527638_1";5;4;"79%";NA;"Male";"Age";"50-59";"Digoxin"
"134";"11527638_1";5;5;"77%";NA;"Male";"Age";"50-59";"Placebo"
"135";"11527638_1";5;6;"79%";NA;"Male";"Age";"60-69";"Digoxin"
"136";"11527638_1";5;7;"80%";NA;"Male";"Age";"60-69";"Placebo"
"137";"11527638_1";5;8;"71%";NA;"Male";"Age";"70-79";"Digoxin"
"138";"11527638_1";5;9;"71%";NA;"Male";"Age";"70-79";"Placebo"
"139";"11527638_1";5;10;"57%";NA;"Male";"Age";">80";"Digoxin"
"140";"11527638_1";5;11;"57%";NA;"Male";"Age";">80";"Placebo"
"141";"11527638_1";6;2;"26%";NA;"Nonwhite";"Age";"<50";"Digoxin"
"142";"11527638_1";6;3;"28%";NA;"Nonwhite";"Age";"<50";"Placebo"
"143";"11527638_1";6;4;"16%";NA;"Nonwhite";"Age";"50-59";"Digoxin"
"144";"11527638_1";6;5;"17%";NA;"Nonwhite";"Age";"50-59";"Placebo"
"145";"11527638_1";6;6;"13%";NA;"Nonwhite";"Age";"60-69";"Digoxin"
"146";"11527638_1";6;7;"13%";NA;"Nonwhite";"Age";"60-69";"Placebo"
"147";"11527638_1";6;8;"10%";NA;"Nonwhite";"Age";"70-79";"Digoxin"
"148";"11527638_1";6;9;"10%";NA;"Nonwhite";"Age";"70-79";"Placebo"
"149";"11527638_1";6;10;"12%";NA;"Nonwhite";"Age";">80";"Digoxin"
"150";"11527638_1";6;11;"13%";NA;"Nonwhite";"Age";">80";"Placebo"
"151";"11527638_1";7;2;"45%";NA;"Prior MI";"Age";"<50";"Digoxin"
"152";"11527638_1";7;3;"50%";NA;"Prior MI";"Age";"<50";"Placebo"
"153";"11527638_1";7;4;"64%";NA;"Prior MI";"Age";"50-59";"Digoxin"
"154";"11527638_1";7;5;"63%";NA;"Prior MI";"Age";"50-59";"Placebo"
"155";"11527638_1";7;6;"67%";NA;"Prior MI";"Age";"60-69";"Digoxin"
"156";"11527638_1";7;7;"67%";NA;"Prior MI";"Age";"60-69";"Placebo"
"157";"11527638_1";7;8;"66%";NA;"Prior MI";"Age";"70-79";"Digoxin"
"158";"11527638_1";7;9;"64%";NA;"Prior MI";"Age";"70-79";"Placebo"
"159";"11527638_1";7;10;"56%";NA;"Prior MI";"Age";">80";"Digoxin"
"160";"11527638_1";7;11;"59%";NA;"Prior MI";"Age";">80";"Placebo"
"161";"11527638_1";8;2;"43%";NA;"Hypertension";"Age";"<50";"Digoxin"
"162";"11527638_1";8;3;"44%";NA;"Hypertension";"Age";"<50";"Placebo"
"163";"11527638_1";8;4;"43%";NA;"Hypertension";"Age";"50-59";"Digoxin"
"164";"11527638_1";8;5;"45%";NA;"Hypertension";"Age";"50-59";"Placebo"
"165";"11527638_1";8;6;"48%";NA;"Hypertension";"Age";"60-69";"Digoxin"
"166";"11527638_1";8;7;"47%";NA;"Hypertension";"Age";"60-69";"Placebo"
"167";"11527638_1";8;8;"50%";NA;"Hypertension";"Age";"70-79";"Digoxin"
"168";"11527638_1";8;9;"51%";NA;"Hypertension";"Age";"70-79";"Placebo"
"169";"11527638_1";8;10;"48%";NA;"Hypertension";"Age";">80";"Digoxin"
"170";"11527638_1";8;11;"49%";NA;"Hypertension";"Age";">80";"Placebo"
