cn;concept;cuis;isdefault;cn_override;cleaned
 -10;> $nmbr$ - $nmbr$;NA;NA;NA;$nmbr$ $nmbr$
 -10;y $nmbr$;NA;NA;NA;y $nmbr$
 -10;> = $nmbr$;NA;NA;NA;$nmbr$
 -10;< $nmbr$ . $nmbr$;NA;NA;NA;$nmbr$ $nmbr$
 -10;b;NA;NA;NA;b
 -10;x / n *;NA;NA;NA;x n
 -10;> $nmbr$ . $nmbr$;NA;NA;NA;$nmbr$ $nmbr$
 -10;$nmbr$ . $nmbr$ %;NA;NA;NA;$nmbr$ $nmbr$
 -10;> $nmbr$ . $nmbr$ %;NA;NA;NA;$nmbr$ $nmbr$
 -10;> = $nmbr$ y;NA;NA;NA;$nmbr$ y
 -10;> $nmbr$ - < $nmbr$;NA;NA;NA;$nmbr$ $nmbr$
 -10;$nmbr$ - < $nmbr$ ( % );NA;NA;NA;$nmbr$ $nmbr$
 -10;£ $nmbr$ %;NA;NA;NA;$nmbr$
 -10;c;NA;NA;NA;c
 -10;≥ $nmbr$;NA;NA;NA;$nmbr$
 -10;%;NA;NA;NA;
 -10;> $nmbr$ y ( n = $nmbr$ );NA;NA;NA;$nmbr$ y n $nmbr$
 -10;$nmbr$ — < $nmbr$;NA;NA;NA;$nmbr$ $nmbr$
 -10;> = $nmbr$ . $nmbr$;NA;NA;NA;$nmbr$ $nmbr$
 -10;$ $nmbr$ %;NA;NA;NA;$ $nmbr$
 -10;e;NA;NA;NA;e
 -10;$nmbr$ y;NA;NA;NA;$nmbr$ y
 -10;< $nmbr$ y;NA;NA;NA;$nmbr$ y
 -10;m / f;C1306057;NA;NA;m f
 -10;$nmbr$ - $nmbr$;NA;NA;NA;$nmbr$ $nmbr$
 -10;\ $nmbr$;NA;NA;NA;\ $nmbr$
 -10;$nmbr$ e $nmbr$;NA;NA;NA;$nmbr$ e $nmbr$
 -10;> $nmbr$ < $nmbr$;NA;NA;NA;$nmbr$ $nmbr$
 -10;» $nmbr$ y;NA;NA;NA;$nmbr$ y
 -10;$nmbr$ . $nmbr$;NA;NA;NA;$nmbr$ $nmbr$
 -10;< $nmbr$ - $nmbr$;NA;NA;NA;$nmbr$ $nmbr$
 -10;$nmbr$ - < $nmbr$ y;NA;NA;NA;$nmbr$ $nmbr$ y
 -10;< $nmbr$ %;NA;NA;NA;$nmbr$
 -10;« $nmbr$ - $nmbr$;NA;NA;NA;$nmbr$ $nmbr$
 -10;= $nmbr$;NA;NA;NA;$nmbr$
 -10;v ( n = $nmbr$ );NA;NA;NA;v n $nmbr$
 -10;$nmbr$ ( $nmbr$ % );NA;NA;NA;$nmbr$ $nmbr$
 -10;< $nmbr$ y ( n = $nmbr$ );NA;NA;NA;$nmbr$ y n $nmbr$
 -10;$nmbr$ / $nmbr$;NA;NA;NA;$nmbr$ $nmbr$
 -10;$nmbr$ ( < $nmbr$ % );NA;NA;NA;$nmbr$ $nmbr$
 -10;$nmbr$ §;NA;NA;NA;$nmbr$
 -10;$nmbr$ - < $nmbr$;NA;NA;NA;$nmbr$ $nmbr$
 -10;> $nmbr$;NA;NA;NA;$nmbr$
 -10;w;NA;NA;NA;w
 -10;. $nmbr$;NA;NA;NA;$nmbr$
 -10;a $nmbr$;NA;NA;NA;a $nmbr$
 -10;$ $nmbr$;NA;NA;NA;$ $nmbr$
 -10;$nmbr$ - < $nmbr$ %;NA;NA;NA;$nmbr$ $nmbr$
 -10;a $nmbr$ c;NA;NA;NA;a $nmbr$ c
 -10;≤ $nmbr$ . $nmbr$ %;NA;NA;NA;$nmbr$ $nmbr$
 -10;$nmbr$ < - $nmbr$;NA;NA;NA;$nmbr$ $nmbr$
 -10;> $nmbr$ y;NA;NA;NA;$nmbr$ y
 -10;≥ $nmbr$ %;NA;NA;NA;$nmbr$
 -10;^ $nmbr$ - $nmbr$;NA;NA;NA;$nmbr$ $nmbr$
 -10;$nmbr$ % - $nmbr$ %;NA;NA;NA;$nmbr$ $nmbr$
 -10;< $nmbr$ . $nmbr$ %;NA;NA;NA;$nmbr$ $nmbr$
 -10;\ $nmbr$ %;NA;NA;NA;\ $nmbr$
 -10;≤ $nmbr$ %;NA;NA;NA;$nmbr$
 -10;$nmbr$;NA;NA;NA;$nmbr$
 -10;> $nmbr$ $nmbr$;NA;NA;NA;$nmbr$ $nmbr$
 -10;x / n;NA;NA;NA;x n
 -10;$nmbr$ +;NA;NA;NA;$nmbr$
 -10;< $nmbr$ » < $nmbr$ y;NA;NA;NA;$nmbr$ $nmbr$ y
 -10;$nmbr$ % $nmbr$;NA;NA;NA;$nmbr$ $nmbr$
 -10;< $nmbr$;NA;NA;NA;$nmbr$
 -10;> $nmbr$ %;NA;NA;NA;$nmbr$
 -10;$nmbr$ $nmbr$;NA;NA;NA;$nmbr$ $nmbr$
 -10;> $nmbr$ % $nmbr$;NA;NA;NA;$nmbr$ $nmbr$
 -10;$nmbr$ ( > $nmbr$ % );NA;NA;NA;$nmbr$ $nmbr$
 -10;≤ $nmbr$;NA;NA;NA;$nmbr$
 -10;% $nmbr$ - $nmbr$;NA;NA;NA;$nmbr$ $nmbr$
 -10;之 $nmbr$;NA;NA;NA;$nmbr$
 -10;$nmbr$ . $nmbr$ - < $nmbr$;NA;NA;NA;$nmbr$ $nmbr$ $nmbr$
 -10;$nmbr$ % c . i .;C1547546;NA;NA;$nmbr$ c i
 -10;= $nmbr$ ’ );NA;NA;NA;$nmbr$
 -10;£ $nmbr$ . $nmbr$ % * *;NA;NA;NA;$nmbr$ $nmbr$
 -10;a a ( $nmbr$ ( % );NA;NA;NA;a a $nmbr$
 -10;$nmbr$ e < $nmbr$ %  n ( % );NA;NA;NA;$nmbr$ e $nmbr$ n
 -10;$nmbr$ / $nmbr$  $nmbr$ ( $nmbr$ . $nmbr$ );NA;NA;NA;$nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$
 -10;$nmbr$ . $nmbr$ ( $nmbr$ $nmbr$ . $nmbr$ );NA;NA;NA;$nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$
 -10;e $nmbr$ + a $nmbr$ -;NA;NA;NA;e $nmbr$ a $nmbr$
 -10;$nmbr$  $nmbr$ / $nmbr$  $nmbr$ ( $nmbr$ . $nmbr$ );NA;NA;NA;$nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$
 -10;( % ) $nmbr$ - $nmbr$;NA;NA;NA;$nmbr$ $nmbr$
1834;r $nmbr$ + ezio ( n = $nmbr$ );C0687673;NA;NA;r $nmbr$ ezio n $nmbr$
1834;r $nmbr$ ( n = $nmbr$ );C0687673;NA;NA;r $nmbr$ n $nmbr$
1833;d / mi / idr / st;"C0036056;C0073187;C0332173;C3272372;C3810814;C4484261";NA;NA;d mi idr st
1833;d / mi / idfvst;"C0073187;C0332173;C3810814;C4484261";NA;NA;d mi idfvst
1833;d $nmbr$ % ( n / n );"C0073187;C0332173;C4484261";NA;NA;d $nmbr$ n n
1833;d;"C0073187;C0332173;C4484261";NA;NA;d
1833;$nmbr$ or $nmbr$ d / wk;"C0073187;C0332173;C0332174;C0439230;C4484261";NA;NA;$nmbr$ or $nmbr$ d wk
1832;ze + statin;C0360714;NA;NA;ze statin
1832;[ zi = $nmbr$ ] $nmbr$ ( $nmbr$ . $nmbr$ );C0043476;NA;NA;zi $nmbr$ $nmbr$ $nmbr$ $nmbr$
1832;$nmbr$ ( $nmbr$ . $nmbr$ ) / $nmbr$ z ( $nmbr$ ze );NA;NA;NA;$nmbr$ $nmbr$ $nmbr$ $nmbr$ z $nmbr$ ze
1831;feno + eze;NA;NA;NA;feno eze
1831;feno $nmbr$ mg / eze $nmbr$ mg ( n = $nmbr$ );C1319635;NA;NA;feno $nmbr$ mg eze $nmbr$ mg n $nmbr$
1828;esrd or $nmbr$ % dedine in gfr;"C0017654;C0022661;C0035078;C1424601;C2316810";NA;NA;esrd or $nmbr$ dedine in gfr
1828;esrd or $nmbr$ % decline in gfr;"C0017654;C0022661;C0035078;C1424601;C2316810";NA;NA;esrd or $nmbr$ decline in gfr
1826;l / c;"C0439394;C1706495;C3642217";FALSE; -10;l c
1826;l;"C0439394;C1706495;C3642217";FALSE; -10;l
1826;l $nmbr$ - $nmbr$ vs l $nmbr$ - $nmbr$ - $nmbr$;"C0439394;C1706495;C3642217";FALSE; -10;l $nmbr$ $nmbr$ vs l $nmbr$ $nmbr$ $nmbr$
1826;l $nmbr$ - $nmbr$ vs placebo;"C0032042;C0439394;C1696465;C1706408;C1706495;C3642217";FALSE; -10;l $nmbr$ $nmbr$ vs placebo
1826;( l ) t;"C0439394;C1706495;C3642217";FALSE; -10;l t
1826;l vs . c;"C0439394;C1706495;C3642217";FALSE; -10;l vs c
1827;l ( < l );C3539687;FALSE; -10;l l
1827;l . l ± $nmbr$ . $nmbr$;C3539687;FALSE; -10;l l $nmbr$ $nmbr$
1827;$nmbr$ l ( l $nmbr$ );C3539687;FALSE; -10;$nmbr$ l l $nmbr$
1827;$nmbr$ . l ( $nmbr$ l . $nmbr$ );C3539687;FALSE; -10;$nmbr$ l $nmbr$ l $nmbr$
1827;$nmbr$ l . $nmbr$ ( l $nmbr$ . $nmbr$ );C3539687;FALSE; -10;$nmbr$ l $nmbr$ l $nmbr$ $nmbr$
1827;$nmbr$ l . $nmbr$ ( l $nmbr$ . $nmbr$ l );C3539687;FALSE; -10;$nmbr$ l $nmbr$ l $nmbr$ $nmbr$ l
1827;< $nmbr$ . $nmbr$ l - g / l;"C0439267;C3539687";FALSE; -10;$nmbr$ $nmbr$ l g l
1827;$nmbr$ . $nmbr$ ± l . l;C3539687;FALSE; -10;$nmbr$ $nmbr$ l l
1827;$nmbr$ . $nmbr$ ( $nmbr$ l . l );C3539687;FALSE; -10;$nmbr$ $nmbr$ $nmbr$ l l
1827;$nmbr$ . $nmbr$ ( $nmbr$ . $nmbr$ - l . l );C3539687;FALSE; -10;$nmbr$ $nmbr$ $nmbr$ $nmbr$ l l
1828;gfr as assessed by mdrd;"C0017654;C1424601;C1516048;C3839656";FALSE; 592;gfr as assessed by mdrd
1828;gfr $nmbr$ $nmbr$;"C0017654;C1424601";FALSE; 592;gfr $nmbr$ $nmbr$
1828;gmr;"C1522544;C1704695";FALSE; 592;gmr
1828;gfr > $nmbr$;"C0017654;C1424601";FALSE; 592;gfr $nmbr$
1828;gfr < $nmbr$;"C0017654;C1424601";FALSE; 592;gfr $nmbr$
1828;estimated gfr — no . ( % ) $nmbr$;"C0017654;C0750572;C1424601";FALSE; 592;estimated gfr no $nmbr$
1828;estimated gfr — no . ( % ) ^ |;"C0017654;C0750572;C1424601";FALSE; 592;estimated gfr no
1828;estimated gfr < $nmbr$ ml / min / $nmbr$ . $nmbr$ m ^ — no . ( % );"C0017654;C0369637;C0439445;C0441923;C0750572;C1424601";FALSE; 592;estimated gfr $nmbr$ ml min $nmbr$ $nmbr$ m no
1828;estimated gfr < $nmbr$ ml / min / $nmbr$ . $nmbr$ m $nmbr$  no . ( % );"C0017654;C0369637;C0439445;C0441923;C0750572;C1424601";FALSE; 592;estimated gfr $nmbr$ ml min $nmbr$ $nmbr$ m $nmbr$ no
1829;hazard ratio glp - $nmbr$ analogue vs placebo [ $nmbr$ % cl ];"C0018301;C0032042;C0243071;C0596019;C1422069;C1425391;C1539338;C1696465;C1706408;C2350813;C2985465";FALSE;1861;hazard ratio glp $nmbr$ analogue vs placebo $nmbr$ cl
1829;glp - $nmbr$ receptor agonist;"C0018301;C1422069;C1425391;C1539338;C2350813;C4543206";FALSE;1153;glp $nmbr$ receptor agonist
1829;glp - $nmbr$ analogue;"C0018301;C0243071;C1422069;C1425391;C1539338;C2350813";FALSE;1153;glp $nmbr$ analogue
1829;glp - $nmbr$ receptor agonist ( other than study drug );"C0013175;C0018301;C1422069;C1425391;C1539338;C2350813;C4543206";FALSE;1153;glp $nmbr$ receptor agonist other than study drug
1829;glp - $nmbr$ receptor agonists;"C0018301;C1422069;C1425391;C1539338;C2350813;C4543206";FALSE;1153;glp $nmbr$ receptor agonists
1830;gly;"C0017890;C0523677";FALSE; -10;gly
1831;eze / simva ( n = $nmbr$ );NA;FALSE;1862;eze simva n $nmbr$
1830;gly $nmbr$ μ g bid;"C0017890;C0439267;C0523677";FALSE; -10;gly $nmbr$ g bid
1830;ind / glyb n = $nmbr$;"C1415124;C4049864";FALSE;1509;ind glyb n $nmbr$
1830;ind / gly;"C0017890;C0523677;C4049864";FALSE;1509;ind gly
1830;ind / gly $nmbr$ / $nmbr$ pg o . d . n = $nmbr$;"C0017890;C0523677;C2827928;C4049864";FALSE;1509;ind gly $nmbr$ $nmbr$ pg o d n $nmbr$
1831;eze / simva;NA;FALSE;1862;eze simva
1831;eze / simva  $nmbr$ / $nmbr$ mg dr = $nmbr$ );"C0013014;C0024671;C0026410;C0031831;C0439269;C1707664;C1960952;C2346927;C2348314;C3540849;C4321396;C4521761";FALSE;1862;eze simva $nmbr$ $nmbr$ mg dr $nmbr$
1831;eze / simva  $nmbr$ / $nmbr$ mg + feno  $nmbr$ mg dn = $nmbr$ );"C1319635;C1333964;C1707618";FALSE;1862;eze simva $nmbr$ $nmbr$ mg feno $nmbr$ mg dn $nmbr$
1831;eze / simva $nmbr$ / $nmbr$ mg n = $nmbr$;"C0024671;C0026410;C0439269;C1960952;C2346927;C4321396;C4521761";FALSE;1862;eze simva $nmbr$ $nmbr$ mg n $nmbr$
1831;eze / simva $nmbr$ / $nmbr$ mg ( n = $nmbr$ );"C0024671;C0026410;C0439269;C1960952;C2346927;C4321396;C4521761";FALSE;1862;eze simva $nmbr$ $nmbr$ mg n $nmbr$
1830;ind / gly ( n = $nmbr$ );"C0017890;C0523677;C4049864";FALSE;1509;ind gly n $nmbr$
1830;ind + gly ( n = $nmbr$ );"C0017890;C0523677;C4049864";FALSE;1509;ind gly n $nmbr$
1830;ind / gly n = $nmbr$;"C0017890;C0523677;C4049864";FALSE;1509;ind gly n $nmbr$
1830;no . of patients ind / gly sfc;"C0017890;C0030705;C0523677;C4049864;C4521536";FALSE;1509;no of patients ind gly sfc
1825;positive for anti - cyclic citrullinated peptide antibody — no . ( % ) f;"C0016327;C0741132;C1320283";NA;NA;positive for anti cyclic citrullinated peptide antibody no f
1825;natalizumab ( n = $nmbr$ ) f;"C0016327;C1172734";NA;NA;natalizumab n $nmbr$ f
1825;f emale;C0016327;NA;NA;f emale
1823;p blockersubgroup;"C0369773;C2603361";NA;NA;p blockersubgroup
1823;p blocker before admission;"C0184666;C0369773;C0809949;C2603361";NA;NA;p blocker before admission
1823;p blocker;"C0369773;C2603361";NA;NA;p blocker
1823;p . o );"C0369773;C2603361";NA;NA;p o
1823;p - blocking agents  selective;"C0036576;C0233660;C0332206;C0369773;C0450442;C1254351;C1521826;C1707391;C2603361";NA;NA;p blocking agents selective
1823;p - blocker intake at randomisation ( n = $nmbr$ o );"C0034656;C0369773;C1512806;C2603361";NA;NA;p blocker intake at randomisation n $nmbr$ o
1823;p - blocker intake at randomisation ( n = $nmbr$ );"C0034656;C0369773;C1512806;C2603361";NA;NA;p blocker intake at randomisation n $nmbr$
1823;p - blocker;"C0369773;C2603361";NA;NA;p blocker
1823;p +;"C0369773;C2603361";NA;NA;p
1823;p *;"C0369773;C2603361";NA;NA;p
1823;p $nmbr$ z $nmbr$ ( n = $nmbr$ );"C0369773;C2603361";NA;NA;p $nmbr$ z $nmbr$ n $nmbr$
1823;p $nmbr$ y $nmbr$ antagonists;"C0243076;C0369773;C2603361";NA;NA;p $nmbr$ y $nmbr$ antagonists
1823;p $nmbr$ y $nmbr$ antagonist;"C0231491;C0369773;C2603361";NA;NA;p $nmbr$ y $nmbr$ antagonist
1823;p  regional difference *;"C0369773;C0682132;C2603361";NA;NA;p regional difference
1823;p  regional difference;"C0369773;C0682132;C2603361";NA;NA;p regional difference
1823;p;"C0369773;C2603361";NA;NA;p
1822;ppci ( n = $nmbr$ );NA;NA;NA;ppci n $nmbr$
1822;ppci;NA;NA;NA;ppci
1822;pnorpci;NA;NA;NA;pnorpci
1822;fpci vs . ppci in men;C0025266;NA;NA;fpci vs ppci in men
1821;fpg;NA;NA;NA;fpg
1821;baseline fpg  mean ( s . e . );"C0168634;C0444504;C1442488;C2347634;C2348143";NA;NA;baseline fpg mean s e
1821;baseline fpg;"C0168634;C1442488";NA;NA;baseline fpg
1820;ratio fp / sal : sal ( $nmbr$ % ci );"C0008107;C0016704;C0036140;C0037494;C0206136;C0456603;C1419068;C1419906;C1547037;C3259781;C3541238;C3541412";NA;NA;ratio fp sal sal $nmbr$ ci
1820;fp versus no ics;"C0016704;C0815320;C1419068;C1419906;C3541238;C3541412;C4551720";NA;NA;fp versus no ics
1820;fp ( n   = $nmbr$  $nmbr$ );"C0016704;C1419068;C1419906;C3541238;C3541412";NA;NA;fp n $nmbr$ $nmbr$
1820;fp ( n [ $nmbr$ );"C0016704;C1419068;C1419906;C3541238;C3541412";NA;NA;fp n $nmbr$
1820;fp ( n = $nmbr$ );"C0016704;C1419068;C1419906;C3541238;C3541412";NA;NA;fp n $nmbr$
1820;fp $nmbr$ mg;"C0016704;C0024671;C0026410;C0439269;C1419068;C1419906;C1960952;C2346927;C3541238;C3541412;C4321396;C4521761";NA;NA;fp $nmbr$ mg
1820;fp;"C0016704;C1419068;C1419906;C3541238;C3541412";NA;NA;fp
1819;prior cancer;"C0006826;C0332152;C0998265;C1306459;C2826257";NA;NA;prior cancer
1819;previous cancer — no . ( % );"C0006826;C0205156;C0998265;C1306459;C1552607";NA;NA;previous cancer no
1819;previous cancer  n ( % );"C0006826;C0205156;C0998265;C1306459;C1552607";NA;NA;previous cancer n
1819;previous cancer;"C0006826;C0205156;C0998265;C1306459;C1552607";NA;NA;previous cancer
1819;no prior cancer;"C0006826;C0332152;C0998265;C1306459;C2826257";NA;NA;no prior cancer
1819;no adk / e cancer;"C0006826;C0998265;C1306459;C1412243";NA;NA;no adk e cancer
1819;no active cancer;"C0006826;C0205177;C0998265;C1306459;C3853793;C3888249";NA;NA;no active cancer
