'docidd'|'docid'|'page'|'user'|'annotation'|'corrupted'|'tableType'|'corrupted_text'|'N'
'29263150'|'29263150'|'1'|'Avi'|'{"annotations":[{"location":"Row","content":{"arms":true,"measures":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9639'
'29151034'|'29151034'|'1'|'Avi'|'{"annotations":[{"location":"Row","content":{"characteristic_name":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9641'
'28904068'|'28904068'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"characteristic_level":true},"qualifiers":{"bold":true},"number":"1"},{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"2"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9675'
'29146124'|'29146124'|'1'|'Avi'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9645'
'29143919'|'29143919'|'1'|'Avi'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Row","content":{"characteristic_name":true},"qualifiers":{},"number":"2"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9649'
'29143919'|'29143919'|'2'|'Avi'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Row","content":{"characteristic_name":true},"qualifiers":{},"number":"2"},{"location":"Col","content":{"outcomes":true,"other":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|'Corrupted older annotation'|'9650'
'29132880'|'29132880'|'1'|'Avi'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9651'
'29132879'|'29132879'|'1'|'Avi'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{"indented":true},"number":"1"}]}'|'false'|'baseline_table'|''|'9653'
'29103664'|'29103664'|'1'|'Avi'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"2"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{"indented":true},"number":"1"}]}'|'false'|'baseline_table'|''|'9655'
'29084736'|'29084736'|'1'|'Avi'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{"indented":true},"number":"1"}]}'|'false'|'baseline_table'|''|'9656'
'29073947'|'29073947'|'1'|'Avi'|'{"annotations":[{"location":"Row","content":{"arms":true,"other":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{"indented":true},"number":"1"}]}'|'false'|'baseline_table'|'Corrupted older annotation'|'9658'
'29028981'|'29028981 & Supplementary Append'|'1'|'Avi'|'{"annotations":[{"location":"Row","content":{"other":true},"qualifiers":{},"number":"1"},{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"2"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9659'
'27744141'|'27744141'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true,"measures":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9740'
'28975241'|'28975241'|'1'|'Avi'|'{"annotations":[{"location":"Row","content":{"measures":true},"qualifiers":{},"number":"1"},{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"2"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9662'
'28948656'|'28948656'|'1'|'Katherine'|'{"annotations":[{"location":"Row","content":{"outcomes":true},"qualifiers":{"bold":true},"number":"1"},{"location":"Row","content":{"arms":true},"qualifiers":{"bold":true},"number":"2"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{"indented":true},"number":"1"}]}'|'false'|'baseline_table'|''|'9667'
'28921862'|'28921862'|'1'|'Katherine'|'{"annotations":[{"location":"Row","content":{"measures":true,"arms":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9669'
'28921862'|'28921862'|'2'|'Katherine'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{"bold":true},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"bold":true,"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9670'
'28910237'|'28910237'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9671'
'28903864'|'28903864 & Supplementary Append'|'1'|'Katherine'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{"bold":true},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{"indented":true},"number":"1"}]}'|'false'|'baseline_table'|''|'9677'
'28902593'|'28902593 & Supplementary Append'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"other":true},"qualifiers":{},"number":"1"},{"location":"Row","content":{"characteristic_level":true},"qualifiers":{},"number":"2"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9678'
'28893134'|'28893134'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"other":true},"qualifiers":{},"number":"1"},{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"2"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9679'
'28893134'|'28893134'|'2'|'Katherine'|'{"annotations":[{"location":"Row","content":{"measures":true,"arms":true},"qualifiers":{"bold":true},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9680'
'28854085'|'28854085'|'1'|'Katherine'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{"bold":true},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|'Corrupted older annotation'|'9682'
'28847206'|'28847206'|'1'|'Katherine'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{"bold":true},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{"indented":true},"number":"1"}]}'|'false'|'baseline_table'|''|'9683'
'28844990'|'28844990'|'1'|'David'|'{"annotations":[{"location":"Row","content":{"arms":true,"measures":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row_with_p_value":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9685'
'28844192'|'28844192'|'1'|'David'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9687'
'28720132'|'28720132 & Supplementary Append'|'1'|'David'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{"indented":true},"number":"1"}]}'|'false'|'baseline_table'|''|'9690'
'28666775'|'28666775'|'1'|'David'|'{"annotations":[{"location":"Row","content":{"characteristic_level":true},"qualifiers":{},"number":"1"},{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"2"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9693'
'28636754'|'28636754'|'1'|'David'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9695'
'28636754'|'28636754'|'2'|'David'|'{"annotations":[{"location":"Row","content":{"measures":true,"p-interaction":true},"qualifiers":{},"number":"1"},{"location":"Row","content":{"arms":true,"measures":true},"qualifiers":{},"number":"2"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9696'
'28558833'|'28558833'|'1'|'Hebe'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9698'
'28473423'|'28473423'|'1'|'Hebe'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{"bold":true},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"bold":true,"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9699'
'28467869'|'28467869 & Supplementary Append'|'1'|'Hebe'|'{"annotations":[{"location":"Row","content":{"other":true},"qualifiers":{"bold":true},"number":"1"},{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"2"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9701'
'28215362'|'28215362 & Supplementary Append'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true,"measures":true},"qualifiers":{"bold":true},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9721'
'28416587'|'28416587'|'1'|'Hebe'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{"bold":true},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{"indented":true},"number":"1"}]}'|'false'|'baseline_table'|''|'9703'
'28405473'|'28405473 & Supplementary Append'|'1'|'Hebe'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{"indented":true},"number":"1"}]}'|'false'|'baseline_table'|''|'9705'
'28402745'|'28402745'|'1'|'Hebe'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{"bold":true},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9706'
'28385353'|'28385353 & Supplementary Append'|'1'|'Katherine'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{"bold":true},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|'Corrupted older annotation'|'9709'
'28316279'|'28316279 & Supplamentary Append'|'1'|'Katherine'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{"bold":true},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|'Corrupted older annotation'|'9710'
'28316279'|'28316279 & Supplamentary Append'|'2'|'Katherine'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|'Corrupted older annotation'|'9711'
'28278391'|'28278391'|'3'|'Katherine'|'{"annotations":[{"location":"Row","content":{"measures":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{"indented":true},"number":"1"}]}'|'false'|'baseline_table'|''|'9712'
'28263812'|'28263812'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true,"measures":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9713'
'28246237'|'28246237'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Row","content":{"measures":true},"qualifiers":{},"number":"2"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9715'
'28237263'|'28237263'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{"bold":true},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9717'
'28231942'|'28231942'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"characteristic_level":true},"qualifiers":{"bold":true},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9719'
'28231942'|'28231942'|'3'|'Lili'|'{"annotations":[{"location":"Row","content":{"characteristic_level":true},"qualifiers":{"bold":true},"number":"1"},{"location":"Row","content":{"measures":true},"qualifiers":{},"number":"2"},{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"3"},{"location":"Row","content":{"measures":true},"qualifiers":{},"number":"4"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9720'
'28153828'|'28153828 & Supplementary Append'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Row","content":{"measures":true},"qualifiers":{},"number":"2"},{"location":"Row","content":{"measures":true},"qualifiers":{},"number":"3"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9723'
'28118533'|'28118533'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9725'
'28035868'|'28035868'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"characteristic_level":true},"qualifiers":{},"number":"1"},{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"2"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9727'
'27993292'|'27993292 & Supplementary Append'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9729'
'27965257'|'27965257 & Supplementary Append'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9732'
'27956003'|'27956003'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9734'
'27846344'|'27846344'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9735'
'27846344'|'27846344'|'2'|'Lili'|'{"annotations":[{"location":"Row","content":{"measures":true},"qualifiers":{},"number":"1"},{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"2"},{"location":"Row","content":{"measures":true},"qualifiers":{},"number":"3"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9736'
'27842179'|'27842179'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"measures":true},"qualifiers":{},"number":"1"},{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"2"},{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"3"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9737'
'27765312'|'27765312'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true,"measures":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9739'
'27715335'|'27715335'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9743'
'27708114'|'27708114'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true,"measures":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9744'
'27689735'|'27689735 & Supplementary Append'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9746'
'27684308'|'27684308'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9747'
'27659566'|'27659566'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"characteristic_level":true,"measures":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9749'
'27647847'|'27647847'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"characteristic_level":true},"qualifiers":{},"number":"1"},{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"2"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9751'
'27619750'|'27619750'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"characteristic_level":true},"qualifiers":{},"number":"1"},{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"2"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9753'
'27609406'|'27609406 & Supplementary Append'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"characteristic_level":true},"qualifiers":{},"number":"1"},{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"2"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9756'
'27581531'|'27581531 & Supplementary Append'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{"bold":true},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9757'
'27576775'|'27576775 & Supplementary Append'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"characteristic_level":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9759'
'27502307'|'27502307'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'9763'
