cluster,concept,cuis
744,liraglutide ( n = nmbr  nmbr ),C0053917;C1334884;C1456408
743,peripheral vasodilators,C0724804
742,das - nmbr ( crp ) < nmbr . nmbr  n ( % ),C0051767;C0053917;C0057671;C1334884;C3890735;C4048285
741,prior corticosteroid failure only,C0001617;C0205171;C0231174;C0332152;C0680095;C1720467;C2826257;C3536709
741,no corticosteroid + no imm  n,C0001617;C3536709
741,low - dose corticosteroid user,C0001617;C0445550;C1548600;C1706077;C1708745;C3536709
740,current or previous atrial fibrillation,C0521116;C1705970
739,history of percutaneous coronary intervention,C1320647;C4554713
738,mean ( sd ) post - bronchodilator fevnmbr reversibility  %,C0444504;C0449261;C2347634;C2348143;C2599594;C2699239
737,enalapril + aliskiren dm = nmbr non - dm = nmbr,C0011816;C0014025;C0053917;C1120110;C1334884;C1518422;C3250443
736,crp ( mg / l )  median ( min  max ),C0439268;C0549183;C0702093;C0876920;C1524029;C2347635;C2348144;C2939193;C3813700;C3890735;C4048285
735,prior implantable cardiodefibrillator  n ( % ),C0021102;C0332152;C2826257
734,any dose reduction,C0178602;C0301630;C0392756;C0869039;C1114758;C1293152;C4551656
733,urine albumin - to - creatinine ratio,C0455271;C1318330
732,renin inhibitor ( e . g . aliskerin ),C1960108;C3537174;C4521920
731,menopausal status and use of hrt ( % ) y,C1513126
730,lvef ( % )  mean ± sd,C0428772;C0444504;C0488728;C2347634;C2348143;C2699239
730,european union,C0015179
729,abatacept monotherapy ( n = nmbr ),C0053917;C1334884;C1619966
729,abatacept ( n = nmbr * ),C0053917;C1334884;C1619966
728,clinical criterianmbr,C0205210
727,mean a ± sd ( mmhg ),C0444504;C2347634;C2348143
726,urine albumin - to - creatinine ratio - no . ( % ) § §,C0455271;C1318330
725,mean — mg / dl level — no . ( % ),C0439269;C0441889;C0444504;C0456079;C1547707;C2347634;C2348143;C2946261
724,insulin - na ' ive,C0021641;C0597484;C1272460;C1533581;C1546968;C1579433;C1879645;C3435805;C3714501;C4049872;C4552882;C4554334
724,concomitant therapy,C1707479
724,accp bleeding risk at inclusion  no . ( % ) f,C0007637;C1512693;C3251812
723,micro - / macro - albuminuria  ckd and / or retinopathy,C0001925;C0085672;C1553035;C1561643;C2984010;C3811161;C4049106
723,any albuminuria — no . ( % ),C0001925
723,albuminuria ( g / g ),C0001925;C1319635
722,screening prebronchodilator fevnmbr  l,C0220908;C0220909;C1698960;C1710031;C1710032;C1710477;C2348164;C2599602
722,screening bmi ( kg / mnmbr ),C0022718;C0220908;C0220909;C0439209;C0578022;C1698960;C1710031;C1710032;C1710477;C2348164;C4054209
722,screening % reversibility fevnmbr,C0220908;C0220909;C0449261;C1698960;C1710031;C1710032;C1710477;C2348164
722,screening % predicted fevnmbr,C0220908;C0220909;C0681842;C1698960;C1710031;C1710032;C1710477;C1882327;C2348164
722,postbronchodilator lung function at screening,C0035245;C0220908;C0220909;C1698960;C1710031;C1710032;C1710477;C2348164;C2599594
722,age at screening,C0001779;C0220908;C0220909;C1698960;C1710031;C1710032;C1710477;C2348164
721,mean change in radiographic end points,C0392747;C0443172;C0444504;C0444708;C1705241;C2347634;C2348143;C2349179;C4319952
720,moderate teaes,C0205081;C1881878;C4049705;C4049706;C4085643;C4321335
719,low hdl cholesterol,C0151691
718,current medication — no . ( % ),C0746467
717,dyspepsia,C0013395;C4552968
717,clinical and laboratory measurements,C0205210
716,seropositive ( rf + ve and / or acpa + ve ) subgroup,C0035448;C0042469;C0201660;C0521143;C0748398;C1547111;C3714652;C4321495
716,rheumatoid factor positive §  n ( % ),C0035448;C0201660;C0439178;C1446409;C1514241;C2825490;C3812269
716,rf positive — number ( % ),C0035448;C0201660;C0748398;C1547111;C3812269
716,rf positive  n ( % ),C0035448;C0201660;C0439178;C0748398;C1446409;C1514241;C1547111;C2825490;C3812269
716,rf positive  %,C0035448;C0201660;C0439178;C0748398;C1446409;C1514241;C1547111;C2825490;C3812269
716,rf and acpa negativenmbr,C0035448;C0201660;C0748398;C1547111
715,rhabdomyolysis  myopathy  or myalgia with ck elevation > nmbrx uln,C0026848;C0035410;C4552660
714,mean eosinophil count  per ml,C0200638;C0439526;C0444504;C0750879;C1705224;C2347634;C2348143;C3887665
713,fasting blood glucose ( mg / dl ),C0428568;C0439269;C1261430
712,europe ( non - eu ),C0015176;C0015179;C1518422;C3665627
711,systemic corticosteroids  n ( % ) a,C4053960
710,diameter stenosis  mean ( sd )  %,C0552409;C0678234;C1261287;C2632116;C2699239
710,% stenosis  as assessed by investigator,C0678234;C1261287;C2632116
709,general and lumbar epidural,C0205246;C3812897;C3891294;C4521767
708,odds ratio adj ( nmbr % cl ),C0001552;C0028873;C0053917;C0596019;C1334884;C2826286
707,vomiting,C0042963;C1963281;C3898969;C4084766;C4084767;C4084768;C4084769
707,erosion score  median ( min  max ),C0333307;C0449820;C0549183;C0702093;C0876920;C1524029;C1880549;C1959609;C2347635;C2348144;C2939193;C3813700;C3887524;C4050231
706,mini - mental state examination,C0451306
705,months since ra was first diagnosed  mean ( sd ),C0439231
704,history of intermittent claudication and abi < nmbr - nmbr or substantial peripheral arterial stenosis > nmbr %,C0205267;C2315493
703,coronary bypass graft,C1260596
702,peripheral - artery disease ( % ),C1704436;C4025272
702,only peripheral artery disease,C0205171;C1704436;C1720467;C4025272
701,apob : apoa - nmbr ratio,C0003592;C0003593;C0053917;C0456603;C0523508;C1334884;C1547037;C3252643;C4553344;C4553379
700,laboratory values,C0022877;C0042295;C3244292;C4283904
700,laboratory data  mean ( sd ),C0022877;C0444504;C1511726;C2347634;C2348143;C2699239;C3244292;C3245479;C3714741;C4283904
700,laboratory data,C0022877;C1511726;C3244292;C3245479;C3714741;C4283904
699,femoral access — no . / total no . ( % ),C0015811
698,cardiac therapy  n ( % ) d,C3654025
697,cardiovascular history — no . / total no . ( % ),C1880008
696,clinical presentation,C2708283
695,disease location / type : terminal ileum,C0227327;C0450429;C0457464;C1515974;C4284930;C4284931
694,duration of coronary artery disease — yr,C0018787;C0439234;C0449238;C0852949;C2926735
694,documented asymptomatic cardiac ischemiac,C0018787;C0231221;C1301725;C1522601;C1609436
694,cardiac - biomarker status — no . / total no . ( % ) $,C0005516;C0018787;C0449438;C0449442;C1271630;C1522601;C1999091;C2735302
693,other glp - nmbr receptor agonist,C0018301;C0053917;C1334884;C1422069;C1425391;C1539338;C2350813;C4543206
693,glp - nmbr receptor agonist ( other than study drug ),C0013175;C0018301;C0053917;C1334884;C1422069;C1425391;C1539338;C2350813;C4543206
692,fc - ldl - c  mg / dl,C0439269;C2983605
692,angiotensin - converting enzyme inhibitor or angiotensin receptor blocker,C0003015;C2757044;C3536837;C4541021
691,nmbrbaseline mean,C0444504;C2347634;C2348143
690,sex ( interaction : p = nmbr . nmbr ),C0009253;C0036864;C0053917;C0079399;C0804628;C1314687;C1334884;C1522384;C1704675
689,lv hypertrophy  n ( % ),C0149721
689,left ventricular hypertrophy — no . ( % ),C0149721;C3484363
689,left ventricular hypertrophy ( % ),C0149721;C3484363
688,extensive,C0205231
687,ls mean ( s . e . ) primary endpoint : % change from baseline to week nmbr,C0023668;C0168634;C0392747;C0443172;C0444504;C1442488;C1705241;C2347634;C2348143;C2986535;C4319952
687,ls mean % change from baseline _ se,C0023668;C0036919;C0168634;C0392747;C0443172;C0444504;C1442488;C1705241;C2347634;C2348143;C4319952
686,history of microvascular disease — no . ( % ),C0443258;C0683519;C0730226;C0850708;C0944983
685,small vessel,C0225988
684,post - menopausal ( a ),C0232970
683,female race / ethnicity,C0015031;C0034510;C0043210;C0086287;C0243103;C1705497;C1705498;C1706779;C3853635
682,initiation of dialysis  renal transplantation  or creatinine . nmbr . nmbr mg / dl ( nmbr mmol / l ),C0011945;C0011946;C0019004;C0022671;C0040732;C0040733;C0589507;C1059964;C1158830;C1704686;C4551529
681,history of alcohol use,C0551571;C0552479
680,partial mayo clinic scored,C0002424;C0442592;C0454788;C0728938;C1077578;C1550516
680,enthesitis count,C0750480;C1282952;C1705566
679,months from mi — median ( iqr ),C0439231;C0549183;C0876920;C2347635;C2348144;C2939193;C3810814
678,unbound pcsknmbr ( nmol / l ),C0439282
677,urgent cor revasc,C0018787;C0056331;C0378365;C0439609;C3272275
677,cor revasc,C0018787;C0056331;C0378365
676,basmi ( linear )  mean ( sd ),C0205132;C0444504;C2347634;C2348143;C2699239
675,metrex overall modified intention - to - treat population ? :,C0032659;C0087111;C0162425;C0282416;C0392747;C1257890;C1283828;C1292734;C1522326;C1561607;C3889737
674,mi or cad,C3810814
673,emotional role,C0013987;C0035820;C0849912;C1705810;C3871154
672,indian ( indian subcontinent ),C0454693
672,highest tg tertile,C0337445;C1522410
671,min  max,C0702093;C1524029;C3813700
670,duration of ra ( years ),C0439234;C0449238;C2926735;C3538806;C4048756
669,nyha class within past month — no . / total no . ( % ),C1882083;C4331910
668,prior history of cardiovascular disease  n ( % ),C0332152;C0455539;C2826257
668,estimated glomerular filtration rate - ml / min  median ( iqr ) ',C0439445;C0549183;C0876920;C2347635;C2348144;C2939193;C3811844
668,d - dimer levelsatinclusion,C0060323
667,rando . in na * *,C0597484;C1272460;C1546968;C1879645;C4049872;C4552882
666,mean ( s . d . ) hbalc  %,C0444504;C2347634;C2348143
665,any aes  n ( % ),C1412268;C2699274
664,interaction : treatment by psoriasis p valuenmbr,C1704675;C3258078
664,exacerbations in the previous year,C0205156;C0439234;C0439508;C1552607;C4086268
663,nace ( primary endpoint ),C2986535
662,right ventriculardysfunction atinclusion,C0205090;C0444532
661,omega - nmbr fatty acid ( n = nmbr ),C0015684;C0053917;C1334884;C1719844
661,omega - nmbr fatty acid,C0015684;C0053917;C1334884;C1719844
661,number omega - nmbr number placeb fatty acid,C0015684;C0053917;C0237753;C0449788;C1334884;C1719844
661,b digit symbol substitution  omega - nmbr fatty acids vs placebo,C0015684;C0053917;C0582802;C0679214;C1334884;C1555721;C1698987;C1706204;C1719844;C3241971
661,a mini - mental state examination  omega - nmbr fatty acids vs placebo,C0015684;C0053917;C0451306;C1334884;C1719844
660,potassium - sparing at enrollment,C0032821;C0202194;C0304475;C0597277;C1516879;C1696073;C3714637;C3888021
660,data missing or no drug given,C1511726;C1551393;C1705492;C3245479;C3272743;C3714741
659,tnmbrdm duration ( years ),C0439234;C0449238;C2926735
659,first mace,C0205435;C0349381;C0949745;C1279901;C1445339
658,leukocytes  nmbr / nl,C0023516;C0027778;C0053917;C0560008;C1334884;C3892223
657,pathological q waves,C0429090
656,bilateral disease ( % ) ' j ' ' j ',C1511113
655,major bleeding ( statin use vs non - use ),C0019080;C0042153;C0205082;C0205164;C0360714;C0457083;C1947944;C4318856;C4521762
654,number of pack - years,C0237753;C0449788;C1277691
653,left circumflex,C0205091;C0443246;C1552822;C1880089
653,associated with hiv infection,C0019693;C0332281
652,conventional treatment,C2945704
651,anatomic complexity characteristics,C0439855;C0502371;C1704241
650,extent of disease  n ( % ),C0449279;C4553144
649,diuretic drugs ( excluding antialdosterone ),C0012798;C0013227;C3687832
649,diuretic drugs  n ( % ),C0012798;C0013227;C3687832
649,diuretic drugs,C0012798;C0013227;C3687832
648,mean ( sd ) swollen joint count *,C0444504;C0451521;C2347634;C2348143;C2699239
647,peripheral edema,C0085649
646,prior anti - tnf therapy — no . ( % ),C0281481;C0332152;C2826257
646,pooled simvastatin factorial studies,C0074554;C1709595;C2349200;C2826344;C4522255
645,joint swelling,C0152031
644,mild or moderate copd,C2945599
643,pulmonary embolism,C0034065
643,isolated pulmonary embolism,C0034065;C0205409;C1548221
643,characteristics of pulmonary embolism at inclusion,C0034065;C1521970
642,retinopathy — %,C0035309;C1962966
641,insulin : glucose ratio,C0017725;C0021641;C0456603;C1533581;C1547037;C1579433;C3714501
641,glucose - lowering therapies,C0017725;C0087111;C0441994;C2003888
641,glucose  mmol / l,C0017725;C1532563
640,preoperative blood pressure ( mm hg ) patients fulfilling eligibility criteria,C0005823;C0030705;C0439475;C0445204;C1271104;C1272641
640,blood pressure,C0005823;C1271104;C1272641
639,western europe / australia / israel,C0004340;C0015176;C0022271;C0043128;C0043129
638,thrombophilia,C0398623
638,planned treatment duration  n ( % ),C4528394
637,three - vessel disease,C3272265
637,potassium,C0032821;C0202194;C0304475;C0597277;C3714637
636,crcb - ( ml / min )  mean ( s . e . ),C0439390;C0439445;C0444504;C0702093;C1524029;C2347634;C2348143;C3813700
635,reason for enrollment in active a — no . ( % ),C0392360;C1516879;C1696073;C3888021
634,prior cerebrovascular disease,C0007820;C0332152;C2826257
634,ischemic cerebrovascular disease  n ( % ),C0007820;C0475224
634,cerebrovascular disorders  n ( % ),C0007820
634,cerebrovascular disease  n ( % ),C0007820
633,before bronchodilation,C1371299;C3537072
632,warfarin ( n = nmbr ),C0043031;C0053917;C1334884
632,> nmbr yr warfarin experience,C0043031;C0053917;C0237607;C0439234;C0596545;C1334884
632,> nmbr days warfarin,C0043031;C0053917;C0439228;C1334884
631,treatment duration  days,C0439228;C0444921;C3259042
630,osteoporosis,C0029456;C4554622
629,lipoprotein ( a ) tx difference vs pbo  ls mean % change from baseline ( se ),C0041403;C0065058;C0125953;C1096202;C1439335;C1705241;C1705242
629,lipoprotein ( a ) ( mg / dl ),C0065058;C0125953;C0439269;C1096202;C1439335
629,lipoprotein ( a )  median ( ql  qnmbr )  nmol / l,C0065058;C0125953;C0439282;C0549183;C0876920;C1096202;C1439335;C2347635;C2348144;C2939193
628,median blood eosinophil count  cells per pla,C0200638;C0456170;C0549183;C0876920;C2347635;C2348144;C2939193
627,glomerular,C0022663;C0268731
626,hormone therapy,C0279025
625,body - mass index  !  waist - to - hip ratio,C0005893;C0205682;C0578022;C1305855
624,ldl - c ( bq ) ( mg / dl ) - mean ± sd,C0439269;C0444504;C0560038;C2346983;C2347634;C2348143;C2699239;C3541236;C3642216
623,fpg  mean ( sd )  mmol / l,C0444504;C1532563;C2347634;C2348143;C2699239
622,ipf - related,C0034069;C1800706
621,physician global assessment ( nmbr - nmbr mm vas ),C0042815;C0053917;C1334884;C3536884;C3827561;C4050369;C4330985;C4554674
621,patient global assessment of disease activity ( vas nmbr - nmbr mm ),C0042815;C0053917;C1334884;C3536884;C3827561;C4054228;C4330985;C4554674
621,pain vas  nmbr - nmbr mm,C0042815;C0053917;C1334884;C4330985;C4554674
620,atorvastatin ls means difference nmbr mg ( nmbr % ci ) a ( n = nmbr ),C0008107;C0023668;C0024671;C0026410;C0053917;C0286651;C0439269;C1334884;C1704970;C1705241;C1705242;C1960952;C2346927;C3259781;C4321396;C4521761
619,vascular disease indicator no ( n = nmbr ),C0021212;C0042373;C1235732;C1522602
619,previous vascular disease,C0042373;C0205156;C1552607
619,other vascular disease — no . ( % ),C0042373
619,number of vessels disease,C0042373;C0237753;C0449788
619,double - vessel disease  n ( % ),C0042373;C0205173;C1705764;C1705765
618,median ( sd )  mg / mmol,C0549183;C0567349;C0876920;C2347635;C2348144;C2348885;C2699239;C2939193
618,femoral neck,C0015815
617,scr  gmol / l,C1539487;C4050416
617,% predicted pre - bronchodilator fevnmbr  % *,C0681842;C1882327;C2599602
616,troponin t,C0077404;C1420827
616,nationality,C0027473
616,alt  ast  or both > nmbrx uln,C3831581
615,apixaban vs . placebo,C1831808
615,apixaban,C1831808
614,previous balloon angioplasty  n ( % ),C0002996;C0002997;C0205156;C1552607
614,balloon angioplasty — no . ( % ),C0002996;C0002997
614,balloon angioplasty plus abciximab,C0002996;C0002997;C0288672;C0332287
613,region of enrollment  no . ( % ),C0017446;C0205147;C1516879;C1696073;C3888021
613,region of enrollment  n ( % ) +,C0017446;C0205147;C1516879;C1696073;C3888021
613,intestinal area involved  n ( % ) $,C0017446;C0021853;C0205146
613,grouped region,C0017446;C0205147;C0439745;C4319846
613,geographical region ( % ),C0017446
613,geographic region — no . ( % ),C0017446
613,geographic region - north america,C0017446;C0028405
613,geographic region - europe,C0015176;C0017446
613,geographic region  %,C0017446
613,gastrointestinal area involved — no . / total no . ( % ),C0017446;C0205146;C0521362
612,managed medically — no . / total no . ( % ),C1273870
611,mean sgrq total score ( sd ),C0439175;C0439810;C0444504;C2347634;C2348143;C2699239;C2964552;C3533236
610,serum sodium — meq / liter,C0439152;C0475211;C0523891
609,circumflex,C1880089
608,aortic stenosis  n ( % ),C0003507
608,aortic stenosis,C0003507
607,etanercept ( n = nmbr ),C0053917;C0717758;C1334884
607,etanercept,C0717758
606,upper gastrointestinal,C3203348
606,uacr  mg / mmol ( interquartile range ) b,C0567349;C1711350;C2348885
605,distal anastomosis ( % ),C0448964
604,vorapaxar placebo nmbr - yr . km % rate,C0032042;C0053917;C0439234;C0871208;C1334884;C1521828;C1696465;C1706408;C2974521;C3887676
604,vorapaxar placebo nmbr - yr %,C0032042;C0053917;C0439234;C1334884;C1696465;C1706408;C2974521
604,vorapaxar group ( n = nmbr ),C0053917;C0441848;C1334884;C2974521
603,isolated igt,C0205409;C1548221
602,prior congestive heart failure,C0018802;C0332152;C2826257
602,congestive heart failure — no . ( % ) | |,C0018802
602,congestive heart failure  n ( % ),C0018802
602,chronic heart failure,C0018802;C0264716
601,europe / lsrael,C0015176
601,biomarker status,C0449442
600,mean platelet volume  fl,C0200665;C0344388;C1300812;C1708024
600,history of paroxysmal atrial fibrillation  n ( % ),C0205311;C0729790
599,bl updrs : low,C0005918;C0006413;C1552663;C2827109;C3639721
599,bl updrs : high,C0005918;C0006413;C1552663;C2827109;C3639721
598,acute and delayed reaction,C0205178
597,prasugrel,C1620287
597,pnmbrynmbr inhibitor,C1999216
596,no . of days to homa - ir testing — median ( iqr ),C0439228
596,ancestry ( % ) f,C0016327
595,blood oxygenation  mean ± sd,C0005767;C0005768;C0229664;C0231940;C0282636;C0444504;C2347634;C2348143;C2699239
594,risk reduction ( %  nmbr % ci ),C0008107;C0053917;C1137094;C1334884;C3259781
594,pav  mean ( nmbr % ci ),C0008107;C0053917;C0058890;C0444504;C1334884;C2347634;C2348143;C3259781
594,mean age  years ( nmbr % ci ),C0008107;C0053917;C0444504;C1334884;C1510829;C2347634;C2348143;C3259781
594,mean ( nmbr % ci ) difference vs saxa + dapa + met,C0008107;C0053917;C0444504;C1334884;C1705241;C1705242;C2347634;C2348143;C3259781
594,hr ( nmbr % ci ) p value for interaction *,C0008107;C0053917;C1334884;C1704675;C1709380;C3259781
594,hazard ratio for event ( nmbr % ci ),C0008107;C0053917;C0441471;C1334884;C2985465;C3259781;C4019010
594,( nmbr % ci] nmbr,C0008107;C0053917;C1334884;C3259781
594,( nmbr % ci ) p value,C0008107;C0053917;C1334884;C1709380;C3259781
593,inhaled anticholinergic §,C0004048;C0242896;C3537004
593,anti - cholinergics ( short - acting ) a,C0242896
593,anti - cholinergics ( long - acting ),C0242896
592,non – small - cell lung cancer,C0007131;C2984258;C3539721
592,current / past,C0521116;C1444637;C1705970;C4284302
591,medical history,C0262926;C1704706
590,duration of tnmbrdm ( % ),C0449238;C2926735
589,white : black : other,C0005680;C0007457;C0027567;C0043157;C0085756;C0220938;C0439541
588,fev  at baseline,C0168634;C1442488;C3714541
588,baseline fvc  l,C0168634;C1442488;C3714541
588,baseline fev  ( l ),C0168634;C1442488;C3714541
587,prior immunnosupressive failure but no anti - tnf failure,C0231174;C0332152;C0680095;C2826257
586,dactylitis  n ( % ),C0239161
585,anticoagulant therapy,C0150457
584,intermittent claudication,C0021775
