Text,CUIS
chlorthalidone group,C0441833;C0687744;C1257890;C1519504;C1705428;C1705429
triglycerides mean,C0444504;C2347634;C2348143
doxazosin group,C0441833;C0687744;C1257890;C1519504;C1705428;C1705429
no of subjects,C0681850;C1550501;C1706203;C2349001;C2697811
plus minus values are means sd cabg denotes coronary artery by pass graft ptca percutaneous transluminal coronary angioplasty and ace angiotensin converting enzyme hypertension and diabetes were de fined by clinical history a more complete list of base line characteristics is given in rubins et al $nmbr$ nitrates includes all preparations except as needed nitroglycerin any antianginal drug includes any nitrate as defined above calcium channel blocker or beta blocker the body mass index is the weight in kilograms divided by the square of the height in meters to convert values for cholesterol to millimoles per liter multiply by $nmbr$ $nmbr$ to convert values for triglycerides to millimoles per liter multiply by $nmbr$ $nmbr$,C0042295;C1704970;C0010055;C0190211;C0920394;C0011847;C0011849;C0011198;C0017480;C3541240;C0205232;C0687757;C0745732;C3272378;C0040028;C0028125;C0332257;C1552866;C2700399;C1521827;C3812761;C0013227;C1254351;C0699857;C3848573;C0006684;C3536851;C4521885;C0001645;C0005893;C0578022;C1305855;C0005910;C0043100;C1305866;C1705104;C0332849;C0205120;C1552595;C0441074;C0008377;C0439190;C0475211;C1719797;C2911648;C0041004;C1532563
age y,C0001779
nct $nmbr$,
women,C0043210
characteristics,C1521970
race ethnicity white non hispanic,C1533020;C1533021
chlorthalidone group,C0441833;C0687744;C1257890;C1519504;C1705428;C1705429
black non hispanic,C1533017;C1533018
doxazosin group,C0441833;C0687744;C1257890;C1519504;C1705428;C1705429
white hispanic,C1533020;C1533021
no of subjects,C0681850;C1550501;C1706203;C2349001;C2697811
black hispanic,C1533017;C1533018
age y,C0001779
other race,C0034510;C1706779;C3853635
women,C0043210
education y,C0013621;C0013622;C0013658;C0039401
race ethnicity white non hispanic,C1533020;C1533021
blood pressure mm hg,C0005823;C0439475;C1271104;C1272641
black non hispanic,C1533017;C1533018
treated for hypertension,C1522326;C0020538;C1963138
white hispanic,C1533020;C1533021
eligibility risk factors t ascvo,C0035648;C1553898
black hispanic,C1533017;C1533018
st t wave changes,C0392747;C0443172
other race,C0034510;C1706779;C3853635
type $nmbr$ diabetes,C1320657
education y,C0013621;C0013622;C0013658;C0039401
cigarette smoking,C0239059;C0700219
blood pressure mm hg,C0005823;C0439475;C1271104;C1272641
hdl c,C3715113
treated for hypertension,C1522326;C0020538;C1963138
lvh from electrocardiogram,C0149721;C0013798;C1547122;C1623258
eligibility risk factors t ascvo,C0035648;C1553898
lvh from echocardiogram,C0149721;C0013516;C2243117
st t wave changes,C0392747;C0443172
serum biochemistry potassium mmol l,C0302353;C1532563;C0543465
type $nmbr$ diabetes,C1320657
fasting glucose mg dl,C0015663;C0439269
cigarette smoking,C0239059;C0700219
creatinine mg dl,C0010294;C0439269;C1561535
hdl c,C3715113
cholesterol mg dl,C0008377;C0439269
lvh from electrocardiogram,C0149721;C0013798;C1547122;C1623258
ldl c mg dl,C0439269
lvh from echocardiogram,C0149721;C0013516;C2243117
hdl c mg dl,C3715113;C0439269
serum biochemistry potassium mmol l,C0302353;C1532563;C0543465
fasting triglycerides mg dl,C0015663;C0041004;C0439269
fasting glucose mg dl,C0015663;C0439269
variable,C0439828;C4553760
creatinine mg dl,C0010294;C0439269;C1561535
abciximab n $nmbr$,C0288672
cholesterol mg dl,C0008377;C0439269
p value,C1709380
ldl c mg dl,C0439269
male sex,C0086582
hdl c mg dl,C3715113;C0439269
weight kg,C0022718;C0439209;C4054209
fasting triglycerides mg dl,C0015663;C0041004;C0439269
clinical characteristics,C0683325
variable,C0439828;C4553760
hyperlipidemia,C0020473;C0428465;C4555212
abciximab n $nmbr$,C0288672
history of hypertension,C0455527
p value,C1709380
histor y of myocardial infarction,C0027051;C0428953;C2926063;C3810814;C4552959
male sex,C0086582
histor y of unstable angina,C0002965
weight kg,C0022718;C0439209;C4054209
histor y of stable angina,C0340288
clinical characteristics,C0683325
histor y of heart failure,C0018801;C0018802;C4554158
hyperlipidemia,C0020473;C0428465;C4555212
congestive heart failure,C0018802
history of hypertension,C0455527
cardiogenic shock during first $nmbr$ hr after randomization,C0036980;C0205435;C1279901;C0034656
histor y of myocardial infarction,C0027051;C0428953;C2926063;C3810814;C4552959
previous intervention,C0184661;C0886296;C1273869
histor y of unstable angina,C0002965
percutaneous transluminal coronary angioplasty,C2936173
histor y of stable angina,C0340288
coronar y artery bypass grafting,C0332835;C1527362;C1961139
histor y of heart failure,C0018801;C0018802;C4554158
administration of study drug,C0150270;C0262754;C3469597
congestive heart failure,C0018802
bolus,C1186706;C1511237;C1705509;C3812160
cardiogenic shock during first $nmbr$ hr after randomization,C0036980;C0205435;C1279901;C0034656
bolus and infusion,C1186706;C1511237;C1705509;C3812160;C0574032;C1827465
previous intervention,C0184661;C0886296;C1273869
infarct territory,C1301808;C2983136
percutaneous transluminal coronary angioplasty,C2936173
$nmbr$ $nmbr$ f,C0016327
coronar y artery bypass grafting,C0332835;C1527362;C1961139
anterior,C0205094
administration of study drug,C0150270;C0262754;C3469597
inferior,C0542339;C0678975
bolus,C1186706;C1511237;C1705509;C3812160
infarct related vessel,C0021308;C0005847
bolus and infusion,C1186706;C1511237;C1705509;C3812160;C0574032;C1827465
l eft anterior descending,C0439394;C0205094;C1706495;C3642217;C0205386;C1547177
infarct territory,C1301808;C2983136
r ight coronary,C0205090;C0018787;C0684010;C2603358
$nmbr$ $nmbr$ f,C0016327
circumflex,C1880089
anterior,C0205094
graft,C0181074;C0332835;C1961139
inferior,C0542339;C0678975
age yrs,C0001779
infarct related vessel,C0021308;C0005847
digoxin,C0012265
l eft anterior descending,C0439394;C0205094;C1706495;C3642217;C0205386;C1547177
placebo,C0032042;C1696465;C1706408
r ight coronary,C0205090;C0018787;C0684010;C2603358
n,C0369718;C0441922
circumflex,C1880089
male,C0086582;C1706180;C1706428;C1706429
graft,C0181074;C0332835;C1961139
nonwhite,
age yrs,C0001779
prior mi,C0332152;C3810814;C2826257
digoxin,C0012265
diabetes etiology,C0015127;C1314792;C1524003
placebo,C0032042;C1696465;C1706408
ischemic,C0475224
n,C0369718;C0441922
nonischemic,
male,C0086582;C1706180;C1706428;C1706429
heart rate min_ $nmbr$ mean,C0444504;C2347634;C2348143
nonwhite,
systolic bp mm hg mean nyha class,C0488053;C1882083
prior mi,C0332152;C3810814;C2826257
ttf fv,C1332112;C1705840;C4087167
diabetes etiology,C0015127;C1314792;C1524003
ct ratio $nmbr$ $nmbr$,C0456603;C1547037
ischemic,C0475224
ejection fraction mean,C0444504;C2347634;C2348143
nonischemic,
creatinine $nmbr$ $nmbr$ mg dl medications,C0013227;C0802604;C2598133;C4284232
heart rate min_ $nmbr$ mean,C0444504;C2347634;C2348143
diuretics,C0012798
systolic bp mm hg mean nyha class,C0488053;C1882083
losartan n $nmbr$,C0126174
ttf fv,C1332112;C1705840;C4087167
atenolol n $nmbr$,C0004147
ct ratio $nmbr$ $nmbr$,C0456603;C1547037
all with diabetes n $nmbr$,C0011847;C0011849
ejection fraction mean,C0444504;C2347634;C2348143
all without diabetes n $nmbr$,C0011847;C0011849
creatinine $nmbr$ $nmbr$ mg dl medications,C0013227;C0802604;C2598133;C4284232
demographic and clinical characteristics,C0011298;C0683325
diuretics,C0012798
age years,C1510829
losartan n $nmbr$,C0126174
$nmbr$ $nmbr$ $nmbr$,
atenolol n $nmbr$,C0004147
ethnic origin white,C0007457;C0043157;C0220938
all with diabetes n $nmbr$,C0011847;C0011849
hispanic,C0086409
all without diabetes n $nmbr$,C0011847;C0011849
asian,C0078988
demographic and clinical characteristics,C0011298;C0683325
heart rate bpm,C0018810
age years,C1510829
bmi kg m $nmbr$,C0022718;C0439209;C4054209
$nmbr$ $nmbr$ $nmbr$,
cornell voltage duration product mmxmsec,C0598352;C0449238;C2926735
ethnic origin white,C0007457;C0043157;C0220938
sokolow lyon mm,C4330985;C4554674
hispanic,C0086409
framingham risk score,C0035647;C0449820;C4050231;C4552904
asian,C0078988
current smokers,C3173209;C3241966
heart rate bpm,C0018810
medical history,C0262926;C1704706
bmi kg m $nmbr$,C0022718;C0439209;C4054209
any vascular diasease,C0005847;C1558950;C1801960
cornell voltage duration product mmxmsec,C0598352;C0449238;C2926735
coronary heart disease,C0010054;C0010068;C1956346
sokolow lyon mm,C4330985;C4554674
cerebrovascular disease,C0007820
framingham risk score,C0035647;C0449820;C4050231;C4552904
current smokers,C3173209;C3241966
peripheral vascular disease,C0085096
atrial fibrillation,C0004238;C0344434;C1963067
medical history,C0262926;C1704706
isolated systolic hypertension^,C0745133
any vascular diasease,C0005847;C1558950;C1801960
table $nmbr$ characteristics of patients treated with losartan and atenolol,C0039224;C0815172;C1706074;C0332293;C0126174;C0004147
coronary heart disease,C0010054;C0010068;C1956346
women no,C0043210
cerebrovascular disease,C0007820
ethnicity no,C0015031;C0243103
peripheral vascular disease,C0085096
white,C0007457;C0043157;C0220938
atrial fibrillation,C0004238;C0344434;C1963067
systolic,C0039155
isolated systolic hypertension^,C0745133
heart rate beats min,C0439385
table $nmbr$ characteristics of patients treated with losartan and atenolol,C0039224;C0815172;C1706074;C0332293;C0126174;C0004147
body mass index kg m $nmbr$,C0022718;C0439209;C4054209
women no,C0043210
cornell voltage duration product mm x ms,C2349943;C3539704;C3713294
ethnicity no,C0015031;C0243103
framingham risk score arbitrary units,C0035647;C0439183;C4552904
white,C0007457;C0043157;C0220938
current smoker no,C3173209;C3241966
systolic,C0039155
medical history no,C0262926;C1704706
heart rate beats min,C0439385
previously untreated isolated systolic hypertension,C0745133
body mass index kg m $nmbr$,C0022718;C0439209;C4054209
overall n $nmbr$,C0282416;C1561607
cornell voltage duration product mm x ms,C2349943;C3539704;C3713294
rate control group n $nmbr$,C0441848
framingham risk score arbitrary units,C0035647;C0439183;C4552904
rhythm control group n $nmbr$,C0441848
current smoker no,C3173209;C3241966
female sex no,C0086287
medical history no,C0262926;C1704706
ethnic minority group no,C0015031;C1879937
previously untreated isolated systolic hypertension,C0745133
predominant cardiac diagnosis no,C0011900;C1704338;C1704656
overall n $nmbr$,C0282416;C1561607
coronar y artery disease,C0852949
rate control group n $nmbr$,C0441848
cardiomyopathy,C0878544
rhythm control group n $nmbr$,C0441848
valvular disease,C3258293
female sex no,C0086287
no apparent heart disease,C0750489;C0018799
ethnic minority group no,C0015031;C1879937
histor y of congestive heart failure no,C0018802
predominant cardiac diagnosis no,C0011900;C1704338;C1704656
duration of qualifying atrial fibrillation $nmbr$ days no,C0449238;C2926735;C1514624;C0004238;C0439228;C0344434;C1963067
coronar y artery disease,C0852949
first episode of atrial fibrillation vs recurrent episode no f,C0332189;C0439615;C0443287;C0016327
cardiomyopathy,C0878544
valvular disease,C3258293
any prerandomization failure of an antiarrhythmic drug no,C0231174;C0680095
no apparent heart disease,C0750489;C0018799
size of left atrium normal no,C0225860;C0332506
histor y of congestive heart failure no,C0018802
left ventricular ejection fraction,C0428772;C0488728
duration of qualifying atrial fibrillation $nmbr$ days no,C0449238;C2926735;C1514624;C0004238;C0439228;C0344434;C1963067
first episode of atrial fibrillation vs recurrent episode no f,C0332189;C0439615;C0443287;C0016327
normal left ventricular ejection fraction no j,C0428772;C0488728
no of participants,C0679646
any prerandomization failure of an antiarrhythmic drug no,C0231174;C0680095
$nmbr$ chlorthalidone n $nmbr$,C0008294
size of left atrium normal no,C0225860;C0332506
amlodipine n $nmbr$,C0051696
left ventricular ejection fraction,C0428772;C0488728
i lisinopril n $nmbr$,C0021966;C0065374;C0221138
age mean sd y,C0001779;C0444504;C2347634;C2348143
normal left ventricular ejection fraction no j,C0428772;C0488728
age range y,C0001779;C1514721;C2348147;C3542016
no of participants,C0679646
a $nmbr$,
$nmbr$ chlorthalidone n $nmbr$,C0008294
ethnicity,C0015031;C0243103
amlodipine n $nmbr$,C0051696
white non hispanic,C1533020;C1533021
i lisinopril n $nmbr$,C0021966;C0065374;C0221138
education mean sd y,C0013621;C0013622;C0013658;C0039401
age mean sd y,C0001779;C0444504;C2347634;C2348143
receiving antihypertensive,C1514756;C0003364
age range y,C0001779;C1514721;C2348147;C3542016
treatment,C0039798;C0087111;C1522326;C1533734;C1705169;C3538994;C3887704
a $nmbr$,
ethnicity,C0015031;C0243103
blood pressure mean sd mm hg,C0428886;C0439475
treated at baseline,C1522326;C0168634;C1442488
white non hispanic,C1533020;C1533021
untreated at baseline,C0332155;C0168634;C1442488
education mean sd y,C0013621;C0013622;C0013658;C0039401
$nmbr$ $nmbr$ s $nmbr$ $nmbr$,
receiving antihypertensive,C1514756;C0003364
eligibility risk factors,C0035648;C1553898
treatment,C0039798;C0087111;C1522326;C1533734;C1705169;C3538994;C3887704
cigarette smoker,C0337667
blood pressure mean sd mm hg,C0428886;C0439475
atherosclerotic cvdj,C0333482
treated at baseline,C1522326;C0168634;C1442488
history of ml or stroke,C0019664;C0019665;C0262512;C0262926;C1705255;C2004062;C0038454;C4554100
untreated at baseline,C0332155;C0168634;C1442488
history of coronary,C0019664;C0019665;C0262512;C0262926;C1705255;C2004062
$nmbr$ $nmbr$ s $nmbr$ $nmbr$,
revascularization,C0581603
eligibility risk factors,C0035648;C1553898
other atherosclerotic cvd,C0333482;C0007222
cigarette smoker,C0337667
major st depression or,C0041696;C1269683
atherosclerotic cvdj,C0333482
t wave inversion,C0520888
history of ml or stroke,C0019664;C0019665;C0262512;C0262926;C1705255;C2004062;C0038454;C4554100
lvh by electrocardiogram,C0149721;C0013798;C1547122;C1623258
history of coronary,C0019664;C0019665;C0262512;C0262926;C1705255;C2004062
lvh by echocardiogram,C0149721;C0013516;C2243117
revascularization,C0581603
other atherosclerotic cvd,C0333482;C0007222
history of chd at baseline,C0019664;C0019665;C0262512;C0262926;C1705255;C2004062;C0168634;C1442488
major st depression or,C0041696;C1269683
body mass index mean sd,C0005893;C2699239;C0578022;C1305855
t wave inversion,C0520888
current medication use,C0240320
aspirin,C0004057
lvh by electrocardiogram,C0149721;C0013798;C1547122;C1623258
estrogen supplementation,C0014939;C0242297;C2936882;C4542544
lvh by echocardiogram,C0149721;C0013516;C2243117
women only,C0043210
history of chd at baseline,C0019664;C0019665;C0262512;C0262926;C1705255;C2004062;C0168634;C1442488
lioid trial participants,C1997894;C2242969
body mass index mean sd,C0005893;C2699239;C0578022;C1305855
patients treated with losartan n $nmbr$,C0030705;C0332293;C0126174
current medication use,C0240320
patients treated with atenoloi n $nmbr$,C0030705;C0332293
aspirin,C0004057
aii patients n $nmbr$,C1424250;C0030705;C2698414
estrogen supplementation,C0014939;C0242297;C2936882;C4542544
age x,C0001779
women only,C0043210
women n,C0043210
lioid trial participants,C1997894;C2242969
ethnicity n,C0015031;C0243103
patients treated with losartan n $nmbr$,C0030705;C0332293;C0126174
$nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$,
patients treated with atenoloi n $nmbr$,C0030705;C0332293
bmi kg m^,C0022718;C0439209;C4054209
aii patients n $nmbr$,C1424250;C0030705;C2698414
cornell voltage x duration product mm x ms,C2349943;C3539704;C3713294
age x,C0001779
sokolow lyon voltage mm,C4330985;C4554674
women n,C0043210
current smokers n,C3173209;C3241966
ethnicity n,C0015031;C0243103
atrial fibrillation n,C0004238;C0344434;C1963067
$nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$,
isolated systolic hypertension n,C0745133
bmi kg m^,C0022718;C0439209;C4054209
diabetes n,C0011847;C0011849
cornell voltage x duration product mm x ms,C2349943;C3539704;C3713294
sokolow lyon voltage mm,C4330985;C4554674
patients with clinically evident vascular disease,C0683521
current smokers n,C3173209;C3241966
patients without clinically evident vascular disease,C0683521
atrial fibrillation n,C0004238;C0344434;C1963067
treated with losartan n $nmbr$,C0332293;C0126174
isolated systolic hypertension n,C0745133
treated with atenolol n $nmbr$,C0332293;C0004147
diabetes n,C0011847;C0011849
adjusted hazard ratio $nmbr$ cl,C2985465;C0596019
patients with clinically evident vascular disease,C0683521
unadjusted hazard ratio $nmbr$ cl,C2985465;C0596019
unadjusted hazard ratio $nmbr$ ci,C0008107;C3259781
patients without clinically evident vascular disease,C0683521
patients,C0030705
treated with losartan n $nmbr$,C0332293;C0126174
ratet,
treated with atenolol n $nmbr$,C0332293;C0004147
primary composite end points,C0205199;C2349179;C1547335
adjusted hazard ratio $nmbr$ cl,C2985465;C0596019
$nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$,
unadjusted hazard ratio $nmbr$ cl,C2985465;C0596019
$nmbr$ ^ $nmbr$,
unadjusted hazard ratio $nmbr$ ci,C0008107;C3259781
cardiovascular mortality,C0026565;C0026566
patients,C0030705
\ $nmbr$ $nmbr$ $nmbr$,
ratet,
stroke,C0038454;C4554100
primary composite end points,C0205199;C2349179;C1547335
myocardial infarction,C0027051;C0428953;C2926063;C3810814;C4552959
$nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$,
total mortality,C0026565;C0026566
$nmbr$ ^ $nmbr$,
hospitalization,C0019993
cardiovascular mortality,C0026565;C0026566
angina pectoris,C0002962
\ $nmbr$ $nmbr$ $nmbr$,
heart failure,C0018801;C0018802;C4554158
stroke,C0038454;C4554100
new onset diabetes,C0011847;C0011849
myocardial infarction,C0027051;C0428953;C2926063;C3810814;C4552959
candesartan group n $nmbr$,C0717550;C0441848
total mortality,C0026565;C0026566
control group n $nmbr$,C0441848
hospitalization,C0019993
mean age y,C0444504;C0001779;C2347634;C2348143
angina pectoris,C0002962
ejection fraction,C0489482;C2700378
heart failure,C0018801;C0018802;C4554158
history of,C0019664;C0019665;C0262512;C0262926;C1705255;C2004062
new onset diabetes,C0011847;C0011849
smoking status,C1519386
candesartan group n $nmbr$,C0717550;C0441848
exsmoker,C0337671;C4555205
control group n $nmbr$,C0441848
hypercholesterolemia,C0020443;C1522133
mean age y,C0444504;C0001779;C2347634;C2348143
type of lipid lowering regimen,C0332307;C1547052;C0441994;C2003888;C0040808;C2945654
ejection fraction,C0489482;C2700378
i moderate $nmbr$ mg of pravastatin n $nmbr$,C0024671;C0026410;C0439269;C1960952;C2346927;C4321396;C4521761
history of,C0019664;C0019665;C0262512;C0262926;C1705255;C2004062
i intensive $nmbr$ mg of atorvastatin n $nmbr$,C0024671;C0026410;C0439269;C1960952;C2346927;C4321396;C4521761
smoking status,C1519386
mean sd $nmbr$ $nmbr$ $nmbr$ $nmbr$,C0444504;C2699239;C2347634;C2348143
exsmoker,C0337671;C4555205
cholesterol mg dl total,C0201950;C0543421
hypercholesterolemia,C0020443;C1522133
low density lipoprotein,C0023823
type of lipid lowering regimen,C0332307;C1547052;C0441994;C2003888;C0040808;C2945654
high density lipoprotein,C0023821
i moderate $nmbr$ mg of pravastatin n $nmbr$,C0024671;C0026410;C0439269;C1960952;C2346927;C4321396;C4521761
triglycerides mg dl,C0041004;C0439269
i intensive $nmbr$ mg of atorvastatin n $nmbr$,C0024671;C0026410;C0439269;C1960952;C2346927;C4321396;C4521761
apolipoprotein b $nmbr$ mg dl,C0003593;C0439269
mean sd $nmbr$ $nmbr$ $nmbr$ $nmbr$,C0444504;C2699239;C2347634;C2348143
cholesterol mg dl total,C0201950;C0543421
c reactive protein mg l,C0006560;C0439268;C1413716;C4048285
low density lipoprotein,C0023823
men n $nmbr$,C0025266
no $nmbr$ $nmbr$,
high density lipoprotein,C0023821
white n $nmbr$,C0007457;C0043157;C0220938
triglycerides mg dl,C0041004;C0439269
smoking status current smoker n $nmbr$,C1519386;C3173209;C3241966
apolipoprotein b $nmbr$ mg dl,C0003593;C0439269
past or nonsmoker n $nmbr$,C0337672;C0425293;C4554605
c reactive protein mg l,C0006560;C0439268;C1413716;C4048285
history of hypertension n $nmbr$,C0455527
men n $nmbr$,C0025266
prior statin use n $nmbr$,C0332152;C0042153;C0457083;C1947944;C2826257
no $nmbr$ $nmbr$,
history of diabetes mellitus n $nmbr$,C0455488
white n $nmbr$,C0007457;C0043157;C0220938
metabolic syndrome n $nmbr$,C0524620
smoking status current smoker n $nmbr$,C1519386;C3173209;C3241966
subgroup,C1079230;C1515021
past or nonsmoker n $nmbr$,C0337672;C0425293;C4554605
test for interaction p value,C0022885;C0039593;C0392366;C0456984;C1515976;C3831328;C4318744
history of hypertension n $nmbr$,C0455527
demographics,C0011298;C1704791
prior statin use n $nmbr$,C0332152;C0042153;C0457083;C1947944;C2826257
age,C0001779
history of diabetes mellitus n $nmbr$,C0455488
gender,C0079399;C1522384
metabolic syndrome n $nmbr$,C0524620
country,C0454664;C1511538
subgroup,C1079230;C1515021
ethnic group,C0015031;C1879937
test for interaction p value,C0022885;C0039593;C0392366;C0456984;C1515976;C3831328;C4318744
disease history,C0683519
demographics,C0011298;C1704791
mi,C3810814
age,C0001779
ihd,C0151744
gender,C0079399;C1522384
angina,C0002962
country,C0454664;C1511538
microalbuminuria,C0730345
ethnic group,C0015031;C1879937
ish,
disease history,C0683519
alcohol intake,C0001948
mi,C3810814
exercise status,C0015259;C0449438;C1522704
ihd,C0151744
bmi,C0578022
angina,C0002962
systolic bp,C0871470
microalbuminuria,C0730345
diastolic bp,C0428883
ish,
total cholesterol,C0201950;C0543421
alcohol intake,C0001948
hdl cholesterol,C0023822;C0392885
exercise status,C0015259;C0449438;C1522704
ecg lvh cornell,C0232306
bmi,C0578022
ecg lvh sokolow lyon,C0232306
systolic bp,C0871470
a worldwide black and non black patients,C0005680;C0027567;C0085756;C0439541;C1829939
diastolic bp,C0428883
worldwide black patients,C0005680;C0030705;C0027567;C0085756;C0439541
total cholesterol,C0201950;C0543421
crude rate,C0871208;C1521828
hdl cholesterol,C0023822;C0392885
adjusted hazard ratio $nmbr$ ci,C0008107;C3259781
ecg lvh cornell,C0232306
rate,C0871208;C1521828
ecg lvh sokolow lyon,C0232306
composite,C0205199;C1547335
a worldwide black and non black patients,C0005680;C0027567;C0085756;C0439541;C1829939
components of primary composite end point secondary end points,C1882460
worldwide black patients,C0005680;C0030705;C0027567;C0085756;C0439541
mi fatal nonfatal,C1302234;C1705232
crude rate,C0871208;C1521828
stroke fatal nonfatal,C0038454;C1302234;C1705232;C4554100
adjusted hazard ratio $nmbr$ ci,C0008107;C3259781
worldwide non black patients,C1829939;C0005680;C0027567;C0085756;C0439541
rate,C0871208;C1521828
losartan n $nmbr$ $nmbr$,C0126174
composite,C0205199;C1547335
atenolol n $nmbr$ $nmbr$,C0004147
components of primary composite end point secondary end points,C1882460
b u s black and non black patients,C0005680;C0027567;C0085756;C0439541;C1829939
mi fatal nonfatal,C1302234;C1705232
u s black patients,C0041703;C0030705
stroke fatal nonfatal,C0038454;C1302234;C1705232;C4554100
u s non black patients,C0041703;C1829939
worldwide non black patients,C1829939;C0005680;C0027567;C0085756;C0439541
monteiukast n $nmbr$,
losartan n $nmbr$ $nmbr$,C0126174
sex no,C0009253;C0036864;C0079399;C0804628;C1314687;C1522384
atenolol n $nmbr$ $nmbr$,C0004147
female,C0043210;C0086287;C1705497;C1705498
b u s black and non black patients,C0005680;C0027567;C0085756;C0439541;C1829939
race no,C0034510;C1706779;C3853635
u s black patients,C0041703;C0030705
patients receiving immunotherapy no,C0030705;C1514756;C0005525;C0021083
u s non black patients,C0041703;C1829939
allergic rhinitis duration mean sd y,C1334103;C2607914;C4552864
monteiukast n $nmbr$,
baseline daytime nasal symptoms score mean sd,C0231918;C2699239
sex no,C0009253;C0036864;C0079399;C0804628;C1314687;C1522384
pollen exposure,C0274281;C0332157
female,C0043210;C0086287;C1705497;C1705498
patients included in analysis,C0030705;C0332257;C0002778;C0936012;C1524024
race no,C0034510;C1706779;C3853635
daytime nasal symptoms score change from baseline mean se,C0436315
patients receiving immunotherapy no,C0030705;C1514756;C0005525;C0021083
ls mean difference $nmbr$ cl,C0023668;C0596019
allergic rhinitis duration mean sd y,C1334103;C2607914;C4552864
monteiukast,
baseline daytime nasal symptoms score mean sd,C0231918;C2699239
monteiukast vs placebo,C0032042;C1696465;C1706408
pollen exposure,C0274281;C0332157
pollent $nmbr$,
patients included in analysis,C0030705;C0332257;C0002778;C0936012;C1524024
