CUI,matchedText,preferred,hasMSH
C0687757,fine,Legal fine,false
C0745732,List,List,false
C3272378,LIST,Sequence Data Type,false
C0040028,ET,"Thrombocythemia, Essential",true
C0028125,Nitrates,Nitrates,true
C0332257,include,Including (qualifier),false
C1552866,include,include - SetOperator,false
C2700399,Include,Include (action),false
C1521827,Preparation,Preparation,false
C3812761,Preparation,Prepared Material,false
C0013227,Drug,Pharmaceutical Preparations,true
C1254351,DRUG,Pharmacologic Substance,false
C0699857,Nitrate,Nitrate,false
C3848573,Nitrate,nitrate ion,false
C0006684,Calcium Channel Blocker,Calcium Channel Blockers,true
C3536851,Calcium Channel Blocker,Calcium Channel Blocker [EPC],false
C4521885,Calcium channel blocker,Calcium channel blocker (disposition),false
C0001645,Beta Blocker,Adrenergic beta-Antagonists,true
C0005893,Body mass index,Body mass index procedure,false
C0578022,Body Mass Index,Finding of body mass index,false
C1305855,BODY MASS INDEX,Body mass index,true
C0005910,Weight,Body Weight,true
C0043100,Weight,Weight,true
C1305866,weight,Weighing patient,false
C1705104,Weight,Importance Weight,false
C0332849,Divided,Divide,false
C0205120,SQUARE,Square shape,false
C1552595,Square,Style Type - Square,false
C0441074,Meters,Meters (physical object),false
C0008377,CHOLESTEROL,Cholesterol,true
C0439190,millimoles,millimole,false
C0475211,Litre,liter,false
C1719797,Multiply,Multiply - dosing instruction fragment,false
C2911648,Multiply,Multiplication,false
C0041004,TRIGLYCERIDES,Triglycerides,true
C1532563,Millimole per Liter,Millimole per Liter,false
C1711350,Interquartile Range,Interquartile Range,false
C0444504,Mean,Statistical mean,false
C2347634,Mean,Population Mean,false
C2348143,Mean,Sample Mean,false
C1521970,Characteristics,Characteristics,false
C0444504,Mean,Statistical mean,false
C2347634,Mean,Population Mean,false
C2348143,Mean,Sample Mean,false
C0441833,Group,Groups,false
C0687744,group,Social group,false
C1257890,Group,Population Group,true
C1519504,Group,Stage Grouping,false
C1705428,Group,Group Object,false
C1705429,Group,User Group,false
C0444504,Mean,Statistical mean,false
C2347634,Mean,Population Mean,false
C2348143,Mean,Sample Mean,false
C0441833,Group,Groups,false
C0687744,group,Social group,false
C1257890,Group,Population Group,true
C1519504,Group,Stage Grouping,false
C1705428,Group,Group Object,false
C1705429,Group,User Group,false
C0681850,Subject,Study Subject,false
C1550501,{Subject},Subject -direct target,false
C1706203,Subject,Subject - topic,false
C2349001,Subject,Human Study Subject,false
C2697811,Subject,Investigative Subject,false
C0042295,Values,Values,false
C1704970,Means,Means,false
C0010055,CABG,Coronary Artery Bypass Surgery,true
C0190211,coronary artery angioplasty,Coronary angioplasty,false
C0920394,angiotensin hypertension,angiotensin hypertension,false
C0011847,Diabetes,Diabetes,false
C0011849,Diabetes,Diabetes Mellitus,true
C0011198,DE,Delaware,true
C0017480,DE,Germany,true
C3541240,DE,Device Events Domain,false
C0205232,Fine,Fine - adjective,false
C0687757,fine,Legal fine,false
C0745732,List,List,false
C3272378,LIST,Sequence Data Type,false
C0040028,ET,"Thrombocythemia, Essential",true
C0028125,Nitrates,Nitrates,true
C0332257,include,Including (qualifier),false
C1552866,include,include - SetOperator,false
C2700399,Include,Include (action),false
C1521827,Preparation,Preparation,false
C3812761,Preparation,Prepared Material,false
C0013227,Drug,Pharmaceutical Preparations,true
C1254351,DRUG,Pharmacologic Substance,false
C0699857,Nitrate,Nitrate,false
C3848573,Nitrate,nitrate ion,false
C0006684,Calcium Channel Blocker,Calcium Channel Blockers,true
C3536851,Calcium Channel Blocker,Calcium Channel Blocker [EPC],false
C4521885,Calcium channel blocker,Calcium channel blocker (disposition),false
C0001645,Beta Blocker,Adrenergic beta-Antagonists,true
C0005893,Body mass index,Body mass index procedure,false
C0578022,Body Mass Index,Finding of body mass index,false
C1305855,BODY MASS INDEX,Body mass index,true
C0005910,Weight,Body Weight,true
C0043100,Weight,Weight,true
C1305866,weight,Weighing patient,false
C1705104,Weight,Importance Weight,false
C0332849,Divided,Divide,false
C0205120,SQUARE,Square shape,false
C1552595,Square,Style Type - Square,false
C0441074,Meters,Meters (physical object),false
C0008377,CHOLESTEROL,Cholesterol,true
C0439190,millimoles,millimole,false
C0475211,Litre,liter,false
C1719797,Multiply,Multiply - dosing instruction fragment,false
C2911648,Multiply,Multiplication,false
C0041004,TRIGLYCERIDES,Triglycerides,true
C1532563,Millimole per Liter,Millimole per Liter,false
C0001779,AGE,Age,false
C0043210,Women,Woman,true
C1521970,Characteristics,Characteristics,false
C1533020,"Hispanic, white",Hispanic white finding,false
C1533021,"Hispanic, white",Hispanic white racial group,false
C0441833,Group,Groups,false
C0687744,group,Social group,false
C1257890,Group,Population Group,true
C1519504,Group,Stage Grouping,false
C1705428,Group,Group Object,false
C1705429,Group,User Group,false
C1533017,"Hispanic, black",Hispanic black finding,false
C1533018,"Hispanic, black",Hispanic black racial group,false
C0441833,Group,Groups,false
C0687744,group,Social group,false
C1257890,Group,Population Group,true
C1519504,Group,Stage Grouping,false
C1705428,Group,Group Object,false
C1705429,Group,User Group,false
C1533020,"Hispanic, white",Hispanic white finding,false
C1533021,"Hispanic, white",Hispanic white racial group,false
C0681850,Subject,Study Subject,false
C1550501,{Subject},Subject -direct target,false
C1706203,Subject,Subject - topic,false
C2349001,Subject,Human Study Subject,false
C2697811,Subject,Investigative Subject,false
C1533017,"Hispanic, black",Hispanic black finding,false
C1533018,"Hispanic, black",Hispanic black racial group,false
C0001779,AGE,Age,false
C0034510,RACE,Racial group,true
C1706779,RACE,AMACR wt Allele,false
C3853635,Race,Race,false
C0043210,Women,Woman,true
C0013621,Education,Knowledge acquisition,true
C0013622,education,Educational aspects,true
C0013658,"Education, NOS",Educational Status,true
C0039401,Education,Educational process of instructing,true
C1533020,"Hispanic, white",Hispanic white finding,false
C1533021,"Hispanic, white",Hispanic white racial group,false
C0005823,BLOOD PRESSURE,Blood Pressure,true
C0439475,mmHG,mmHg,false
C1271104,Blood Pressure,Blood pressure finding,false
C1272641,Blood pressure,Systemic arterial pressure,true
C1533017,"Hispanic, black",Hispanic black finding,false
C1533018,"Hispanic, black",Hispanic black racial group,false
C1522326,Treated,Treating,false
C0020538,HYPERTENSION,Hypertensive disease,true
C1963138,Hypertension,"Hypertension, CTCAE",false
C1533020,"Hispanic, white",Hispanic white finding,false
C1533021,"Hispanic, white",Hispanic white racial group,false
C0035648,Risk Factors,risk factors,true
C1553898,risk factors,risk factors - observation list,false
C1533017,"Hispanic, black",Hispanic black finding,false
C1533018,"Hispanic, black",Hispanic black racial group,false
C0392747,changes,Changing,false
C0443172,changes,Changed status,false
C0034510,RACE,Racial group,true
C1706779,RACE,AMACR wt Allele,false
C3853635,Race,Race,false
C1320657,type diabetes,Diabetes type,false
C0013622,education,Educational aspects,true
C0013621,Education,Knowledge acquisition,true
C0013658,"Education, NOS",Educational Status,true
C0039401,Education,Educational process of instructing,true
C0239059,cigarette smoking,Cigarette smoke (substance),false
C0700219,CIGARETTE SMOKING,Cigarette smoking behavior,true
C0439475,mmHG,mmHg,false
C0005823,BLOOD PRESSURE,Blood Pressure,true
C1271104,Blood Pressure,Blood pressure finding,false
C1272641,Blood pressure,Systemic arterial pressure,true
C3715113,HDL,HSD11B1 wt Allele,false
C1522326,Treated,Treating,false
C0020538,HYPERTENSION,Hypertensive disease,true
C1963138,Hypertension,"Hypertension, CTCAE",false
C0149721,LVH,Left Ventricular Hypertrophy,true
C0013798,Electrocardiogram,Electrocardiogram,true
C1547122,Electro-Cardiogram,Electro-Cardiogram,false
C1623258,Electrocardiogram,Electrocardiography,true
C0035648,Risk Factors,risk factors,true
C1553898,risk factors,risk factors - observation list,false
C0149721,LVH,Left Ventricular Hypertrophy,true
C0013516,Echocardiogram,Echocardiography,true
C2243117,Echocardiogram,Echocardiogram (image),false
C0392747,changes,Changing,false
C0443172,changes,Changed status,false
C0302353,Serum Potassium,Serum potassium measurement,false
C1532563,mmol/L,Millimole per Liter,false
C0543465,serum potassium,Serum Potassium result,false
C1320657,type diabetes,Diabetes type,false
C0439269,mg dl,mg/dL,false
C0015663,FASTING,Fasting,true
C0239059,cigarette smoking,Cigarette smoke (substance),false
C0700219,CIGARETTE SMOKING,Cigarette smoking behavior,true
C0010294,CREATININE,Creatinine,true
C0439269,mg dl,mg/dL,false
C1561535,Creatinine,"Creatinine, CTCAE",false
C3715113,HDL,HSD11B1 wt Allele,false
C0008377,CHOLESTEROL,Cholesterol,true
C0439269,mg dl,mg/dL,false
C0013798,Electrocardiogram,Electrocardiogram,true
C0149721,LVH,Left Ventricular Hypertrophy,true
C1547122,Electro-Cardiogram,Electro-Cardiogram,false
C1623258,Electrocardiogram,Electrocardiography,true
C0439269,mg dl,mg/dL,false
C0149721,LVH,Left Ventricular Hypertrophy,true
C0013516,Echocardiogram,Echocardiography,true
C2243117,Echocardiogram,Echocardiogram (image),false
C3715113,HDL,HSD11B1 wt Allele,false
C0439269,mg dl,mg/dL,false
C0302353,Serum Potassium,Serum potassium measurement,false
C1532563,mmol/L,Millimole per Liter,false
C0543465,serum potassium,Serum Potassium result,false
C0015663,FASTING,Fasting,true
C0041004,TRIGLYCERIDES,Triglycerides,true
C0439269,mg dl,mg/dL,false
C0015663,FASTING,Fasting,true
C0439269,mg dl,mg/dL,false
C0439828,Variable,Variable (uniformity),false
C4553760,Variable,Study Variable,false
C0010294,CREATININE,Creatinine,true
C0439269,mg dl,mg/dL,false
C1561535,Creatinine,"Creatinine, CTCAE",false
C0288672,ABCIXIMAB,abciximab,true
C0008377,CHOLESTEROL,Cholesterol,true
C0439269,mg dl,mg/dL,false
C1709380,P-Value,P-Value,false
C0439269,mg dl,mg/dL,false
C0086582,MALE SEX,Males,true
C3715113,HDL,HSD11B1 wt Allele,false
C0439269,mg dl,mg/dL,false
C0439209,kg,Kilogram,false
C0022718,KG,Kyrgyzstan,true
C4054209,/kg,Per Kilogram,false
C0015663,FASTING,Fasting,true
C0041004,TRIGLYCERIDES,Triglycerides,true
C0439269,mg dl,mg/dL,false
C0683325,clinical characteristics,clinical aspects,false
C0439828,Variable,Variable (uniformity),false
C4553760,Variable,Study Variable,false
C0020473,"Hyperlipidaemia, NOS",Hyperlipidemia,true
C0428465,Hyperlipidemia,Serum lipids high (finding),false
C4555212,Hyperlipidemia,"Hyperlipidemia, CTCAE",false
C0288672,ABCIXIMAB,abciximab,true
C0455527,History of - hypertension,H/O: hypertension,false
C1709380,P-Value,P-Value,false
C0027051,"Infarction, Myocardial",Myocardial Infarction,true
C0428953,MYOCARDIAL INFARCTION,Electrocardiogram: myocardial infarction (finding),false
C2926063,Myocardial infarction,Myocardial infarction:Finding:Point in time:^Patient:Ordinal,false
C3810814,Myocardial Infarction,Myocardial Infarction ECG Assessment,false
C4552959,Myocardial infarction,"Myocardial Infarction, CTCAE",false
C0086582,MALE SEX,Males,true
C0002965,"Angina, Unstable","Angina, Unstable",true
C0022718,KG,Kyrgyzstan,true
C0439209,kg,Kilogram,false
C4054209,/kg,Per Kilogram,false
C0340288,"Angina, Stable",Stable angina,true
C0683325,clinical characteristics,clinical aspects,false
C0018801,"Failure, Heart",Heart failure,true
C0018802,Heart Failure,Congestive heart failure,true
C4554158,Heart failure,"Heart Failure, CTCAE",false
C0020473,"Hyperlipidaemia, NOS",Hyperlipidemia,true
C0428465,Hyperlipidemia,Serum lipids high (finding),false
C4555212,Hyperlipidemia,"Hyperlipidemia, CTCAE",false
C0018802,CONGESTIVE HEART FAILURE,Congestive heart failure,true
C0455527,History of - hypertension,H/O: hypertension,false
C0036980,CARDIOGENIC SHOCK,"Shock, Cardiogenic",true
C1279901,First,Firstly,false
C0205435,First,First (number),false
C0034656,Randomization,Randomization,true
C0027051,"Infarction, Myocardial",Myocardial Infarction,true
C0428953,MYOCARDIAL INFARCTION,Electrocardiogram: myocardial infarction (finding),false
C2926063,Myocardial infarction,Myocardial infarction:Finding:Point in time:^Patient:Ordinal,false
C3810814,Myocardial Infarction,Myocardial Infarction ECG Assessment,false
C4552959,Myocardial infarction,"Myocardial Infarction, CTCAE",false
C0184661,Intervention,Interventional procedure,true
C0886296,intervention,Nursing interventions,false
C1273869,Intervention,Intervention regimes,false
C0002965,"Angina, Unstable","Angina, Unstable",true
C2936173,Percutaneous Transluminal Coronary Angioplasty,Percutaneous Transluminal Coronary Angioplasty,true
C0340288,"Angina, Stable",Stable angina,true
C0332835,grafting,Transplanted tissue,true
C1527362,grafting,grafting qualifier,true
C1961139,Grafting,Grafting procedure,false
C0018801,"Failure, Heart",Heart failure,true
C4554158,Heart failure,"Heart Failure, CTCAE",false
C0018802,Heart Failure,Congestive heart failure,true
C0150270,Drug administration,Medication Management,false
C0262754,Administration drug,drug management,false
C3469597,Drug administration,Administration of medication,false
C0018802,CONGESTIVE HEART FAILURE,Congestive heart failure,true
C1186706,Bolus,Bolus of ingested food,false
C1511237,Bolus,bolus infusion,false
C1705509,{Bolus},Bolus Dosing Unit,false
C3812160,Bolus,Radiotherapy Bolus,false
C0036980,CARDIOGENIC SHOCK,"Shock, Cardiogenic",true
C0205435,First,First (number),false
C1279901,First,Firstly,false
C0034656,Randomization,Randomization,true
C1186706,Bolus,Bolus of ingested food,false
C1511237,Bolus,bolus infusion,false
C1705509,{Bolus},Bolus Dosing Unit,false
C3812160,Bolus,Radiotherapy Bolus,false
C0574032,Infusion,Infusion procedures,false
C1827465,Infusion,Infusion route,false
C0184661,Intervention,Interventional procedure,true
C0886296,intervention,Nursing interventions,false
C1273869,Intervention,Intervention regimes,false
C1301808,Territory,Geographic state,false
C2983136,Territory,Territory,false
C2936173,Percutaneous Transluminal Coronary Angioplasty,Percutaneous Transluminal Coronary Angioplasty,true
C0016327,F-,Fluorides,true
C0332835,grafting,Transplanted tissue,true
C1527362,grafting,grafting qualifier,true
C1961139,Grafting,Grafting procedure,false
C0205094,ANTERIOR,Anterior,false
C0150270,Drug administration,Medication Management,false
C0262754,Administration drug,drug management,false
C3469597,Drug administration,Administration of medication,false
C0542339,INFERIOR,Inferior,false
C0678975,inferior,inferiority,false
C1511237,Bolus,bolus infusion,false
C1705509,{Bolus},Bolus Dosing Unit,false
C1186706,Bolus,Bolus of ingested food,false
C3812160,Bolus,Radiotherapy Bolus,false
C0021308,INFARCT,Infarction,true
C0005847,Vessel,Blood Vessel,true
C1186706,Bolus,Bolus of ingested food,false
C1511237,Bolus,bolus infusion,false
C1705509,{Bolus},Bolus Dosing Unit,false
C3812160,Bolus,Radiotherapy Bolus,false
C0574032,Infusion,Infusion procedures,false
C1827465,Infusion,Infusion route,false
C0439394,l's,liter/second,false
C0205094,ANTERIOR,Anterior,false
C1706495,L-,upper case letter ell,false
C3642217,/L,Per Liter,false
C0205386,Descending,Descending,false
C1547177,Descending,Sequencing - Descending,false
C1301808,Territory,Geographic state,false
C2983136,Territory,Territory,false
C0205090,R-,Right,false
C0018787,coronary,Heart,true
C0684010,R.,Rabbi,true
C2603358,R',R prime,false
C0016327,F-,Fluorides,true
C1880089,Circumflex,Circumflex,false
C0205094,ANTERIOR,Anterior,false
C0181074,{Graft},Graft material,false
C0332835,GRAFT,Transplanted tissue,true
C1961139,"Graft, NOS",Grafting procedure,false
C0542339,INFERIOR,Inferior,false
C0678975,inferior,inferiority,false
C0001779,AGE,Age,false
C0021308,INFARCT,Infarction,true
C0005847,Vessel,Blood Vessel,true
C0012265,DIGOXIN,Digoxin,true
C0439394,l's,liter/second,false
C0205094,ANTERIOR,Anterior,false
C1706495,L-,upper case letter ell,false
C3642217,/L,Per Liter,false
C0205386,Descending,Descending,false
C1547177,Descending,Sequencing - Descending,false
C1696465,PLACEBO,placebo,false
C0032042,Placebo,Placebos,true
C1706408,PLACEBO,Placebo Control,false
C0205090,R-,Right,false
C0018787,coronary,Heart,true
C0684010,R.,Rabbi,true
C2603358,R',R prime,false
C0369718,N NOS,N not otherwise specified Antibody,false
C0441922,N+,N+ (tumor staging),false
C1880089,Circumflex,Circumflex,false
C0086582,MALE,Males,true
C1706180,Male,"Male Gender, Self Report",false
C1706428,MALE,Male Phenotype,false
C1706429,Male,"Male, Self-Reported",false
C0181074,{Graft},Graft material,false
C1961139,"Graft, NOS",Grafting procedure,false
C0332835,GRAFT,Transplanted tissue,true
C0001779,AGE,Age,false
C0332152,Prior,Before,false
C3810814,MI,Myocardial Infarction ECG Assessment,false
C2826257,PRIOR,Prior Medication Usage,false
C0012265,DIGOXIN,Digoxin,true
C0015127,etiology,Etiology aspects,true
C1314792,Etiology,Etiology,true
C1524003,Etiology,Science of Etiology,false
C0032042,Placebo,Placebos,true
C1696465,PLACEBO,placebo,false
C1706408,PLACEBO,Placebo Control,false
C0475224,Ischemic,Ischemic,false
C0369718,N NOS,N not otherwise specified Antibody,false
C0441922,N+,N+ (tumor staging),false
C0086582,MALE,Males,true
C1706180,Male,"Male Gender, Self Report",false
C1706428,MALE,Male Phenotype,false
C1706429,Male,"Male, Self-Reported",false
C0444504,Mean,Statistical mean,false
C2347634,Mean,Population Mean,false
C2348143,Mean,Sample Mean,false
C0488053,BP mean,Intravascular mean:Pressure:Point in time:Arterial system:Quantitative,false
C1882083,NYHA Class,New York Heart Association Class,false
C0332152,Prior,Before,false
C3810814,MI,Myocardial Infarction ECG Assessment,false
C2826257,PRIOR,Prior Medication Usage,false
C1332112,TTF,RHOH gene,false
C1705840,TTF,RHOH wt Allele,false
C4087167,TTF,Tumour treating fields therapy,false
C0015127,etiology,Etiology aspects,true
C1314792,Etiology,Etiology,true
C1524003,Etiology,Science of Etiology,false
C0456603,RATIO,Ratio,false
C1547037,Ratio,data type - ratio,false
C0475224,Ischemic,Ischemic,false
C0444504,Mean,Statistical mean,false
C2347634,Mean,Population Mean,false
C2348143,Mean,Sample Mean,false
C0013227,Medications,Pharmaceutical Preparations,true
C0802604,Medications,Medications:Presence or Identity:Duration of the study:^Patient:Nominal,false
C2598133,Medications,Medications:-:Point in time:^Patient:-,false
C4284232,Medications,Medications,false
C0444504,Mean,Statistical mean,false
C2347634,Mean,Population Mean,false
C2348143,Mean,Sample Mean,false
C0012798,DIURETICS,Diuretics,true
C0488053,BP mean,Intravascular mean:Pressure:Point in time:Arterial system:Quantitative,false
C1882083,NYHA Class,New York Heart Association Class,false
C0126174,LOSARTAN,Losartan,true
C1332112,TTF,RHOH gene,false
C1705840,TTF,RHOH wt Allele,false
C4087167,TTF,Tumour treating fields therapy,false
C0004147,ATENOLOL,Atenolol,true
C0456603,RATIO,Ratio,false
C1547037,Ratio,data type - ratio,false
C0011847,Diabetes,Diabetes,false
C0011849,Diabetes,Diabetes Mellitus,true
C0444504,Mean,Statistical mean,false
C2347634,Mean,Population Mean,false
C2348143,Mean,Sample Mean,false
C0011847,Diabetes,Diabetes,false
C0011849,Diabetes,Diabetes Mellitus,true
C0013227,Medications,Pharmaceutical Preparations,true
C0802604,Medications,Medications:Presence or Identity:Duration of the study:^Patient:Nominal,false
C2598133,Medications,Medications:-:Point in time:^Patient:-,false
C4284232,Medications,Medications,false
C0011298,demographic,Demography,true
C0683325,clinical characteristics,clinical aspects,false
C0012798,DIURETICS,Diuretics,true
C1510829,Age-Years,Age-Years,false
C0126174,LOSARTAN,Losartan,true
C0004147,ATENOLOL,Atenolol,true
C0007457,WHITE,Caucasoid Race,true
C0043157,WHITE,Caucasians,true
C0220938,WHITE,White color,false
C0011847,Diabetes,Diabetes,false
C0011849,Diabetes,Diabetes Mellitus,true
C0086409,HISPANIC,Hispanics,true
C0011847,Diabetes,Diabetes,false
C0011849,Diabetes,Diabetes Mellitus,true
C0078988,ASIAN,Asians,true
C0011298,demographic,Demography,true
C0683325,clinical characteristics,clinical aspects,false
C0018810,Heart Rate,heart rate,true
C1510829,Age-Years,Age-Years,false
C0022718,KG,Kyrgyzstan,true
C0439209,kg,Kilogram,false
C4054209,/kg,Per Kilogram,false
C0598352,Voltage,voltage,false
C0449238,Duration,Duration (temporal concept),false
C2926735,Duration,Duration,false
C0007457,WHITE,Caucasoid Race,true
C0043157,WHITE,Caucasians,true
C0220938,WHITE,White color,false
C4330985,/mm,Per Millimeter,false
C4554674,MM,MM genotype,false
C0086409,HISPANIC,Hispanics,true
C0035647,Risk,Risk,true
C0449820,SCORE,Score,false
C4050231,Score,ADHD hyperactive symptoms mean score:Score:Pt:^Patient:Qn:Calculated,false
C4552904,risk,Subject Risk,false
C0078988,ASIAN,Asians,true
C3173209,Current smoker,Current smoker:Finding:Point in time:^Patient:Ordinal,false
C3241966,Current Smoker,Current Smoker,false
C0018810,Heart Rate,heart rate,true
C1704706,Medical History,Medical History Domain,false
C0262926,Medical History,Medical History,false
C0022718,KG,Kyrgyzstan,true
C0439209,kg,Kilogram,false
C4054209,/kg,Per Kilogram,false
C0005847,Vascular,Blood Vessel,true
C1558950,VASCULAR,Adverse Event Associated with Vascular,false
C1801960,Vascular,Vascular,false
C0598352,Voltage,voltage,false
C0449238,Duration,Duration (temporal concept),false
C2926735,Duration,Duration,false
C0010068,Coronary Heart Disease,Coronary heart disease,true
C0010054,coronary heart disease,Coronary Arteriosclerosis,true
C1956346,coronary heart disease,Coronary Artery Disease,true
C4330985,/mm,Per Millimeter,false
C4554674,MM,MM genotype,false
C0007820,CEREBROVASCULAR DISEASE,Cerebrovascular Disorders,true
C0035647,Risk,Risk,true
C0449820,SCORE,Score,false
C4050231,Score,ADHD hyperactive symptoms mean score:Score:Pt:^Patient:Qn:Calculated,false
C4552904,risk,Subject Risk,false
C3173209,Current smoker,Current smoker:Finding:Point in time:^Patient:Ordinal,false
C3241966,Current Smoker,Current Smoker,false
C0085096,PERIPHERAL VASCULAR DISEASE,Peripheral Vascular Diseases,true
C0004238,ATRIAL FIBRILLATION,Atrial Fibrillation,true
C0344434,Atrial Fibrillation,Atrial Fibrillation by ECG Finding,false
