'docid'|'page'|'user'|'annotation'|'corrupted'|'tableType'|'corrupted_text'|'N'
'27502307'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'15030'
'27493790'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Row","content":{"measures":true},"qualifiers":{},"number":"2"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'15032'
'27484756'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'15033'
'27465265'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'15034'
'27437883'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"characteristic_level":true},"qualifiers":{"bold":true},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'15036'
'27395349'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"characteristic_level":true,"measures":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'15038'
'27354044'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"characteristic_level":true,"measures":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'15040'
'27316465'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"characteristic_level":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'15042'
'27313282'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true,"measures":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'15043'
'27295427'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{"bold":true},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'15045'
'27181606'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'15047'
'27046162'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true,"measures":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row_with_p_value":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'15052'
'27046160'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"characteristic_level":true,"measures":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'15053'
'27043082'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'15054'
'27033025'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"characteristic_level":true},"qualifiers":{},"number":"1"},{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"2"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'15056'
'26886418'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Row","content":{"measures":true},"qualifiers":{},"number":"2"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'15057'
'26762525'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"characteristic_level":true,"measures":true},"qualifiers":{},"number":"1"},{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"2"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'15058'
'26762481'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"characteristic_level":true,"measures":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"},{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"2"}]}'|'false'|'baseline_table'|''|'15059'
'26747037'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"characteristic_level":true},"qualifiers":{},"number":"1"},{"location":"Row","content":{"characteristic_level":true},"qualifiers":{},"number":"2"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'15060'
'26747037'|'2'|'Lili'|'{"annotations":[{"location":"Row","content":{"measures":true,"p-interaction":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"outcomes":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'15061'
'26747037'|'3'|'Lili'|'{"annotations":[{"location":"Row","content":{"measures":true,"p-interaction":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"outcomes":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"outcomes":true},"qualifiers":{},"number":"2"}]}'|'false'|'baseline_table'|''|'15062'
'25352655'|'4'|'David'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"measures":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'15167'
'26744025'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"characteristic_level":true},"qualifiers":{"bold":true},"number":"1"},{"location":"Row","content":{"arms":true},"qualifiers":{"bold":true},"number":"2"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'15063'
'26704701'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"characteristic_name":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'15065'
'26699168'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true,"measures":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'15067'
'26653621'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true,"measures":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'15069'
'26627989'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true,"measures":true},"qualifiers":{},"number":"1"},{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"2"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'15071'
'26586780'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'15073'
'26580237'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'15075'
'26547918'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'15077'
'26541915'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"measures":true},"qualifiers":{},"number":"1"},{"location":"Row","content":{"characteristic_level":true},"qualifiers":{},"number":"2"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row_with_p_value":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{"indented":true},"number":"1"}]}'|'false'|'baseline_table'|''|'15078'
'28385353'|'3'|'Elaine'|'{"annotations":[{"location":"Col","content":{"characteristic_name":true,"characteristic_level":true},"qualifiers":{},"number":"1"},{"location":"Row","content":{"measures":true},"qualifiers":{},"number":"1"}]}'|'false'|'result_table_subgroup'|''|'15952'
'28385353'|'4'|'Elaine'|'{"annotations":[{"location":"Col","content":{"characteristic_name":true,"characteristic_level":true},"qualifiers":{},"number":"1"},{"location":"Row","content":{"measures":true},"qualifiers":{},"number":"1"}]}'|'false'|'result_table_subgroup'|''|'15953'
'28385353'|'5'|'Elaine'|'{"annotations":[{"location":"Col","content":{"characteristic_name":true,"characteristic_level":true},"qualifiers":{},"number":"1"},{"location":"Row","content":{"measures":true},"qualifiers":{},"number":"1"}]}'|'false'|'result_table_subgroup'|''|'15954'
'28385353'|'6'|'Elaine'|'{"annotations":[{"location":"Col","content":{"characteristic_name":true,"characteristic_level":true},"qualifiers":{},"number":"1"},{"location":"Row","content":{"measures":true},"qualifiers":{},"number":"1"}]}'|'false'|'result_table_subgroup'|''|'15955'
'28385353'|'7'|'Elaine'|'{"annotations":[{"location":"Col","content":{"characteristic_name":true,"characteristic_level":true},"qualifiers":{},"number":"1"},{"location":"Row","content":{"measures":true},"qualifiers":{},"number":"1"}]}'|'false'|'result_table_subgroup'|''|'15956'
'26097039'|'3'|'Lili'|'{"annotations":[{"location":"Col","content":{"characteristic_level":true,"measures":true,"time/period":true,"characteristic_name":true},"qualifiers":{},"number":"1"},{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"2"}]}'|'false'|'result_table_subgroup'|''|'16152'
'26400827'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"other":true},"qualifiers":{},"number":"1"},{"location":"Row","content":{"arms":true,"measures":true},"qualifiers":{},"number":"2"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'15090'
'26400827'|'2'|'David'|'{"annotations":[{"location":"Row","content":{"arms":true,"measures":true,"p-interaction":true},"qualifiers":{},"number":"2"},{"location":"Col","content":{"outcomes":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"2"}]}'|'false'|'baseline_table'|''|'15091'
'26378978'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'15092'
'26358285'|'1'|'David'|'{"annotations":[{"location":"Row","content":{"outcomes":true},"qualifiers":{},"number":"1"},{"location":"Row","content":{"outcomes":true},"qualifiers":{},"number":"2"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{"indented":true},"number":"1"}]}'|'false'|'baseline_table'|'Corrupted older annotation'|'15095'
'26338971'|'1'|'David'|'{"annotations":[{"location":"Row","content":{"characteristic_level":true,"p-interaction":true},"qualifiers":{},"number":"1"},{"location":"Row","content":{"measures":true,"arms":true},"qualifiers":{},"number":"2"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'15097'
'26330422'|'1'|'David'|'{"annotations":[{"location":"Row","content":{"other":true},"qualifiers":{},"number":"1"},{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"2"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'15099'
'26321103'|'1'|'David'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{"indented":true},"number":"1"}]}'|'false'|'baseline_table'|''|'15101'
'26027630'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true,"measures":true},"qualifiers":{},"number":"1"},{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"2"},{"location":"Col","content":{"characteristic_name":true,"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'15126'
'18398080'|'1'|'Katherine'|'{"annotations":[{"location":"Row","content":{"measures":true,"p-interaction":true},"qualifiers":{"bold":true},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'15379'
'26275429'|'1'|'David'|'{"annotations":[{"location":"Row","content":{"characteristic_level":true},"qualifiers":{},"number":"1"},{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"2"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'15103'
'26179619'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'15107'
'26151264'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'15109'
'26139005'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'15111'
'26135703'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'15113'
'26132939'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'15115'
'26121561'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{"indented":true},"number":"1"}]}'|'false'|'baseline_table'|''|'15119'
'26082625'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'15121'
'26082625'|'2'|'Lili'|'{"annotations":[{"location":"Row","content":{"measures":true,"arms":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'15122'
'26052984'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'15124'
'25852208'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'15128'
'25792124'|'1'|'Lili'|'{"annotations":[{"location":"Row","content":{"arms":true},"qualifiers":{},"number":"1"},{"location":"Col","content":{"characteristic_name":true},"qualifiers":{"empty_row":true},"number":"1"},{"location":"Col","content":{"characteristic_level":true},"qualifiers":{},"number":"1"}]}'|'false'|'baseline_table'|''|'15129'
