,descriptor,terms
17,measures,first - recorded event ; . ( % ) patients-first - recorded event ; . ( % ) patients-p value *-first - recorded event ; . ( % ) patients-first - recorded event ; . ( % ) patients-first - recorded event ; . ( % ) patients-first - recorded event ; . ( % ) patients-p value *-first - recorded event ; . ( % ) patients-first - recorded event ; . ( % ) patients-first - recorded event ; . ( % ) patients-first - recorded event ; . ( % ) patients-p value *-first - recorded event ; . ( % ) patients-first - recorded event ; . ( % ) patients-p value *-first - recorded event ; . ( % ) patients-first - recorded event ; . ( % ) patients-p value *-first - recorded event ; . ( % ) patients-first - recorded event ; . ( % ) patients-p value *-first - recorded event ; . ( % ) patients-first - recorded event ; . ( % ) patients-p value *-first - recorded event ; . ( % ) patients-first - recorded event ; . ( % ) patients-p value *-first - recorded event ; . ( % ) patients-first - recorded event ; . ( % ) patients-p value *-first - recorded event ; . ( % ) patients-first - recorded event ; . ( % ) patients-p value *-first - recorded event ; . ( % ) patients-first - recorded event ; . ( % ) patients-p value *-first - recorded event ; . ( % ) patients-first - recorded event ; . ( % ) patients-p value *
18,characteristic_name,prior cardiovascular history-prior cardiovascular history-prior cardiovascular history-prior cardiovascular history-prior cardiovascular history-prior cardiovascular history-percutaneous coronary intervention-percutaneous coronary intervention-percutaneous coronary intervention-percutaneous coronary intervention-percutaneous coronary intervention-percutaneous coronary intervention-percutaneous coronary intervention-percutaneous coronary intervention-percutaneous coronary intervention-percutaneous coronary intervention-percutaneous coronary intervention-percutaneous coronary intervention-percutaneous coronary intervention-percutaneous coronary intervention-percutaneous coronary intervention-risk factors-risk factors-risk factors-risk factors-risk factors-risk factors-risk factors-risk factors-risk factors-risk factors-risk factors-risk factors-qualifying event-qualifying event-qualifying event-qualifying event-qualifying event-qualifying event-qualifying event-qualifying event-qualifying event-concomitant therapies hospital discharge-concomitant therapies hospital discharge-concomitant therapies hospital discharge-concomitant therapies hospital discharge-concomitant therapies hospital discharge-concomitant therapies hospital discharge-concomitant therapies hospital discharge-concomitant therapies hospital discharge-concomitant therapies hospital discharge
19,characteristic_level,"men-men-men-mi-mi-mi-cabg surgery-cabg surgery-cabg surgery-prior index event-prior index event-prior index event-for treatment index event-for treatment index event-for treatment index event-cerebrovascular disease-cerebrovascular disease-cerebrovascular disease-peripheral arterial disease-peripheral arterial disease-peripheral arterial disease-congestive heart failure ( < nmbr wk )-congestive heart failure ( < nmbr wk )-congestive heart failure ( < nmbr wk )-diabetes-diabetes-diabetes-hypertension-hypertension-hypertension-current smoking-current smoking-current smoking-premature cad among family members-premature cad among family members-premature cad among family members-st - segment elevation mi-st - segment elevation mi-st - segment elevation mi-non - st - segment elevation acs-non - st - segment elevation acs-non - st - segment elevation acs-participation phase a-participation phase a-participation phase a-aspirin-aspirin-aspirin-p - blockers-p - blockers-p - blockers-ace inhibitors-ace inhibitors-ace inhibitors-age , median ( nmbrth - nmbrth percentiles ) , y-age , median ( nmbrth - nmbrth percentiles ) , y-age , median ( nmbrth - nmbrth percentiles ) ,"
21,arms,"simvastatin ( nmbr / nmbr mg / )-placebo + nmbr mg / simvastatin-risk reduction , %-simvastatin ( nmbr / nmbr mg / )-placebo + nmbr mg / simvastatin-risk reduction , %-simvastatin ( nmbr / nmbr mg / )-placebo + nmbr mg / simvastatin-risk reduction , %-simvastatin ( nmbr / nmbr mg / )-placebo + nmbr mg / simvastatin-risk reduction , %-simvastatin ( nmbr / nmbr mg / )-placebo + nmbr mg / simvastatin-risk reduction , %-simvastatin ( nmbr / nmbr mg / )-placebo + nmbr mg / simvastatin-risk reduction , %-simvastatin ( nmbr / nmbr mg / )-placebo + nmbr mg / simvastatin-risk reduction , %-simvastatin ( nmbr / nmbr mg / )-placebo + nmbr mg / simvastatin-risk reduction , %-simvastatin ( nmbr / nmbr mg / )-placebo + nmbr mg / simvastatin-risk reduction , %-simvastatin ( nmbr / nmbr mg / )-placebo + nmbr mg / simvastatin-risk reduction , %-simvastatin ( nmbr / nmbr mg / )-placebo + nmbr mg / simvastatin-risk reduction , %-simvastatin ( nmbr / nmbr mg / )-placebo + nmbr mg / simvastatin-risk reduction , %-simvastatin ( nmbr / nmbr mg / )-placebo + nmbr mg / simvastatin-risk reduction , %-simvastatin ( nmbr / nmbr mg / )-placebo + nmbr mg / simvastatin-risk reduction , %-simvastatin ( nmbr / nmbr mg / )-placebo + nmbr mg / simvastatin-risk reduction , %-simvastatin ( nmbr / nmbr mg / )-placebo + nmbr mg / simvastatin-risk reduction , %-simvastatin ( nmbr / nmbr mg / )-placebo + nmbr mg / simvastatin-risk reduction , %-simvastatin ( nmbr / nmbr mg / )-placebo + nmbr mg / simvastatin-risk reduction , %-simvastatin ( nmbr / nmbr mg / )-placebo + nmbr mg / simvastatin-risk reduction , %-simvastatin ( nmbr / nmbr mg / )-placebo + nmbr mg / simvastatin-risk reduction , %-simvastatin ( nmbr / nmbr mg / )-placebo + nmbr mg / simvastatin-risk reduction , %"
22,characteristic_name,"sex-sex-sex-sex-sex-sex-age , y-age , y-age , y-age , y-age , y-age , y-diabetes-diabetes-diabetes-diabetes-diabetes-diabetes-ldl cholesterol , mg / dl-ldl cholesterol , mg / dl-ldl cholesterol , mg / dl-ldl cholesterol , mg / dl-ldl cholesterol , mg / dl-ldl cholesterol , mg / dl-ldl cholesterol , mg / dl-ldl cholesterol , mg / dl-ldl cholesterol , mg / dl-hdl cholesterol , mg / dl-hdl cholesterol , mg / dl-hdl cholesterol , mg / dl-hdl cholesterol , mg / dl-hdl cholesterol , mg / dl-hdl cholesterol , mg / dl-c - reactive protein , mg / l-c - reactive protein , mg / l-c - reactive protein , mg / l-c - reactive protein , mg / l-c - reactive protein , mg / l-c - reactive protein , mg / l-index diagnosis-index diagnosis-index diagnosis-index diagnosis-index diagnosis-index diagnosis-participation phase a-participation phase a-participation phase a-participation phase a-participation phase a-participation phase a-country-country-country-country-country-country-pci index event-pci index event-pci index event-pci index event-pci index event-pci index event"
23,characteristic_level,female-female-female-male-male-male-< nmbr-< nmbr-< nmbr-> nmbr-> nmbr-> nmbr-no-no-no-yes-yes-yes-< nmbr-< nmbr-< nmbr-nmbr - nmbr-nmbr - nmbr-nmbr - nmbr-> nmbr-> nmbr-> nmbr-< nmbr-< nmbr-< nmbr-> nmbr-> nmbr-> nmbr-< nmbr-< nmbr-< nmbr-> nmbr-> nmbr-> nmbr-non - st - segment elevation acs-non - st - segment elevation acs-non - st - segment elevation acs-st - segment elevation mi-st - segment elevation mi-st - segment elevation mi-no-no-no-yes-yes-yes-other-other-other-united states-united states-united states-no-no-no-yes-yes-yes
24,outcomes,"primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %-primary end point kaplan - meier rate , %"
25,characteristic_name,race-race-race-race-race-race-race-race-race-race-race-race-prior cardiovascular history-prior cardiovascular history-prior cardiovascular history-prior cardiovascular history-prior cardiovascular history-prior cardiovascular history-prior cardiovascular history-prior cardiovascular history-prior cardiovascular history-prior cardiovascular history-prior cardiovascular history-prior cardiovascular history-prior cardiovascular history-prior cardiovascular history-prior cardiovascular history-prior cardiovascular history-prior cardiovascular history-prior cardiovascular history-prior cardiovascular history-prior cardiovascular history-risk factors-risk factors-risk factors-risk factors-risk factors-risk factors-risk factors-risk factors-risk factors-risk factors-risk factors-risk factors-risk factors-risk factors-risk factors-risk factors-risk factors-risk factors-risk factors-risk factors-risk factors-risk factors-risk factors-risk factors-risk factors-risk factors-risk factors-risk factors-prior medications-prior medications-prior medications-prior medications-prior medications-prior medications-prior medications-prior medications-prior medications-prior medications-prior medications-prior medications-prior medications-prior medications-prior medications-prior medications-prior medications-prior medications-prior medications-prior medications-prior medications-prior medications-prior medications-prior medications-prior medications-prior medications-prior medications-prior medications-prior medications-prior medications-prior medications-prior medications-qualifying event-qualifying event-qualifying event-qualifying event-qualifying event-qualifying event-qualifying event-qualifying event
26,characteristic_level,white-white-white-white-black-black-black-black-asian-asian-asian-asian-angina ( past nmbr weeks )-angina ( past nmbr weeks )-angina ( past nmbr weeks )-angina ( past nmbr weeks )-myocardial infarction-myocardial infarction-myocardial infarction-myocardial infarction-coronary revascularisation-coronary revascularisation-coronary revascularisation-coronary revascularisation-bypass surgery-bypass surgery-bypass surgery-bypass surgery-percutaneous intervention-percutaneous intervention-percutaneous intervention-percutaneous intervention-cerebrovascular disease-cerebrovascular disease-cerebrovascular disease-cerebrovascular disease-peripheral vascular disease-peripheral vascular disease-peripheral vascular disease-peripheral vascular disease-diabetes-diabetes-diabetes-diabetes-hypertension-hypertension-hypertension-hypertension-current smoking-current smoking-current smoking-current smoking-congestive heart failure ( chf ) ( past nmbr weeks )-congestive heart failure ( chf ) ( past nmbr weeks )-congestive heart failure ( chf ) ( past nmbr weeks )-congestive heart failure ( chf ) ( past nmbr weeks )-left ventricular dysfunction-left ventricular dysfunction-left ventricular dysfunction-left ventricular dysfunction-angiotensin - converting enzyme inhibitor-angiotensin - converting enzyme inhibitor-angiotensin - converting enzyme inhibitor-angiotensin - converting enzyme inhibitor-b - blocker-b - blocker-b - blocker-b - blocker-nitrate-nitrate-nitrate-nitrate-diuretic-diuretic-diuretic-diuretic-long - term aspirin-long - term aspirin-long - term aspirin-long - term aspirin-unfractionated heparin randomisation-unfractionated heparin randomisation-unfractionated heparin randomisation-unfractionated heparin randomisation-low molecular weight ( lmw ) heparin randomisation-low molecular weight ( lmw ) heparin randomisation-low molecular weight ( lmw ) heparin randomisation-low molecular weight ( lmw ) heparin randomisation-neither uh lmw heparin-neither uh lmw heparin-neither uh lmw heparin-neither uh lmw heparin-investigator - determined myocardial infarction-investigator - determined myocardial infarction-investigator - determined myocardial infarction-investigator - determined myocardial infarction-st change > nmbr mm-st change > nmbr mm-st change > nmbr mm-st change > nmbr mm-age ( years )-age ( years )-age ( years )-age ( years )-male gender-male gender-male gender-male gender-us site enrollment-us site enrollment-us site enrollment-us site enrollment
27,arms,unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )-unfractionated heparin ( n = nmbr )-enoxaparin ( n = nmbr )
