cluster,term
-1,normal / mild ckd
-1,number of stent = nmbr
-1,"previous medications , n ( % )"
-1,nyha class nmbr - nmbr : no { n = llll )
-1,tofacitinib nmbr mg twice daily n = nmbr
-1,verapamil sr n = nmbr no . ( % )
-1,no prior ml or stroke
-1,"stent length per lesion , mm"
-1,chf history
-1,anti - ccp antibody positive
-1,oral medications
-1,no antidiabetic drug
-1,tofacitinib nmbr mg two times a day
-1,no . of nmbr - mg acetaminophen tablets / day
-1,"acpa positive , %"
-1,timi major / minor
-1,"severity of airflow limitation ( gold nmbr - nmbr ) , n ( % )"
-1,pooled simva
-1,timi risk score — no . ( % ) : t
-1,"baseline dyspnea index , mean total score"
-1,number ( % ) of patients with event
-1,atrial fibrillation onset
-1,infarct characteristics
-1,caucasian simva ( „ = nmbr }
-1,ticagrelor nmbr mg nmbr yr km %
-1,galectin - nmbr ( ng / ml )
-1,"hctz = hydrochlorothiazide . * based on wilcoxon nmbr - sample rank - sum tests for age and body mass index , t tests for systolic and diastolic blood and ' / nmbr tests for categorical variables . t data were missing for some patients ."
-1,nmbr mg clopidogrel load
-1,intravenous dobutamine
-1,family history of diabetes — no . ( % )
-1,primary prevention subgroup
-1,"telmisartan ( n = nmbr , nmbr )"
-1,ppi use ( p = nmbr - nmbrt )
-1,large mi
-1,never / rarely
-1,medication adherence
-1,no concomitant cortcosteroid use
-1,severity of hypertensionb
-1,"clopidogrel , %"
-1,fevnmbr percent predicted ( sd )
-1,antidiabetic medication | |
-1,gad positive — no . ( % ) ^
-1,intravenous vasodilators ( % )
-1,european trial
-1,systemic corticosteroid use
-1,"weight , median ( interquartile range ) , kg"
-1,indacaterol nmbr ug versus placebo
-1,crohn ’ s disease related surgery
-1,peripheral arterial disease — no . ( % ) §
-1,"mases ( nmbr - nmbr ) , mean ( sd )"
-1,duration of coronary artery disease — yr
-1,"hbanmbrc , mean ( sd ) , % [mmol / mol]"
-1,total cholesterol ( week nmbr )
-1,at least nmbr severe flare
-1,baseline / concomitant therapies
-1,chd eze / simva ( n = nmbr]
-1,heart failure criteria met
-1,left atrial diameter
-1,"pulmonary function tests , % of predicted"
-1,other nsaids
-1,rheumatic heart disease
-1,coronary angiography and intervention
-1,time of qualifying ecg to balloon inflation ( hrs )
-1,time from symptoms to treatment
-1,ratio fp / sal : sal ( nmbr % ci )
-1,coexisting conditions — no . ( % )
-1,"clopidogrel , ticlopidine , or prasugrel"
-1,crp ( mg / dl ) < nmbr . nmbr
-1,"mean ± s . d . duration of diabetes , years"
-1,russia / georgia ( n = nmbr )
-1,fatal and nonfatal ml
-1,hypertension ( n 二 nmbr )
-1,"cv event , years"
-1,oxidative stress
-1,age ( yrs ) < nmbr
-1,no . of previous anti - tnf drugs — no . ( % )
-1,< nmbr . nmbr mmol / liter apob : apoa - l ratio
-1,"former smoker , n ( % )"
-1,less than nmbr %
-1,hispanic ( n = nmbr )
-1,ischemic tvr
-1,any albuminuria — no . ( % )
-1,"baseline ics use , n ( % )"
-1,bosentan ( n = nmbr )
-1,nitrates ( oral or topical )
-1,left - sided disease only
-1,"third heart sound , n ( % )"
-1,other antiarrhythmics^
-1,"psa duration , years"
-1,low molecular weight ( lmw ) heparin before randomisation
-1,interval study drug to pci
-1,"atrial fibrillation / atrial flutter , %"
-1,anmbr + ez n = nmbr
-1,initial aspirin — no . ( % )
-1,symbol digit score
-1,time from qualifying event to randomization
-1,"serum hdl cholesterol ( mmol / l ) , mean ( sd )"
-1,"pav , mean ( nmbr % ci )"
-1,events treatment ( nmbr )
-1,annt or bnnh ( nmbr % ci )
-1,"geographic region , %"
-1,drug - related teaesnmbr
-1,atorvastatin dose
-1,"ldl - cihdl - c , mean ( sd )"
-1,prior biologic therapy ( including anti - tnfs )
-1,left ventricular ejection fraction within previous nmbr mo |
-1,cabg or pci
-1,ace inhibitor monotherapy
-1,treated with cabg — no . / total no . ( % )
-1,psoriatic arthritis pain]
-1,erythrocyte sedimentation rate — mm / hr | |
-1,dose of aspirin
-1,p - val . ( nmbr )
-1,small - artery occlusion ( lacune )
-1,"atorvastatin , n ( % )"
-1,baseline heart rate
-1,apo b ( mg / dl ) - mean ± sd
-1,peak procedural act — sec
-1,"extended - duration enoxaparin , n / n ( % )"
-1,total stent length
-1,"triglycerides , median ( range )"
-1,efficacy
-1,non - stemi
-1,mri substudy ( n = nmbr )
-1,lv mass index ( g / mnmbr - nmbr )
-1,"all with coenzyme qnmbr ( n = nmbr , nmbr )"
-1,"serum total cholesterol , mmol / l ( sd )"
-1,visits nmbrenmbr
-1,week nmbr ( itt population )
-1,puerperium
-1,gold group d — no . ( % ) | |
-1,atv nmbr mg study protocol
-1,aml / val nmbr / nmbr mg
-1,median albumin / creatinine ratio ( g / mg )
-1,smoking ( a )
-1,tirofiban ( n = nmbr )
-1,"time from acs to randomization ( median , iqr )"
-1,smoking pack - years
-1,"serum creatinine > nmbr mmol / l , n ( % )"
-1,nonaspirin antiplatelet agent
-1,use of concomitant lipid - modifying therapy
-1,"% stenosis , as assessed by investigator"
-1,parenteral anticoagulalion before randomization
-1,lesions bnmbr / c
-1,median fasting insulin ( iqr ) — pu per milliliter
-1,death or stent thrombosis
-1,measured at home with automated device
-1,atenolol *
-1,neuropilin ( ng / ml )
-1,"individuals with diabetes , n = nmbr"
-1,basal insulin analogue : insulin
-1,"mean pulse pressure , mmhg ( s . d . ) “"
-1,oral hypoglycemic drug
-1,antihypertensive treatment
-1,patients with > nmbr exacerbations resulting in hospital admission
-1,"ranolazine ( n = nmbr , nmbr )"
-1,final timi flow grade post - ppci
-1,"duration of disease , median"
-1,ace inhibitor or arb at enrollment
-1,"psoriasis duration , yrs *"
-1,nmbr to < nmbr . nmbr %
-1,"simvastatin monotherapy ( n = nmbr , nmbr * )"
-1,timi major bleeding
-1,small - artery occlusion
-1,left ventricular hypertrophy — no . ( % )
-1,laboratory findings
-1,"crp , nmol / l , median ( range )"
-1,bivariate frailty model ( statin users vs non - users )
-1,"resection performed , %"
-1,liraglutide nmbr . nmbr mg ls means ( n )
-1,ada ifg
-1,"median change , %"
-1,sita nmbr + pio nmbr
-1,combined estimated gfr and albuminuria status
-1,neoplasia
-1,venous graft
-1,"mean age , y , median ( range )"
-1,body - mass index ( kg / mj ) previous diagnosis
-1,antihyperglycemic
-1,"duration of ra ( time from symptom onset ) , years"
-1,grouped region
-1,nitrate — no . ( % )
-1,"shs , mean nmbr sd"
-1,"oral antidiabetes monotherapya , n ( % )"
-1,"patients without ra , as , or psa ( n = nmbr , nmbr )"
-1,treatmentofpulmonary embolismpriorto randomization
-1,renin - angiotensin inhibitors
-1,"fevnmbr , litres ( post - salbutamol ) , mean ( sd )"
-1,upper respiratory tract infection nmbr ( nmbr . nmbr )
-1,"age at diagnosis , y"
-1,change in mtss ( mean )
-1,aliskiren ( n = nmbr )
-1,"number of exacerbations in last nmbr months ,"
-1,"p , all vs all"
-1,fasting plasma insulin — mu / liter
-1,baseline albumin / creatinine ratio in nmbr classes
-1,cvd risk factors ( age > nmbr )
-1,former smoker ( n = nmbr )
-1,"prior use of biologics , n ( % )"
-1,amlodipine nmbrmg / v = nmbr
-1,moderate or less airflow limitation
-1,ethnic group — no . ( % ) '
-1,any event
-1,pain in extremity
-1,"hospitalized for asthma , n ( % ) *"
-1,sex : male ( n = nmbr )
-1,apolipoprotein b^
-1,abnormal angiogram
-1,three or more drugs
-1,data missing
-1,heart failure nyha ii - iii
-1,"cerebrovascular disease , n ( % )"
-1,western europe hr ( nmbr % cl )
-1,biologic agents
-1,ls mean difference ± seb
-1,factor xa inhibitor
-1,"mean bmi , kg / mnmbr ( s . d . )"
-1,anti - ischaemia agents *
-1,exposure
-1,mycophenolate mofetil
-1,age when diabetes first diagnosed — yr
-1,randomization to placebo or telmisartan
-1,aspirin nmbr clopidogrel
-1,"chd risk equivalents , n ( % )"
-1,systolic blood pressure [mmhg] ( interaction : p = nmbr . nmbr )
-1,clinical history
-1,ezetimibe + simvastatin ( n = nmbr * )
-1,"duration of psoriasis , years"
-1,procedures for index event
-1,killip class at admission — no . / total no . ( % )
-1,other lipid parameters
-1,tc / hdl - c ratio
-1,ct or mr scan of the brain *
-1,peri - or postmenopausal
-1,indeterminate or unknown
-1,ratet ( nmbr % cl )
-1,"> nmbr % stenosis of coronary , carotid , or lower extremity arteries"
-1,"atrial fibrillation / flutter , n ( % )"
-1,hypertension — no . ( % ) hypercholesterolemia — no . ( % )
-1,pulmonary disease
-1,"region of enrollment , n ( % ) +"
-1,"baseline bmi nmbr to < nmbr kg / mnmbr , n = nmbr"
-1,"statin + ezetimibe , n ( % )"
-1,ldl - c ( calculated ) *
-1,"evaluable for acrnmbr at week nmbr , n"
-1,tertile nmbr ( nmbr . nmbr - nmbr . nmbr pg / ml ) n = nmbr
-1,ez / simva n = nmbr n ( % )
-1,"event rates , %"
-1,"baseline nmbr - h ppg ,"
-1,nontrial ppi
-1,cardiac resynchronization therapy
-1,nyha class iii or iv ( n = nmbr )
-1,oral agents use
-1,recurrent ischemia - urgent revascularization
-1,"rheumatoid factor positive § , n ( % )"
-1,serum pnmbrnp ( ^g / liter )
-1,investigator - reported hypoglycaemia *
-1,diuretic — no . / total no . ( % )
-1,interleukin - nmbr ( ng / l )
-1,non - caucasian eze / simva ( „ = nmbr }
-1,median ( qnmbr : qnmbr ) tgs
-1,indacaterol nmbr ug versus indacaterol nmbr ug
-1,score of > nmbr . nmbr — %
-1,"weight , median ( nmbrth — nmbrth percentiles ) , kg"
-1,"nmbr - nmbr ( n = nmbr , nmbr )"
-1,anti - cholinergics ( short - acting ) a
-1,north america n z nmbr
-1,diabetes durationa < median
-1,discontinuations
-1,available baseline blood specimen n
-1,quicki
-1,ratio of women to men — %
-1,randomization to arterial sheath insertion
-1,p value versus placebo
-1,history of cardiac arrhythmia
-1,n analysed
-1,"body mass , kg"
-1,mean cdai score
-1,placebo plus aspirin
-1,ii - iv ( % )
-1,previous bowel resection performed — no . of patients ( % )
-1,"left anterior descending , n ( % )"
-1,postmenopausal hormone use
-1,femoral neck
-1,standard control ( n = nmbr ) no . of patients ( percent )
-1,other asian
-1,measurements
-1,antithrombotic / coagulant
-1,myocardial infarction within the previous nmbr yr
-1,receiving concomitant nsaids and / or cox - nmbr inhibitors
-1,"b digit symbol substitution , omega - nmbr fatty acids vs placebo"
-1,post - bronchodilator ratio of fevnmbr to fvc — %
-1,statin with niacin
-1,neither glucocorticoids nor immunosuppressive agents
-1,anti - inflammatory drugs
-1,i & ii : fevnmbr > nmbr % predicted
-1,interval clopidogrel to pci
-1,procedure
-1,electrophysiological study — no . ( % ) weight — ibj
-1,montelukast ( n = nmbr )
-1,nmbr - h pmg ( mg / dl )
-1,phenytoin
-1,enact - nmbr trial rerandomization to natalizumab ( n = nmbr )
-1,"nmbr bmi , kg / m"
-1,baseline ldl cholesterol
-1,iglar ( insulin glargine lnmbr u )
-1,llv wlalil nmbr statin
-1,"number of prior csdmards , n ( % )"
-1,efficacy and safety : net adverse clinical events *
-1,glucocorticoids and immunosuppressants
-1,heart disease risk factors
-1,statin use at baseline
-1,current smoker : ex - smoker ( % )
-1,aspirin but no ppi
-1,nsaid use — no . / total no . ( % )
-1,"dx at presentation , n ( % )"
-1,recent surgery or trauma
-1,left anterior descending
-1,"ezetimibe nmbr mg + statin ( n = nmbr , nmbr )"
-1,coumadin
-1,device group
-1,glargine
-1,"safety population , n ( % )"
-1,"pef , post - bronchodilator , % predicted normal"
-1,all randomized patients ( range )
-1,permanent
-1,tocilizumab
-1,nmbr = help needed ; still independent
-1,non - metsyn
-1,"hemoglobin , g nmbr nmbr"
-1,level of renal impairment
-1,soe or sue
-1,previous stroke ortransient ischaemic attack ( % )
-1,clopidogrel / ticlopidine
-1,selexipag
-1,mi type unknown ( % )
-1,crohn ' s disease
-1,high - sensitivity crp — mg / liter | |
-1,prior coronary revascularization
-1,severe teaes
-1,any statin + other llt
-1,arb at last follow - up
-1,ml without st - segment elevation !
-1,hydralazine
-1,multivessel pci
-1,oral anticoagulant — no . / total no . ( % )
-1,notable abnormalities
-1,contrast nephropathy risk score
-1,aspirin at last follow - up
-1,physical component
-1,indacaterol nmbr gg qd
-1,elderly ( > nmbr years )
-1,odds ratio versus placebo ( nmbr % ci )
-1,geographic region - north america
-1,all patients with fistulas ( n = nmbr )
-1,fevnmbr / fvc ( post - albuterol )
-1,prior medications
-1,location of ml
-1,use of hormone replacement therapy ( a )
-1,versus tiotropium nmbr . nmbr pg
-1,"prior coronary revascularization , n ( % )"
-1,duration of infusion — hr
-1,beta - blocker at last follow - up |
-1,rentrop score
-1,randomisation visit ( baseline )
-1,gastrointestinal area involved — no . / total no . ( % )
-1,"baseline pulmonary medication , n ( % )"
-1,"median serum periostin , ng / mla"
-1,multiple tnfi *
-1,diet + pravastatin ( n = nmbr )
-1,prior coronary artery bypass graft surgery
-1,"c - peptide , median ( ql , qnmbr ) , nmol / l"
-1,enoxaparin
-1,vorapaxar placebo nmbr - yr %
-1,missing data
-1,risk reduction ( % ; nmbr % ci )
-1,fastest third
-1,gemfibrozil
-1,chanmbrdsnmbr - vasc
-1,ezetimibe / simvastatin nmbr / nmbr mg ( n = nmbr )
-1,( nmbr % ci] nmbr
-1,triglycerides mean ( mg / dl ± sd )
-1,incidence rate
-1,"urinary albumin / creatinine ratio , median mg / g ( range )"
-1,minimum stent diameter
-1,nt - probnp pg / mla ( iqr )
-1,"body mass index ( bmi ) , kg / mnmbr"
-1,diet plus pravastatin group ( n = nmbr )
-1,duration of clopidogrel pretreatment 一 hr median
-1,family history of coronary artery disease
-1,"sex , n ( % ) male"
-1,cv risk factor - no . ( % )
-1,valvular disease ( % )
-1,"no corticosteroid + no imm , n"
-1,antimalarials only
-1,"tnl ultrapositive > nmbr . nmbr pg / l , nmbr = nmbr"
-1,"dactylitis count ( nmbr - nmbr ) , mean ( sd )"
-1,nasal polyps
-1,verapamil sr n = nmbr
-1,continued thienopyridine n ( % )
-1,disease - progression composite outcome !
-1,"egfrmdrd < nmbr ml - min - nmbr - nmbr . nmbr m - nmbr , n ( % )"
-1,diarrhea
-1,uric acid ( mg / dl )
-1,"pasi score , mean ± sd"
-1,theophylline compound
-1,heterogeneity / trend test
-1,disease
-1,hispanic / latin american
-1,isolated pulmonary embolism
-1,"middle tertile ( range , nmbr . nmbr - nmbr . nmbr mg / dl ; mean ± sd , nmbr . nmbr ± nmbr . nmbr mg / dl )"
-1,"total cholesterol ( mg / dl ) , mean + sd , available for nmbr patients"
-1,geometric mean of baseline
-1,"baseline fvc , l"
-1,csf nmbrs - hydroxy -
-1,mean annualized exacerbation rate
-1,placebo no . / total ( % )
-1,not reported / unknown
-1,"prior therapy with tnf antagonist , n ( % )"
-1,difference from baselinea
-1,age at randomization ( years )
-1,never used lev
-1,single vessel coronary artery disease *
-1,non - sulfonylurea secretagogues
-1,index event asymptomatic or unconfirmed
-1,baseline medical therapy
-1,prior corticosteroid failure only
-1,"one or more blood pressure medications , n ( % )"
-1,evomab ( n = nmbr )
-1,"baseline post - bronchodilator % predicted fev , < nmbr %"
-1,cardiovascular hospitalization
-1,crohn ' s disease activity index score]
-1,prior use of biologic agents
-1,relative risk reduction ( nmbr % cl )
-1,hbanmbrc distribution
-1,diuretic agent
-1,patients treated with insulin
-1,estimated gfr ( ml / min / nmbr . nmbr mnmbr ) ^ |
-1,nmbr - aminosalicylic compounds — no . ( % )
-1,iwqol - lite physical score ( arbitrary units )
-1,bdi total score ( baseline )
-1,"estimated * creatinine clearance < nmbr mlvmin , %"
-1,"low - density lipoprotein cholesterol , %"
-1,"education , high school or higher"
-1,partial mayo clinic scored
-1,prior lipid - modifying therapy
-1,cv risk factor
-1,mets w / o tnmbrdm
-1,other countries
-1,smoking history — no . ( % )
-1,other vascular disease — no . ( % )
-1,mean — g / dl
-1,outcome
-1,"ccbs , ( % )"
-1,sfc nmbr / nmbr | ig bid n = nmbr
-1,"cangrelor , %"
-1,losartan n = nmbr
-1,laba + ics
-1,short - acting anticholinergics
-1,> nmbr vessels with > nmbr % stenosis
-1,"concomitant antihyperglycaemic drugs , n ( % )"
-1,losmapimod
-1,history of myocardial infarction ( % )
-1,nmbr - nmbr with cv disease ( n = nmbr )
-1,severely impaired
-1,estimated creatinine clearance < nmbr ml / min *
-1,"anticyclic citrullinated peptide positive^ , n ( % )"
-1,wrist fracture
-1,mtx exposure ( mg / week )
