cluster,concept,cuis
1362,subgroup statistics,C0038215;C0600673;C1079230;C1515021
1362,statistics,C0038215;C0600673
1361,spirometry,C0037981
1361,spirometry after bronchodilation §,C0037981;C1371299;C3537072
1360,spain,C0037747
1360,spain ( n = nmbr ),C0037747
1359,sotagliflozin,C3896939
1359,sotagliflozin ( n = nmbr ),C3896939
1358,so,C0037640
1358,so nmbr %,C0037640
1357,semaglutide ( n = nmbr ),C3885068
1357,semaglutide,C3885068
1357,semaglutide exposure,C0274281;C0332157;C3885068
1356,sample size,C0242618
1356,sample size ( n ),C0242618
1355,rotigotine ( n = nmbr ),C1700683;C4318637
1355,rotigotine n = nmbr,C1700683;C4318637
1354,rosiglitazone nmbr mg daily,C0024671;C0026410;C0289313;C0332173;C0439269;C1960952;C2346927;C4321396;C4521761
1354,rosiglitazone nmbr mg daik,C0024671;C0026410;C0289313;C0439269;C1960952;C2346927;C4321396;C4521761
1353,risedronate ( n = nmbr ),C0246719
1353,risedronate n / n ( % ),C0246719
1353,risedronate ( n   =   nmbr ),C0246719
1352,right ventricular dysfunction,C0242707;C1556315
1352,right ventricular dysfunction — no . / total no . ( % ) §,C0242707;C1556315
1351,relative risk ( nmbr % cl ) comparing icd therapy and placebo using a linear interaction term in the model ( shfmxicd ) *,C0021122;C0039798;C0087111;C0242492;C0596019;C1363945;C1707455
1351,relative risk comparing icd therapy and placebo,C0021122;C0039798;C0087111;C0242492;C1363945;C1707455
1350,pvr volume,C0242852;C0449468;C0456261;C1419141;C1690016;C1705102;C2700258
1350,pvr,C0242852;C0456261;C1419141
1349,previous exposure to non - biologic systemic psoriasis therapyb ( yes ),C0005515;C0033860;C0205156;C0205373;C0205460;C0332157;C1518422;C1549445;C1552607;C1705108;C1710701
1349,previous exposure to biologic systemic psoriasis therapyb ( yes ),C0005515;C0033860;C0205156;C0205373;C0205460;C0332157;C1549445;C1552607;C1705108;C1710701
1348,previous digoxin use,C0012265;C0042153;C0205156;C0457083;C1552607;C1947944
1348,previous digoxin use ( % ),C0012265;C0042153;C0205156;C0457083;C1552607;C1947944
1347,pre - bd fvc snmbr % of predicted,C0005126;C0332152;C0681842;C0740175;C1882327;C2257086;C2344255;C3669034;C3714541;C4050145
1347,pre - bd fvc < nmbr % of predicted,C0005126;C0332152;C0681842;C0740175;C1882327;C2257086;C2344255;C3669034;C3714541;C4050145
1346,postprandial indices,C0376674;C4033634
1346,ppg post - meal test,C0022885;C0039593;C0376674;C0392366;C0456984;C1418888;C1515976;C3831328;C4318744
1345,spine,C0037949;C2752558
1345,spine *,C0037949;C2752558
1345,post erior - anterior spine,C0037949;C0205094;C0687676;C1704687;C2752558;C3469826
1344,platelet aggregation inhibitors,C0032177
1344,platelet aggregation inhibitors excluding heparin,C0032177
1343,placebo + insulin ( n = nmbr ),C0021641;C0032042;C1533581;C1579433;C1696465;C1706408;C3714501
1343,placebo + insulin ( n   = nmbr ),C0021641;C0032042;C1533581;C1579433;C1696465;C1706408;C3714501
1342,phototherapy previous systemic treatment,C0031765;C0205156;C0678812;C1552607
1342,phototherapy,C0031765
1341,patients with pneumonia resulting in death,C0030705;C0032285
1341,patients with pneumonia event,C0030705;C0032285;C0441471;C4019010
1341,patients with pneumonia events,C0030705;C0032285;C0441471;C3541888
1340,patients with glycated hemoglobin < nmbr . nmbr % and no severe hypoglycemia or diabetic ketoacidosis,C0017853;C0030705
1340,patients with glycated hemoglobin > nmbr . nmbr % and > nmbr episode of severe hypoglycemia *,C0017853;C0030705
1340,patients with glycated hemoglobin > nmbr . nmbr % and > nmbr episode ofdiabetic ketoacidosis *,C0017853;C0030705
1339,patients with no prior cvd ( primary,C0007222;C0030705;C0332152;C2826257
1339,patients with established cv disease aged > nmbr years .,C0007222;C0030705;C0443211;C1272684;C1510829
1338,patients with early cd ( n = nmbr ),C0007928;C0030705;C0034283;C1279919;C4552032
1338,patients with eligible ses - cd score,C0007928;C0030705;C0034283;C0449820;C1548635;C4050231;C4552032
1337,patients without dm ( n = nmbr,C0011816;C0030705;C3250443
1337,patients with possible new dm at randomization ( fpg > nmbr - nmbr ),C0011816;C0030705;C0205314;C0332149;C1705910;C2362652;C3250443
1337,patients with dm ( n = nmbr ),C0011816;C0030705;C3250443
1337,patients with dm vs . patients without dm,C0011816;C0030705;C3250443
1337,patients without dm ( n = nmbr ),C0011816;C0030705;C3250443
1337,patients with possible new dm at randomization ( hbanmbrc > nmbr . nmbr - nmbr % ),C0011816;C0030705;C0205314;C0332149;C1705910;C2362652;C3250443
1336,patients with clinically evident vascular disease,C0030705;C0042373;C3887511
1336,patients without clinically evident vascular disease,C0030705;C0042373;C3887511
1335,randomised patients with > nmbr % bsa psoriasis skin involvement at baseline,C0030705;C0033860;C0444099;C1123023;C1314939;C4520765
1335,patients with > nmbr % bsa psoriasis skin involvement,C0030705;C0033860;C0444099;C1123023;C1314939;C4520765
1334,patients with > nmbr co - aeds,C0030705;C0180309;C3245499
1334,patients with nmbr co - aeds,C0030705;C0180309;C3245499
1333,patients in analysis,C0002778;C0030705;C0936012;C1524024
1333,patients ( full analysis sety ),C0002778;C0030705;C0443225;C0936012;C1524024
1332,pnd,C1417807;C1956415;C4552608
1332,paroxysmal nocturnal dyspnea,C1956415
1331,pooled pah - mctd and pah,C0026272;C0030123;C1709595;C2349200;C3203102;C4284467;C4522255
1331,pah - mctd / ctd - other,C0026272;C0030123;C1335071;C1442905;C3203102;C4284467
1330,pah - ssc,C0030123;C3203102;C3897657;C4284467
1330,pah - ctd,C0030123;C1335071;C1442905;C3203102;C4284467
1329,p value for heterogeneity （ rosiglitazone versus metformin ）,C0019409;C0242960;C0289313;C1709380
1329,p value for heterogeneity （ rosiglitazone versus glyburide ）,C0019409;C0242960;C0289313;C1709380
1328,overall early - morning copd symptom severity scorec,C0024117;C0282416;C0332170;C1279919;C1319166;C1412502;C1561607;C3714496
1328,overall night - time copd symptom severity scorec,C0024117;C0240526;C0282416;C1319166;C1412502;C1561607;C3714496
1327,other plain vitamin preparations,C0042890
1327,vitamins,C0042890;C3540032;C3714649
1326,osteoporosis drug,C0013227;C0029456;C1254351;C4554622
1326,other osteoporosis medication,C0013227;C0029456;C3244316;C4284232;C4554622
1326,prior use of osteoporosis medications,C0013227;C0029456;C0332152;C0802604;C1524063;C2598133;C2826257;C4284232;C4554622
1325,on bp medication,C0013227;C0037623;C1415692;C1708288;C3244316;C4284232;C4318478
1325,other bp drug,C0013227;C0037623;C1254351;C1415692;C1708288;C4318478
1324,om nmbr / aml nmbr / hctz nmbr . nmbr mg,C0020261;C0023465;C0023467;C0024671;C0026410;C0028971;C0439269;C1705272;C1960952;C2346927;C4321396;C4521761
1324,om nmbr / aml nmbr / hctz nmbr mg,C0020261;C0023465;C0023467;C0024671;C0026410;C0028971;C0439269;C1705272;C1960952;C2346927;C4321396;C4521761
1324,om nmbr / aml nmbr / hctz nmbr . nmbr mg *,C0020261;C0023465;C0023467;C0024671;C0026410;C0028971;C0439269;C1705272;C1960952;C2346927;C4321396;C4521761
1323,olodaterol nmbr | ig tiotropium n = nmbr non - tiotropium n = nmbr,C0021027;C0305052;C0360506;C1518422;C4032878
1323,olodaterol nmbr nmbr | ig tiotropium n = nmbr non - tiotropium n = nmbr,C0021027;C0305052;C0360506;C1518422;C4032878
1322,olmesartan / ccb - olmesartan / diuretic,C0006684;C1098320
1322,olmesartan along with ccb ( n - nmbr ),C0006684;C1098320
1321,oat ( n   =   nmbr ),C0028753;C0331496;C0939905;C3539067;C3897364
1321,oma / oat ( n   =   nmbr ),C0028753;C0331496;C0939905;C3539067;C3897364
1321,oma / oat,C0028753;C0331496;C0939905;C3539067;C3897364
1321,oat,C0028753;C0331496;C0939905;C3539067;C3897364
1320,subjects with prevalent vertebral fracture,C0033105;C0080179;C0220900;C0681850;C1550501;C1706203;C2349001;C2697811
1320,number of prevalent vertebral fractures,C0033105;C0080179;C0220900;C0237753;C0449788
1320,prevalent vertebral fracture,C0033105;C0080179;C0220900
1320,prevalent vertebral fracture status,C0033105;C0080179;C0220900;C0449438
1319,np tercile nmbr ( bnp > nmbr pg / ml,C0054015;C0065827;C0439297;C1095989;C1417808;C1706141;C2982014;C3887659
1319,np tercile nmbr ( bnp < nmbr pg / ml,C0054015;C0065827;C0439297;C1095989;C1417808;C1706141;C2982014;C3887659
1318,spondylitis with peripheral arthritis,C0038012;C0238694
1318,spondylitis,C0038012
1318,non - spondylitis,C0038012;C1518422
1317,previous treatment with infliximab,C0039798;C0087111;C0205156;C0666743;C1522326;C1533734;C1552607;C1705169;C3538994;C3887704
1317,no previous treatment with infliximab,C0039798;C0087111;C0205156;C0666743;C1522326;C1533734;C1552607;C1705169;C3538994;C3887704
1316,with ckd intensive ( n = nmbr ),C0162425;C0522510;C1283828;C1550453;C1561643
1316,no - ckd intensive ( n = nmbr ),C0162425;C0522510;C1283828;C1550453;C1561643
1315,nintedanib ( n   =   nmbr ),C2930789
1315,nintedanib ( n = nmbr ),C2930789
1314,net clinical benefit *,C1456447;C3853572;C3887809;C3890893;C4684590
1314,net adverse clinical events at day nmbr,C0205210;C0332173;C0439228;C0439505;C0877248;C1456447;C1705413;C3853572;C3887809;C3890893
1314,net composite,C0205199;C1456447;C1547335;C3853572;C3887809;C3890893
1314,net ep nmbr,C1456447;C1880476;C3853572;C3887809;C3890893;C4321526
1313,necrosis,C0027540;C1334928
1313,necrotic core,C0027540;C0444669;C1167518;C1706352;C1882467;C3274653
1312,nc group ( n = nmbr ),C0027964;C0028407;C0067895;C0265987;C0441848
1312,nc,C0027964;C0028407;C0067895;C0265987
1311,nail involvement,C0027342;C1314939;C1432728;C3538766
1311,total resolution of nail psoriasisd,C0027342;C0439175;C0439810;C1432728;C1514893;C1706463;C2699488;C3538766
1311,target nail napsi score ( nmbr – nmbr scale ),C0027342;C1432728;C1521840;C2986546;C3538766
1310,p - value ( ■ nt ),C0332126;C1449832;C1709380;C3889152;C4050156;C4283901;C4284038
1310,nt estimated,C0332126;C1449832;C3889152;C4050156;C4283901;C4284038
1310,n nt,C0332126;C0369718;C0441922;C1449832;C3889152;C4050156;C4283901;C4284038
1309,multivariate logistic modelb,C0242415
1309,univariate logistic modela,C0242415
1308,sustained mucosal healingc,C0026724;C0443318
1308,sustained mucosal healingc n / n ( % ),C0026724;C0443318
1308,mucosal healingf,C0026724
1308,mucosal healingc n / n ( % ),C0026724
1307,mtx - ir,C0022065;C0022071;C0025677;C1417487;C1448132
1307,mtx ir,C0022065;C0022071;C0025677;C1417487;C1448132
1306,severe cord * : qvainmbr - sfc,C0205082;C1550235;C1706500;C3489532;C4050465;C4050466;C4521536
1306,moderate cord * : qvanmbr - sfc,C0205081;C1550235;C1706500;C1881878;C3489532;C4049705;C4049706;C4085643;C4321335;C4521536
1305,metformin + su,C0025598;C0038642;C1705534
1305,metformin ? su,C0025598;C0038642;C1705534
1305,metformin + su + tzd,C0025598;C0038642;C1705534
1304,prior mesalazine use *,C0042153;C0127615;C0332152;C0457083;C1947944;C2826257
1304,mesalamine use,C0042153;C0127615;C0457083;C1947944
1303,mental activities updrs subscore ( baseline ),C0168634;C0229992;C0441655;C1442488;C3639721
1303,motor updrs subscore ( baseline ),C0168634;C1442488;C1513492;C1705994;C3639721
1302,medication at time of randomization,C0013227;C0034656;C0040223;C3244316;C3541383;C4284232
1302,medications at time of randomization — no . ( % ),C0013227;C0034656;C0040223;C0802604;C2598133;C3541383;C4284232
1302,medications at the time of randomization — no . ( % ),C0013227;C0034656;C0040223;C0802604;C2598133;C3541383;C4284232
1302,medication at time of randomization — no . ( % ),C0013227;C0034656;C0040223;C3244316;C3541383;C4284232
1301,sbp ( mean over nmbr h ),C0033727;C0085805;C0369286;C0441932;C0444504;C0564385;C2347634;C2348143;C4528284
1301,mean nmbr - h sbp *,C0033727;C0085805;C0369286;C0441932;C0444504;C0564385;C2347634;C2348143;C4528284
1300,mean ( se ) auc^p l,C0036919;C0376690;C0444504;C2347634;C2348143
1300,mean ( se ) aucnmbr - nmbr,C0036919;C0376690;C0444504;C2347634;C2348143
1299,major st depression or t - wave inversion,C0036056;C0041696;C0205082;C0205164;C0520887;C1269683;C3272372;C4318856;C4521762
1299,major st depression or t - wave,C0036056;C0041696;C0205082;C0205164;C0520887;C1269683;C3272372;C4318856;C4521762
1299,major st depression or,C0036056;C0041696;C0205082;C0205164;C0520887;C1269683;C3272372;C4318856;C4521762
1298,maintenance use — no . ( % ),C0024501
1298,maintenance ocs use,C0024501
1298,pnmbrynmbr inhibitor maintenance,C0024501;C0369773;C1999216;C2603361
1297,lvh by electrocardiogram,C0013798;C0149721;C1547122;C1623258
1297,lvh ( from electrocardiogram ),C0013798;C0149721;C1547122;C1623258
1296,lvh by echocardiogram,C0013516;C0149721;C2243117
1296,lvh ( from echocardiogram ),C0013516;C0149721;C2243117
1296,lvh by echocardiography,C0013516;C0149721
1295,lv function > nmbr . nmbr and < nmbr . nmbr,C0023128;C0031843;C0542341;C0700205;C0731033;C1705273;C1881413
1295,lv function,C0023128;C0031843;C0542341;C0700205;C0731033;C1705273;C1881413
1294,luts = lower urinary tract symptoms  is =,C0574785
1294,luts severity,C0439793;C0522510;C0574785
1293,lumbar,C0024090
1293,t - score categories lumbar spineb,C0024090;C0683312;C3854607
1292,ls mean [nmbr % ci] treatment difference vs placebo,C0008107;C0023668;C0039798;C0087111;C0444504;C1522326;C1533734;C1705169;C1705241;C1705242;C2347634;C2348143;C3259781;C3538994;C3887704
1292,ls mean treatment difference ( nmbr % ci ),C0008107;C0023668;C0039798;C0087111;C0444504;C1522326;C1533734;C1705169;C1705241;C1705242;C2347634;C2348143;C3259781;C3538994;C3887704
1292,ls - mean difference between treatment groups ( nmbr % ci ),C0008107;C0023668;C0039798;C0087111;C0374505;C0444504;C1522326;C1533734;C1705169;C1705241;C1705242;C2347634;C2348143;C3259781;C3538994;C3887704
1291,low renin ( pra < nmbr . nmbr ng / ml / h ) ( n = nmbr ),C0633231;C0855389;C1141951;C1419788;C1533072;C3274822;C3669212;C4050009;C4283900
1291,pra,C0633231;C1141951;C1419788;C3274822;C3669212;C4283900
1291,normal - high renin ( pra > nmbr . nmbr ng / ml / h ) ( n = nmbr ),C0205307;C0231683;C0439166;C0633231;C0855390;C1141951;C1419788;C1533072;C2347086;C3274822;C3669212;C4050009;C4283900;C4553972
1290,lixisenatide,C2973895
1290,lixisenatide ( n = nmbr ),C2973895
1290,lixisenatide ( n = nmbro ),C2973895
1289,lipid trial participantss,C0008976;C0023779
1289,lipid trial participantsk,C0008976;C0023779
1288,lipid concentrations total cholesterol ( mmol / l ),C0023779;C0086045;C0201950;C0543421;C1532563
1288,lipid concentrations,C0023779;C0086045
1287,lifestyle behaviors,C0004927;C0023676;C0677505
1287,lifestyle behaviours,C0004927;C0023676;C0677505
1286,lei > nmbr ( n = nmbr ),C0023401;C0428209
1286,leinmbr,C0023401;C0428209
1286,lei,C0023401;C0428209
1285,lebrikizumab nmbr - nmbr mg,C0024671;C0026410;C0439269;C1960952;C2346927;C2981360;C4321396;C4521761
1285,lebrikizumab nmbr mg,C0024671;C0026410;C0439269;C1960952;C2346927;C2981360;C4321396;C4521761
1285,lebrikizumab nmbr mg ( n = nmbr ),C0024671;C0026410;C0439269;C1960952;C2346927;C2981360;C4321396;C4521761
1285,lebrikizumab nmbr - nmbr mg ( n = nmbr ),C0024671;C0026410;C0439269;C1960952;C2346927;C2981360;C4321396;C4521761
1284,ldlc : hdlc,C1416822;C1704429
1284,non - hdlc,C1518422;C1704429
1283,lathosterol ( jimol / l ),C0064673
1283,lathosterol / total c ( | imol / mmol ),C0064673;C0439175;C0439190;C0439810
1282,previous labd alone,C0205156;C0396059;C1552607
1282,labd alone,C0396059
1282,previous labd only,C0205156;C0205171;C0396059;C1552607;C1720467
1281,itch nrs nmbr - nmbr ( . \ ' = nmbr ),C0033774;C1422257;C2240043;C4050142
1281,itch nrs nmbr - nmbr ( at = nmbr ),C0033774;C1422257;C2240043;C4050142
1281,itch nrs nmbr - nmbr ( a ' = nmbr ),C0033774;C1422257;C2240043;C4050142
1281,itch nrs nmbr - nmbr ( v = nmbr ),C0033774;C1422257;C2240043;C4050142
1281,itch nrs nmbr ( v = nmbr ),C0033774;C1422257;C2240043;C4050142
1281,itch nrs,C0033774;C1422257;C2240043;C4050142
1280,main etiology of heart failure,C0015127;C0018801;C0018802;C0205225;C1314792;C1524003;C1542147;C4554158
1280,ischemic heart failure etiology,C0015127;C0018801;C0018802;C0475224;C1314792;C1524003;C4554158
1279,proximal gl tract,C0018229;C0205107;C1185740;C1423073;C1427674;C4489236
1279,involved gl areas,C0018229;C1423073;C1427674;C1879646
1278,intracranial bleed,C0151699
1278,intracranial bleeding,C0151699
1278,intracranial hemorrhage †,C0151699;C4554169
1278,intracranial hemorrhage,C0151699;C4554169
1277,insulins and analogs,C0021641;C3537244;C4049919
1277,insulins,C0021641;C3537244;C4049919
1276,insulin lispro mix nmbr,C0205430;C0293359;C1421951;C1720722;C4553942
1276,insulin lispro mix nmbr / lispro mix nmbr - insulin glargine / insulin lispro,C0293359
1275,insulin glargine   ±   oad   +   bd prandial,C0005126;C0907402;C2344255;C4050145
1275,insulin glargine   ±   oad   +   > bd prandial,C0005126;C0907402;C2344255;C4050145
1274,insulin dose — lu / day,C0024171;C0024176;C0332173;C0366513;C0439228;C0439505;C2697939
1274,insulin dose ( lu / day ),C0024171;C0024176;C0332173;C0366513;C0439228;C0439505;C2697939
1273,injection - site reaction,C0151735;C4551923
1273,potential injection site reactions,C0151735;C3245505
1272,serious infections,C0205404;C3714514
1272,infections and infestations,C3714514
1272,infections,C3714514
1271,individuals with prediabetes,C0027361;C0237401;C0362046
1271,individuals with pre - diabetes,C0027361;C0237401;C0362046
1270,medical history before index acute coronary syndrome — no . { % ),C0262926;C0600653;C0918012;C0948089;C1552854;C1637833;C1704706;C2986546
1270,index acute coronary syndrome — no . { % ),C0600653;C0918012;C0948089;C1552854;C1637833;C2986546
1269,increased risk for falls,C0000921;C0035647;C0085639;C1849142;C4552904;C4699158
1269,no increased risk for falls,C0000921;C0035647;C0085639;C1849142;C4552904;C4699158
1268,inadequate response ( > nmbr months mmf / ggs ),C0083765;C0205412;C0209368;C0439231;C0439856;C0871261;C1704632;C1706817;C2911692;C3848524
1268,mmf ( n = nmbr ),C0083765;C0209368;C3848524
1267,in - hospital medication,C0013227;C0019994;C1510665;C3244316;C4284232
1267,medications in the hospital after randomization — no . ( % ),C0013227;C0019994;C0802604;C1510665;C2598133;C4284232
1266,impaired cognitive function ( spmsq > nmbr ) . n - nmbr n ( % ) participants with the event of interest,C0009240;C0221099;C0392335;C0441471;C0543488;C0679646;C4019010;C4050130
1266,normal cognitive function ( spmsq < nmbr ) . n - nmbr . nmbr n ( % ) participants with the event of interest,C0009240;C0392335;C0441471;C0679646;C1276356;C4019010;C4050130
1265,immunosuppressive agents at baseline,C0021081;C0168634;C1442488
1265,no immunosuppressive agents at baseline,C0021081;C0168634;C1442488
1264,ideglira - ideg,C4308663
1264,ideglira,C4308663
1264,ideglira - ideg - lira,C1555441;C4308663
1263,ics / labd,C0396059;C0815320;C4551720
1263,previous ics / labd,C0205156;C0396059;C0815320;C1552607;C4551720
1262,ics users at screening,C0220908;C0220909;C0815320;C1698960;C1706077;C1710031;C1710032;C1710477;C2348164;C4551720
1262,ics non - users at screening,C0220908;C0220909;C0815320;C1518422;C1698960;C1706077;C1710031;C1710032;C1710477;C2348164;C4551720
1261,ics dose of stable maintenance treatment ( μ g ) ∗,C0039798;C0087111;C0178602;C0205360;C0439267;C0814469;C0815320;C0869039;C1114758;C1522326;C1533734;C1547311;C1705169;C3538994;C3714445;C3887704;C4551720
1261,ics / laba therapy,C0039798;C0087111;C0815320;C1363945;C4551720
1260,ics ( tiotropium n = nmbr,C0213771;C0815320;C4551720
1260,laba plus ics ( tiotropium n = nmbr,C0213771;C0332287;C0815320;C4551720
1259,ich,C0019191;C3272597;C3281105
1259,symptomatic ich,C0019191;C0231220;C3272597;C3281105
