cluster,concept,cuis
176,percutaneous coronary intervention,C1532338
176,past or current angina pectoris,C1444637;C4284302
176,pancolitis,C0868908
176,p  subgroup *,C0369773;C1079230;C1515021;C2603361
176,other biologic agent,C0005515
176,oral hypoglycemic agent,C0359086
176,never used lev,C0023556;C1273517;C2003901
176,nationality,C0027473
176,left - sided disease only,C0012634;C3842976
176,gemfibrozil,C0017245
176,extensive,C0205231
176,electrophysiological study — no . ( % ) weight — ibj,C0850293
176,disease and quality - of - life scores,C0012634
176,disease,C0012634
176,dipyridamole,C0012582
176,diabetes with target organ disease *,C0011847;C0011849;C0012634;C0178784;C1521840;C2986546
176,conventional treatment,C2945704
176,cardiac rhythm,C0232187
176,any disease,C0012634
176,angiotensin - converting enzyme or angiotensin receptor blocker,C0022709;C1452534
176,ada ifg,C1060325;C1334085;C1708411;C3811629
175,fevnmbr reversibilityz ( pre / post ipratropium )  %,C0027235;C0332152;C0687676;C0740175;C1704687;C2257086;C3469826;C3669034
174,seropositive ( rf + ve and / or acpa + ve ) subgroup,C0035448;C0042469;C0201660;C0521143;C0748398;C1547111;C3714652;C4321495
174,rf positive — number ( % ),C0035448;C0201660;C0748398;C1547111;C3812269
174,rf and acpa negativenmbr,C0035448;C0201660;C0748398;C1547111
173,erosion score  median ( min  max ),C0333307;C0449820;C0549183;C0702093;C0876920;C1524029;C1880549;C1959609;C2347635;C2348144;C2939193;C3813700;C3887524;C4050231
172,number of treated vessels ( per patient ),C0005847;C0237753;C0449788;C1522326
172,number of stents implanted,C0038257;C0237753;C0449788
172,number of stent = nmbr,C0038257;C0053917;C0237753;C0449788;C1334884
172,number of pack - years,C0237753;C0449788;C1277691
172,number of exacerbations in last nmbr months ,C0237753;C0449788;C4086268
172,number of concomitant aeds  n ( % ),C0180309;C0237753;C0449788;C0521115
172,number of ( % ) females,C0086287;C0237753;C0449788
172,missing — number / n ( % ),C0237753;C0449788;C1551393;C1705492;C3272743
171,apob : apoa - nmbr ratio,C0003592;C0003593;C0053917;C0456603;C0523508;C1334884;C1547037;C3252643;C4553344;C4553379
171,apoa - nmbr  g / l,C0003592;C0053917;C0439294;C0456615;C0523508;C1334884;C4553344;C4553379
171,< nmbr . nmbr mmol / liter apob : apoa - l ratio,C0003592;C0003593;C0053917;C0456603;C0475211;C0523508;C1334884;C1532563;C1547037;C3252643;C4553344;C4553379
170,history of amputation — no . ( % ),C0002688;C0019664;C0019665;C0262512;C0262926;C0332840;C1546539;C1705255;C2004062
170,history of amputation,C0002688;C0019664;C0019665;C0262512;C0262926;C0332840;C1546539;C1705255;C2004062
169,other glp - nmbr receptor agonist,C0018301;C0053917;C1334884;C1422069;C1425391;C1539338;C2350813;C4543206
169,glp - nmbr receptor agonist ( other than study drug ),C0013175;C0018301;C0053917;C1334884;C1422069;C1425391;C1539338;C2350813;C4543206
168,severe teaes,C0205082;C4050465;C4050466
168,severe n z nmbr,C0053917;C0205082;C1334884;C4050465;C4050466
168,severe impairment ( < nmbr ),C0053917;C0205082;C0221099;C0684336;C1334884;C4050465;C4050466
168,severe hyperkalemiac,C0205082;C4050465;C4050466
168,severe ( gold nmbr ),C0018026;C0053917;C0205082;C1304897;C1334884;C4050465;C4050466
168,at least nmbr severe flare,C0053917;C0205082;C1334884;C1517205;C3540542;C4050465;C4050466
167,treated hypertension :,C0020538;C1522326;C1963138
167,reported hypertension *,C0020538;C0684224;C0700287;C1963138;C4319718
167,previous hypertension,C0020538;C0205156;C1552607;C1963138
167,hypertension — no . ( % ) hypercholesterolemia — no . ( % ),C0020538;C1963138
167,hypertension and left ventricular hypertrophy,C0020538;C1963138
167,hypertension : no ( n = nmbr ),C0020538;C1963138
167,duration of hypertension  n ( % ),C0020538;C0449238;C1963138;C2926735
166,initiation of dialysis  renal transplantation  or creatinine . nmbr . nmbr mg / dl ( nmbr mmol / l ),C0011945;C0011946;C0019004;C0022671;C0040732;C0040733;C0589507;C1059964;C1158830;C1704686;C4551529
165,urgent cor revasc,C0018787;C0056331;C0378365;C0439609;C3272275
165,cor revasc,C0018787;C0056331;C0378365
164,metrex overall modified intention - to - treat population ? :,C0032659;C0087111;C0162425;C0282416;C0392747;C1257890;C1283828;C1292734;C1522326;C1561607;C3889737
163,triple therapy use at screening  n ( % ),C0039798;C0042153;C0087111;C0457083;C1363945;C1947944;C2121434
163,therapy at discharge,C0012621;C0030685;C0039798;C0087111;C1363945;C2926602
163,no pah therapy,C0030123;C0039798;C0087111;C1363945;C3203102;C4284467
163,icd therapy vs . placebo no . hazard ratio ( nmbr . nmbr % cl ),C0021122;C0039798;C0087111;C1363945
163,dpp - nmbr inhibitor therapy,C0039798;C0053917;C0087111;C1334884;C1363945;C1414174;C1999216
163,antithrombotic therapy,C0039798;C0087111;C1363945
162,psap - b ( ng / ml ),C0439275;C1418975;C1420002;C1425004
162,opg  ( ng / ml ),C0439275;C1262886;C1336645;C1412836;C1710303
162,ntpro - cnp ( ng / ml ),C0439275;C3889729
162,neuropilin ( ng / ml ),C0287275;C0439275
162,mesothelin ( ng / ml ),C0380162;C0439275;C1334533
162,fasting c - peptide  ng / ml,C0006558;C0015663;C0439275
162,ctn - l  ng / ml,C0439275;C0917591
162,angiogenin ( ng / ml ),C0051844;C0439275;C1367482
161,estimated gfr ( ml / min / nmbr . nmbr mnmbr ) ^ |,C0017654;C0053917;C0439445;C0750572;C1334884;C1424601
161,estimated gfr  ml min - nmbr nmbr . nmbr m - nmbr ( sd ) a,C0017654;C0053917;C0369637;C0439445;C0441923;C0750572;C1334884;C1424601;C2699239
161,estimated gfr  < nmbr ml min - nmbr nmbr . nmbr m - nmbr  n ( % ) a,C0017654;C0053917;C0369637;C0439445;C0441923;C0750572;C1334884;C1424601
160,time to admission  min,C0702093;C1524029;C3813700;C3854258;C3854259
160,min  max,C0702093;C1524029;C3813700
160,cross - damp time : < l : llhrs : min ( n = nmbr ),C0040223;C0053917;C0205381;C0702093;C1334884;C1524029;C2828360;C3541383;C3813700;C3891560
159,ccbs  ( % ),C0006684
159,calcium channel blockers  n ( % ),C0006684;C2757014
159,calcium channel antagonists  n ( % ),C0006684;C2757014
159,calcium antagonists  n ( % ),C0006684
159,calcium - channel blockers ( % ),C0006684;C2757014
159,calcium - channel blocker ( ratelowering ),C0006684;C3536851;C4521885
158,vitamin e,C0042874;C3714803
158,united states,C0041703
158,remission  n ( % ),C0544452;C0687702
158,radius fracture,C0034628
158,primary renal endpoint or death,C0022646;C2986535
158,primary end point kaplan - meier rate  %,C0871208;C1521828;C2986535
158,primary end point  no . of events / total no . ( % ),C2986535
158,partial mayo clinic scored,C0002424;C0442592;C0454788;C0728938;C1077578;C1550516
158,paracetamol,C0000970
158,p value for adjusted hr,C0456081;C1709380
158,other lipid parameters,C0023779;C0449381
158,nace ( primary endpoint ),C2986535
158,microvascular eye diseased,C0015392;C0443258;C0700042
158,key secondary end point : st,C0036056;C3272372;C4528314
158,impaired glucose tolerance or impaired fasting glucose — no . ( % ),C0271650
158,iglar ( insulin glargine lnmbr u ),C0439148;C0907402
158,history of hypercholesterolemia  n ( % ),C1533076
158,history of cardiovascular disease — no . ( % ) ^ |,C0455539
158,hawaiian / pacific,C0337920
158,genotyping,C1285573
158,exacerbations,C4086268
158,enoxaparin,C0206460
158,doubling of creatinine †,C0010294;C0205173;C1561535;C1705764
158,device group,C1706365
158,crude analysis  n ( % ),C0002778;C0936012;C1524024
158,combined end points,C0205195;C2349179
158,carotid stenosis,C0007282
158,cardiovascular risk factors — no . / total no . ( % ),C0850624
158,atenolol *,C0004147
158,argentina,C0003761;C1504311
158,apo anmbr ( g / l ),C0439294;C0456615
158,angiography — no . ( % ),C0002978
158,alt  ast  or both > nmbrx uln,C3831581
158,% predicted pre - bronchodilator fevnmbr  % *,C0681842;C1882327;C2599602
157,omega - nmbr fatty acid ( n = nmbr ),C0015684;C0053917;C1334884;C1719844
157,omega - nmbr fatty acid,C0015684;C0053917;C1334884;C1719844
157,number omega - nmbr number placeb fatty acid,C0015684;C0053917;C0237753;C0449788;C1334884;C1719844
157,b digit symbol substitution  omega - nmbr fatty acids vs placebo,C0015684;C0053917;C0582802;C0679214;C1334884;C1555721;C1698987;C1706204;C1719844;C3241971
157,a mini - mental state examination  omega - nmbr fatty acids vs placebo,C0015684;C0053917;C0451306;C1334884;C1719844
156,with revascularisation,C0581603
156,use of hormone replacement therapy ( a ),C0282402;C1524063
156,usa and canada,C0041703
156,pef  post - bronchodilator  % predicted normal,C0030771;C1518922;C1542834
156,nyha class iii or iv ( n = nmbr ),C1882086
156,neoplasia  n ( % ),C0027651;C1882062
156,lipid profile,C0023779;C1979963;C2003903
156,killip class,C1881332
156,isolated systolic hypertension  n ( % ) “,C0745133
156,isolated igt,C0205409;C1548221
156,invasive,C0205281;C1334278
156,intent of early invasive strategy  %,C0162425;C0205281;C0679199;C1279919;C1283828;C1334278;C1550453
156,incidence rate,C1708485
156,hospitalized for asthma  n ( % ) *,C0004096;C0701159;C2984299
156,hispanic ethnic group — no . ( % ) f,C0015031;C0086409;C1879937
156,hba  % nmbrc,C0019016;C1825777;C3538758
156,ethnicity ( % ),C0015031;C0243103
156,ethnic origin  n ( % ),C0015031
156,ethnic origin,C0015031
156,ethnic group — no . ( % ) ',C0015031;C1879937
156,endovascular — no . ( % ),C0524425
156,dmard | |,C0242708
156,discontinuations teaes,C0457454
156,dasnmbr - esr lda,C3811131;C4553195
156,coronary bypass graft,C1260596
156,caucasian ethnicity,C0007457;C0015031;C0043157;C0243103
156,before bronchodilation,C1371299;C3537072
156,acr  mg / mmol,C0567349;C1412134;C1515941;C2348885
155,type nmbr diabetes duration  years,C0053917;C0439234;C0449238;C1320657;C1334884;C2926735
155,tnmbrdm duration ( years ),C0439234;C0449238;C2926735
155,ra symptom duration — year,C0439234;C0439508;C0449238;C1457887;C2926735;C3538806;C3854129;C4048756
155,psa duration  years,C0439234;C0449238;C2926735;C3810537;C3813209
155,known duration of diabetes  yr,C0011847;C0011849;C0205309;C0439234;C0449238;C2926735
155,duration of ra ( years ),C0439234;C0449238;C2926735;C3538806;C4048756
155,duration of psoriasis  years,C0033860;C0439234;C0449238;C2926735
155,duration of hypertension ( years ),C0020538;C0439234;C0449238;C1963138;C2926735
155,duration of coronary artery disease — yr,C0018787;C0439234;C0449238;C0852949;C2926735
154,vascular disordersb,C0005847;C1558950;C1801960
154,uacr  mg / mmol ( interquartile range ) b,C0567349;C1711350;C2348885
154,sex  n ( % ) male,C0086582
154,receiving concomitant corticosteroids,C1514756
154,ranolazine  n = inmbrinmbr,C0073633
154,qualifying hbanmbrc ( % ),C1514624
154,peri - op amiodarone : no ( n = nmbr ),C0002598;C0347985
154,p value versus placebo,C1709380
154,other asian,C0078988
154,osteoporosis,C0029456;C4554622
154,odds ratio versus placebo ( nmbr % ci ),C0028873
154,lipid - lowering therapy,C0585943
154,left ventricular hypertrophy — no . ( % ),C0149721;C3484363
154,left atrial diameter,C0225860;C0225861;C1301886
154,ipf - related,C0034069;C1800706
154,intraperitoneal,C0442120
154,interaction : treatment by psoriasis p valuenmbr,C1704675;C3258078
154,history of systemic hypertension,C0205373;C0455527
154,history of paroxysmal atrial fibrillation  n ( % ),C0205311;C0729790
154,headache,C0018681;C4553197
154,gpiib / iiia receptor inhibitor,C0016011;C0597357;C1999216
154,fc - ldl - c  friedewald - calculated,C2983605
154,fastest third,C0015663;C0205437;C0456962;C2985769
154,decreased appetite,C0232462
154,death from any cause,C0007465
154,cardiac resynchronization therapy,C1167956
154,both ptca and cabg,C2936173
154,biomarker status,C0449442
154,amiodarone vs . placebo no . hazard ratio ( nmbr . nmbr % cl ),C0002598
154,amiodarone  n ( % ),C0002598
154,amiodarone,C0002598
153,rando . in na * *,C0597484;C1272460;C1546968;C1879645;C4049872;C4552882
153,insulin - na ' ive,C0021641;C0597484;C1272460;C1533581;C1546968;C1579433;C1879645;C3435805;C3714501;C4049872;C4552882;C4554334
152,prior ml ( before index acs ),C0332152;C0439526;C0600653;C0742343;C0918012;C1552854;C1637833;C1705224;C2826257;C2986546;C3887665;C4318612
151,inadequate response / intolerance to prior therapy  %,C0039798;C0087111;C0205412;C0231199;C0332152;C0439856;C0871261;C1363945;C1704632;C1706817;C1744706;C2355652;C2911692
150,valsartan / hctz  n / n ( % ),C0020261;C0216784
150,valsartan / hctz,C0020261;C0216784
150,v alsartan / hctz  n ( % ),C0020261
150,upper gastrointestinal,C3203348
150,thienopyridine drug at start of open - label period,C0439531;C1120149;C1709323;C1948053;C2348346
150,syncope — no . ( % ),C0039070;C3541349;C4554644
150,pulmonary disease,C0024115
150,prasugrel,C1620287
150,pancreatic cancer,C0235974;C0346647;C2984259
150,nonaspirin antiplatelet agent,C0085826;C0722138
150,no antidiabetic drug,C0935929
150,mycophenolate mofetil,C0209368
150,minimum stent diameter,C0038257;C4054490
150,lower - limb arterial — no . ( % ),C0023216
150,long - acting or short - acting nitrates,C0079613;C0205166;C1704930;C1706317;C1869853;C3890007;C4048375
150,lipid - lowering agents ( % ),C0086440
150,involved intestinal area  n ( % ),C0021853;C1879646
150,indication for stent,C0038257;C0392360;C3146298
150,history of intermittent claudication and abi < nmbr - nmbr or substantial peripheral arterial stenosis > nmbr %,C0205267;C2315493
150,history of hypercholesterolemia,C1533076
150,hctz = hydrochlorothiazide . * based on wilcoxon nmbr - sample rank - sum tests for age and body mass index  t tests for systolic and diastolic blood and ' / nmbr tests for categorical variables . t data were missing for some patients .,C0020261
150,glucose  mmol / l,C0017725;C1532563
150,former smoker  n ( % ),C0337671
150,fibrin - specific,C0015982
150,femoral neck,C0015815
150,fatal and nonfatal stroke,C1302234;C1705232
150,digital clubbing  n ( % ),C0009080;C0149651
150,cigarette users,C0677453;C1704760;C1706077;C3890423
150,chd risk equivalents  n ( % ),C0439185;C1282512;C4049980
150,cerebrovascular disorders  n ( % ),C0007820
150,cardiovascular history — no . / total no . ( % ),C1880008
150,blood pressure,C0005823;C1271104;C1272641
150,basal insulin analogue : insulin,C0205112;C0243071;C0650607;C2825028
150,atrial fibrillation / atrial flutter  %,C0155709
150,allhat - llt,C2347090
150,abrupt vessel closure,C0005847;C0185003;C1276802;C1521802
149,treatment with candesartan,C0039798;C0087111;C0717550;C1522326;C1533734;C1705169;C3538994;C3887704
149,treatment difference  ml,C0039798;C0087111;C0439526;C1522326;C1533734;C1705169;C1705224;C1705241;C1705242;C3538994;C3887665;C3887704
149,treatment at randomization — no . ( % ),C0034656;C0039798;C0087111;C1522326;C1533734;C1705169;C3538994;C3887704
149,treatment after admission,C0039798;C0087111;C0184666;C0809949;C1522326;C1533734;C1705169;C3538994;C3887704
149,thrombolytic treatment before randomization,C0016018;C0034656;C0039798;C0087111;C0520997;C1522326;C1533734;C1705169;C3538994;C3887704
149,subgroup by treatment interaction p - value,C0039798;C0087111;C1079230;C1515021;C1522326;C1533734;C1704675;C1705169;C1709380;C3538994;C3887704
149,statin treatment,C0039798;C0087111;C0360714;C1522326;C1533734;C1705169;C3538994;C3887704
149,randomised treatment,C0039798;C0087111;C1522326;C1533734;C1705169;C3538994;C3887704
149,previous treatment with tnf antagonist — no . ( % ) §,C0039798;C0087111;C0205156;C0231491;C1448177;C1522326;C1533734;C1552607;C1705169;C3538994;C3887704
149,previous copd treatment  n ( % ) *,C0024117;C0039798;C0087111;C0205156;C1412502;C1522326;C1533734;C1552607;C1705169;C3538994;C3714496;C3887704
149,previous antiarrhythmic treatment — no . ( % ),C0003195;C0039798;C0087111;C0205156;C1522326;C1533734;C1552607;C1705169;C3537142;C3538994;C3887704
149,pretreatment / concomitant treatment,C0039798;C0087111;C0521115;C1522326;C1533734;C1550147;C1705169;C2709094;C3538994;C3539075;C3539076;C3887704
149,location of treatment center,C0039798;C0087111;C0205099;C1522326;C1533734;C1705169;C3538994;C3887704
149,events treatment ( nmbr ),C0039798;C0053917;C0087111;C0441471;C1334884;C1522326;C1533734;C1705169;C3538994;C3541888;C3887704
149,epa treatment ( n = nmbr ),C0039798;C0053917;C0087111;C1334884;C1522326;C1533734;C1705169;C3538994;C3887704
149,concurrent treatment of crohn ' s disease at study entry — no . of patients ( % ) ff,C0010346;C0039798;C0087111;C0205420;C1522326;C1533734;C1705169;C3538994;C3887704
149,antihypertensive treatment,C0003364;C0039798;C0087111;C1522326;C1533734;C1705169;C3538994;C3887704
148,physical function ( nmbr - nmbr  short form - nmbr subscale ),C0031843;C0053917;C0348078;C0376315;C0516981;C0542341;C0597240;C0700205;C0700329;C1282927;C1334884;C1522492;C1705273;C1806781;C2350002;C4049916;C4255237
147,cv death or first hhf,C0011065;C1306577;C3538987;C4048877;C4082313;C4318503;C4552775
147,cv death / mi / stroke,C0011065;C0038454;C1306577;C3538987;C3810814;C4048877;C4082313;C4318503;C4552775;C4554100
147,cv death + hf hospitalization,C0011065;C0018488;C0019993;C1306577;C1313497;C1538440;C3273279;C3538987;C4048877;C4082313;C4318503;C4552775
147,cv death  ml  or stroke,C0011065;C0439526;C1306577;C1705224;C3538987;C3887665;C4048877;C4082313;C4318503;C4552775
146,with placebo ( n nmbr nmbr ),C0032042;C0053917;C1334884;C1696465;C1706408
146,vorapaxar placebo nmbr - yr . km % rate,C0032042;C0053917;C0439234;C0871208;C1334884;C1521828;C1696465;C1706408;C2974521;C3887676
146,vorapaxar placebo nmbr - yr %,C0032042;C0053917;C0439234;C1334884;C1696465;C1706408;C2974521
146,rerandomization to placebo ( n = nmbr ) f,C0016327;C0032042;C0053917;C1334884;C1696465;C1706408
146,placebo nmbr year km ( % ),C0032042;C0053917;C0439234;C0439508;C1334884;C1696465;C1706408;C3887676
146,placebo n = nmbr subjects,C0032042;C0053917;C1334884;C1696465;C1706408
146,placebo event rate ( n = nmbr )  %,C0032042;C0053917;C0441471;C0871208;C1334884;C1521828;C1696465;C1706408;C4019010
146,nmbr placebo n = nmbr,C0032042;C0053917;C1334884;C1696465;C1706408
146,n ( indacaterol nmbr ug / indacaterol nmbr ug / placebo ),C0032042;C0053917;C0369718;C0441922;C1319635;C1334884;C1696465;C1706408;C1722260
145,mean sgrq total score ( sd ),C0439175;C0439810;C0444504;C2347634;C2348143;C2699239;C2964552;C3533236
145,in ibdq total score at week nmbr  mean [se],C0036919;C0053917;C0332174;C0439175;C0439230;C0439810;C0444504;C1334884;C2347634;C2348143;C2964552;C3533236
145,baseline dyspnea index  mean total score,C0439175;C0439810;C0444504;C1511069;C2347634;C2348143;C2964552;C3533236
144,duration of last qualifying episode of atrial fibrillation > nmbr days,C0004238;C0053917;C0332189;C0344434;C0439228;C0449238;C1334884;C1514624;C1963067;C2926735
144,current atrial fibrillation or flutter on ecg,C0004238;C0344434;C0521116;C1705970;C1963067
144,atrial fibrillation onset,C0004238;C0206132;C0332162;C0344434;C1963067
144,atrial fibrillation  n ( % ),C0004238;C0344434;C1963067
144,atrial fibrillation  duration — no . ( % ),C0004238;C0344434;C0449238;C1963067;C2926735
143,bl updrs : low,C0005918;C0006413;C1552663;C2827109;C3639721
143,bl updrs : high,C0005918;C0006413;C1552663;C2827109;C3639721
142,week nmbr fpg  mean ( s . e . ),C0053917;C0332174;C0439230;C0444504;C1334884;C2347634;C2348143
142,week nmbr ( itt population ),C0032659;C0053917;C0332174;C0439230;C1257890;C1334884
142,week nmbr ( geometric mean  cv ),C0053917;C0332174;C0439230;C1334884;C2986759;C3538987;C4048877;C4318503
142,triglycerides ( week nmbr ) a,C0041004;C0053917;C0332174;C0439230;C1334884
142,total cholesterol ( week nmbr ),C0053917;C0201950;C0332174;C0439230;C0543421;C1334884
142,nmbr - nmbr / week,C0053917;C0332174;C0439230;C1334884
142,ldl particle size ( week nmbr ),C0053917;C0332174;C0439230;C1334884;C3641256
142,hdl cholesterol ( week nmbr ) a,C0023822;C0053917;C0332174;C0392885;C0439230;C1334884
142,elevated at wk nmbr — no . ( % ) nmbr,C0053917;C0205250;C0332174;C0439230;C1334884;C3163633
142,calculated ldl cholesterol ( week nmbr ),C0023824;C0053917;C0202117;C0332174;C0439230;C0444686;C1334884;C1441506
