,descriptor,terms
23,characteristic_level,"cabg-ace inhibitor-hypertension-triglycerides-race , % nonwhite-alcohol , % > nmbr drink / d-aspirin-age , mean ( sd ) , y-p - blocker-total cholesterol-waist circumference , mean ( sd ) , in-digoxin-ldl - c-hdl - c-ptca-ptca ""-bmi , mean ( sd )-prior stroke-diastolic-systolic-ptca / cabg-anyantianginal agent-smoking , % current-fpi , mean ( sd ) , pu / mlt-fpg , mean ( sd ) , mg / dlt-prior myocardial infarction-calcium channel blocker-congestive heart failure"
24,characteristic_level,"undiagnosed diabetes ( n = nmbr )-diagnosed diabetes ( n = nmbr )-normal fasting glucose level ( n = nmbr )-impaired fasting glucose level ( n = nmbr )-diagnosed diabetes ( n = nmbr ) ""-p value"
25,characteristic_name,"> nmbr previous venous thromboembolisms ( % )-factor v leiden ( % )-prothrombin mutation ( % )-female sex ( % )-race ethnic group ( % )-duration full - dose warfarin therapy enrollment ( mo )-time cessation full - dose warfarin therapy enrollment ( mo )-body - mass index *-body - mass index * ""-family history venous thromboembolism ( % )-age ( yr )-history diabetes ( % )"
26,characteristic_level,"median-other-non - hispanic white-non - hispanic black-interquartile range-median ""-hispanic"
28,characteristic_name,"time since cessation full - dose warfarin therapy-age-sex-factor v leiden prothrombin mutation-no . previous venous thromboembolic events ""-time since randomization-no . previous venous thromboembolic events"
29,characteristic_level,"< nmbr yr-present-female-male-nmbr - nmbr yr-nmbr-> nmbr yr-> nmbr ""-< nmbr mo-absent-> nmbr mo-> nmbr"
31,measures,". / nmbr person - yr-no . events-no . events """
32,characteristic_name,"race ( % )-race ( % ) "" ; na"
33,arms,"placebo ""-rsg nmbr mg / day-placebo"
34,characteristic_level,"< nmbr %-< nmbr % ""-> nmbr %"
35,outcomes,"fpg ( mg / dl ) ""-hbanmbrc ( % )-fpg ( mg / dl )"
36,measures,"comparison baseline-baseline ( mean , sd )-( mean difference , nmbr % ci )-( mean change , nmbr % ci )-comparison placebo-week nmbr ( mean , sd )-patients ( n )-week nmbr ( mean , sd ) """
37,arms,"placebo ""-rsg nmbr mg / day-placebo"
38,characteristic_level,"< nmbr %-< nmbr % ""-> nmbr %"
39,measures,"comparison baseline-baseline ( mean , sd )-comparison placebo-( mean % difference , nmbr % ci )-week nmbr ( mean , sd )-patients ( n ) ""-patients ( n )-( mean % change , nmbr % ci )"
40,arms,"rsg nmbr mg / day-rsg nmbr mg / day ""-placebo"
41,characteristic_level,"< nmbr %-< nmbr % ""-> nmbr %"
42,measures,"% change , nmbr % ci )-% difference , nmbr % ci )-comparison placebo ( mean-comparison baseline ( mean-patients ( n ) ""-week nmbr ( geometric mean , cv )-patients ( n )-baseline ( geometric mean , cv )"
43,arms,"rsg nmbr mg / day-rsg nmbr mg / day ""-placebo"
44,characteristic_level,"< nmbr %-< nmbr % ""-> nmbr %"
45,measures,"comparison baseline-baseline ( mean , sd )-comparison placebo-( mean % difference , nmbr % ci )-week nmbr ( mean , sd )-patients ( n ) ""-patients ( n )-( mean % change , nmbr % ci )"
46,arms,"rsg nmbr mg / day-rsg nmbr mg / day ""-placebo"
47,characteristic_level,"< nmbr %-< nmbr % ""-> nmbr %"
48,characteristic_level,"thrombolytic therapy-ace inhibitors ""-previous ml-hypertension-cardiac catheterization-marital status , married-chf history-previous cabg surgery-aspirin-cabg surgery-age , mean ( sd ) , y-race , nonwhite-severe dysfunction-education , high school higher-low perceived social support only-hypercholesterolemia-body mass index , mean ( sd ) t-depressed only-peripheral vascular disease-depressed low perceived social support-anterior-lipid - lowering drugs-cerebrovascular disease-renal insufficiency-diabetes-non - q wave-killip class lll - iv-ace inhibitors-mild dysfunction normal-moderate dysfunction-anticoagulants-comorbidity score , mean ( sd ) t-systolic blood pressure , mean ( sd ) , mm hg-indeterminate unknown-sex , female-inferior-smoking history-previous ptca-q wave-ptca < nmbr h-p - blockers"
49,characteristic_name,"current prescribed medications ""-medical characteristics-current prescribed medications-characteristics index ml-treatment index ml-psychosocial risk factors-ejection fraction category"
50,arms,"intervention ( n = nmbr ) ""-intervention ( n = nmbr )-usual care ( n = nmbr )"
51,characteristic_name,". coronary vessels > nmbr % diameter stenosis-entry criteria-no . coronary vessels > nmbr % diameter stenosis "" ; na"
52,characteristic_level,"arterial hypertension-serum cholesterol , median ( iqr ) , mg / dl-st - segment depression-previous balloon angioplasty-women-insulin - dependent-previous myocardial infarction-age , median ( iqr ) , y-active smoker-nmbr-cardiac troponin level > nmbr . nmbr pg / l-none-left ventricular ejection fraction , median ( iqr ) , %-previous cabg surgery-insulin - dependent ""-cardiac troponin level , median ( iqr ) , pg / l-diabetes mellitus"
53,measures,". ( % )-no . ( % ) """
54,arms,"nmbr early intervention ( n = nmbr )-nmbr prolonged antithrombotic pretreatment ( n = nmbr )-nmbr early intervention ( n = nmbr ) """
55,characteristic_name,"diabetesf-other nsaids-abnormal angiogram-myocardial infarction-renal impairmentt-hormone replacement ! !-age , mean ( sd ) , y-aspirin antiplatelet agent-heart failure ( class l - lll )-hypercholesterolemiat-antidiabetic medication | |-arrhythmia-any lipid - lowering agent-peripheral vascular disease-prior ml abnormal angiogram-potassium supplement-pci > nmbr month ago-unstable angina > nmbr mo ago-cabg pci-cabg > nmbr month ago-stroke-bmi , mean ( sd ) , kg / mnmbr ""-race / ethnicity white-bmi , mean ( sd ) , kg / mnmbr-angina pectoris-left ventricular hypertrophy"
56,arms,"non - calcium antagonist strategy ( n = nmbr nmbr )-non - calcium antagonist strategy ( n = nmbr nmbr ) ""-calcium antagonist strategy ( n = nmbr nmbr )"
57,characteristic_name,"age , y-revascularization-us resident-race / ethnicity-diabetes-sex ""-myocardial infarction-sex-hypercholesterolemia-left ventricular hypertrophy-congestive heart failure"
58,characteristic_level,"hispanic-white-other-< nmbr-male-female-no-black-female ""-yes-> nmbr"
60,arms,"placebo ( n = nmbr ) ""-abciximab ( n = nmbr )-placebo ( n = nmbr )"
61,characteristic_level,"< nmbr yr-female-male-no-> nmbr yr-female ""-yes"
62,characteristic_name,"angina class iii iv prior-age-diabetes-sex ""-intervention complex lesions-sex"
63,arms,"abciximab . / total ( % )-placebo . / total ( % )-placebo . / total ( % ) """
64,outcomes,"death ( cause )-nonfatal ml-cardiovascular hospitalization-nonfatal stroke-cardiovascular hospitalization ""-cardiovascular death !-primary outcome !"
65,measures,"strategy-hr-nmbr % cl-strategy """
66,arms,"atenolol n = nmbr-verapamil sr n = nmbr-verapamil sr n = nmbr """
67,measures,". ( % )-rate *-rate * """
68,other,"placebo treatment ""-or placebo treatment"
69,characteristic_level,"ii-iii-iv ""-iv"
71,characteristic_name,"medical history-mean age , yrs-health habits ""-health habits"
72,arms,"placebo ( n = nmbr , nmbr )-placebo ( n = nmbr , nmbr ) ""-beta - carotene ( n = nmbr , nmbr )"
73,characteristic_level,"nmbr +-total-nmbr - nmbr ""-nmbr - nmbr"
75,characteristic_level,"nmbr +-total-nmbr - nmbr ""-nmbr - nmbr"
77,outcomes,"total cataract extraction-total cataract-total cataract extraction """
78,characteristic_level,"current non - smoker-current smoker-current non - smoker """
80,characteristic_name,"baseline lipid / lipoprotem values ""-baseline lipid / lipoprotem values-pace , . ( nmbr )-sex , . ( % )"
81,characteristic_level,"white-hdl - c , mean ( sd ) , mg / dl-plp - c , mean ( sd ) , mg / dl-apo b , mean ( sd ) , mg / dl-other-non - hdl - c , mean ( sd ) , rng / dl-b lack-ldl - c , mean ( sd ) , mg / dl-tg , median ( sdy rng / cjl-male-female-ldl - cihdl - c , mean ( sd )-crp median ( se ) , rng / l-tchdl - c , mean ( sd ) ""-tc , mean ( sd ) , rrig / dl-hispanic-apo - nmbr , mean ( sd ) , mg / dl-tchdl - c , mean ( sd )"
82,arms,"eze-placebo-pooled simva-pooled eze / simva-pooled eze / simva """
83,measures,"( n = nmbr )-( n = nmbr ) ""-( ri = nmbr )-( n = ms )"
84,arms,"amiodarone ( n = nmbr )-icd therapy ( n =-placebo ( n = nmbr ) ""-placebo ( n = nmbr )"
85,characteristic_level,"diabetes-age < nmbr yr-nmbr - nmbr ft-no beta - blocker-qrs > nmbr msec nmbr - min walk test-age > nmbr yr-white race-qrs < nmbr msec-> nmbr ft-beta - blocker-diabetes-male sex-nonwhite race-lvef > nmbr %-< nmbr ft-female sex-no beta - blocker ""-lvef < nmbr %"
86,measures,"icd therapy vs . placebo . hazard ratio ( nmbr . nmbr % cl ) ""-icd therapy vs . placebo . hazard ratio ( nmbr . nmbr % cl )-amiodarone vs . placebo . hazard ratio ( nmbr . nmbr % cl )"
87,arms,"placebo ( n = nmbr , nmbr )-total ( n = nmbr , nmbr )-placebo ( n = nmbr , nmbr ) ""-aspirin ( n = nmbr , nmbr )"
88,characteristic_level,"premenopausal-postmenopausal , hrt-nmbr - nmbr / nmbr - nmbr mm hg-nmbr . nmbr nmbr . nmbr-postmenopausal , current hrt-no-nmbr - nmbr yr-> nmbr yr-< nmbr / < nmbr mm hg-past never-> nmbr / > nmbr mm hg-nmbr - nmbr / nmbr - nmbr mm hg ""-> nmbr . nmbr-yes-uncertain-< nmbr . nmbr-current"
89,characteristic_name,"body - mass indexf-blood pressure-blood pressure ""-age-hypertension !-menopause hrt-smoking status"
90,outcomes,"major cv event ""-ischemic stroke-stroke-myocardial infarction-major cv event-total ."
92,arms,"placebo ( n = nmbr ) ""-clopidogrel ( n = nmbr )-placebo ( n = nmbr )"
93,characteristic_name,"types fibrinolytic agent-age-types fibrinolytic agent ""-predominant type heparin-sex-infarct location"
94,characteristic_level,"overall-< nmbr yr-anterior-low - molecular - weight-fibrin - specific-nonanterior-characteristic-fibrin - specific ""-non - fibrin - specific-male-female-> nmbr yr-none-unfractionated"
96,characteristic_name,"diabetes ( % )-men ( % )-hdl - c ( mmol / l )-bmi ( kg / mnmbr )-ldl - c ( mmol / l )-apo - l ( g / l )-non - hdl - c ( mmol / l )-tg ( mmol / l ) c-hscrp ( mg / l ) c-fibrinogen ( pmol / l ) c-apo b ( g / l )-metabolic syndrome ( % ) b-age ( years )-weight ( kg )-tc ( mmol / l )-hscrp ( mg / l ) c """
97,arms,"feno nmbr mg / eze nmbr mg ( n = nmbr ) ""-feno nmbr mg / eze nmbr mg ( n = nmbr )-placebo ( n = nmbr )-feno nmbr mg ( n = nmbr )-eze nmbr mg ( n = nmbr )"
98,characteristic_level,"tg > nmbr . nmbr-tg > nmbr . nmbr ""-tg < = nmbr . nmbr"
99,arms,"eze-feno-placebo-feno + eze-feno + eze """
100,arms,"ezetimibe nmbr mg ( n = nmbr ) ""-ezetimibe nmbr mg ( n = nmbr )-placebo ( n = nmbr )"
101,characteristic_name,"treatment stratum^ :-age :-diabetes mellitus :-baseline ldl - c :-age : ""-body mass index :"
102,measures,"mean baseline ldl - c ( mmol / l )-mean baseline ldl - c ( mmol / l ) """
104,characteristic_name,"age , y-randomized receive beta carotene-alcohol use , drinks / wk-randomized receive vitamin e-physical activity , kcal / wk-bmi-menopausal status use ht-family history cancerf-smoking status-bmi """
105,characteristic_level,"mean ( sd )-nmbr < nmbr-premenopausal-postmenopausal current ht-past-< nmbr-postmenopausal ht-no-nmbr - nmbr-< nmbr ""-never-yes-> nmbr-uncertain-current"
109,outcomes,"itherchdt ""-itherchdt-noneh-other vasculars-ml c"
110,characteristic_name,"previous disease : ""-diastolic blood pressure ( mm hg ) :-triglycerides ( mmol / l ) :-history diabetes :-treated hypertension :-hdl cholesterol ( mmol / l ) :-total cholesterol ( mmol / l ) :-previous disease :-ldl cholesterol ( mmol / l ) :-sex :-age ( years ) :"
112,characteristic_name,"previous disease : ""-diastolic blood pressure ( mm hg ) :-triglycerides ( mmol / l ) :-history diabetes :-treated hypertension :-hdl cholesterol ( mmol / l ) :-total cholesterol ( mmol / l ) :-previous disease :-ldl cholesterol ( mmol / l ) :-sex :-age ( years ) :"
114,arms,"eze / simva nmbr / nmbr mg ( n = nmbr )-atvnmbr mg ( n = nmbr )-atvnmbr mg ( n = nmbr ) """
115,arms,"glucosamine ( n = nmbr )-celecoxib ( n = nmbr ) ""-celecoxib ( n = nmbr )-placebo ( n = nmbr )-chondroitin sulfate ( n = nmbr )-glucosamine + chondroitin sulfate ( n = nmbr )"
116,characteristic_name,"complex lesions^-left ventricular ejection fraction , mean ( sd ) , %-hours clopidogrel loading , mean ( sd )-age , mean ( sd ) , y-vessel size , mean ( sd ) , mm-elevated troponin ( > nmbr . nmbr pg / l )-women-left circumflex artery-hypercholesterolemia *-calcium antagonists-bare - metal stent-body mass index , mean ( sd ) t-nitrates-lesion length , mean ( sd ) , mm-diameter stenosis , mean ( sd ) , %-statins-left circumflex artery ""-insulin - treated diabetes-ace inhibitors-current smoking *-prior aortocoronary bypass surgery-elevated creatine kinase mb ( > nmbr u / l )-prior myocardial infarction-multivessel disease-arterial hypertension *-diabetes *-p - blockers"
117,characteristic_level,"nmbr ( nmbr . nmbr ) ""-nmbr ( nmbr . nmbr )-nmbr . nmbr ( nmbr . nmbr )"
118,measures,"p value ""-p value"
119,arms,"placebo ( n = nmbr ) ""-placebo ( n = nmbr )"
120,characteristic_name,"clopidogrel pretreatment duration-troponin level-troponin level ""-diabetes"
121,characteristic_level,"< nmbr . nmbr l - g / l-< nmbr h-> nmbr . nmbr - g / l-no-all participants-> nmbr . nmbr - g / l ""-> nmbr h-yes"
122,measures,"primary end point , . events / total . ( % )-primary end point , . events / total . ( % ) """
123,arms,"placebo ""-abciximab-placebo"
124,characteristic_level,"yes ""-male-yes-female"
125,characteristic_name,"hemoglobin ( gm / dl )-serum creatinine ( mg / dl )-weight ( kg ) "" ; na-proteinurianmbr ( g / day )-bmi ( kg / mnmbr )-gender-sbp ( mmhg )-smoking-cholesterol ( mg / dl )-hbanmbrc ( % )-age ( years )-albuminuria ( g / g )-weight ( kg )-dbp ( mmhg )"
126,measures,"mean ( . . )-n-range ""-n ( % )-range-( gm )-w"
128,characteristic_level,"white-black ""-asian-black-hispanic"
130,measures,"n event ( rate )-w event ( rate ) ""-w event ( rate )"
131,characteristic_level,"entire cohort-age-gender-race ""-race-chd status-baseline ldl - c"
132,characteristic_name,"gender , n ( % )-bmi ( kg / mnmbr )-lipid lipoprotein values ( mg / dl )-hs - crp ( mg / l )-age , years , mean ( range )-diagnoses / risk factors , n ( % ) ""-race , n ( % )-diagnoses / risk factors , n ( % )"
133,characteristic_name,"age "" ; na-age-race"
134,characteristic_level,"caucasian-non - caucasian-no chd-< nmbr mg / dl-entire cohort gender-> nmbr years baseline ldl - c-male-chd-female-male ""-> nmbrmg / dl chd status-< nmbr years"
135,arms,"simva-eze / simva ""-eze / simva"
136,arms,"nmbr / nmbr mg-nmbr / nmbr mg ""-nmbr mg"
137,characteristic_name,"entire cohort ""-entire cohort-age-race-chd status"
138,characteristic_level,"male eze / simva-non - caucasian eze / simva-< nmbr mg / dl simva-caucasian eze / simva-simva-female simva-caucasian simva-chd simva-male simva-chd eze / simva-no chd simva-< nmbr years eze / simva-female eze / simva-> nmbr mg / dl eze / simva-< nmbr mg / dl eze / simva-eze / simva gender-> nmbr years eze / simva baseline ldl - c-no chd eze / simva-eze / simva gender ""-< nmbr years simva-> nmbr years simva-non - caucasian simva-> nmbr mg / dl simva"
139,other,"select lipids lipoproteins ""-select lipids lipoproteins"
140,outcomes,"non - hdl - c-tc-hdl - c-tg +-apo - i-apo b-tg + """
141,outcomes,"laboratory ae , n ( % } ""-laboratory ae , n ( % }-clinical ae , n ( % }"
142,outcomes,"drug - related ae *-alt / ast > nmbr times uln consecutive #-deaths-myopathyt-cpk > nmbr times uln ""-discontinuations due ae-cpk > nmbr times uln-any clinical ae-serious ae"
143,characteristic_name,"type vessel involved-additional investigations-blood pressure ( mm hg )-history-randomisation scheme-dose aspirin-demographics-time longest event randomisation-rankin grade-history ""-antithrombotic drug use time event-qualifying event"
144,characteristic_level,"nmbr = restrictions ; help needed-nmbr = symptoms-hypertension-< nmbr week-myocardial infarction-stenosis > nmbr %-aspirin-intermittent claudication-diabetes mellitus-large vessel-nmbr mg-nmbr week nmbr month-systolic ( mean , sd )-age ( years ) ( mean , sd )-minor ischaemic stroke-nmbr = help needed ; still independent-current cigarette smoking ""-nmbr = minor symptoms ; limitations-any relevant infarct-oral anticoagulants-three arm-nmbr - nmbr months-vascular intervention-transient monocular blindness-current cigarette smoking-transient ischaemic attack-none-small vessel-ct mr scan brain *-unspecified-diastolic ( mean , sd )-other-ultrasound carotid arteries-any infarct-stroke-male-hyperlipidaemia-two arm-angina pectoris"
145,arms,"aspirin + dipyridamole ( n = nmbr )-aspirin alone ( n = nmbr )-aspirin alone ( n = nmbr ) """
146,characteristic_name,"systolic blood pressure ( mm hg )-lipid - lowering agents ( % )-age ( years )-diastolic blood pressure ( mm hg ) medications-antiplatelet agents ( % )-diabetes ( % )-pci ( % )-p blockers ( % )-female ( % )-cabg ( % )-diuretics ( % )-previous myocardial infarction ( % )-hypertension ( % )-current smokers ( % )-calcium - channel blockers ( % )-serum cholesterol ( mg / l ) *-previous stroke ortransient ischaemic attack ( % )-peripheral - artery disease ( % )-current smokers ( % ) """
147,other,"peace ( n = nmbr )-hope ( n = nmbr )-hope patients coronary - artery disease ( n = nmbr )-europa ( n = nmbrlnmbr )-peace ( n = nmbr ) """
148,characteristic_level,"revascularisation-all above-revascularisation + antiplatelets + lipid - lowering agents + p blockers-without p blockers-with antiplatelets-with p blockers-without revascularsation-one above-with lipid - lowering agents-two above-without lipid - lowering agents-none above-revascularisation antiplatelets , lipid - lowering agents , p blockers-with revascularisation ""-without antiplatelets"
150,characteristic_name,"ace inhibitors / arb-men-systolic blood pressure ( mm hg )-hdl cholesterol ( mmol / l )-aspirin-women-calcium - channel blockers-body - mass index ( kg / mnmbr )-medications antihypertensive drugs-medications antihypertensive drugs ""-ldl cholesterol ( mmol / l )-current / past smoker-p blockers-demographics age ( years )-lipid concentrations total cholesterol ( mmol / l )-triglyceride ( mmol / l ) t-diuretics-hypertension *-diabetes *-diastolic blood pressure ( mm hg )-lipoprotein ( ) ( mmol / l )"
151,arms,"diet plus pravastatin group ( n = nmbr )-diet plus pravastatin group ( n = nmbr ) ""-diet group ( n = nmbr )"
152,characteristic_name,"body - mass index ""-total cholesterol-body - mass index-smoker-age-ldl cholesterol-diabetes-hypertension-triglycerides-current / past-sex-hdlcholesterol"
153,characteristic_level,"nmbr - nmbr mmol / l-nmbr years-< nmbr kg / mnmbr ""-female-male-no-nmbr kg / mnmbr-yes-< nmbr years-< nmbr - nmbr mmol / l-< nmbr kg / mnmbr"
155,characteristic_name,"race , n ( % ) ""-race , n ( % )-metabolic syndrome characteristics , n ( % )"
156,characteristic_level,"nmbr . nmbr + nmbr . nmbr-nmbr ( nmbr . nmbr )-nmbr ( nmbr . nmbr ) ""-blood pressure ; pbo patients diabe teristics ( ncep atp i-n = nmbr"
157,characteristic_level,"metabolic syndrome * n = nmbr ""-metabolic syndrome * n = nmbr-neither n = nmbr , nmbr"
158,arms,"pbo + statin n = nmbr-eze + statin n = nmbr-eze + statin n = nmbr """
159,measures,"treatment difference-treatment difference "" ; na"
160,measures,"six weeks-% change-baseline-( % , nmbr % cl )-baseline """
161,outcomes,"non - hdl - c ( mmol / l , mean )-hdl - c ( mmol / l , mean )-tg ( mmol / l , median )-ldl - c ( mmol / l , mean )-apo b / apo - l ratio ( mean )-hs - crp ( mg / l , median )-ldl - c ( mmol / l , mean ) ""-key : tc = triglyceride ; hs - crp = ldl - c = low - density lipoprotein fc = fasting glucose ; ncep atp * category include ar > _ nmbr indicated char least - square means , except tc note : treatment subgroup-total c ( mmol / l , mean )"
163,arms,"eze + statin ""-pbo + statin nmbr-ze + statin-eze + statin-pbo + statin"
164,characteristic_level,"statins-, nmbr - blockers-statins "" ; na-aspirin-ace inhibitors"
165,characteristic_name,"arterial hypertension-age , y-body mass index , kg / mnmbr-elevated troponin ( > nmbr . nmbr / xg / l )-prior myocardial infarction-women-interval clopidogrel loading , h-current smoking-elevated creatine kinase - mb ( > nmbr u / l )-diabetes-prior pci-elevated creatine kinase - mb ( > nmbr u / l ) ""-serum creatinine , mg / dl-therapy discharge-prior coronary artery bypass surgery-hypercholesterolemia ( > nmbr mg / dl )"
166,characteristic_level,"age > nmbr ( n = nmbr )-age ' nmbr ( n nmbr ) ""-age ' nmbr ( n nmbr )"
168,outcomes,"major bleeding-target - vessel revascularization-death-major bleeding ""-mace-myocardial infarction-blood transfusion-mild thrombocytopenia ( < nmbrx nmbr / l )-minor bleeding-moderate thrombocytopenia ( < nmbrxnmbr / l )-hemorrhagic stroke-death myocardial infarction-profound thrombocytopenia ( < nmbrxnmbr / l )"
169,characteristic_level,"age > nmbr ( n = nmbr )-age ' nmbr ( n nmbr ) ""-age ' nmbr ( n nmbr )"
171,characteristic_name,"dissatisfied / stopped $ nmbr prior systemic therapy side effects-prior use biologic agents ""-prior use biologic agents-prior use $ nmbr systemic therapies-baseline pasi score-dissatisfied / stopped $ nmbr prior systemic therapies side effects-baseline % bsa involvement"
172,characteristic_level,"$ nmbr-\nmbr %-no ""-$ nmbr %-no-\nmbr-yes"
173,characteristic_name,"disease-established ascvd-age-disease ""-diabetes-low - dose aspirin use baseline-established ascvd > nmbr cv risk factors-sex-etoricoxib dose"
174,characteristic_level,"nmbr-nmbr - nmbr ""-nmbr - nmbr"
176,measures,"n / pyr-rate *-rate * """
177,arms,"metformin ( n = nmbr ) ""-glyburide ( n = nmbr )-rosiglitazone ( n = nmbr )-metformin ( n = nmbr )"
178,characteristic_name,"time symptoms treatment-to randomization ""-to randomization-baseline characteristic-medical treatment"
179,characteristic_level,"median-single - vessel disease , n ( % )-evidence thombus , n ( % )-non - stenotic vessels , n ( % )-systolic blood pressure ( mm hg )-family history , n ( % )-left anterior descending , n ( % )-interval randomization angiography-number vessels disease-age ( year )-infarct related artery location-previous myocardial infarction , n ( % )-previous angioplasty , n ( % )-degree stenosis , % diameter-double - vessel disease , n ( % )-male sex , n ( % )-heart rates ( beats / minutes )-left circumflex , n ( % )-rca , n ( % )-previous angina , n ( % )-hypertension , n ( % )-cholesterol , ( . nmbr . nmbr mmol / l ) , n ( % )-angiographic features-ace - inhibitors , n ( % )-beta - blockers , n ( % )-median ""-current smoking , n ( % )-diabetes , n ( % )-aspirin , n ( % )-calcium antagonists , n ( % )-interval onset symptoms-triple - vessel disease , n ( % )-interquartile range"
181,arms,"diclofenac group ( n = nmbr nmbr )-etoricoxib group ( n = nmbr nmbr )-diclofenac group ( n = nmbr nmbr ) """
182,characteristic_name,"patients complicated events-patients uncomplicated events ""-patients uncomplicated events-patients clinical event"
183,characteristic_level,"ppi use ( p = nmbr - nmbrt ) ""-ppi use ( p = nmbr - nmbrt )-aspirin use ( p = nmbr - nmbrt )"
184,characteristic_level,"""-yes-no"
186,measures,"n / n ( % ) ""-n / n ( % )-rate *"
187,characteristic_name,"medications , n ( % )-health - related quality life-disease characteristics-extent disease , n ( % )-demographics-extent disease , n ( % ) """
188,arms,"infliximab ""-infliximab"
189,arms,"combined ( n = nmbr )-nmbr mg / kg ( n = nmbr ) ""-nmbr mg / kg ( n = nmbr )"
190,characteristic_name,"risk factors ""-risk factors-hmgcoa rl-medication use"
191,characteristic_level,"hypertension serum lipid values-other antihypertensive agents-myocardial infarction-age ( years )-systolic ( mm hg )-total cholesterol ( mmol / l )-hypertension serum lipid values ""-smoking-triglyceride ( mmol / l ) * blood pressure-hypoglycaemic agents-angina-calcium antagonist-simvastatin-diabetes-other statin-antiplatelet agent-nitrate-p blocker-bmi ( kg / mnmbr ) cardiovascular history-cabgorptca-diastolic ( mm hg )-male-ldl - cholesterol ( mmol / l )-hdl - cholesterol ( mmol / l )-pravastatin"
192,arms,"controls ( n = nmbr )-epa treatment ( n = nmbr )-epa treatment ( n = nmbr ) """
193,characteristic_name,"ldl - cholesterol (-triglyceride ( mm-total cholesterol ( mmol / l )-diabetes-smoking-bmi-sex-age ( years )-total cholesterol ( mmol / l ) ""-hdl - cholesterol-previous cad"
194,characteristic_level,"non - smoker-smoker-present-hypertension absent-< nmbr - nmbr-> nmbr - nmbr-< nmbr-male-female-> nmbr ""-absent-> nmbr"
197,arms,"ranolazine ( n = nmbr ) ""-ranolazine ( n = nmbr )-placebo ( n = nmbr )"
198,characteristic_name,"comorbid diseasesa diabetesb-cardiovascular risk factors , . ( % )-race , . ( % ) ""-recurrent infections ( > nmbr per year )-demographic characteristics-race , . ( % )"
199,characteristic_level,"coronary artery disease-hypertension-myocardial infarction-congestive heart failure ( definite )-female , ( % )-urinary tract infection-white-arrhythmia-comorbidities diabetes-hispanic-oral hypoglycaemics only-pneumonia past year-sinusitis-at least two cardiovascular risk factors-chronic pulmonary disease-asian-bronchitis-black-age , mean ( min - max ) ( yrs )-hispanic ""-other-insulin dependentc-native american-duration ra , mean ( min - max ) ( yrs )"
