,descriptor,terms
61,characteristic_level,"male-no-yes-< nmbr yr-> nmbr yr-female-female """
62,characteristic_name,"diabetes-age-intervention complex lesions-angina class iii iv prior-sex ""-sex"
63,arms,"abciximab . / total ( % )-placebo . / total ( % )-placebo . / total ( % ) """
64,outcomes,"primary outcome !-cardiovascular hospitalization ""-nonfatal ml-nonfatal stroke-cardiovascular hospitalization-death ( cause )-cardiovascular death !"
65,measures,"strategy-hr-nmbr % cl-strategy """
66,arms,"atenolol n = nmbr-verapamil sr n = nmbr ""-verapamil sr n = nmbr"
67,measures,". ( % )-rate *-rate * """
68,other,"placebo treatment ""-or placebo treatment"
69,characteristic_level,"ii-iv-iv ""-iii"
71,characteristic_name,"medical history-mean age , yrs-health habits ""-health habits"
72,arms,"placebo ( n = nmbr , nmbr )-beta - carotene ( n = nmbr , nmbr )-placebo ( n = nmbr , nmbr ) """
73,characteristic_level,"nmbr - nmbr ""-nmbr - nmbr-nmbr +-total"
75,characteristic_level,"nmbr - nmbr ""-nmbr - nmbr-nmbr +-total"
77,outcomes,"total cataract-total cataract extraction ""-total cataract extraction"
78,characteristic_level,"current non - smoker ""-current smoker-current non - smoker"
80,characteristic_name,"sex , . ( % )-baseline lipid / lipoprotem values-baseline lipid / lipoprotem values ""-pace , . ( nmbr )"
81,characteristic_level,"tc , mean ( sd ) , rrig / dl-male-tg , median ( sdy rng / cjl-apo - nmbr , mean ( sd ) , mg / dl-other-b lack-non - hdl - c , mean ( sd ) , rng / dl-white-hispanic-tchdl - c , mean ( sd )-apo b , mean ( sd ) , mg / dl-crp median ( se ) , rng / l-female-ldl - c , mean ( sd ) , mg / dl-ldl - cihdl - c , mean ( sd )-hdl - c , mean ( sd ) , mg / dl-plp - c , mean ( sd ) , mg / dl-tchdl - c , mean ( sd ) """
82,arms,"eze-pooled eze / simva ""-placebo-pooled simva-pooled eze / simva"
83,measures,"( n = nmbr )-( ri = nmbr )-( n = nmbr ) ""-( n = ms )"
84,arms,"placebo ( n = nmbr )-placebo ( n = nmbr ) ""-amiodarone ( n = nmbr )-icd therapy ( n ="
85,characteristic_level,"age > nmbr yr-nmbr - nmbr ft-age < nmbr yr-< nmbr ft-qrs < nmbr msec-diabetes-no beta - blocker-female sex-male sex-lvef < nmbr %-beta - blocker-no beta - blocker ""-nonwhite race-lvef > nmbr %-no diabetes-white race-qrs > nmbr msec nmbr - min walk test-> nmbr ft"
86,measures,"icd therapy vs . placebo . hazard ratio ( nmbr . nmbr % cl )-amiodarone vs . placebo . hazard ratio ( nmbr . nmbr % cl )-icd therapy vs . placebo . hazard ratio ( nmbr . nmbr % cl ) """
87,arms,"placebo ( n = nmbr , nmbr )-placebo ( n = nmbr , nmbr ) ""-aspirin ( n = nmbr , nmbr )-total ( n = nmbr , nmbr )"
88,characteristic_level,"no-yes-< nmbr / < nmbr mm hg-current-uncertain-> nmbr yr-postmenopausal , current hrt-postmenopausal , hrt-nmbr - nmbr / nmbr - nmbr mm hg-past never-nmbr - nmbr / nmbr - nmbr mm hg ""-> nmbr / > nmbr mm hg-< nmbr . nmbr-premenopausal-> nmbr . nmbr-nmbr - nmbr yr-nmbr . nmbr nmbr . nmbr"
89,characteristic_name,"body - mass indexf-smoking status-menopause hrt-age-blood pressure ""-hypertension !-blood pressure"
90,outcomes,"major cv event-myocardial infarction-total .-ischemic stroke-stroke-major cv event """
92,arms,"clopidogrel ( n = nmbr )-placebo ( n = nmbr )-placebo ( n = nmbr ) """
93,characteristic_name,"predominant type heparin-types fibrinolytic agent ""-age-types fibrinolytic agent-infarct location-sex"
94,characteristic_level,"fibrin - specific-male-fibrin - specific ""-characteristic-< nmbr yr-overall-unfractionated-> nmbr yr-low - molecular - weight-nonanterior-none-female-anterior-non - fibrin - specific"
96,characteristic_name,"weight ( kg )-bmi ( kg / mnmbr )-apo b ( g / l )-men ( % )-tc ( mmol / l )-ldl - c ( mmol / l )-hdl - c ( mmol / l )-age ( years )-non - hdl - c ( mmol / l )-hscrp ( mg / l ) c-apo - l ( g / l )-diabetes ( % )-hscrp ( mg / l ) c ""-fibrinogen ( pmol / l ) c-tg ( mmol / l ) c-metabolic syndrome ( % ) b"
97,arms,"placebo ( n = nmbr )-feno nmbr mg / eze nmbr mg ( n = nmbr )-feno nmbr mg ( n = nmbr )-feno nmbr mg / eze nmbr mg ( n = nmbr ) ""-eze nmbr mg ( n = nmbr )"
98,characteristic_level,"tg > nmbr . nmbr ""-tg > nmbr . nmbr-tg < = nmbr . nmbr"
99,arms,"feno + eze-feno-eze-placebo-feno + eze """
100,arms,"placebo ( n = nmbr )-ezetimibe nmbr mg ( n = nmbr )-ezetimibe nmbr mg ( n = nmbr ) """
101,characteristic_name,"body mass index :-baseline ldl - c :-age : ""-age :-diabetes mellitus :-treatment stratum^ :"
102,measures,"mean baseline ldl - c ( mmol / l ) ""-mean baseline ldl - c ( mmol / l )"
104,characteristic_name,"menopausal status use ht-family history cancerf-smoking status-randomized receive beta carotene-randomized receive vitamin e-alcohol use , drinks / wk-age , y-bmi-bmi ""-physical activity , kcal / wk"
105,characteristic_level,"mean ( sd )-no-yes-current-past-uncertain-postmenopausal current ht-> nmbr-nmbr < nmbr-< nmbr ""-premenopausal-nmbr - nmbr-< nmbr-postmenopausal ht-never"
109,outcomes,"itherchdt-other vasculars-ml c-noneh-itherchdt """
110,characteristic_name,"age ( years ) :-ldl cholesterol ( mmol / l ) :-diastolic blood pressure ( mm hg ) :-sex :-previous disease : ""-triglycerides ( mmol / l ) :-treated hypertension :-hdl cholesterol ( mmol / l ) :-previous disease :-total cholesterol ( mmol / l ) :-history diabetes :"
112,characteristic_name,"age ( years ) :-ldl cholesterol ( mmol / l ) :-diastolic blood pressure ( mm hg ) :-sex :-previous disease : ""-triglycerides ( mmol / l ) :-treated hypertension :-hdl cholesterol ( mmol / l ) :-previous disease :-total cholesterol ( mmol / l ) :-history diabetes :"
114,arms,"eze / simva nmbr / nmbr mg ( n = nmbr )-atvnmbr mg ( n = nmbr ) ""-atvnmbr mg ( n = nmbr )"
115,arms,"placebo ( n = nmbr )-glucosamine + chondroitin sulfate ( n = nmbr )-chondroitin sulfate ( n = nmbr )-glucosamine ( n = nmbr )-celecoxib ( n = nmbr )-celecoxib ( n = nmbr ) """
116,characteristic_name,"bare - metal stent-nitrates-calcium antagonists-hypercholesterolemia *-complex lesions^-current smoking *-prior aortocoronary bypass surgery-elevated troponin ( > nmbr . nmbr pg / l )-women-p - blockers-multivessel disease-prior myocardial infarction-left ventricular ejection fraction , mean ( sd ) , %-age , mean ( sd ) , y-vessel size , mean ( sd ) , mm-insulin - treated diabetes-hours clopidogrel loading , mean ( sd )-arterial hypertension *-lesion length , mean ( sd ) , mm-ace inhibitors-left circumflex artery-statins-left circumflex artery ""-diabetes *-body mass index , mean ( sd ) t-elevated creatine kinase mb ( > nmbr u / l )-diameter stenosis , mean ( sd ) , %"
117,characteristic_level,"nmbr . nmbr ( nmbr . nmbr )-nmbr ( nmbr . nmbr ) ""-nmbr ( nmbr . nmbr )"
118,measures,"p value-p value """
119,arms,"placebo ( n = nmbr )-placebo ( n = nmbr ) """
120,characteristic_name,"diabetes-troponin level ""-troponin level-clopidogrel pretreatment duration"
121,characteristic_level,"< nmbr . nmbr l - g / l-no-yes-> nmbr . nmbr - g / l-> nmbr . nmbr - g / l ""-< nmbr h-all participants-> nmbr h"
122,measures,"primary end point , . events / total . ( % )-primary end point , . events / total . ( % ) """
123,arms,"placebo-placebo ""-abciximab"
124,characteristic_level,"male-yes ""-yes-female"
125,characteristic_name,"proteinurianmbr ( g / day )-weight ( kg )-serum creatinine ( mg / dl )-bmi ( kg / mnmbr )-albuminuria ( g / g )-cholesterol ( mg / dl )-hbanmbrc ( % )-weight ( kg ) "" ; na-age ( years )-sbp ( mmhg )-gender-dbp ( mmhg )-smoking-hemoglobin ( gm / dl )"
126,measures,"range ""-n ( % )-range-( gm )-mean ( . . )-w-n"
128,characteristic_level,"asian-black ""-white-hispanic-black"
130,measures,"n event ( rate )-w event ( rate )-w event ( rate ) """
131,characteristic_level,"baseline ldl - c-entire cohort-chd status-age-race ""-gender-race"
132,characteristic_name,"bmi ( kg / mnmbr )-diagnoses / risk factors , n ( % )-hs - crp ( mg / l )-lipid lipoprotein values ( mg / dl )-age , years , mean ( range )-race , n ( % )-diagnoses / risk factors , n ( % ) ""-gender , n ( % )"
133,characteristic_name,"age-race-age "" ; na"
134,characteristic_level,"male ""-male-< nmbr years-caucasian-> nmbr years baseline ldl - c-non - caucasian-chd-< nmbr mg / dl-female-entire cohort gender-no chd-> nmbrmg / dl chd status"
135,arms,"simva-eze / simva-eze / simva """
136,arms,"nmbr / nmbr mg-nmbr mg-nmbr / nmbr mg """
137,characteristic_name,"entire cohort-chd status-age-entire cohort ""-race"
138,characteristic_level,"eze / simva gender ""-> nmbr years eze / simva baseline ldl - c-chd eze / simva-non - caucasian eze / simva-< nmbr years eze / simva-> nmbr mg / dl simva-chd simva-< nmbr years simva-< nmbr mg / dl simva-no chd eze / simva-caucasian eze / simva-caucasian simva-male simva-female eze / simva-female simva-simva-< nmbr mg / dl eze / simva-> nmbr mg / dl eze / simva-no chd simva-male eze / simva-non - caucasian simva-eze / simva gender-> nmbr years simva"
139,other,"select lipids lipoproteins-select lipids lipoproteins """
140,outcomes,"tg +-tc-tg + ""-hdl - c-non - hdl - c-apo b-apo -"
141,outcomes,"laboratory ae , n ( % }-laboratory ae , n ( % } ""-clinical ae , n ( % }"
142,outcomes,"myopathyt-alt / ast > nmbr times uln consecutive #-serious ae-cpk > nmbr times uln ""-drug - related ae *-deaths-discontinuations due ae-cpk > nmbr times uln-any clinical ae"
143,characteristic_name,"demographics-additional investigations-history-rankin grade-time longest event randomisation-type vessel involved-dose aspirin-blood pressure ( mm hg )-antithrombotic drug use time event-qualifying event-history ""-randomisation scheme"
144,characteristic_level,"nmbr - nmbr months-intermittent claudication-other-aspirin-nmbr = help needed ; still independent-< nmbr week-current cigarette smoking ""-current cigarette smoking-transient ischaemic attack-two arm-ultrasound carotid arteries-any relevant infarct-minor ischaemic stroke-three arm-diastolic ( mean , sd )-male-nmbr mg-angina pectoris-vascular intervention-nmbr = symptoms-diabetes mellitus-transient monocular blindness-stroke-hyperlipidaemia-ct mr scan brain *-nmbr = restrictions ; help needed-none-nmbr = minor symptoms ; limitations-nmbr week nmbr month-small vessel-age ( years ) ( mean , sd )-large vessel-myocardial infarction-systolic ( mean , sd )-stenosis > nmbr %-oral anticoagulants-unspecified-any infarct-hypertension"
145,arms,"aspirin alone ( n = nmbr )-aspirin alone ( n = nmbr ) ""-aspirin + dipyridamole ( n = nmbr )"
146,characteristic_name,"female ( % )-previous myocardial infarction ( % )-cabg ( % )-previous stroke ortransient ischaemic attack ( % )-lipid - lowering agents ( % )-systolic blood pressure ( mm hg )-diastolic blood pressure ( mm hg ) medications-p blockers ( % )-peripheral - artery disease ( % )-calcium - channel blockers ( % )-antiplatelet agents ( % )-serum cholesterol ( mg / l ) *-hypertension ( % )-current smokers ( % ) ""-age ( years )-diabetes ( % )-current smokers ( % )-pci ( % )-diuretics ( % )"
147,other,"hope ( n = nmbr )-peace ( n = nmbr )-hope patients coronary - artery disease ( n = nmbr )-europa ( n = nmbrlnmbr )-peace ( n = nmbr ) """
148,characteristic_level,"revascularisation + antiplatelets + lipid - lowering agents + p blockers-with antiplatelets-without p blockers-all above-two above-with revascularisation-without antiplatelets-one above-without lipid - lowering agents-with p blockers-revascularisation antiplatelets , lipid - lowering agents , p blockers-with revascularisation ""-with lipid - lowering agents-without revascularsation-none"
150,characteristic_name,"aspirin-hypertension *-medications antihypertensive drugs ""-women-systolic blood pressure ( mm hg )-lipoprotein ( ) ( mmol / l )-current / past smoker-body - mass index ( kg / mnmbr )-diuretics-demographics age ( years )-hdl cholesterol ( mmol / l )-triglyceride ( mmol / l ) t-ldl cholesterol ( mmol / l )-p blockers-lipid concentrations total cholesterol ( mmol / l )-calcium - channel blockers-medications antihypertensive drugs-diastolic blood pressure ( mm hg )-diabetes *-ace inhibitors / arb-men"
151,arms,"diet group ( n = nmbr )-diet plus pravastatin group ( n = nmbr ) ""-diet plus pravastatin group ( n = nmbr )"
152,characteristic_name,"ldl cholesterol-body - mass index-current / past-triglycerides-hdlcholesterol-diabetes-smoker-age-total cholesterol-body - mass index ""-hypertension-sex"
153,characteristic_level,"< nmbr kg / mnmbr-male-no-nmbr - nmbr mmol / l-yes-nmbr kg / mnmbr-< nmbr kg / mnmbr ""-< nmbr years-nmbr years-< nmbr - nmbr mmol / l-female"
155,characteristic_name,"race , n ( % ) ""-race , n ( % )-metabolic syndrome characteristics , n ( % )"
156,characteristic_level,"blood pressure ; pbo patients diabe teristics ( ncep atp i-nmbr ( nmbr . nmbr )-nmbr . nmbr + nmbr . nmbr-n = nmbr-nmbr ( nmbr . nmbr ) """
157,characteristic_level,"metabolic syndrome * n = nmbr ""-metabolic syndrome * n = nmbr-neither n = nmbr , nmbr"
158,arms,"eze + statin n = nmbr ""-eze + statin n = nmbr-pbo + statin n = nmbr"
159,measures,"treatment difference-treatment difference "" ; na"
160,measures,"% change-at six weeks-baseline-( % , nmbr % cl )-baseline """
161,outcomes,"ldl - c ( mmol / l , mean )-apo b / apo - l ratio ( mean )-non - hdl - c ( mmol / l , mean )-hs - crp ( mg / l , median )-hdl - c ( mmol / l , mean )-total c ( mmol / l , mean )-key : tc = triglyceride ; hs - crp = ldl - c = low - density lipoprotein fc = fasting glucose ; ncep atp * category include ar > _ nmbr indicated char least - square means , except tc note : treatment subgroup-ldl - c ( mmol / l , mean ) ""-tg ( mmol / l , median )"
163,arms,"pbo + statin-ze + statin-pbo + statin nmbr-eze + statin ""-eze + statin"
164,characteristic_level,"statins "" ; na-aspirin-ace inhibitors-statins-, nmbr - blockers"
165,characteristic_name,"prior myocardial infarction-hypercholesterolemia ( > nmbr mg / dl )-elevated troponin ( > nmbr . nmbr / xg / l )-women-body mass index , kg / mnmbr-elevated creatine kinase - mb ( > nmbr u / l )-age , y-diabetes-prior pci-arterial hypertension-current smoking-elevated creatine kinase - mb ( > nmbr u / l ) ""-therapy discharge-serum creatinine , mg / dl-interval clopidogrel loading , h-prior coronary artery bypass surgery"
166,characteristic_level,"age ' nmbr ( n nmbr ) ""-age ' nmbr ( n nmbr )-age > nmbr ( n = nmbr )"
168,outcomes,"profound thrombocytopenia ( < nmbrxnmbr / l )-hemorrhagic stroke-blood transfusion-death-myocardial infarction-major bleeding-minor bleeding-major bleeding ""-mace-target - vessel revascularization-moderate thrombocytopenia ( < nmbrxnmbr / l )-mild thrombocytopenia ( < nmbrx nmbr / l )-death myocardial infarction"
169,characteristic_level,"age ' nmbr ( n nmbr ) ""-age ' nmbr ( n nmbr )-age > nmbr ( n = nmbr )"
171,characteristic_name,"baseline pasi score-prior use $ nmbr systemic therapies-prior use biologic agents-prior use biologic agents ""-baseline % bsa involvement-dissatisfied / stopped $ nmbr prior systemic therapy side effects-dissatisfied / stopped $ nmbr prior systemic therapies side effects"
172,characteristic_level,"no-yes-\nmbr-$ nmbr-$ nmbr %-no ""-\nmbr %"
173,characteristic_name,"disease ""-low - dose aspirin use baseline-diabetes-age-etoricoxib dose-established ascvd-established ascvd > nmbr cv risk factors-disease-sex"
174,characteristic_level,"nmbr - nmbr ""-nmbr-nmbr - nmbr"
176,measures,"n / pyr-rate *-rate * """
177,arms,"metformin ( n = nmbr )-glyburide ( n = nmbr )-metformin ( n = nmbr ) ""-rosiglitazone ( n = nmbr )"
178,characteristic_name,"randomization-to randomization ""-baseline characteristic-time symptoms treatment-medical treatment"
179,characteristic_level,"median-interval onset symptoms-double - vessel disease , n ( % )-infarct related artery location-interval randomization angiography-heart rates ( beats / minutes )-ace - inhibitors , n ( % )-beta - blockers , n ( % )-previous angina , n ( % )-aspirin , n ( % )-calcium antagonists , n ( % )-current smoking , n ( % )-number vessels disease-systolic blood pressure ( mm hg )-age ( year )-previous angioplasty , n ( % )-diabetes , n ( % )-angiographic features-family history , n ( % )-degree stenosis , % diameter-triple - vessel disease , n ( % )-median ""-previous myocardial infarction , n ( % )-interquartile range-evidence thombus , n ( % )-left anterior descending , n ( % )-single - vessel disease , n ( % )-non - stenotic vessels , n ( % )-hypertension , n ( % )-cholesterol , ( . nmbr . nmbr mmol / l ) , n ( % )-rca , n ( % )-left circumflex , n ( % )-male sex , n ( % )"
181,arms,"etoricoxib group ( n = nmbr nmbr )-diclofenac group ( n = nmbr nmbr )-diclofenac group ( n = nmbr nmbr ) """
182,characteristic_name,"patients clinical event-patients uncomplicated events ""-patients complicated events-patients uncomplicated events"
183,characteristic_level,"aspirin use ( p = nmbr - nmbrt )-ppi use ( p = nmbr - nmbrt ) ""-ppi use ( p = nmbr - nmbrt )"
184,characteristic_level,"no-yes-no """
186,measures,"rate *-n / n ( % )-n / n ( % ) """
187,characteristic_name,"demographics-medications , n ( % )-extent disease , n ( % )-extent disease , n ( % ) ""-health - related quality life-disease characteristics"
188,arms,"infliximab-infliximab """
189,arms,"combined ( n = nmbr )-nmbr mg / kg ( n = nmbr )-nmbr mg / kg ( n = nmbr ) """
190,characteristic_name,"hmgcoa rl-risk factors-medication use-risk factors """
191,characteristic_level,"hypertension serum lipid values-other statin-hypertension serum lipid values ""-cabgorptca-bmi ( kg / mnmbr ) cardiovascular history-diastolic ( mm hg )-systolic ( mm hg )-simvastatin-male-hdl - cholesterol ( mmol / l )-other antihypertensive agents-pravastatin-ldl - cholesterol ( mmol / l )-hypoglycaemic agents-age ( years )-total cholesterol ( mmol / l )-angina-myocardial infarction-diabetes-p blocker-triglyceride ( mmol / l ) * blood pressure-calcium antagonist-smoking-antiplatelet agent-nitrate"
192,arms,"epa treatment ( n = nmbr ) ""-epa treatment ( n = nmbr )-controls ( n = nmbr )"
193,characteristic_name,"total cholesterol ( mmol / l ) ""-diabetes-sex-hdl - cholesterol-age ( years )-triglyceride ( mm-total cholesterol ( mmol / l )-bmi-ldl - cholesterol (-smoking-previous cad"
194,characteristic_level,"male-< nmbr - nmbr-absent-> nmbr - nmbr-> nmbr-smoker-> nmbr ""-female-hypertension absent-non - smoker-present-< nmbr"
197,arms,"ranolazine ( n = nmbr )-ranolazine ( n = nmbr ) ""-placebo ( n = nmbr )"
198,characteristic_name,"demographic characteristics-comorbid diseasesa diabetesb-race , . ( % )-recurrent infections ( > nmbr per year )-race , . ( % ) ""-cardiovascular risk factors , . ( % )"
199,characteristic_level,"insulin dependentc-oral hypoglycaemics only-other-hispanic-sinusitis-age , mean ( min - max ) ( yrs )-duration ra , mean ( min - max ) ( yrs )-urinary tract infection-at least two cardiovascular risk factors-congestive heart failure ( definite )-white-native american-bronchitis-arrhythmia-comorbidities diabetes-black-female , ( % )-pneumonia past year-asian-coronary artery disease-myocardial infarction-hispanic ""-chronic pulmonary disease-hypertension"
