descriptor,terms
subgroup_name, age wegu sex renal fmclicn creatntoe clearance cardiac disease intended duratsm antccagubficn rarertd antocagibtcn andorrtzafon prertous eptscde dvt pe kheeatne index dvt known rciitoji cccndilon locafon index dvt mafcaiancy randorrtzaton modmy al randcnxzaton miami k antagonist received redon
subgroup_name, age weight renal function creatinine clearance intended duration anticoagulation parenteral anticoagulalion randomization malignancy randomization race
subgroup_name, country
subgroup_name, baseline corticosteroids baseline corticosteroids
subgroup_name, gender n race n fracture history predefined n history bone disease predefined n history medical conditions n risk factor predefined falling screening n maternal history n paternal history n tobacco use alcohol consumption
subgroup_name, acs type acs treatment apixaban dose matching placebo geographic region age sex race bmi level renal impairment diabetes mellitus heart failure history stroke
subgroup_name, age sex smoking history copd severity gold 20087 use ics albuterol reversibility bmi kg m2 waisthip ratio
subgroup_name, age years gender race use rescue medication investigatorreported hypoglycaemia framingham 10year cv risk score
subgroup_name, hba1c baseline age years gender bmi baseline kg m2 duration metformin therapy months duration diabetes months
subgroup_name, age sex body weight qualifying atherosclerosis history stroke aspirin enrollment thienopyridine enrollment diabetes current smoker egfr mumin 173 m2 region
subgroup_name, age sex body weight qualifying atherosclerosis history stroke aspirin enrollment thienopyridine enrollment diabetes current smoker estimated glomerular filtration region
subgroup_name, sex age weight prior stroke tia planned thienopyridine enrollment diabetes prior stent egfr ml min 173m2 qualifying myocardial infarction region
subgroup_name, diabetes ckd chronic cvd
subgroup_name, full po pulatio n age 75 age 75 women men bm 30 bmi 30 n diabetes diabetes smo king smoking acs acs number stent1 number stet 2
subgroup_name, full po pulatio n age 75 age 75 women men bm 30 bmi 30 n diabetes diabetes smo king smoking acs acs number stent1 number stet 2
subgroup_name, prior cardiac surgery n prior arrhythmias n congestive heart failure n nyha class n ejection fraction percent sd left atrial diameter mm sd prior implantable cardiodefibrillator n prior pacemaker n prior cardiac resynchronization therapy n prior af ablation n euroscore logistic median 25th 75th euroscore additive median 25th 75th beta blocker statin angiotension converting enzymeinhibitor angiotensin receptor blocker calcium channel blocker loop diuretics aldosterone antagonists digitalis antiplatelets anticoagulants antiplatelets anticoagulants amiodarone antiarrhythmics age years sd male sex n planned valve surgery n current smoking n body mass index kg m2 sd waist circumference cm sd hypertension n dyslipidemia n diabetes mellitus n chronic obstructive pulmonary disease n chronic renal failure n coronary heart disease n prior myocardial infarction n prior percutaneous coronary intervention n
subgroup_name, blood pressure mm geographic site
subgroup_name, weight creatinine clearance initial diagnosis clinical presentation vte initial diagnosis risk factors recurrent vte f age yr male sex
subgroup_name, overall uac 30 mg g uac 30300 mg g uac 300 mg g
subgroup_name, low feno subgroup 195 ppb n 193 high feno subgroup 195 ppb n 201 low eosinophil subgroup 260 ml n 383 high eosinophil subgroup 260 ml n 414 low periostin subgroup 50 ng ml n 279 high periostin subgroup 50 ng ml n 255
subgroup_name, low subgroup high subgroup
subgroup_name, age time randomization sex systolic blood pressure killip class infarct location hypertension diabetes weight place randomization timi risk score time randomization
subgroup_name, overall age65 ageadj male female diabetes diabetes previous cv event previous cv event maximum cimt median maximum cimt med hbalc medan hbalca median tnglycendes median tngtycendes median fastng plasma glucose median fascng plasma glucose medan statin stalin acei arb acei arb
subgroup_name, overall age65 age 265 male female diabetes dabetes previous cv event previous cv event maximum cimt median maximum cimt med hbalc median hbalca median tngtycerides median tngtycerides median fasting plasma glucose median fasting plasma glucose 2 medan ststm llv wlalil 1 statin acei arb acei arb
subgroup_name, age years hba1c levels frailty status
subgroup_name, sex smoking status treatment arm copd severity gold stage age bronchodilator response ml region
subgroup_name, ala carriers pro pro homozygotes
subgroup_name, ala carriers pro pro homozygotes
subgroup_name, age sex duration ulcerative colitis extent disease baseline composite mayo clinic score baseline fecal caicrctectin prior treatment history1 stratification variables
subgroup_name, stage 3b egfr 30 45 ml min per 173 m2 stage 3a egfr 45 60 ml min per 173 m2
subgroup_name, age sex diabetes mellitus baseline lvef baseline ecrcl pci high risk contrast volume ciaki risk score
subgroup_name, cohort time randomization age sex acute coronary syndrome diabetes ejection fraction bifurcation left main disease multivessel stenting type des
subgroup_name, race n smoking status n copd severity n lung function mean
subgroup_name, smoking history theophylline use screening ics use saba reversibility copd severity ethnicity
subgroup_name, age years interaction p055 time randomisation hours interaction p071 previous ml interaction p009 sex interaction p059 systolic blood pressure mmhg interaction p056 killip class interaction p062 infarct location interactsn p029 p lace randomization interaction p010 timi risk score interaction p049 time randomization interaction p004
subgroup_name, age sex diabetes previous ml pnorpci pnorcabg index event location ml tim 1 nsk score highest killip classiciation prepci prior asa use gpifeellla inhibitor use angography morphine use index event pci heparin ondaparinux brvalirudin use rxjex event
subgroup_name, angina class baseline betablocker use randomization heart rate age sex history diabetes previous myocardial infarction previous coronary revascularization
subgroup_name, sex age chads2 score af pattern history tia stroke prior years taking warfarin laa ostium laa length lv ejection fraction
subgroup_name, sex smoking status previous pneumonia bmi gold stage
subgroup_name, baseline hscrp tertiles mg
subgroup_name, ics usage
subgroup_name, age randomization sex qualifying myocardial infarction time qualifying myocardial infarction history diabetes aspirin dose history pci region race weight second prior mi multivessel disease nonendstage renal dysfunction
subgroup_name, sex age weight planned thienopyridine baseline diabetes prior stent egfr ml min 173m2 region
subgroup_name, race gender age ethnicity bmi statin treatment llt randomization history ml ischemic stroke moderate ckd randomization diabetes randomization
subgroup_name, age subgroups sex race region diabetes duration subgroups sulfonylurea metformin thiazolidinedione includes pioglitazone insulin prior congestive heart failure hba1c subgroups renal function subgroups history hypertension systolic blood pressure subgroups diastolic blood pressure subgroups cigarette smoking status medications taken time randomization statins ace inhibitors angiotensin receptor blockers diuretics calcium channel blockers beta blockers aspirin
subgroup_name, anticcp antibody u ml rf iu ml crp mg dl mmp3 ng ml haqdi das28 esr mtss concomitant mtx average dose mg week
subgroup_name, age sex bmi previous cancer pe associated dvt diagnosis time therapeutic range inclusion perfusion defectsatinclusion right ventriculardysfunction atinclusion ddimer levelsatinclusion thrombophilia accp score compression stockings
subgroup_name, initial timi flow final timi flow symptom onset diabetes hypertension dyslipidemia rentrop score killip baseline age ejection fraction lad thrombus aspiration
subgroup_name, bmi gender region age race ethnicity prior history ml ischemic stroke diabetes mellitus moderate ckd statin treatment dose atorvastatin dose rosuvastatin llt statin randomization
subgroup_name, age risk factors vascular history concomitant drugs
subgroup_name, age sex race ethnicity region glycated hemoglobin body mass index blood pressure control estimated glomerular filtration rate urine albumintocreatinine ratio cardiovascular risk metformin sulfonylurea insulin thiazolidinediones dpp4 inhibitor statins ezetimibe antihypertensives angiotensinconverting enzyme inhibitors angiotensin receptor blockers calcium channel blockers beta blockers diuretics acetylsalicylic acid
subgroup_name, age sex ethnicity region glycated hemoglobin body mass index blood pressure control estimated glomerular filtration rate urine albumintocreatinine ratio cardiovascular risk metformin sulfonylurea insulin statins ezetimibe antihypertensives angiotensinconverting enzyme inhibitors angiotensin receptor blockers calcium channel blockers beta blockers diuretics acetylsalicylic acid
subgroup_name, risk category points
subgroup_name, age race sex body mass index region indication pci aspirin dose randomization thienopyridine randomization stent type
subgroup_name, japan n 148 notjapan n 3 066 overall n3 214
subgroup_name, overall population # prior bdmards # prior tnfi among nontnfi naive # prior nontnfi bdmards
subgroup_name, qualifying diagnosis age sex diabetes mellitus chronic kidney disease prior mi prior pci cabg surgery prior heart failure planned treatment strategy actual treatment strategy time randomization pci stelevation mi min time randomization pci nonstelevation mi h predictors cardiovascular risk
subgroup_name, duration assigned regimen surgery postrandomisation characteristic age bodymass index ldl cholesterol previous ml lvef
subgroup_name, age sex previous statin use troponin 1 baseline duration assigned regimen surgery postrandomisation characteristic surgical technique postrandomisation characteristic procedure postoperative glucocorticoid use postrandomisation characteristic postoperative nsaid glucocorticoid use postrandomisation characteristic
subgroup_name, duration assigned regimen surgery postrandomisation characteristic age bodymass index ldl cholesterol previous ml lvef
subgroup_name, sex race smoking status screening severity airflow limitation severity copd copd exacerbations previous year inhaled glucocorticoid use screening laba use screening labainhaled glucocorticoid use screening lama use screening
subgroup_name, age years race severity airflow obstruction ics use baseline ccv history condition baseline history atrial fibrillation flutter history cardiac arrhythmia longacting bronchodilator use screening
subgroup_name, age sex history hypertension history diabetes history hypercholesterolemia history ischemic stroke lipidlowering agents time randomization
subgroup_name, age sex race hispanic ethnicity hypertension history coronary artery disease history aerobic activity body mass index abdominal obesity ada impaired fasting glucose idf impaired fasting glucose homa glycated hemoglobin hdl triglycerides metabolic syndrome medication adherence
subgroup_name, acr deciles
subgroup_name, age years bmi kg m2 creatinine clearance ml min race ethnicity
subgroup_name, stage 1 stage 2 stage 3a stage 3b
subgroup_name, stage 1 stage 2 stage 3a stage 3b treatment egfr stage
subgroup_name, sex age racea copd disease severity diabetes mellitus ics use baseline cardiac history cardiac rhythm disorders
subgroup_name, ss baseline race race ss baseline baseline body weight quartile steroid use baseline
subgroup_name, ra duration months baseline erosion das28 mtss haqdi rf iu ml crp mg dl mmp3 ng ml tnfalpha pg ml il6 pg ml baseline steroids mtx exposure mg week
subgroup_name, overall prior antitnf therapy prior biologic therapy including antitnfs
subgroup_name, age gender race body mass index ada impaired fasting glucose glycated hemoglobin homamedian triglycerides coronary artery disease history hypertension history atrial fibrillation statin arb ace aspirin
subgroup_name, group left ventricular ejection fraction total region interval clinical evaluation initiation oftreatment clinical history nyha class within past month total blood pressure mm hg laboratory values treatment randomization
subgroup_name, age screening gender race ejection fraction baseline systolic bp time first eval coronary artery disease diabetes gfr assessed mdrd history chronic hf region ntpro bnp troponin
subgroup_name, race cardiovascular inclusion criteriat high risk receiving treatment concomitant cardiovascular therapy taken 30 days
subgroup_name, smoking status age group cv entry criteria 6080 cv risk disease n2285 gender ethnicity race africanamerican african heritage n129 region ischemic heart disease indicator n650l vascular disease indicator n6650
subgroup_name, study age sex race region bmi blood pressure control duration diabetes glycated hemoglobin egfr history cardiovascular disease history peripheral vascular disease history heart failure history amputation insulin use statin use antithrombotic use raas inhibitor use betablocker use diuretic use
subgroup_name, age years sex smoking status exacerbations previous year fev5 baseline reversibility mmrc baseline baseline therapy
subgroup_name, age years sex smoking status exacerbations previous year fev baseline reversibility mmrc baseline baseline therapy
subgroup_name, blood pressure mm hg estimated gfr 51 race geographic region medication
subgroup_name, age sex geographic region race body weight estimated gfr baseline tobacco use baseline diabetes history hypertension baseline dyslipidemia coronary artery disease peripheral arterial disease
subgroup_name, time randomization sex systolic blood pressure killip class hypertension diabetes weight
subgroup_name, age randomization years gender prior disease time since qualifying event region atorvastatin dose systolic blood pressure mmhg diastolic blood pressure mmhg body mass index kg m1 waisthip ratio alcohol intake cigarette smoking medication ldl cholesterol mg dl nonhdl cholesterol mg dl hdl cholesterol mg dl total cholesterol mg dl triglycerides mg dl apolipoprotein a1 mg dl apolipoprotein b mg dl lipoprotein nmol l glomerular filtration rate ml min 173ma urinary albumimcreatinine ratio
subgroup_name, bmi gender race region age 3 classes age 2 classes duration diabetes tertiles ascvd per protocol ascvd including tia statin versus statin randomization statin vs statin alone vs statin plus llt highintensity statin vs medium lowintensity statin randomization prior history mi ischaemic stroke ckd egfr 3 classes baseline albumin creatinine ratio 3 classes diabetic kidney disease calculated ldlc 4 classes nonhdlc 4 classes baseline trlc 2 classes baseline trlc quintiles baseline hdlc 2 classes baseline triglycerides 3 classes baseline triglycerides 2 classes baseline triglycerides quintiles baseline lp 3 classes baseline lp 2 classes baseline total pcsk9 level median baseline free pcsk9 level median baseline hba1c 3 classes diabetes mellitus status baseline insulin daily dose kg
subgroup_name, demographics coexisting conditions index acs event index acs event labs index acs event
subgroup_name, index event subtype modified rankin scale score
subgroup_name, age current smoker prior stroke aphasia cad htn hx
subgroup_name, corticosteroid use baseline gender prior antitnf therapy
subgroup_name, age gender race prior stroke carotid stenosis atrial fibrillation hypertension history ldlcholesterol body mass index glycated hemoglobin homa median
subgroup_name, age years sex region ethnic origin baseline diabetes history myocardial infarction history pci ptca history cabg myocardial infarction cabg pci 2 years baseline total cholesterol peripheral artery disease nonsmokers receiving lipidlowering drugs p blockers timi risk score
subgroup_name, diabetes smoking status cad abi symptomatic pad pad lower extremities egfr
subgroup_name, completers n 5 327 hba1c 8 n 5 97 8 hba1c 9 n 5 161 hba1c 9 n 5 69 completers n 5 333 hba1c 8 n 5 94 8 hba1c 9 n 5 158 hba1c 9 n 5 81
subgroup_name, completers hba1c 8 8 hba1c 9 hba1c 9 hba1c 9
subgroup_name, individuals without diabetes n 3 662
subgroup_name, individuals diabetes n 632
subgroup_name, women men age 60 years age 60 years diabetes diabetes nonsmoker smoker bmi 30 kg m2 bmi 30 kg m2 ldl cholesterol 207 mmol l ldl cholesterol 207 mmol l hscrp 2 4 mg l hscrp 4 mg l hdl cholesterol 117 mmol l hdl cholesterol 117 mmol l triglycerides 169 mmol l triglycerides 169 mmol l overall
subgroup_name, women n4416 men n13 728
subgroup_name, primary endpoint cardiovascular death chd death death myocardial infarction hospitalization unstable angina coronary revascularization 230 days randomization stroke cardiovascular death myocardial infarction stroke
subgroup_name, dm absent dm present
subgroup_name, cdmard mtx none cdmardnaive past use baseline
subgroup_name, geographical region pah classification congenital shunts exposure
subgroup_name, overall population age years baseline weight kg region pooled disease duration years seropositivity corticosteroid use
subgroup_name, overall population prior bdmards prior tnfi prior tnfi treatment nontnfi tnfi among nontnfi naive
subgroup_name, sex qualifying event unstable angina age hypertension diabetes smoking total cholesterol ldl cholesterol hdl cholesterol triglycerides
subgroup_level, 66 yr 566 yr white nonwhite yes current former never diabetes betablocker use 315 mg dl 5315 mg dl triglycerides 151 mg dl 5151 mg dl ldl cholesterol 112 mg dl 5112 mg dl 104 mg dl 104121 mg dl 121 mg dl
subgroup_level, diabetic patients nondiabetic patients
subgroup_level, 65 yr 65 yr male female yes united states acute coronary syndrome 3025
subgroup_level, randomized women hormonal status premenopausal without hormone replacement therapy asa 4626 placebo 4703 premenopausal hormone replacement therapy asa 530 placebo 481 postmenopausal without hormone replacement therapy asa 3 261 placebo 3264 postmenopausal hormone replacement therapy asa 6 091 placebo 5957
subgroup_level, aldl cholesterol 340 aab42 alathosterol acholesterol a24shydroxy cholesterol
subgroup_level, diagnosed diabetes n 627 undiagnosed diabetes n 142 impaired fasting glucose level n 323 normal fasting glucose level n 1425 p value
subgroup_level, present absent male female 3044 yr 4564 yr 6589 yr 2 1 1 yr 1 yr 2 mo 2 mo
subgroup_level, 9 9
subgroup_level, 9 9
subgroup_level, 9 9
subgroup_level, 9 9
subgroup_level, 9 9
subgroup_level, previous myocardial infarction stsegment depression cardiac troponin level 003 pg l cardiac troponin level median iqr pg l none 1 2 3 left ventricular ejection fraction median iqr age median iqr women active smoker serum cholesterol median iqr mg dl arterial hypertension diabetes mellitus insulindependent previous balloon angioplasty previous cabg surgery
subgroup_level, 70 70 female male white black hispanic yes
subgroup_level, 70 yr 70 yr male female yes
subgroup_level, middle tertile range 1620 mg dl mean sd 18 01 mg dl highest tertile range 2136 mg dl mean sd 24 03 mg dl
subgroup_level, ii iii iv
subgroup_level, 4554 5564 65+ total
subgroup_level, 4554 5564 65+ total
subgroup_level, current smoker current nonsmoker
subgroup_level, female sex male sex age 65 yr age 65 yr white race nonwhite race lvef30 lvef30 qrs 120 msec qrs 120 msec 6min walk test 950 ft 9501275 ft 1275 ft betablocker betablocker diabetes diabetes
subgroup_level, 4554 yr 5564 yr 65 yr current past never 250 250 299 300 premenopausal uncertain postmenopausal current hrt postmenopausal hrt yes 120 75 mm hg 120129 7584 mm hg 130139 8589 mm hg 140 90 mm hg
subgroup_level, overall 65 yr 65 yr male female anterior nonanterior fibrinspecific nonfibrinspecific lowmolecularweight unfractionated none characteristic
subgroup_level, tg31 tg 31
subgroup_level, atv 10 mg atv 20 mg study protocol 803 804 65 yrs 65 yrs sex male female 272 kg m2 272 kg m2 hypertension yes 34 mmol l 34 mmol l
subgroup_level, postmi chd none s65 65 male female yes 90 90 52 5265 65 35 3545 45 sso9 o9ii 11 14 1420 20 overall
subgroup_level, postmi chd none 65 65 male female yes s90 90 52 5265 65 35 3545 45 s09 o9ii 11 ssi4 1420 2 0 overall
subgroup_level, participants 003 g l 003 lg l 3 h 3 h yes
subgroup_level, asian black hispanic white
subgroup_level, entire cohort gender race age baseline ldlc chd status
subgroup_level, male caucasian noncaucasian 65 years 65 years baseline ldlc 160 mg dl 160mg dl chd status chd chd entire cohort gender female
subgroup_level, simva eze simva gender female simva female eze simva male simva male eze simva caucasian simva caucasian eze simva noncaucasian simva noncaucasian eze simva 65 years simva 65 years eze simva 65 years simva 65 years eze simva baseline ldlc 160 mg dl simva 160 mg dl eze simva 160 mg dl simva 160 mg dl eze simva chd simva chd eze simva chd simva chd eze simva
subgroup_level, antiplatelets without antiplatelets lipidlowering agents without lipidlowering agents p blockers without p blockers one two none revascularisation without revascularsation revascularisation+antiplatelets+ lipidlowering agents+p blockers revascularisation antiplatelets lipidlowering agents p blockers
subgroup_level, male female 60 years 260 years 621 mmol l 2621 mmol l 401 mmol l 2401 mmol l 135 mmol l 2135 mmol l 142 mmol l 2142 mmol l yes 24 kg m2 224 kg m2
subgroup_level, metabolic syndrome n813 neither n 1 044
subgroup_level, age 70 n 1220 age 70 n802
subgroup_level, age 70 n 1220 age 70 n802
subgroup_level, 20 20 30 30 yes
subgroup_level, 096 099 081 083 104 121 091 094 085 089 100 095 092 097
subgroup_level, aspirin use p019t ppi use p036t aspirin use p092t ppi use p028t aspirin use p026t ppi use p097t
subgroup_level, 61 61 female male 24 24 absent present nonsmoker smoker hypertension absent 70 70 17 17 15 15 47 47
subgroup_level, age yrs 65 65 men caucasian body mass index kg nr coronary heart disease metabolic syndrome diabetes mellitus crp mg l median sd total cholesterol mg dl ldl cholesterol mg dl tg mg dl median sd apolipoprotein b mg dl hdl mg dl
subgroup_level, 65 65 men women 140 140 yes 75 75 combined macro+micro
subgroup_level, 77 yr 77 yr sex female male nyha class ii iii iv ejection fraction 030 030 26 26 1225 mm hg 1225 mm hg diastolic blood pressure 73 mm hg 73 mm hg heart rate 755 bpm 755 bpm current smoker yes yes previous revascularization diabetes sinus rhythm atrial fibrillation ldl cholesterol level 312 mmol liter 312 mmol liter apobapoal ratio 076 076 hdl cholesterol level 105 mmol liter 105 mmol liter triglyceride level 212 mmol liter 212 mmol liter estimated gfr 51 ml min 173 m2 51 ml min 173 m2 ntprobnp 2776 pmol liter 2776 pmol liter hscrp level 58 mg liter 58 mg liter antiplatelet agents patients
subgroup_level, baseline hb 120 g 1 1 n499 baseline hb 120g 1 n788 combined n1287
subgroup_level, cox bsl onlyc cox bsl+yr 1 hbd
subgroup_level, women men total n2476
subgroup_level, 56 2718 46 28 1248 50 33 2718 27 27 1248 47 39 2718 31 36 2718 29
subgroup_level, 60 years 47 1425 74 55 years 50 years 60 years
subgroup_level, dd ii id composite endpoint doubling serum creatinine esrd
subgroup_level, women men
subgroup_level, age years smoking status bmi kg m2 exercise postmenopausal hormone use vitamin e
subgroup_level, prior mi prior mi
subgroup_level, 5 yr since menopause 5 yr since menopause overall
subgroup_level, secondary prevention subgroup primary prevention subgroup
subgroup_level, men women white black hispanic 65 65 lean 25 kg m2 overweight 25 30 kg m2 obese 30 kg m2 current smokers current nonsmokers
subgroup_level, men women white black hispanic 65 65 lean 25 kg m2 overweight 25 30 kg m2 obese 30 kg m2 current smoker current nonsmoker diabetic nondiabetic
subgroup_level, 600 without dm n 8i7
subgroup_level, 65 yr 65 yr male female 140 mm hg 140 mm hg 72 72 79 mmol liter 79 mmol liter 28 28 yes overall
subgroup_level, 0 1 2
subgroup_level, recurrent stroke previous stroke tia atherosclerotic event neither 010 low risk 1014 moderate risk 14 high risk 0 drinks wk 114 drinks wk 15 drinks wk 65 yr 65 75 yr 75 yr male female african chinese south asian asian white european native latin yes placebo telmisartan slo days 10 days largeartery atherosclerosis smallartery occlusion undetermined cardioembolism 135 mm hg 135 150 mm hg 150 mm hg
subgroup_level, age 70 years median age 70 years median lvef 40 lvef 40 ischaemic cause nonischaemic cause nyha ii nyha iii iv diabetes diabetes total cholesterol 4 97 mmol lt total cholesterol 497 mmol lt
subgroup_level, age 69 years median age 69 years median lvef 40 lvef 40 ischaemic cause nonischaemic cause nyhaii nyhaiiioriv diabetes diabetes total cholesterol 487 mmol lt total cholesterol 487 mmol lt
subgroup_level, prior lgi event prior lgi event 65 6575 75 aspirin aspirin cigarette smoker nonsmoker corticosteroid corticosteroid ascvd ascvd femaleb male prior ugi event prior ugi event rheumatoid arthritis osteoarthritis
subgroup_level, 4554 years 5564 years 65 years 250 kg m2 25299 kg m2 30 kg m2 yes premenopausal uncerlain poslmenopausal ht poslmenopausal ht 518 mmol l 518620 mmol l 621 mmol l 259 mmol l 259335 mmol l 336412 mmol l 413 mmol l 130 mmol l 130 mmol l 40 4059 60 336 mmol l 50 50 10mg l 1029 mg l 30 mg l
subgroup_level, full cohort 55 55 65 65 75 75 male female former current ii iii iv asia e europe latin america usa w europe white black asian yes 20 20 25 25 30 30 laba ics laba + ics anticholinergic
subgroup_level, patients 65 yr 6574 yr 75 yr female male 59 59 yes europe north america
subgroup_level, 65 n433 65 n127 75 n18 65 n422 65 n125 75 n19
subgroup_level, 625 yrs male nonanterior 720 min 47 min
subgroup_level, diabetes mellitus diabetes mellitus
subgroup_level, 69 yr 69 yr yes amiodarone none patients
subgroup_level, ng n 14 080 lgm n 4565
subgroup_level, ng n 14 080 igm n 4565
subgroup_level, ng igm
subgroup_level, 2830 n8 689 2427 n2 231 23 n212
subgroup_level, gold stage ii gold stage iii gold stage iv
subgroup_level, gold stage ii gold stage iii gold stage iv
subgroup_level, 70 yr open endovascular 50 mg liter 50 mg liter 30 mmol liter 30 mmol liter 55 mmol liter 55 mmol liter low intermediate high yes 70 yr
subgroup_level, age 65 years age 65 years
subgroup_level, subjects female male 75 75 1 1 yes unknown anterior anterior north america rest world hub spoke 3 3 tertile 3 tertile 2 tertile 1 tertile 1 index pci performed
subgroup_level, subjects female male 75 75 baseline killip class 1 1 yes unknown anterior anterior north america rest world hub spoke 3 3 tertile 3 tertile 2 tertile 1
subgroup_level, 65 65 male female 09 1019 20 181210 211240 241270 yes nonsmoker current smoker exsmoker itt population
subgroup_level, intentiontotreat intentiontotreat without stsegmentelevation myocardial infarction intentiontotreat stsegmentelevation myocardial infarction
subgroup_level, hscrp 20 nlg l hscrp mg l randomized hscrp 20 mg l hscrp j20 mg l hscrp _20 mg l cause mortality hosp worsening hf hscrp 20 mg l hscrp j20mg l
subgroup_level, hscrp 20 mg l hscrp 20 mg l hscrp 20 g l
subgroup_level, hscrp 20 mg l hscrp 20 mg l
subgroup_level, neither t2dm mets metabolic syndrome w t2dm t2dm
subgroup_level, neither t2dm mets mets w t2dm t2dm
subgroup_level, women men
subgroup_level, men women
subgroup_level, men women
subgroup_level, 520 20249 25299 30349 35399 40
subgroup_level, male female
subgroup_level, pad baseline pad baseline
subgroup_level, jbs2 secondary prevention only3 jbs2 primary prevention only3 nice secondary prevention onlyb nice primary prevention onlyb baseline ldlc 20 25 mmol lc baseline ldlc 25 42 mmol lc ldlc 25 mmol l
subgroup_level, 625 yrs 625 yrs female male yes anterior nonanterior 180 min 180360 min 361720 min 720 min 47 min 47 min 745 min 745 min
subgroup_level, laba users laba nonusers
subgroup_level, women level 1 level 2 men
subgroup_level, 55 55e64 65e74 75 male female current former 30 30e50 50 yes
