CUI,preferred,hasMSH
C0032143,alteplase,true
C0080103,Relative (related person),true
C0392756,Reduced,false
C0547047,Decrease,false
C0205345,Relative,false
C1547039,*Relative,false
C0039725,Thailand,true
C1264641,Percentile,false
C0039738,Thallium,true
C1420718,TH gene,false
C4282123,TH,false
C4285344,Tyrosine 3-Monooxygenase, human,false
C0237753,Numbers,false
C0086287,Females,true
C0449788,Count of entities,false
C0013990,Pathological accumulation of air in tissues,true
C0034067,Pulmonary Emphysema,true
C0003761,Country of Argentina,true
C1504311,Argentina genus,false
C0030705,Patients,true
C2360800,Number of patients,false
C0521115,Simultaneous,false
C0025677,Methotrexate,true
C1417487,MTX1 gene,false
C0015176,Europe,true
C1999091,Cardiac Status,false
C0005516,Biological Markers,true
C2735302,Cardiac status:-:Point in time:^Patient:-,false
C1271630,Cardiac markers,false
C0449438,Status,false
C0018787,Heart,true
C0449442,Marker status,false
C1522601,Cardiac - anatomy qualifier,false
C1514756,Receive,false
C0021641,Insulin,true
C0039798,therapeutic aspects,true
C0087111,Therapeutic procedure,true
C1363945,Therapy Object (animal model),false
C1533581,Recombinant Insulin,false
C1579433,Insulin [EPC],false
C3714501,Insulin Drug Class,false
C0852030,pulmonary embolism and thrombosis,false
C0226514,Structure of deep vein,false
C0034065,Pulmonary Embolism,true
C0149871,Deep Vein Thrombosis,true
C0000726,Abdomen,true
C0010592,Cyclosporine,true
C0010594,Cyclosporins,true
C0017446,Geographic Locations,true
C0454693,Indian subcontinent,false
C0221198,Lesion,false
C1444754,Length,false
C4330985,Per Millimeter,false
C4554674,MM genotype,false
C1706316,Length of Trial,false
C1546698,Specimen Source Codes - Lesion,false
C1518422,Negation,false
C0429089,Electrocardiogram Q waves test,false
C1305738,Q wave,false
C0549178,Continuous,false
C1120149,thienopyridine,true
C0552346,Body weight percentile,false
C1532718,kg-m,false
C0549183,Midline (qualifier value),false
C0876920,Median Statistical Measurement,false
C2347635,Population Median,false
C2348144,Sample Median,false
C2939193,Median (qualifier value),false
C0428772,Left ventricular ejection fraction,false
C0344434,Atrial Fibrillation by ECG Finding,false
C0019664,History,true
C0019665,Historical aspects qualifier,true
C0262512,History of present illness,false
C0262926,Medical History,false
C1705255,Concept History,false
C2004062,History of previous events,false
C4049859,PSMD4 wt Allele,false
C0488728,Ejection fraction:Volume Fraction:Point in time:Heart.ventricle.left:Quantitative,false
C0037179,Unmarried person,true
C0042373,Vascular Diseases,true
C0087136,Unmarried,true
C0205171,Singular,false
C0182158,Pads,false
C0332568,Pad Mass,false
C3540603,PADI4 wt Allele,false
C3669270,Strucure of thick cushion of skin,false
C3814046,PAD Regimen,false
C4319657,Pad (unit of presentation),false
C0578022,Finding of body mass index,false
C1333400,Gadolinium-Enhancing Lesion,false
C0015672,Fatigue,true
C3463815,Feel Fatigue,false
C4050243,Fatigue Subordinate Domain,false
C4554645,Fatigue, CTCAE 5.0,false
C0520886,ST segment elevation (finding),false
C0004482,Azathioprine,true
C0455272,Serum urate measurement,false
C0700634,Serum uric acid observed,false
C0168634,BaseLine dental cement,true
C3829066,Millimole per Mole,false
C1442488,Baseline,false
C3538987,Cardiovascular System Findings Domain,false
C0439526,/mL,false
C1705224,THPO wt Allele,false
C3887665,Thrombopoietin, human,false
C4048877,Dinner,true
C4318503,ciliary vesicle,false
C0004147,Atenolol,true
C0205156,Previous,false
C0003195,Anti-Arrhythmia Agents,true
C1522326,Treating,false
C1533734,Administration procedure,false
C1705169,Biomaterial Treatment,false
C3538994,Treatment Epoch,false
C3887704,treatment - ActInformationManagementReason,false
C3537142,Antiarrhythmic [EPC],false
C1552607,Act Relationship Subset - previous,false
C3687832,Drugs - dental services,false
C3179547,secukinumab,true
C0358591,Proton Pump Inhibitors,true
C0871125,prepulse inhibition activity,true
C3811894,Pixels per Inch,false
C0439272,ug/g,false
C0241889,Family history,true
C1504769,DFFB protein, human,true
C2239547,ACOD1 gene,false
C3813548,CALD1 wt Allele,false
C4284121,DFFB wt Allele,false
C1521798,trend,false
C4554533,Trend:Type:Point in time:^Patient:Nominal,false
C0018488,Hafnium,true
C0019993,Hospitalization,true
C1313497,GZMA protein, human,true
C1538440,CFH gene,false
C3273279,CFH wt Allele,false
C0969324,mepolizumab,true
C0418981,Medical therapy,false
C1720467,Only - dosing instruction fragment,false
C0007457,Caucasoid Race,true
C0015031,Ethnic group,true
C0243103,Ethnicity aspects,true
C0043157,Caucasians,true
C1846718,CREATININE CLEARANCE QUANTITATIVE TRAIT LOCUS,false
C0439445,mL/min,false
C0205250,High,false
C0439268,Microgram per Milliliter,false
C3163633,Elevated,false
C0036572,Seizures,true
C0332307,Type - attribute,false
C1959629,Seizure, CTCAE 3.0,false
C4553401,Seizure, CTCAE 5.0,false
C0201950,Cholesterol measurement test,false
C1532563,Millimole per Liter,false
C0543421,Total cholesterol,false
C0205435,First (number),false
C0349381,Mace Spice,false
C0949745,Myristica fragrans,true
C1445339,Mace extract,false
C1279901,Firstly,false
C0872146,disease length,false
C0439234,year,false
C0002688,Amputation,true
C0332840,Amputated structure (morphologic abnormality),false
C1546539,Amputation Specimen Code,false
C0023779,Lipids,true
C0441994,Lower - spatial qualifier,false
C2003888,Lower (action),false
C0042295,Values,false
C0054015,Nesiritide,true
C0439297,Nanogram per Liter,false
C1095989,Brain natriuretic peptide measurement,false
C1417808,NPPB gene,false
C2982014,NPPB wt Allele,false
C0019016,Hemoglobin A,true
C3887642,Hippocampus Proper,true
C1825777,KRT90P gene,false
C3538758,SCN2A wt Allele,false
C0023122,Latin America,true
C0596019,Chloride Ion,false
C0521116,Current (present time),false
C0004238,Atrial Fibrillation,true
C1963067,Atrial Fibrillation, CTCAE,false
C1705970,Electrical Current,false
C0205281,Invasive,false
C1334278,Invasive Lesion,false
C0750572,Estimated,false
C0232809,Glomerular filtration,false
C4528685,Psoriasis Area and Severity Index Clinical Classification,false
C0449820,Score,false
C4050231,ADHD hyperactive symptoms mean score:Score:Pt:^Patient:Qn:Calculated,false
C0002598,Amiodarone,true
C0002460,American Indians,true
C1709595,Pooled Sample,false
C0074554,Simvastatin,true
C2826344,Factorial Study,false
C2349200,Pool (action),false
C4522255,Pooled Blood Products,false
C0162589,Implantable defibrillator,true
C2825184,Implantable Cardioverter-Defibrillator Placement,false
C2713485,varespladib,true
C0741923,cardiac event,false
C3889729,Carbon Nanoparticle-based Formulation,false
C0439275,Microgram per Liter,false
C0041536,Ubiquinone,true
C1300565,Kilogram per Liter,false
C0013404,Dyspnea,true
C3826977,Modified Medical Research Council Dyspnea Scale Questionnaire,false
C0441800,Grade,false
C0919553,Histopathologic Grade,false
C3244287,School Grade,false
C1963100,Dyspnea, CTCAE,false
C0041004,Triglycerides,true
C0439190,millimole,false
C0475211,liter,false
C1880008,Cardiovascular History,false
C0032042,Placebos,true
C1696465,placebo,false
C1706408,Placebo Control,false
C0007220,Cardiovascular Agents,true
C1371299,Bronchodilation [PE],false
C3537072,Bronchodilation,false
C0369637,M NOS ANTIBODY,false
C0441923,M+ (tumor staging),false
C0003015,Angiotensin-Converting Enzyme Inhibitors,true
C0597357,receptor,false
C2757044,Angiotensin-Converting Enzyme Inhibitors [MoA],false
C0972314,etoricoxib,true
C0178602,Dosage,false
C0869039,Unit dose,false
C1114758,Dose number:Number:Point in time:^Patient:Quantitative,false
C0475224,Ischemic,false
C0007820,Cerebrovascular Disorders,true
C2825200,Bare metal stent,false
C1510829,Age-Years,false
C0051767,amsonic acid,true
C3811131,Estrogen Receptor Measurement,false
C0057671,diacetoxyscirpenol,true
C0205344,Absolute,false
C1550025,Load - Remote control command,false
C0589120,Follow-up status,false
C0024485,Magnetic Resonance Imaging,true
C1824234,CYREN gene,false
C3890166,Magnetic Resonance Imaging Study File,false
C1522577,follow-up,false
C1704685,Follow-Up Report,false
C3274571,Clinical Study Follow-up,false
C1704782,Load Component of Device,false
C1708715,Loading Technique,false
C0070166,clopidogrel,true
C0016327,Fluorides,true
C1512806,Intake,false
C0216784,valsartan,true
C0020261,Hydrochlorothiazide,true
C0442027,Oral,false
C0450442,Agent,false
C1254351,Pharmacologic Substance,false
C1521826,Protocol Agent,false
C4521986,Oral (intended site),false
C0006684,Calcium Channel Blockers,true
C2757014,Calcium Channel Antagonists [MoA],false
C2982078,benralizumab,true
C0428886,Mean blood pressure,true
C1514721,Range,false
C0439475,mmHg,false
C2348147,Sample Range,false
C3542016,Concept model range (foundation metadata concept),false
C1547052,*Type - Kind of quantity,false
C0239126,corticosteroid use,false
C3811844,Estimated Glomerular Filtration Rate,false
C3839656,Modification of diet in renal disease formula,false
C2945599,Mild (qualifier value),false
C0221099,Impaired,false
C0684336,Impaired health,false
C0205082,Severe (severity modifier),false
C0007222,Cardiovascular Diseases,true
C0205164,Major,false
C4318856,Major <insect>,false
C4521762,United States Military Commissioned Officer O4,false
C1524063,Use of,false
C4541021,Angiotensin-converting enzyme inhibitor (disposition),false
C0333275,Hemorrhagic,false
C0038454,Cerebrovascular accident,true
C4554100,Stroke, CTCAE,false
C0537270,insulin detemir,true
C0907402,Insulin Glargine,true
C0220908,Screening procedure,true
C2599602,pre bronchodilator,false
C3714541,Forced Vital Capacity,true
C0220909,Aspects of disease screening,true
C1698960,research subject screening,false
C1710031,Disease Screening,false
C1710032,Screening,false
C1710477,Trial Screening,false
C2348164,Screening Study,false
C0038257,Stent, device,true
C0332287,In addition to,false
C0877341,coronary revascularization,false
C0439228,day,false
C4033631,sacubitril / valsartan,true
C0000970,Acetaminophen,true
C0004057,Aspirin,true
C3815594,Subject is Randomized,false
C0333307,Superficial ulcer,false
C1880549,Erosion of Medical Device Material,false
C1959609,Erosion lesion,false
C3887524,Skin Erosion,false
C0085096,Peripheral Vascular Diseases,true
C1704436,Peripheral Arterial Diseases,true
C2986535,Primary Endpoint,false
C0013103,Drainage procedure,true
C0180499,Drain device,false
C4265177,Drain number:ID:Pt:^Patient:Nom,false
C0337445,Thyroglobulin measurement,false
C3715113,HSD11B1 wt Allele,false
C0009488,Comorbidity,true
C0011847,Diabetes,false
C0011849,Diabetes Mellitus,true
C1710306,TOAST Classification,false
C1514624,Qualifying,false
C4521230,Acute ischemic stroke subtype:Class:Pt:^Patient:Nom:TOAST,false
C0525678,rasagiline,true
C0439422,milligram/day,false
C0524620,Metabolic Syndrome X,true
C0002778,Analysis of substances,false
C0936012,Analysis,false
C1524024,analysis aspect,true
C1536078,Bypass Surgery,false
C1551393,Container status - Missing,false
C1705492,Missing,false
C3272743,Missing Study Animal,false
C0008377,Cholesterol,true
C0225808,Right side of heart,false
C0679786,healthy habits,false
C0005823,Blood Pressure,true
C1271104,Blood pressure finding,false
C1272641,Systemic arterial pressure,true
C0439793,Severities,false
C0024117,Chronic Obstructive Airway Disease,true
C0018026,Gold,true
C1304897,Gold color,false
C1412502,ARCN1 gene,false
C3714496,Chronic obstructive pulmonary disease of horses,false
C0522510,With intensity,false
C0155668,Old myocardial infarction,false
C2936173,Percutaneous Transluminal Coronary Angioplasty,true
C1880018,Cerebrovascular,false
C2985465,Hazard Ratio,false
C0428883,Diastolic blood pressure,true
C0802604,Medications:Presence or Identity:Duration of the study:^Patient:Nominal,false
C2598133,Medications:-:Point in time:^Patient:-,false
C1305849,Diastolic blood pressure measurement,false
C0456683,U/day,false
C0441471,Event,false
C4019010,National reporting jurisdiction:Loc:Pt:^Event:Nom,false
C0455829,Waist Circumference,true
C3251812,Bleeding risk,false
C3639721,Unified Parkinson's Disease Rating Scale,true
C0205309,Known,false
C0239161,Dactylitis,false
C0750480,Count,false
C1705566,Count Dosing Unit,false
C0012634,Disease,true
C0242708,Antirheumatic Drugs, Disease-Modifying,true
C1415124,GLYB gene,false
C0017454,Georgia, Western Asia,true
C0152277,Incision and drainage,false
C0018370,Guernsey (geographic location),true
C0019134,heparin,true
C2825026,Unfractionated Heparin [EPC],false
C1521840,Target,false
C0178784,Organ,false
C2986546,Target Lesion Identification,false
C0439673,Unknown,false
C3541433,unknown vaccine or immune globulin,false
C4050014,Unknown GENC,false
C0001645,Adrenergic beta-Antagonists,true
C0392334,Ability to perform cognitive activity,false
C0392335,Cognitive functions,false
C4695788,Hyperlipidemia:Hx:Pt:^Patient:Ord,false
C0015663,Fasting,true
C0184666,Hospital admission,false
C0809949,Admission activity,false
C0021853,Intestines,true
C0205146,Area,false
C0007226,Cardiovascular system,true
C3887460,Cardiovascular,false
C0037369,Smoking,true
C4086728,Past Year,false
C0453996,Tobacco smoking behavior,true
C1881674,Medical Device Emits Smoke,false
C1553480,Diskus,false
C1719844,Omega,false
C0015684,Fatty Acids,true
C0360714,Hydroxymethylglutaryl-CoA Reductase Inhibitors,true
C1697238,NIH stroke scale,false
C3484372,NIH stroke scale:-:Point in time:^Patient:-:NIHSS,false
C0589507,Cognitive function: initiation,false
C1158830,Transcription Initiation,false
C1704686,Initiation,false
C0071097,pioglitazone,true
C3541888,CDISC Events Class,false
C0677453,Cigarette,true
C1706077,user - individual,false
C1704760,Cigarette Dosage Form,false
C3890423,Cigarette Dosing Unit,false
C0017654,Glomerular Filtration Rate,true
C1424601,RAPGEF5 gene,false
C0449381,Observation parameter,false
C0005845,Blood urea nitrogen measurement,true
C0600137,Blood Urea Nitrogen,false
C0429271,Grip strength,false
C0022718,Kyrgyzstan,true
C0439209,Kilogram,false
C4054209,Per Kilogram,false
C2598165,Grip Strength:-:Point in time:^Patient:-,false
C3173209,Current smoker:Finding:Point in time:^Patient:Ordinal,false
C3241966,Current Smoker,false
C0205447,One,false
C0205437,Third,false
C0034627,Bone structure of radius,true
C1306504,Geometric radius,false
C0033963,Psychosocial Factors,true
C0035647,Risk,true
C4552904,Subject Risk,false
C0542298,Psychosocial,false
C0035648,risk factors,true
C1553898,risk factors - observation list,false
C1458132,Treatment/Psychosocial Effects,false
C0006444,Bursitis,true
C4019422,Classes - encounter,false
C1313937,Family history of diabetes mellitus,false
C0009080,Clubbed Fingers,true
C0149651,Clubbing,false
C1137094,Risk Reduction,true
C0451306,Mini-mental state examination,true
C0042815,Visual Analog Pain Scale,true
C0456603,Ratio,false
C1547037,data type - ratio,false
C0054841,carzinophilin,true
C1861828,Cataract, Zonular Pulverulent 1,true
C1872109,certolizumab pegol,true
C0443258,Microvascular,false
C0015392,Eye,true
C0700042,Orbital region,false
C0449279,Extent of disease,false
C4553144,Intergroup Rhabdomyosarcoma Clinical Group Extent of Disease,false
C0008107,Chile,true
C1705241,Delta (difference),false
C1705242,Different,false
C3259781,Coagulation Index Measurement,false
C0439609,Urgent,false
C3272275,Urgent Procedure,false
C0443225,Full,false
C0036849,Set (Psychology),true
C1442518,Set scale,false
C1705195,set (group),false
C0205404,Serious,false
C3887670,AE synonym fragment,false
C1519384,Smoking History,false
C3887636,Ever,false
C0030123,4-Aminohippuric Acid,true
C3203102,Idiopathic pulmonary arterial hypertension,true
C4284467,Para-Aminohippurate Sodium Measurement,false
C1442989,Standard (qualifier),false
C2828392,Standard (document),false
C0016522,Foramen Ovale, Patent,true
C0344724,Ostium secundum atrial septal defect,true
C0022877,Laboratory,true
C3244292,Laboratory domain,false
C4283904,Laboratory observation,false
C0065879,Megestrol Acetate,true
C0031831,Physicians,true
C0022423,Judgment,true
C0804815,Physician:Identifier:Point in time:^Patient:Nominal,false
C3536851,Calcium Channel Blocker [EPC],false
C4521885,Calcium channel blocker (disposition),false
C0149721,Left Ventricular Hypertrophy,true
C3484363,Left ventricular hypertrophy:Finding:Point in time:^Patient:Ordinal,false
C0042153,utilization qualifier,true
C0457083,Usage,false
C1947944,Use - dosing instruction imperative,false
C0003364,Antihypertensive Agents,true
C1874267,Anti-anginal [EPC],false
C3537168,Antianginals,false
C0018301,Guadeloupe,true
C4543206,Receptor agonist (disposition),false
C1422069,GOLGA6A gene,false
C1425391,RCBTB1 gene,false
C1539338,EHMT1 gene,false
C2350813,EHMT1 protein, human,true
C0022646,Kidney,true
C1521970,Characteristics,false
C0359086,oral hypoglycemic,false
C1524062,Additional,false
C0868908,pancolitis,false
C0007465,Cause of Death,true
C1317301,diabetes status,false
C0016017,Fibrinolysis,true
C0205225,Primary,false
C0439612,True primary (qualifier value),false
C0439631,Primary operation,false
C1305868,Assay of fibrinolysis,false
C0015733,Feces,true
C0376249,With frequency,true
C0439603,Frequencies (time pattern),false
C0871396,Spatial Frequency,false
C1561548,Kind of quantity - Frequency,false
C1705502,Statistical Frequency,false
C3898838,How Often,false
C4321352,Frequency,false
C0183622,Stool seat,false
C1418975,PSAP gene,false
C1420002,SFTPA1 gene,false
C1425004,MTCH1 gene,false
C0205198,Compound,false
C1706082,Compound (substance),false
C3853627,Arylsulfatase A, human,false
C0545082,Visit,false
C0023824,LDL Cholesterol Lipoproteins,true
C0202117,Low density lipoprotein cholesterol measurement,false
C1512346,Patient Visit,false
C2826704,Visit Name,false
C0079284,Endothelin,true
C0205307,Normal,false
C1739039,EGFR protein, human,true
C3812682,Epidermal Growth Factor Receptor Measurement,false
C0231683,Gait normal,false
C0439166,Percent normal,false
C2347086,Mean Percent of Normal,false
C4553972,How Often Felt Normal question,false
C0030428,Paraguay,true
C3538810,Nonclinical Pregnancy Results Domain,false
C0016006,Fibrinogen,true
C1167394,fibrinogen complex location,false
C2587184,fibrinogen concentrate (human),false
C3540039,Fibrinogen containing hemostatics,false
C0102923,ametantrone,true
C0451208,Health assessment questionnaire,false
C3533236,Mean score,false
C3890735,Complete Response with Incomplete Platelet Recovery,false
C0086045,Mental concentration,true
C1446561,Concentration measurement,false
C3827302,Able to Concentrate Question,false
C4048285,C-Reactive Protein, human,false
C0012582,Dipyridamole,true
C0439178,percent positive cells,false
C1446409,Positive,false
C1514241,Positive Finding,false
C2825490,Positive Charge,false
C3812269,Positive Number,false
C1704675,Interaction,false
C0232462,Decrease in appetite,false
C0037707,Sotalol,true
C2986759,Geometric Mean,false
C0332170,Morning,false
C0035448,Rheumatoid Factor,true
C0201660,Rheumatoid Factor Measurement,false
C0748398,RF,false
C1547111,Radio fluoroscopy,false
C1707391,Choose (action),false
C0205100,Peripheral,false
C0581603,Revascularization - action,false
C0239307,ethnic european,false
C1535514,European race,false
C0220938,White color,false
C3854258,Admission time:ClockTime:Pt:^Patient:Qn,false
C0702093,Per Minute,false
C1524029,Mouse MIN NOS,false
C3813700,Percent per Minute,false
C3854259,Admission time,false
C1261082,Left coronary artery structure,false
C0184906,Bifurcation (procedure),false
C3146289,Anatomic bifurcation,false
C1551056,Units Of Measure - lumen,false
C0442038,Radial,false
C0444454,Access,false
C1554204,Role Class - access,false
C0920847,Circumpennate,false
C0683519,disease history,false
C0489868,peripheral artery,false
C0730226,H/O: Disorder,false
C0850708,History of disease,false
C0944983,History of symptoms & diseases:Finding:Point in time:^Patient:Nominal:Observed,false
C0205195,Combined,false
C0008976,Clinical Trials,true
C0205160,Negative,false
C1513916,Negative Finding,false
C2825415,Negative Number,false
C2825491,Negative Charge,false
C3853545,Negative - answer,false
C3274777,Severely Abnormal Ventricular Ejection Fraction,false
C0006558,C-Peptide,true
C0001807,Aggressive behavior,true
C0580822,Aggressive course,false
C0002006,Aldosterone,true
C0001554,Administration occupational activities,true
C0376636,Disease Management,true
C1273870,Management procedure,false
C3273539,Management Occupations,false
C0280604,altretamine/cisplatin/cyclophosphamide protocol,false
C3542407,Choline Dehydrogenase, Mitochondrial,false
C0036773,Serum Albumin,true
C0439267,Gram per Deciliter,false
C0728877,Serum albumin level,false
C0442120,Intraperitoneal,false
C0018681,Headache,true
C4553197,Headache, CTCAE,false
C0205091,Left,false
C0003842,Arteries,true
C0226004,Arterial system,false
C1542147,Main,false
C0443246,Left sided,false
C1552822,Table Cell Horizontal Align - left,false
C0040363,Togo,true
C0041260,Tryptophanase,true
C1883351,To,false
C0443211,Established,false
C1272684,Accepted,false
C0079399,Gender,true
C0086582,Males,true
C0043210,Woman,true
C1705497,Female, Self-Report,false
C1705498,Female Phenotype,false
C1706180,Male Gender, Self Report,false
C1706428,Male Phenotype,false
C1706429,Male, Self-Reported,false
C1522384,sex,true
C0008466,Chondroitin Sulfates,true
C0002965,Angina, Unstable,true
C4086878,Symptom Onset,false
C0060657,formoterol,true
C0012315,Dihydropyridines,true
C0220821,dihydropyridine,true
C2718773,canakinumab,true
C0023556,Levamisole,true
C0038317,Steroids,true
C1561643,Chronic Kidney Diseases,true
C1882083,New York Heart Association Class,false
C0585361,Twice a day,false
C1527129,Verapamil SR,false
C4318437,Anti-Cyclic Citrullinated Protein Antibodies,true
C0741132,antibody positive,false
C0304289,Oral drug preparation, NOS,false
C0935929,Antidiabetics,true
C1243102,Acetaminophen Oral Tablet,false
C1525410,Cyclic citrullinated peptide antibody,false
C1706063,Wegener Autoantigen,false
C4441842,Major minor,false
C0231999,Airflow,false
C0443288,Restricted,false
C0449295,Limitation,false
C1511069,Baseline Dyspnea Index,false
C2964552,Total score,false
C0206132,Age of Onset,true
C0332162,Onset of (contextual qualifier),false
C0021308,Infarction,true
C1999375,Ticagrelor,true
C3887676,Kathy Mercer,false
C0607430,Galactose Binding Lectin,true
C0001779,Age,false
C0012000,Diastole,true
C0005767,Blood,true
C0005768,In Blood,true
C0229664,peripheral blood,false
C0348016,Intravenous,false
C0012963,Dobutamine,true
C0033144,Primary Prevention,true
C0248719,telmisartan,true
C0549177,Large,false
C2003901,Never (frequency),false
C0522498,Rare,false
C2364172,Adherence To Medication Regime,true
C0439165,Percent (qualifier value),false
C0270549,Generalized Anxiety Disorder,false
C1414925,GAD1 gene,false
C0443081,Intravenous vasodilator,false
C4053960,Systemic Corticosteroid Therapy,false
C0205373,Systemic,false
C0005910,Body Weight,true
C1711350,Interquartile Range,false
C0043100,Weight,true
C1305866,Weighing patient,false
C1705104,Importance Weight,false
C1722260,indacaterol,true
C0041573,Uganda,true
C0439211,microgram,false
C0010346,Crohn Disease,true
C0852949,Arteriopathic disease,false
C0332174,Weekly,false
C0439230,week,false
C1517205,Flare,false
C3540542,Exacerbation of cGVHD,false
C4050465,Severe Extremity Pain,false
C4050466,Borg Category-Ratio 10 Perceived Exertion Score 5,false
C1707479,Concomitant Therapy,false
C0243161,criteria,true
C0225860,Left atrial structure,true
C1301886,Diameter (qualifier value),false
C0225861,Left auricular appendage,false
C0024119,Pulmonary function tests,true
C0681842,prediction,false
C1882327,Percent of Predicted Value,false
C2598152,Pulmonary Function Tests:-:Point in time:^Patient:-,false
C0003211,Anti-Inflammatory Agents, Non-Steroidal,true
C0035439,Rheumatic Heart Disease,true
C0085532,Coronary angiography,true
C1548829,Consent Type - Coronary Angiography,false
C0040223,Time,true
C1623258,Electrocardiography,true
C3541383,Time (foundation metadata concept),false
C0683368,Symptoms aspect,true
C1457887,Symptoms,false
C0016704,French Polynesia,true
C0036140,Salts,true
C0037494,Sodium Chloride,true
C0206136,Sodium Chloride, Dietary,true
C1419068,PTGFR gene,false
C1419906,SDHA gene,false
C3541238,Succinate Dehydrogenase [Ubiquinone] Flavoprotein Subunit, Mitochondrial,false
C3541412,SDHA wt Allele,false
C0040207,Ticlopidine,true
C0035970,Russia,true
C0017452,Georgia, USA,true
C1302234,Fatal,false
C1705232,Death Related to Adverse Event,false
C0242606,Oxidative Stress,true
C1448177,TNF protein, human,true
C0003593,Apolipoproteins B,true
C0003592,Apolipoproteins A,true
C0523508,Apolipoproteins A measurement,false
C4553344,LPA wt Allele,false
C4553379,Apolipoprotein(a), human,false
C3252643,APOB protein, human,true
C0337671,Former smoker,false
C0439092,Less Than,false
C0086409,Hispanics,true
C0001925,Albuminuria,true
C0815320,Impaired Control Scale,false
C4551720,Primary Ciliary Dyskinesia,true
C0252643,bosentan,true
C0028125,Nitrates,true
C0699857,Nitrate,false
C3848573,nitrate ion,false
C3842976,Left side only,false
C0232237,S3 - Third heart sound,false
C0232278,Protodiastolic gallop with abnormally audible third heart sound,false
C3810537,PSAT1 wt Allele,false
C3813209,PROS1 wt Allele,false
C0019139,Heparin, Low-Molecular-Weight,true
C3536766,Low Molecular Weight Heparin [EPC],false
C1272706,Interval,false
C1552654,Parameterized Data Type - Interval,false
C1552713,Data Type Interval,false
C0155709,Atrial fibrillation and flutter,false
C0206578,Czech Republic,true
C0205265,Initially,false
C1555582,Initial (abbreviation),false
C1705685,Initial Usage,false
C0679214,symbol,false
C0582802,Digit structure,false
C3241971,Digit - number character,false
C1698987,symbol - solid dosage form,false
C0428472,Serum HDL cholesterol measurement,false
C0058890,EAP protocol,true
C0439849,Relationships,false
C0445223,Related personal status,false
C0286651,atorvastatin,true
C0278947,prior biologic therapy,false
C0026544,Morocco,true
C0332177,Monthly (qualifier value),false
C0010055,Coronary Artery Bypass Surgery,true
C0332293,Treated with,false
C4317006,Arthritis Pain,false
C0003872,Arthritis, Psoriatic,true
C0030193,Pain,true
C0518090,Frequency of Pain Question,false
C1962977,Pain NOS, CTCAE,false
C2984058,Have Pain,false
C4085210,Usual Severity Pain,false
C4085211,Pain Distress Question,false
C4085212,How Much Distress Pain,false
C4553004,Pain, CTCAE,false
C4554132,Feel Pain,false
C1176468,Erythrocyte sedimentation rate measurement,false
C1619634,erythrocyte sedimentation rate result,true
C4696290,Aspirin dose,false
C0042285,Valine,true
C0523975,Valine measurement,false
C0226001,Structure of small artery,false
C0001168,Complete obstruction,false
C0241970,lacune,false
C0011382,Dental Occlusion,true
C0028778,Obstruction,false
C0441597,Occlusion - action,false
C1110554,Cardiovascular occlusion,false
C1947917,Occluded,false
C0700321,Small,false
C0264995,Occlusion of artery (disorder),false
C0018810,heart rate,true
C0444505,Peak level,false
C0025664,Methods aspects,true
C0184661,Interventional procedure,true
C2700391,Procedure (set of actions),false
