,concept,cluster
1418,pulmonary rales  n ( % ),277
851,pulmonary rales,277
842,carotid,276
1088,carotid revascularization,276
1483,native hawaiian / other,275
1432,native hawaiian or other pacific islander,275
836,hawaiian / pacific,275
828,secondary ( change in total updrs score from baseline to final visit in phase nmbr ),274
1802,secondary # nmbr,274
817,fc - ldl - c  friedewald - calculated,273
1487,fc - ldl - c  mg / dl,273
1755,no ascvd + additional cv risk factors  n ( % ),272
814,ascvd including tia,272
808,time of symptom onset to balloon inflation ( hrs ),271
1745,time of symptom onset to randomization ( hrs ),271
1406,history of second prior mi,270
1492,history of amputation,270
1836,history of vte * *,270
1329,history of major bleeding,270
1796,history of macroalbuminuriat  n ( % ),270
807,history of symptomatic,270
1550,history of chronic hf,270
1731,history of dyspepsia,270
1667,history of coronary revascularization,270
1307,alt  ast  or both > nmbrx uln,269
805,alt and / or ast > nmbr times uln consecutive #,269
804,low risk and fewer symptoms ( group a ),268
1873,low risk and more symptoms ( group b ),268
798,medical conditions  no . ( % ),267
1355,medical characteristics,267
797,exercise times per week  ( minimum,266
1430,exercise,266
1942,high on - treatment platelet reactivity *,265
791,high potencyc,265
1459,high ( > nmbr ) ( n = nmbr  nmbr  nmbr % ),265
977,high subgroup,265
1797,high ( > nmbr risk factor ),265
1030,abatacept / open - label abatacept,264
789,abatacept monotherapy ( n = nmbr ),264
1569,abatacept ( n = nmbr * ),264
788,ethnic origin  n ( % ),263
1415,ethnic origin,263
1125,fevi  l *,262
785,fevi  % predicted  mean ( sd ) nmbr,262
873,glyburide,261
784,glyburide ( n = nmbr ),261
782,exacerbations,260
1635,exacerbations in the previous year,260
767,potassium - sparing at last follow - up,259
1044,potassium,259
1943,potassium ( meql )  mean + sd  available for nmbr patients,259
1163,potassium - sparing at enrollment,259
766,qualifying mi type,258
1308,qualifying nstemi  n ( % ),258
1747,qualifying hbanmbrc ( % ),258
1093,history of cabg surgery,257
764,history of cabg surgery  n ( % ),257
1011,prior surgery : no,257
763,rec . ischemia leading to hasp,256
1618,rec . ischemia requiring revasc,256
1009,rec . ischemia due worsening angina,256
1671,active or previous cancer,255
762,active a,255
938,active cancer at randomization  n ( % ),255
756,angiography during index hospitalization,254
1924,angiographic data and treatment :,254
1054,angiographic data,254
1370,preoperative blood pressure ( mm hg ) patients fulfilling eligibility criteria,253
755,preoperative heart rate ( beats per minute ),253
1860,periprocedural anticoagulant,252
747,other anticoagulant,252
1951,creatinine clearance category  ml / min  no . ( % ) b,251
745,creatinine clearance at admission ( ml / min ),251
740,role physical,250
1772,role emotional,250
739,central / eastern europe / russia,249
1028,central / eastern europe and russia hr ( nmbr % cl ),249
801,revascularization,248
736,with revascularisation,248
735,patient ' s global assessment of disease activity  mean ( sd ),247
1200,patient global assessment of disease activity ( vas nmbr - nmbr mm ),247
1912,egfr ( ml / min / nmbr . nmbr mnmbr [mdrdequation] ),246
746,egfr nmbr - nmbr ml / min / nmbr . nmbr mnmbr ( n = nmbr  nmbr ),246
731,egfr  ml / min / mnmbr,246
846,egfr < nmbr ml / min / nmbr . nmbr mnmbr ( mdrd ),246
1828,egfr ( ml / min / nmbr - nmbr mz ),246
818,egfr nmbr - nmbr ml / min / nmbr . nmbrmnmbr n = nmbr ( nmbr . nmbr % ),246
861,egfr  ml min nmbr nmbr . nmbr m nmbr,246
1617,egfr < nmbr  n ( % ),246
1829,egfr ( mdrd )  ml / min / nmbr . nmbr mnmbr,246
1313,egfr ( mumin / nmbr . nmbr mnmbr ),246
1804,primary pci no .,245
1227,primary + gusto moderate or severe bleeding,245
1304,primary ep ( cvd / mi / ri ),245
1253,primary + gusto severe bleeding,245
726,primary pci ( n = nmbr ),245
1567,low - dose rivaroxaban plus aspirin ( n = nmbr ),244
1493,low - dose rivaroxaban + aspirin group,244
800,low - dose rivaroxaban + aspirin ( n / n ),244
721,low - dose aspirin use at baseline yes,244
1736,post - bronchodilator fevnmbr  reversibility percentage of baseline value,243
793,post - bronchodilator fvc ( l ) a,243
1382,postbronchodilator lung function at screening,243
984,post - bronchodilator fevnmbr ( % predicted * ),243
1871,fevnmbr post - bronchodilator  % predicted normal,243
719,post - bronchodilator reversibility fevnmbr ( % ) mean ( sd ),243
1139,history of currently treated hypertension  n ( % ),242
715,history of systemic hypertension,242
1371,glucose  mmol / l,241
700,glucose - lowering therapies,241
1695,fevnmbr % reversibility,240
1865,fevnmbr reversibility  pre - / post - albuterol  %,240
1235,reversibility ( bnmbr - agonist )  %  mean ( sd ) nmbr,240
698,reversibility of fevnmbr ( % ),240
696,selected clinical characteristics  n ( % ),239
702,selected baseline medications,239
1202,myocardial ischaemia,238
692,ischemic heart disease  %,238
1809,other ischaemic heart disease ( non - infarction ),238
1260,pnmbrynmbr inhibitor,237
691,pdenmbr inhibitor monotherapy,237
1777,adjusted change from baseline mean ( s . e . ),236
680,adjusted mean change from baseline ( nmbr % ci )  % [mmol / mol],236
957,vascular intervention,235
1431,vascular territory # nmbr,235
679,vascular disordersb,235
1864,short - acting bnmbr - agonists,234
666,short - acting anticholinergics,234
1557,laba / ics use at screening  n ( % ),233
816,laba + ics ( free or fixed - dose combination ),233
1586,ics  mg / day,233
1071,ics use at screening  n ( % ),233
665,laba + ics,233
1296,losartan + placebo,232
664,losartan n = nmbr,232
1553,sfc nmbr / nmbr mg twice daily ( n = nmbr ),231
662,sfc nmbr / nmbr | ig bid n = nmbr,231
730,calcium antagonists  n ( % ),230
661,ccbs  ( % ),230
660,outcome,229
1022,adverse outcome,229
655,partial mayo clinic scored,228
929,partial mayo score $ | |,228
844,low density lipoprotein cholesterol  mg / dl * *,227
1821,low density lipoprotein cholesterol - mg / dltt,227
653,low - density lipoprotein cholesterol  %,227
1238,low - density lipoprotein cholesterol  mg / dl,227
1288,diuretic drugs  n ( % ),226
647,diuretic agent,226
979,diuretic drugs,226
1387,diuretic drugs ( excluding antialdosterone ),226
646,hbanmbrc distribution,225
773,hbanmbrc distribution at baseline  n ( % ),225
637,index event asymptomatic or unconfirmed,224
944,index event  %,224
1045,difference ( tiotropium - placebo ) ml ( nmbr % ci ),223
1861,lsms difference ( nmbr % ci ) nmbr,223
632,difference from baselinea,223
915,difference vs placebo  % [nmbr % cl]  p,223
1705,difference ( a ) vs placebo ( nmbr % cl ),223
1026,any prior anti - tnf treatment failure,222
631,prior therapy with tnf antagonist  n ( % ),222
1273,isolated igt,221
623,isolated pulmonary embolism,221
1556,disease and quality - of - life scores,220
621,disease,220
1176,any disease,220
1728,nt - probnp  median ( iqr )  pg / ml,219
602,nt - probnp pg / mla ( iqr ),219
600,urinary albumin / creatinine ratio  median mg / g ( range ),218
916,urinary albumin - to - creatinine ratio^,218
1573,urine albumin - to - creatinine ratio,218
707,vorapaxar group ( n = nmbr ),217
592,vorapaxar placebo nmbr - yr %,217
913,vorapaxar n = nmbr,217
1276,vorapaxar placebo nmbr - yr . km % rate,217
1210,enoxaparin / vka,216
591,enoxaparin,216
604,diet plus pravastatin group ( n = nmbr ),215
588,diet + pravastatin ( n = nmbr ),215
587,multiple tnfi *,214
1006,multiple,214
1984,location of infarction,213
579,location of ml,213
1699,location of crohn ' s disease  %,213
577,fevnmbr / fvc ( post - albuterol ),212
683,fevnmbr / fvc  %  mean ( sd ) nmbr,212
1525,fevnmbr / fvc ( post salbutamol ),212
1237,fev  at baseline,212
574,odds ratio versus placebo ( nmbr % ci ),211
1132,odds ratio,211
1529,odds ratio adj ( nmbr % cl ),211
571,physical component,210
1765,physical and cognitive examination : ! :,210
564,arb at last follow - up,209
1203,arb at enrollment,209
1756,arb / ace,209
1219,severe hyperkalemiac,208
1859,severe or worse airflow limitation,208
1612,severe ( gold nmbr ),208
1477,severe n z nmbr,208
562,severe teaes,208
748,severe impairment ( < nmbr ),208
560,crohn ' s disease,207
1469,crohn ' s disease - related medication at baseline  n ( % ),207
559,mi type unknown ( % ),206
1449,mi or cad,206
558,selexipag,205
1497,selexipag ( n = nmbr ),205
551,tocilizumab,204
1703,tocilizumab ( n = nmbr ),204
543,ezetimibe nmbr mg + statin ( n = nmbr  nmbr ),203
888,ezetimibe,203
1708,ezetimibe use,203
535,glucocorticoids and immunosuppressants,202
1111,glucocorticoids plus immunosuppressive agents,202
522,neither glucocorticoids nor immunosuppressive agents,202
1470,post - menopausal ( a ),201
512,postmenopausal hormone use,201
914,postmenopausal  never or past hormone therapy use,201
1174,postmenopausal  current hormone,201
511,left anterior descending  n ( % ),200
542,left anterior descending,200
1283,n ( indacaterol nmbr ug / indacaterol nmbr ug / placebo ),199
506,n analysed,199
1680,p value for adjusted hr,198
1919,p value nmbr . nmbr,198
504,p value versus placebo,198
1857,p value ( on vs off omt ),198
1408,p value ( men versus women ),198
1020,discontinuations teaes,197
501,discontinuations,197
1673,north america hr ( nmbr % cl ),196
499,north america n z nmbr,196
1903,north america ( plus australia and new zealand ),196
498,anti - cholinergics ( short - acting ) a,195
1252,anti - cholinergics ( long - acting ),195
493,investigator - reported hypoglycaemia *,194
1988,investigator - determined myocardial infarction,194
492,serum pnmbrnp ( ^g / liter ),193
1845,serum ctx ( ng / ml ),193
1915,recurrent vte ( statin use vs non - use ),192
1746,recurrent heart failure,192
491,recurrent ischemia - urgent revascularization,192
479,region of enrollment  n ( % ) +,191
821,region of enrollment  no . ( % ),191
474,peri - or postmenopausal,190
1167,peri - op amiodarone : no ( n = nmbr ),190
472,tc / hdl - c ratio,189
1515,tc / hdl - c,189
597,ezetimibe / simvastatin nmbr / nmbr mg ( n = nmbr ),188
468,ezetimibe + simvastatin ( n = nmbr * ),188
1568,clinical criterianmbr,187
1763,any clinical ae,187
1546,clinical and laboratory measurements,187
467,clinical history,187
1925,clinical indication at the index procedure  n ( % ),187
457,biologic agents,186
1001,other biologic agent,186
765,western europe and other,185
456,western europe hr ( nmbr % cl ),185
1106,western europe and israel,185
919,cerebrovascular disorders  n ( % ),184
455,cerebrovascular disease  n ( % ),184
1413,data missing or no drug given,183
453,data missing,183
1749,three arm,182
1653,responders of three - item end point at nmbr weeks *,182
452,three or more drugs,182
1868,three of seven risk factors,182
1795,apolipoprotein b tx difference vs pbo  ls mean % change from baseline ( se ),181
450,apolipoprotein b^,181
904,sex  male / female  %,180
606,sex  n ( % ) male,180
1482,sex ( interaction : p = nmbr . nmbr ),180
449,sex : male ( n = nmbr ),180
448,hospitalized for asthma  n ( % ) *,179
1544,hospitalized for heart failure during that time period,179
1183,event / total,178
485,event rates  %,178
446,any event,178
813,moderate impairment ( nmbr to < nmbr ),177
445,moderate or less airflow limitation,177
1552,moderate teaes,177
1613,moderate thrombocytopenia ( < nmbrxnmbr / l ),177
794,moderate risk,177
1073,moderate or severe exacerbations in the previous year ( range ),177
1754,moderate ( gold nmbr ),177
1621,moderate ( nmbr risk factor ),177
444,amlodipine nmbrmg / v = nmbr,176
958,amlodipine / vaisartan ( n = nmbr ),176
441,cvd risk factors ( age > nmbr ),175
717,cardiovascular disease,175
1156,cvd or mi,175
1770,aliskiren,174
437,aliskiren ( n = nmbr ),174
1277,change from baseline  adjusted mean ( nmbr % ci )  %,173
774,change in haq - di ( mean ) t,173
436,change in mtss ( mean ),173
705,change in nt - probnp at nmbr months ( log - transformed ),173
1819,change at week nmbr,173
688,change in sbp ( nmbr months ),173
1035,change from baseline in hbanmbrc ( % ),173
1367,change from baseline in dasnmbr - esr  meannmbr sd,173
503,randomization to arterial sheath insertion,172
925,randomization groups nmbr and nmbr,172
1548,randomization - to -,172
935,asastoppedat randomization  n,172
584,randomisation visit ( baseline ),172
463,randomization to placebo or telmisartan,172
432,treatmentofpulmonary embolismpriorto randomization,172
1625,oral aminosalicylates,171
430,oral antidiabetes monotherapya  n ( % ),171
1806,oral blood glucose - lowering,171
490,oral agents use,171
1244,antihyperglycemic oral agent therapy,170
1197,hypoglycaemic agents,170
841,antihyperglycemic medication usage,170
427,antihyperglycemic,170
603,body mass index ( bmi )  kg / mnmbr,169
1133,body mass index  kg / mnmbr  median ( qnmbr  qnmbr ),169
426,body - mass index ( kg / mj ) previous diagnosis,169
1330,body - mass index  !  waist - to - hip ratio,169
1164,body mass index > nmbr kg / mnmbr  n ( % ),169
1714,neoplasia  n ( % ),168
423,neoplasia,168
1603,liraglutide ( n = nmbr  nmbr ),167
1144,liraglutide nmbr . nmbr mg / day ( n = nmbr ),167
418,liraglutide nmbr . nmbr mg ls means ( n ),167
416,bivariate frailty model ( statin users vs non - users ),166
1152,frailty status,166
409,psoriasis duration  yrs *,165
1798,psoriasis affecting > nmbr % of body - surface,165
892,psoriasis body surface area > nmbr %,165
406,final timi flow grade post - ppci,164
734,final timi flow,164
1722,ranolazine  n = inmbrinmbr,163
405,ranolazine ( n = nmbr  nmbr ),163
401,basal insulin analogue : insulin,162
1153,basal insulin dose at run - in ( u / day ),162
1975,individuals without diabetes  n = nmbr  nmbr,161
400,individuals with diabetes  n = nmbr,161
1758,measured at clinic visit with usual device,160
397,measured at home with automated device,160
391,nonaspirin antiplatelet agent,159
1920,nonaspirin antiplatelet,159
738,serum creatinine  limo nmbr nmbr,158
390,serum creatinine > nmbr mmol / l  n ( % ),158
1412,serum creatinine > nmbr pmol / l . n ( % ) |,158
1215,serum creatinine  mean ( sd )  pmol / l,158
959,week nmbr ( geometric mean  cv ),157
381,week nmbr ( itt population ),157
1468,week nmbr fpg  mean ( s . e . ),157
374,efficacy,156
534,efficacy and safety : net adverse clinical events *,156
960,triglycerides ( week nmbr ) a,155
1092,triglycerides > nmbr mg / dl,155
373,triglycerides  median ( range ),155
371,extended - duration enoxaparin  n / n ( % ),154
1878,extended - duration enoxaparin ( n = nmbr ),154
368,small - artery occlusion ( lacune ),153
413,small - artery occlusion,153
366,dose of aspirin,152
837,aspirin at any dose,152
1927,cabg during index hospitalization,151
1281,coronary artery bypass surgery,151
1662,cabg surgery,151
363,cabg or pci,151
1591,cabg > nmbr month ago,151
369,atorvastatin  n ( % ),150
360,atorvastatin dose,150
1322,atorvastatin ls means difference nmbr mg ( nmbr % ci ) a ( n = nmbr ),150
1768,drug discontinuation not due to death,149
359,drug - related teaesnmbr,149
357,events treatment ( nmbr ),148
1182,events  no .,148
484,ez / simva n = nmbr n ( % ),147
352,anmbr + ez n = nmbr,147
477,atrial fibrillation / flutter  n ( % ),146
351,atrial fibrillation / atrial flutter  %,146
1213,interval pain onset to admission,145
1816,interval from clopidogrel loading  h,145
350,interval study drug to pci,145
525,interval clopidogrel to pci,145
1533,hispanic,144
1993,hispanic ethnicity,144
340,hispanic ( n = nmbr ),144
442,former smoker ( n = nmbr ),143
338,former smoker  n ( % ),143
333,fatal and nonfatal ml,142
1664,fatal and nonfatal stroke,142
331,crp ( mg / dl ) < nmbr . nmbr,141
753,crp  mg / l : median ( range ),141
415,crp  nmol / l  median ( range ),141
839,crp ( mg / l ) : < nmbr,141
1663,crp concentration > nmbr . nmbr mg / dl ( nmbr mg / l )  n ( % ),141
1583,crp ( mg / l )  median ( min  max ),141
901,ratio of ldl to hdl,140
329,ratio fp / sal : sal ( nmbr % ci ),140
1986,time since first copd diagnosis ( years ),139
682,time since diagnosis of diabetesa  n ( % ),139
388,time from acs to randomization ( median  iqr ),139
328,time from symptoms to treatment,139
1554,time since diagnosis of type nmbr diabetes,139
354,time from qualifying event to randomization,139
1989,time from first eval,139
1972,time from randomization to pci ( non - st - elevation mi )  h,139
1357,time from randomization to pci ( st - elevation mi )  min,139
327,time of qualifying ecg to balloon inflation ( hrs ),139
322,left atrial diameter,138
1065,left atrial diameter  mm ( sd ),138
320,chd eze / simva ( n = nmbr],137
1442,chd + cerebral infarction,137
624,total cholesterol ( mg / dl )  mean + sd  available for nmbr patients,136
317,total cholesterol ( week nmbr ),136
572,indacaterol nmbr gg qd,135
921,indacaterol nmbr ug ( n = nmbr ),135
496,indacaterol nmbr ug versus indacaterol nmbr ug,135
316,indacaterol nmbr ug versus placebo,135
1057,indacaterol nmbr mg[n z nmbr],135
917,percent change,134
310,fevnmbr percent predicted ( sd ),134
634,never used lev,133
305,never / rarely,133
300,intravenous dobutamine,132
1170,intravenous anticoagulant during hospitalization,132
1361,v alsartan / hctz  n ( % ),131
298,hctz = hydrochlorothiazide . * based on wilcoxon nmbr - sample rank - sum tests for age and body mass index  t tests for systolic and diastolic blood and ' / nmbr tests for categorical variables . t data were missing for some patients .,131
1894,prehospital ticagrelor ( n = nmbr ),130
296,ticagrelor nmbr mg nmbr yr km %,130
1081,ticagrelor  nmbr mg ( n = nmbr ),130
898,ticagrelor nmbr mg vs . placebo hr ( nmbr % ci ),130
1902,ticagrelor nmbr mg nmbr year km ( % ),130
294,atrial fibrillation onset,129
1280,atrial fibrillation  n ( % ),129
286,no antidiabetic drug,128
311,antidiabetic medication | |,128
283,chf history,127
1909,congestive heart failure ( chf ) ( in past nmbr weeks ),127
768,congestive heart failure  n ( % ),127
1769,congestive heart failure ( < nmbr wk ),127
1952,chf on losartan ( % ),127
280,verapamil sr n = nmbr no . ( % ),126
614,verapamil sr n = nmbr,126
1898,symptom onset to hospital admission,125
268,symptom onset to start of reperfusion treatment : tenecteplase or arterial sheath insertion !,125
266,unstable angina ( biomarker negative ),124
1154,worsening angina,124
1712,eze / simva gender,123
1245,gender  % of patients,123
264,gender ( % ) male / female,123
1385,gender  women n  % ),123
1779,any established coronary artery disease,122
1049,established ascvd or > nmbr cv risk factors,122
263,established,122
1145,established ascvd,122
1394,left circumflex,121
261,left main artery,121
685,serum albumin  g / dl,120
258,serum albumin  g nmbr nmbr,120
251,combined trials,119
422,combined estimated gfr and albuminuria status,119
899,combined n = nmbr,119
992,combined end points,119
249,history of peripheral artery disease,118
922,history of peripheral arterial disease ( % ),118
1239,white : black : other,117
1628,white  n ( % ),117
244,white / european,117
1853,peripheral embolism,116
243,no peripheral revascularization ( n = nmbr  nmbr ),116
241,geometric mean crp concentration ( mg / l ),115
625,geometric mean of baseline,115
743,beta - blockers ( all )  n ( % ),114
582,beta - blocker at last follow - up |,114
240,beta - blocker ( except sotalol ),114
233,fibrinogen,113
1420,fibrinogen  g / l,113
1151,fibrinogen ( pmol / l ) c,113
231,normal ( egfr > nmbr ),112
275,normal / mild ckd,112
883,normal troponin,112
225,fibrinolysis primary pci ( n = nmbr ) ( n = nmbr ) no . of patients / total no . ( % ),111
897,fibrinolysis ( n = nmbr ),111
223,high - density lipoprotein cholesterol  mg / l,110
1171,high density lipoprotein cholesterol  mg / dl^,110
402,oral hypoglycemic drug,109
949,oral hypoglycemic agent,109
219,other oral hypoglycemic drug ( s ),109
1856,oral hypoglycemic drugs only,109
217,metabolic syndrome characteristics  n ( % ),108
856,metabolic syndrome ( > nmbr of nmbr characteristics ),108
1489,other glp - nmbr receptor agonist,107
215,glp - nmbr receptor agonist ( other than study drug ),107
737,antihypertensive medication or,106
214,antihypertensive  antianginal  and other cardiovascular medications,106
1587,antihypertensive drug  %,106
403,antihypertensive treatment,106
1513,laboratory values at randomization ( median and iqr ),105
208,laboratory values,105
1979,laboratory measures,105
1407,laboratory data  mean ( sd ),105
1503,laboratory data,105
206,standard ( n = nmbr ),104
1850,standard ( nmbr ),104
1815,standard care n ( % ),104
514,standard control ( n = nmbr ) no . of patients ( percent ),104
918,standard care ( n = nmbr ),104
205,no pah therapy,103
1774,pah classification,103
1013,smoking history  pack - years  mean ( sd ),102
204,smoking history ( ever ),102
1302,urgent cor revasc,101
200,urgent coronary revascularization,101
198,extent of disease  %,100
1388,extent of disease  n ( % ),100
196,czp nmbr mg ( n nmbr nmbr ),99
1150,czp nmbr mg  % ( n / n ),99
194,pre - bronchodilator fevnmbr / fvc ratio *,98
749,pre - bronchodilator fevnmbr ( % predicted normal ),98
563,any statin + other llt,97
1967,statin users ( n = nmbr ),97
1983,statin  n ( % ),97
809,statin potency stratum  n ( % ),97
481,statin + ezetimibe  n ( % ),97
1185,statin monotherapy,97
193,statin treatment,97
1530,no statin vs statin alone vs any statin plus other llt,97
783,statin ( open ),97
537,statin use at baseline,97
521,statin with niacin,97
1058,other statin,97
190,a mini - mental state examination  omega - nmbr fatty acids vs placebo,96
1521,mini - mental state examination,96
1811,a mini - mental state examination  insulin glargine vs standard care,96
189,risk reduction  %,95
594,risk reduction ( %  nmbr % ci ),95
1337,age at first seizure  years  mean ( sd ),94
269,age ( years ) [median ( nmbrth to nmbrth percentile ) ],94
633,age at randomization ( years ),94
336,age ( yrs ) < nmbr,94
1862,age  y sex  no . ( % ),94
971,age  mean years  [sd],94
722,age  yrs  median ( nmbrth  nmbrth ),94
1851,age  median ( interquartile range )  y,94
238,age [years] ( interaction : p = nmbr . nmbr ),94
1807,age nmbr + yrs,94
186,age ( years ) : nmbr - < nmbr,94
687,age at screening,94
1852,one or more copd exacerbations ( n / n [ % ] ),93
640,one or more blood pressure medications  n ( % ),93
181,one - third radius,93
178,ace inhibitor or arb at last follow - up,92
364,ace inhibitor monotherapy,92
1594,ace - inhibitor use,92
408,ace inhibitor or arb at enrollment,92
909,ace inhibitor at last follow - up,92
176,gfr ( mdrd ) ( ml / min / nmbr - nmbr mnmbr ),91
1838,gfr ( ml / min per nmbr . nmbr nr ),91
1027,pioglitazone pts / n ( % ),90
174,pioglitazone events / n ( % ),90
1465,initiation of dialysis  renal transplantation  or creatinine . nmbr . nmbr mg / dl ( nmbr mmol / l ),89
173,initiation of insulin,89
170,jsn score  mean nmbr sd,88
769,score distribution : < nmbr,88
