nct_id;mesh_broad_label;pmid
NCT00338260;Hypertension;10855729
NCT00338260;Hypertension;11137834
NCT00338260;Hypertension;11564388
NCT00338260;Hypertension;11835038
NCT00338260;Hypertension;11875307
NCT00338260;Hypertension;11877357
NCT00338260;Hypertension;12105163
NCT00338260;Hypertension;12486431
NCT00338260;Hypertension;14644892
NCT00338260;Hypertension;15057254
NCT00338260;Hypertension;15389245
NCT00338260;Hypertension;17453746
NCT00338260;Hypertension;17476291
NCT00338260;Hypertension;17664372
NCT00338260;Hypertension;17719333
NCT00338260;Hypertension;17893425
NCT00338260;Hypertension;18259029
NCT00338260;Hypertension;18327092
NCT00338260;Hypertension;19262226
NCT00338260;Hypertension;19303268
NCT00338260;Hypertension;19081416
NCT00338260;Hypertension;19369828
NCT00338260;Hypertension;29176391
NCT00338260;Hypertension;29151037
NCT00338260;Hypertension;26378687
NCT00338260;Hypertension;26089332
NCT00338260;Hypertension;26056336
NCT00338260;Hypertension;25340854
NCT00338260;Hypertension;24723582
NCT00338260;Hypertension;24379001
NCT00338260;Hypertension;23403268
NCT00338260;Hypertension;22753219
NCT00338260;Hypertension;22695506
NCT00338260;Hypertension;22243363
NCT00338260;Hypertension;21720264
NCT00338260;Hypertension;21358415
NCT00338260;Hypertension;21304095
NCT00338260;Hypertension;21239405
NCT00338260;Hypertension;20601389
NCT00338260;Hypertension;20589977
NCT00338260;Hypertension;20001655
NCT00338260;Hypertension;19332468
NCT00338260;Hypertension;29580174
NCT00338260;Hypertension;29474712
NCT00397631;Diabetes Mellitus, Type 2;21235696
NCT00397631;Diabetes Mellitus, Type 2;22405352
NCT00398931;Osteoporosis;10632308
NCT00398931;Osteoporosis;17190893
NCT00398931;Osteoporosis;8950879
NCT00398931;Osteoporosis;10695692
NCT00398931;Osteoporosis;11095442
NCT00398931;Osteoporosis;11943033
NCT00398931;Osteoporosis;15231011
NCT00398931;Osteoporosis;10714731
NCT00398931;Osteoporosis;9875874
NCT00398931;Osteoporosis;11069188
NCT00398931;Osteoporosis;15231012
NCT00398931;Osteoporosis;10574584
NCT00398931;Osteoporosis;10366118
NCT00398931;Osteoporosis;15883637
NCT00398931;Osteoporosis;11932287
NCT00398931;Osteoporosis;10733048
NCT00398931;Osteoporosis;15448985
NCT00398931;Osteoporosis;10994823
NCT00398931;Osteoporosis;15757015
NCT00398931;Osteoporosis;20200926
NCT00398931;Osteoporosis;24798675
NCT00425997;Hypertension;21974760
NCT00434967;Hypertension;NA
NCT00462748;Hyperlipidemias;20487050
NCT00468546;Arthritis;22127691
NCT00468546;Arthritis;18512710
NCT00488267;Arthritis;NA
NCT00500604;Hypertension;NA
NCT00523991;Lung Diseases, Obstructive;24841833
NCT00542724;Diabetes Mellitus, Type 1;NA
NCT00547300;Hypertension;NA
NCT00549757;Diabetes Mellitus, Type 2;26774608
NCT00549757;Diabetes Mellitus, Type 2;23121378
NCT00549757;Diabetes Mellitus, Type 2;19727007
NCT00550953;Hypertension;NA
NCT00614120;Diabetes Mellitus, Type 2;NA
NCT00625547;Restless Legs Syndrome;NA
NCT00652106;Ocular Hypertension;NA
NCT00666718;Diabetes Mellitus, Type 2;NA
NCT00694382;Embolism and Thrombosis;22335737
NCT00714597;Embolism and Thrombosis;NA
NCT00716547;Arthritis;23542612
NCT00717236;Arthritis;26614481
NCT00717236;Arthritis;26568428
NCT00717236;Arthritis;22923753
NCT00771394;Prostatic Hyperplasia;NA
NCT00806026;Restless Legs Syndrome;24521108
NCT00856622;Ocular Hypertension;NA
NCT00863304;Arthritis;25274899
NCT00863304;Arthritis;30936738
NCT00911534;Esophageal Diseases;NA
NCT00923091;Hypertension;25879524
NCT00923091;Hypertension;24760656
NCT00923091;Hypertension;22909147
NCT00957047;Epilepsy;NA
NCT00968708;Myocardial Ischemia, acute;29848776
NCT00968708;Myocardial Ischemia, acute;29064626
NCT00968708;Myocardial Ischemia, acute;28275958
NCT00968708;Myocardial Ischemia, acute;28246236
NCT00968708;Myocardial Ischemia, acute;27289121
NCT00968708;Myocardial Ischemia, acute;25765696
NCT00968708;Myocardial Ischemia, acute;23992602
NCT00968708;Myocardial Ischemia, acute;21982652
NCT00968708;Diabetes Mellitus, Type 2;29848776
NCT00968708;Diabetes Mellitus, Type 2;29064626
NCT00968708;Diabetes Mellitus, Type 2;28275958
NCT00968708;Diabetes Mellitus, Type 2;28246236
NCT00968708;Diabetes Mellitus, Type 2;27289121
NCT00968708;Diabetes Mellitus, Type 2;25765696
NCT00968708;Diabetes Mellitus, Type 2;23992602
NCT00968708;Diabetes Mellitus, Type 2;21982652
NCT00973479;Arthritis;28494788
NCT00973479;Arthritis;25623393
NCT00973479;Arthritis;24786931
NCT00973479;Arthritis;24001888
NCT01034137;Arthritis;29095992
NCT01034137;Arthritis;29029185
NCT01034137;Arthritis;28728565
NCT01034137;Arthritis;27287832
NCT01034137;Arthritis;30322408
NCT01034137;Arthritis;29760159
NCT01045447;Diabetes Mellitus, Type 2;NA
NCT01053988;Lung Diseases, Obstructive;23352226
NCT01053988;Lung Diseases, Obstructive;24314123
NCT01059773;Psoriasis;NA
NCT01070784;Lung Diseases, Obstructive;NA
NCT01094457;Myocardial Ischemia, acute;NA
NCT01134042;Lung Diseases, Obstructive;27881132
NCT01134042;Lung Diseases, Obstructive;26704701
NCT01134042;Lung Diseases, Obstructive;24136330
NCT01147848;Lung Diseases, Obstructive;NA
NCT01206972;Embolism and Thrombosis;NA
NCT01218100;Hypertension;NA
NCT01257451;Diabetes Mellitus, Type 2;23706759
NCT01346865;Myocardial Ischemia;NA
NCT01350804;Arthritis;28217871
NCT01358175;Arthritis;28544533
NCT01358175;Arthritis;27965257
NCT01358175;Arthritis;27390130
NCT01358175;Arthritis;26699169
NCT01358175;Arthritis;30564451
NCT01368081;Diabetes Mellitus, Type 2;28753486
NCT01368081;Diabetes Mellitus, Type 2;25772548
NCT01371994;Urinary Incontinence;NA
NCT01396395;Myocardial Ischemia, chronic;27657471
NCT01422434;Psoriasis;NA
NCT01437995;Lung Diseases, Obstructive;29863899
NCT01455129;Lung Diseases, Obstructive;28877027
NCT01455129;Lung Diseases, Obstructive;24549160
NCT01493557;Arrhythmias, Cardiac;NA
NCT01541943;Hypertension;NA
NCT01627327;Lung Diseases, Obstructive;NA
NCT01638000;Urinary Bladder, Overactive;NA
NCT01644175;Hyperlipidemias;25240705
NCT01644175;Hyperlipidemias;26027630
NCT01644175;Hyperlipidemias;27777279
NCT01644175;Hyperlipidemias;30183102
NCT01694771;Lung Diseases, Obstructive;25342898
NCT01707134;Diabetes Mellitus, Type 1;16054266
NCT01885208;Diabetes Mellitus, Type 2;NA
NCT01917656;Diabetes Mellitus, Type 2;NA
NCT01970488;Psoriasis;28755394
NCT01989754;Diabetes Mellitus, Type 2;29133604
NCT01989754;Diabetes Mellitus, Type 2;28605608
NCT01989754;Diabetes Mellitus, Type 2;30591006
NCT01989754;Diabetes Mellitus, Type 2;29941478
NCT01989754;Diabetes Mellitus, Type 2;29937267
NCT01989754;Diabetes Mellitus, Type 2;29526832
NCT02098395;Diabetes Mellitus, Type 1;27493132
NCT02098395;Diabetes Mellitus, Type 1;27493232
NCT02240680;Diabetes Mellitus, Type 2;NA
NCT02343458;Lung Diseases, Obstructive;NA
NCT02390375;Hyperlipidemias;NA
NCT02467452;Lung Diseases, Obstructive;NA
NCT02471404;Diabetes Mellitus, Type 2;29947099
NCT02546323;Atherosclerosis;NA
NCT02648204;Diabetes Mellitus, Type 2;NA
NCT02739984;Hyperlipidemias;30953107
NCT02863328;Diabetes Mellitus, Type 2;NA
NCT03015220;Diabetes Mellitus, Type 2;NA
NCT00007683;Heart Failure;NA
NCT00047424;Hypertension;21788602
NCT00047424;Hypertension;19095139
NCT00047424;Hypertension;18398080
NCT00047424;Diabetes Mellitus;21788602
NCT00047424;Diabetes Mellitus;19095139
NCT00047424;Diabetes Mellitus;18398080
NCT00047424;Atherosclerosis;21788602
NCT00047424;Atherosclerosis;19095139
NCT00047424;Atherosclerosis;18398080
NCT00048425;Heart Failure;24621834
NCT00048568;Arthritis;16785475
NCT00048568;Arthritis;24786925
NCT00048568;Arthritis;18383390
NCT00062556;Intermittent Claudication;20212073
NCT00069784;Diabetes Mellitus, Type 2;18082485
NCT00069784;Diabetes Mellitus, Type 2;20546261
NCT00069784;Diabetes Mellitus, Type 2;21631894
NCT00069784;Diabetes Mellitus, Type 2;22323416
NCT00069784;Diabetes Mellitus, Type 2;22686416
NCT00069784;Diabetes Mellitus, Type 2;22686415
NCT00069784;Diabetes Mellitus, Type 2;28403644
NCT00069784;Diabetes Mellitus, Type 2;27974345
NCT00069784;Diabetes Mellitus, Type 2;26681720
NCT00069784;Diabetes Mellitus, Type 2;26518765
NCT00069784;Diabetes Mellitus, Type 2;24898834
NCT00069784;Diabetes Mellitus, Type 2;24771090
NCT00069784;Diabetes Mellitus, Type 2;24768457
NCT00069784;Diabetes Mellitus, Type 2;24684774
NCT00069784;Diabetes Mellitus, Type 2;24574355
NCT00069784;Diabetes Mellitus, Type 2;23999452
NCT00069784;Diabetes Mellitus, Type 2;23656980
NCT00069784;Diabetes Mellitus, Type 2;23564916
NCT00069784;Diabetes Mellitus, Type 2;30425095
NCT00069784;Diabetes Mellitus, Type 2;30337280
NCT00069784;Diabetes Mellitus, Type 2;30262460
NCT00069784;Diabetes Mellitus, Type 2;30203580
NCT00069784;Diabetes Mellitus, Type 2;30012324
NCT00069784;Diabetes Mellitus, Type 2;28895655
NCT00069784;Diabetes Mellitus, Type 2;28842165
NCT00069784;Diabetes Mellitus, Type 2;28837885
NCT00069784;Diabetes Mellitus, Type 2;28368516
NCT00082381;Diabetes Mellitus, Type 2;16230722
NCT00082381;Diabetes Mellitus, Type 2;22913891
NCT00082381;Diabetes Mellitus, Type 2;22236356
NCT00092157;Hyperlipidemias;15695129
NCT00092157;Hyperlipidemias;19660610
NCT00094302;Heart Failure;22137068
NCT00094302;Heart Failure;23258572
NCT00094302;Heart Failure;24249049
NCT00094302;Heart Failure;24716680
NCT00094302;Heart Failure;25122186
NCT00094302;Heart Failure;25406305
NCT00094302;Heart Failure;30871349
NCT00094302;Heart Failure;30819379
NCT00094302;Heart Failure;30571192
NCT00094302;Heart Failure;30571191
NCT00094302;Heart Failure;30140899
NCT00094302;Heart Failure;30007557
NCT00094302;Heart Failure;29664406
NCT00094302;Heart Failure;29501806
NCT00094302;Heart Failure;29228101
NCT00094302;Heart Failure;29148144
NCT00094302;Heart Failure;29094152
NCT00094302;Heart Failure;28637881
NCT00094302;Heart Failure;28359411
NCT00094302;Heart Failure;28322009
NCT00094302;Heart Failure;27056882
NCT00094302;Heart Failure;27039126
NCT00094302;Heart Failure;26962133
NCT00094302;Heart Failure;26475142
NCT00094302;Heart Failure;26374849
NCT00094302;Heart Failure;26130119
NCT00094302;Heart Failure;25782985
NCT00094302;Heart Failure;25648577
NCT00094302;Heart Failure;19850207
NCT00095238;Heart Failure;19001508
NCT00095238;Heart Failure;20231531
NCT00095238;Heart Failure;18279770
NCT00095238;Heart Failure;16230259
NCT00095238;Heart Failure;20142024
NCT00095238;Heart Failure;28052977
NCT00095238;Heart Failure;27317843
NCT00095238;Heart Failure;26067854
NCT00095238;Heart Failure;25225241
NCT00095238;Heart Failure;24864045
NCT00095238;Heart Failure;22887722
NCT00095238;Heart Failure;22267751
NCT00095238;Heart Failure;22064591
NCT00095238;Heart Failure;21750125
NCT00095238;Heart Failure;21715583
NCT00095238;Heart Failure;21068341
NCT00095238;Heart Failure;30871349
NCT00099216;Dementia;18674411
NCT00102765;Lung Diseases, Obstructive;18462564
NCT00102765;Lung Diseases, Obstructive;23706709
NCT00102765;Lung Diseases, Obstructive;20429821
NCT00106132;Embolism and Thrombosis;6540993
NCT00106132;Embolism and Thrombosis;10048366
NCT00106132;Embolism and Thrombosis;7688950
NCT00123903;Heart Failure;NA
NCT00130039;Atherosclerosis;NA
NCT00130039;Stroke;NA
NCT00134147;Diabetes Mellitus;NA
NCT00134979;Lung Diseases, Obstructive;18804362
NCT00145301;Arthritis;18328090
NCT00153023;Hypertension;NA
NCT00153023;Diabetic Nephropathies;NA
NCT00154219;Arthritis;21607551
NCT00163319;Lung Diseases, Obstructive;NA
NCT00185133;Hypertension;NA
NCT00185159;Diabetes Mellitus, Type 2;29035939
NCT00185159;Diabetes Mellitus, Type 2;24772521
NCT00185159;Diabetes Mellitus, Type 2;22418908
NCT00185159;Diabetes Mellitus, Type 2;21388309
NCT00185159;Diabetes Mellitus, Type 2;21150933
NCT00185159;Diabetes Mellitus, Type 2;19876613
NCT00203580;Embolism and Thrombosis;8594426
NCT00203580;Embolism and Thrombosis;8594425
NCT00203580;Embolism and Thrombosis;1929681
NCT00203580;Embolism and Thrombosis;7168798
NCT00203580;Embolism and Thrombosis;8594426
NCT00203580;Embolism and Thrombosis;8594425
NCT00203580;Embolism and Thrombosis;1929681
NCT00203580;Embolism and Thrombosis;7168798
NCT00219154;Hypertension;19139391
NCT00239408;Lung Diseases, Obstructive;NA
NCT00242606;Epilepsy;NA
NCT00250445;Arthritis;17113426
NCT00250445;Arthritis;17292766
NCT00250445;Arthritis;19380329
NCT00250445;Arthritis;18823986
NCT00250445;Arthritis;19174782
NCT00250445;Arthritis;19223284
NCT00250445;Arthritis;19516186
NCT00250445;Arthritis;17113426
NCT00250445;Arthritis;17292766
NCT00250445;Arthritis;19380329
NCT00250445;Arthritis;18823986
NCT00250445;Arthritis;19174782
NCT00250445;Arthritis;19223284
NCT00250445;Arthritis;19516186
NCT00264901;Diabetes Mellitus, Type 2;17924873
NCT00264901;Diabetes Mellitus, Type 2;18021495
NCT00264901;Diabetes Mellitus, Type 2;26833348
NCT00267969;Psoriasis;30739254
NCT00267969;Psoriasis;18486739
NCT00268697;Hyperlipidemias;21518985
NCT00286442;Diabetes Mellitus;19793357
NCT00286442;Diabetes Mellitus;19125992
NCT00286455;Diabetes Mellitus;18809631
NCT00286455;Diabetes Mellitus;19793357
NCT00290030;Prostatic Hyperplasia;NA
NCT00296218;Hypertension;19700470
NCT00312013;Embolism and Thrombosis;21502549
NCT00329225;Diabetes Mellitus, Type 2;99999999
NCT00331149;Parkinson Disease;NA
NCT00333112;Urinary Incontinence;19837435
NCT00350168;Hypertension;20409909
NCT00354458;Heart Failure;28069685
NCT00354458;Heart Failure;27658757
NCT00354458;Heart Failure;27507112
NCT00354458;Heart Failure;27448534
NCT00354458;Heart Failure;27266853
NCT00354458;Heart Failure;24281137
NCT00354458;Heart Failure;24281134
NCT00354458;Heart Failure;22339573
NCT00354458;Heart Failure;21900185
NCT00354458;Heart Failure;21545947
NCT00354458;Heart Failure;20925544
NCT00354458;Heart Failure;18926433
NCT00354458;Heart Failure;29748350
NCT00355667;Heart Failure;NA
NCT00361335;Arthritis;28606966
NCT00361335;Arthritis;24757132
NCT00361335;Arthritis;22776409
NCT00361335;Arthritis;22089463
NCT00361335;Arthritis;20131276
NCT00379067;Prostatic Hyperplasia;NA
NCT00383552;Lung Diseases, Obstructive;21828036
NCT00385593;Lung Diseases, Obstructive;NA
NCT00385736;Inflammatory Bowel Diseases;29380251
NCT00385736;Inflammatory Bowel Diseases;24067881
NCT00385736;Inflammatory Bowel Diseases;23665965
NCT00385736;Inflammatory Bowel Diseases;21209123
NCT00390728;Diabetes Mellitus, Type 1;NA
NCT00392002;Esophageal Diseases;23432146
NCT00398606;Osteoporosis;17594775
NCT00408512;Hypertension;NA
NCT00439725;Embolism and Thrombosis;22371186
NCT00439725;Embolism and Thrombosis;21128814
NCT00439725;Embolism and Thrombosis;27262225
NCT00439725;Embolism and Thrombosis;25698905
NCT00440193;Embolism and Thrombosis;NA
NCT00449605;Diabetes Mellitus, Type 2;NA
NCT00463567;Lung Diseases, Obstructive;22206353
NCT00463567;Lung Diseases, Obstructive;22158330
NCT00463567;Lung Diseases, Obstructive;21397482
NCT00463567;Lung Diseases, Obstructive;21227674
NCT00463567;Lung Diseases, Obstructive;20463178
NCT00472199;Restless Legs Syndrome;NA
NCT00487240;Diabetes Mellitus, Type 1;NA
NCT00504881;Epilepsy;24116853
NCT00513630;Myocardial Ischemia;NA
NCT00519142;Diabetes Mellitus, Type 2;NA
NCT00558064;Hypertension;NA
NCT00563381;Lung Diseases, Obstructive;26100349
NCT00563381;Lung Diseases, Obstructive;24461901
NCT00563381;Lung Diseases, Obstructive;24168767
NCT00563381;Lung Diseases, Obstructive;23188489
NCT00563381;Lung Diseases, Obstructive;21428765
NCT00563381;Lung Diseases, Obstructive;19436693
NCT00624286;Lung Diseases, Obstructive;22206353
NCT00624286;Lung Diseases, Obstructive;22003288
NCT00624286;Lung Diseases, Obstructive;20211002
NCT00630929;Arthritis;28222627
NCT00634114;Esophageal Diseases;NA
NCT00665431;Arthritis;26313454
NCT00665431;Arthritis;21524238
NCT00688688;Urinary Bladder, Overactive;NA
NCT00696384;Hypertension;25619410
NCT00700856;Diabetes Mellitus, Type 2;NA
NCT00755287;Diabetes Mellitus, Type 2;22937895
NCT00760266;Hypertension;21659626
NCT00763815;Diabetes Mellitus, Type 2;23627775
NCT00781391;Embolism and Thrombosis;NA
NCT00781391;Arrhythmias, Cardiac;NA
NCT00781391;Stroke;NA
NCT00783263;Hyperlipidemias;21596364
NCT00793624;Lung Diseases, Obstructive;30077810
NCT00793624;Lung Diseases, Obstructive;25045258
NCT00798161;Diabetes Mellitus, Type 2;NA
NCT00801944;Urinary Bladder, Overactive;18990175
NCT00860262;Hypertension;NA
NCT00891462;Lung Diseases, Obstructive;28074135
NCT00891462;Lung Diseases, Obstructive;22320148
NCT00902304;Hypertension;NA
NCT00927394;Hypertension;23339726
NCT00971165;Hypertension;21349192
NCT00971165;Hypertension;26938814
NCT01066676;Arthritis;NA
NCT01072448;Lung Diseases, Obstructive;23020650
NCT01072448;Lung Diseases, Obstructive;22177371
NCT01075698;Hypertension;26324672
NCT01130025;Embolism and Thrombosis;NA
NCT01191268;Diabetes Mellitus, Type 2;27161178
NCT01191268;Diabetes Mellitus, Type 2;29430801
NCT01191268;Diabetes Mellitus, Type 2;26691396
NCT01191268;Diabetes Mellitus, Type 2;26009229
NCT01281787;Arrhythmias, Cardiac;NA
NCT01289119;Diabetes Mellitus, Type 2;NA
NCT01316380;Lung Diseases, Obstructive;26563670
NCT01316887;Lung Diseases, Obstructive;NA
NCT01364220;Stroke;NA
NCT01381900;Diabetes Mellitus, Type 2;NA
NCT01444430;Lung Diseases, Obstructive;27579635
NCT01445951;Diabetes Mellitus, Type 1;NA
NCT01472185;Diabetes Mellitus, Type 2;26049552
NCT01475721;Lung Diseases, Obstructive;26949137
NCT01475825;Hyperlipidemias;26946290
NCT01477983;Arrhythmias, Cardiac;NA
NCT01494532;Parkinson Disease;NA
NCT01543555;Myocardial Ischemia, acute;18479744
NCT01543555;Myocardial Ischemia, acute;17088313
NCT01543555;Myocardial Ischemia, acute;15111846
NCT01543555;Myocardial Ischemia, acute;19474688
NCT01543555;Myocardial Ischemia, acute;19726772
NCT01543555;Myocardial Ischemia, acute;21464051
NCT01558271;Diabetes Mellitus, Type 2;NA
NCT01583218;Embolism and Thrombosis;NA
NCT01604343;Arthritis;28855173
NCT01706328;Lung Diseases, Obstructive;NA
NCT01709305;Diabetes Mellitus, Type 2;NA
NCT01729754;Psoriasis;28596043
NCT01729754;Psoriasis;30915660
NCT01836523;Diabetes Mellitus, Type 1;27506222
NCT01866163;Psoriasis;NA
