cluster,concept,cuis
750,time of qualifying ecg to balloon inflation ( hrs ),C0040223;C1514624;C1623258;C3541383
749,argentina,C0003761;C1504311
748,antihypertensive treatment,C0003364;C0039798;C0087111;C1522326;C1533734;C1705169;C3538994;C3887704
747,baseline ics use  n ( % ),C0168634;C0815320;C1442488;C4551720
746,triple therapy use at screening  n ( % ),C0039798;C0042153;C0087111;C0457083;C1363945;C1947944;C2121434
745,treatment with candesartan,C0039798;C0087111;C0717550;C1522326;C1533734;C1705169;C3538994;C3887704
744,statin with niacin,C0027996;C0360714;C1142562
743,bmi ( kg / mnmbr ) cardiac parameters,C0018787;C0022718;C0439209;C0449381;C0578022;C1522601;C4054209
742,previous copd treatment  n ( % ) *,C0024117;C0039798;C0087111;C0205156;C1412502;C1522326;C1533734;C1552607;C1705169;C3538994;C3714496;C3887704
741,placebo plus aspirin,C0004057;C0032042;C0332287;C1696465;C1706408
740,icd therapy vs . placebo no . hazard ratio ( nmbr . nmbr % cl ),C0021122;C0039798;C0087111;C1363945
739,insulin ( pmol / l ) t vital signs,C0021641;C0150404;C0439284;C0518766;C1533581;C1579433;C3714501
738,antihyperglycemic oral agent therapy,C0020616;C0039798;C0087111;C0442027;C0450442;C1254351;C1363945;C1521826;C4521986
737,peak procedural act — sec,C0025664;C0184661;C0444505;C2700391;C3274430;C3538935;C3539779
736,history of bone disease ( predefined )  n ( % ),C0005940;C0019664;C0019665;C0262512;C0262926;C0262950;C0683519;C0730226;C0850708;C0944983;C1705255;C2004062
735,baseline disease and quality - of - life scores,C0012634;C0168634;C1442488
734,sex : male ( n = nmbr ),C0053917;C0086582;C1334884
733,concurrent treatment of crohn ' s disease at study entry — no . of patients ( % ) ff,C0010346;C0039798;C0087111;C0205420;C1522326;C1533734;C1705169;C3538994;C3887704
732,metabolic syndrome ( > nmbr of nmbr characteristics ),C0053917;C0524620;C1334884;C1521970
731,vascular intervention,C0005847;C0184661;C0886296;C1273869;C1558950;C1801960
730,ranolazine ( n = nmbr  nmbr ),C0053917;C0073633;C1334884
729,randomized to aspirin use,C0004057;C0034656;C0042153;C0457083;C1947944;C3815594
728,hypertension ( n 二 nmbr ),C0020538;C0053917;C1334884;C1963138
727,patent foramen ovale,C0016522;C0344724
726,randomization to placebo or telmisartan,C0032042;C0034656;C1696465;C1706408
725,baseline heart rate,C0018810;C0168634;C1442488
724,physician ' s judgment that vka,C0022423;C0031831;C0804815
723,diastolic blood pressure ( mm hg ) medications,C0013227;C0428883;C0439475;C0802604;C1305849;C2598133;C4284232
722,receiving insulin therapy,C0021641;C0039798;C0087111;C1363945;C1514756;C1533581;C1579433;C3714501
721,baseline systolic bp,C0168634;C0871470;C1442488
720,week nmbr ( geometric mean  cv ),C0053917;C0332174;C0439230;C1334884;C2986759;C3538987;C4048877;C4318503
719,stool frequency subscore,C0015733;C0183622;C0376249;C0439603;C0871396;C1561548;C1705502;C3898838;C4321352
718,baseline ezetimibe usec,C0168634;C0439224;C1142985;C1442488
717,baseline bmi nmbr to < nmbr kg / mnmbr  n = nmbr,C0022718;C0053917;C0168634;C0439209;C0578022;C1334884;C1442488;C4054209
716,use nmbr - asa compounds,C0004057;C0042153;C0053917;C0205198;C0457083;C1334884;C1706082;C1947944;C3853627
715,management of event — no . ( % ),C0001554;C0376636;C0441471;C1273870;C3273539;C4019010
714,tiotropium nmbr gg qd,C0017454;C0018370;C0053917;C0213771;C0332173;C1334884
713,cvd risk factors ( age > nmbr ),C0001779;C0001783;C0007222;C0035647;C0035648;C0053917;C1334884;C1553898;C4552904
712,dihydropyridine,C0012315;C0220821
711,a mini - mental state examination  omega - nmbr fatty acids vs placebo,C0015684;C0053917;C0451306;C1334884;C1719844
710,puerperium,C0034042;C0086839;C1879329
709,gender ( % ) male / female,C0043210;C0079399;C0086287;C0086582;C1522384;C1705497;C1705498;C1706180;C1706428;C1706429
708,severity of copd  ( gold nmbr )  %,C0018026;C0024117;C0053917;C0439793;C0522510;C1304897;C1334884;C1412502;C3714496
707,previous hf hospitalization  n ( % ),C0018488;C0019993;C0205156;C1313497;C1538440;C1552607;C3273279
706,chf history,C0018802;C0019664;C0019665;C0262512;C0262926;C1705255;C2004062
705,mepolizumab  nmbr mg ( n = nmbr ),C0024671;C0026410;C0053917;C0439269;C0969324;C1334884;C1960952;C2346927;C4321396;C4521761
704,ls mean difference ± seb,C0023668;C0059386;C0444504;C1309881;C1423585;C1705241;C1705242;C2347634;C2348143;C3815268
703,heart failure criteria met,C0018801;C0018802;C0243161;C4554158
702,blood pressure,C0005823;C1271104;C1272641
701,baseline pulmonary medication  n ( % ),C0013227;C0024109;C0168634;C1442488;C2707265;C2709248;C3244316;C4284232;C4522268
700,previous treatment with tnf antagonist — no . ( % ) §,C0039798;C0087111;C0205156;C0231491;C1448177;C1522326;C1533734;C1552607;C1705169;C3538994;C3887704
699,statin treatment,C0039798;C0087111;C0360714;C1522326;C1533734;C1705169;C3538994;C3887704
698,treatment at randomization — no . ( % ),C0034656;C0039798;C0087111;C1522326;C1533734;C1705169;C3538994;C3887704
697,glp - nmbr receptor agonist ( other than study drug ),C0013175;C0018301;C0053917;C1334884;C1422069;C1425391;C1539338;C2350813;C4543206
696,statin use at baseline,C0042153;C0168634;C0360714;C0457083;C1442488;C1947944
695,formoterol nmbr gg bid,C0017454;C0018370;C0053917;C0060657;C1334884
694,lv mass index ( g / mnmbr - nmbr ),C0053917;C0439267;C0455825;C0600653;C0918012;C1334884;C1552854;C1637833;C2986546
693,week nmbr ( itt population ),C0032659;C0053917;C0332174;C0439230;C1257890;C1334884
692,rec . ischemia leading to hasp,C0022116;C1424025;C2606415;C4321499
691,individuals with diabetes  n = nmbr,C0011847;C0011849;C0027361;C0053917;C0237401;C1334884
690,median fasting insulin ( iqr ) — pu per milliliter,C0015663;C0018387;C0021641;C0439242;C0549183;C0876920;C1533581;C1579433;C2347635;C2348144;C2939193;C3714501
689,short - acting anticholinergics,C0079613;C0242896;C1282927;C1704930;C1806781;C1869853;C2350002;C3537307;C3540711;C3890007;C4048375
688,ls mean % change from baseline _ se,C0023668;C0036919;C0168634;C0392747;C0443172;C0444504;C1442488;C1705241;C2347634;C2348143;C4319952
687,blood leukocyte count ( nmbr cells per l ),C0023508;C0023516;C0053917;C0347983;C0427512;C1334884
686,gender  % of patients,C0030705;C0079399;C1522384
685,weight $ nmbr . nmbr kg  < nmbr . nmbr kg  n,C0005910;C0043100;C0053917;C1305866;C1319635;C1334884;C1705104
684,psoriasis body surface area > nmbr %,C0005902;C0033860;C0053917;C1334884
683,number of ( % ) females,C0086287;C0237753;C0449788
682,abdominal or perianal fistula at baseline  n ( % ),C0000726
681,first mace,C0205435;C0349381;C0949745;C1279901;C1445339
680,bnp  median ( iqr )  pg / ml,C0054015;C0439297;C0549183;C0876920;C1095989;C1417808;C2347635;C2348144;C2939193;C2982014
679,implantable cardioverter - defibrillator,C0162589;C2825184
678,dyspnoea - mmrc grade  n ( % ),C0013404;C0441800;C0919553;C1963100;C3244287;C3826977
677,etoricoxib dose,C0178602;C0869039;C0972314;C1114758
676,ancestry ( % ) f,C0016327
675,sacubitril / valsartan,C4033631
674,paracetamol,C0000970
673,draining cutaneous fistula at baseline  n ( % ),C0013103;C0180499;C4265177
672,cigarette users,C0677453;C1704760;C1706077;C3890423
671,blood urea nitrogen ( mg / dl ),C0005845;C0439269;C0600137
670,one - third radius,C0034627;C0205437;C0205447;C1306504
669,bursitis,C0006444
668,digital clubbing  n ( % ),C0009080;C0149651
667,risk reduction  %,C1137094
666,microvascular eye diseased,C0015392;C0443258;C0700042
665,primary renal endpoint or death,C0022646;C2986535
664,death from any cause,C0007465
663,dipyridamole,C0012582
662,aldosterone blocker  %,C0002006
661,headache,C0018681;C4553197
660,indacaterol nmbr gg qd,C0017454;C0018370;C0053917;C0332173;C1334884;C1722260
659,canakinumab,C2718773
658,steroids § §,C0038317
657,anti - ccp antibody positive,C0741132;C4318437
656,intravenous dobutamine,C0012963;C0348016
655,primary prevention subgroup,C0033144;C1079230;C1515021
654,medication adherence,C2364172
653,time from randomization to pci ( st - elevation mi )  min,C0034656;C0040223;C3541383
652,odds ratio adj ( nmbr % cl ),C0001552;C0028873;C0053917;C0596019;C1334884;C2826286
651,pulmonary function tests  % of predicted,C0024119;C0681842;C1882327;C2598152
650,rheumatic heart disease,C0035439
649,coronary angiography and intervention,C0085532;C1548829
648,oxidative stress,C0242606
647,other antiarrhythmics^,C0003195
646,erythrocyte sedimentation rate — mm / hr | |,C1176468;C1619634;C4330985;C4554674
645,concomitant mtx use  n ( % ),C0025677;C0042153;C0457083;C0521115;C1417487;C1947944
644,nonaspirin antiplatelet agent,C0085826;C0722138
643,neuropilin ( ng / ml ),C0287275;C0439275
642,ff / vi nmbr / nmbr pg od,C0030827;C0053917;C0072225;C0205999;C0229089;C0439164;C1266240;C1334884;C1512019;C3273373;C3665488;C4554348
641,sex ( interaction : p = nmbr . nmbr ),C0009253;C0036864;C0053917;C0079399;C0804628;C1314687;C1334884;C1522384;C1704675
640,renin - angiotensin inhibitors,C0003018;C2917241;C3653375;C4521302
639,hospitalized for asthma  n ( % ) *,C0004096;C0701159;C2984299
638,mycophenolate mofetil,C0209368
637,ct or mr scan of the brain *,C0007673;C3540513;C3813556;C3888140
636,pulmonary disease,C0024115
635,cardiac resynchronization therapy,C1167956
634,investigator - reported hypoglycaemia *,C0035173
633,ratio of women to men — %,C0043210;C0456603;C1547037
632,ii - iv ( % ),C0022326;C1710602;C4082587;C4265176
631,femoral neck,C0015815
630,other asian,C0078988
629,antithrombotic / coagulant,C0009117
628,anti - inflammatory drugs,C0003209
627,phenytoin,C0031507;C0202454
626,cardiac history  %,C0018787;C0019664;C0019665;C0262512;C0262926;C1522601;C1705255;C2004062
625,coumadin,C0699129
624,pef  post - bronchodilator  % predicted normal,C0030771;C1518922;C1542834
623,level of renal impairment,C0441889;C0456079;C1547707;C1565489;C2946261
622,hydralazine,C0020223
621,use of hormone replacement therapy ( a ),C0282402;C1524063
620,gemfibrozil,C0017245
619,antimalarials only,C0003374;C0205171;C1720467
618,nasal polyps,C0027430
617,disease - progression composite outcome !,C0205199;C0242656;C0449258;C0679250;C1274040;C1335499;C1547335;C1947900;C3542417;C4552808
616,diarrhea,C0011991;C1963091;C3641756;C4084784;C4084802;C4085317
615,uric acid ( mg / dl ),C0041980;C0439269
614,theophylline compound,C0039771;C0205198;C1706082
613,heterogeneity / trend test,C0019409;C0022885;C0039593;C0242960;C0392366;C0456984;C1515976;C1521798;C3831328;C4318744;C4554533
612,hispanic / latin american,C0019576
611,> nmbr % stenosis of coronary  carotid  or lower extremity arteries,C0007282;C0018787;C0053917;C0242231;C0741968;C1334884
610,partial mayo clinic scored,C0002424;C0442592;C0454788;C0728938;C1077578;C1550516
609,cangrelor  %,C1121991
608,losmapimod,C3272847
607,russia / georgia ( n = nmbr ),C0017452;C0017454;C0035970;C0053917;C1334884
606,left ventricular ef  mean ( sd )  %,C0225897;C0444504;C2347634;C2348143;C2699239
605,lumbar spine,C0024091;C3887615
604,zotarolimus - eluting,C1700035
603,number of concomitant aeds  n ( % ),C0180309;C0237753;C0449788;C0521115
602,prasugrel,C1620287
601,first - generation stentt,C0079411;C0205435;C1279901;C3146294
600,no prior hf hospitalization ( n = nmbr  nmbr ),C0018488;C0019993;C0053917;C0332152;C1313497;C1334884;C1538440;C2826257;C3273279
599,atrial flutter,C0004239;C0344423;C1963068
598,parental history of myocardial infarction before nmbr yr of age ( % ),C0030551;C1275835
597,baseline heart failure severity nyha class i,C0018801;C0018802;C0168634;C0439793;C0522510;C1442488;C1882084;C4554158
596,peak creatine kinase - mb  u / l,C0010290;C0439339;C0444505;C0523584
595,notable abnormalities,C0000768;C0000769;C4288581
594,leisure,C0086542
593,standard therapy,C2936643
592,smoking habit  n ( % ),C4505437
591,non - sulfonylurea secretagogues,C0038766;C1518422;C3536898;C4704833
590,fish oil,C0016157
589,blood eosinophils count,C0014467
588,sfnmbr - pcs,C1864389;C1882368
587,classification of af  no . ( % ),C0008902;C0008903;C0344434;C0678229;C4049859
586,family history of venous thromboembolism ( % ),C0015576;C0042449;C0241889;C0348013;C0455533;C1704727;C1997614
585,philippines,C0031529
584,lower - limb arterial — no . ( % ),C0023216
583,low - molecular - weight,C0026385;C0041667;C0205251;C1521991;C1550472;C3890211;C4048187;C4321351;C4522223
582,tolal choleslerol - lo - hdl choleslerol ralio,C0206579;C1232424;C3715113
581,gallbladder - related aes,C0016976;C0439849;C0445223;C1412268;C2699274
580,vitamin e,C0042874;C3714803
579,least square mean ( se ),C0023189;C0036919;C0444504;C2347634;C2348143
578,muscle spasms,C0037763
577,mucolytic agent,C0026698
576,carotid stenosis,C0007282
575,angiotensin receptor blocker and / or ace,C0034787;C1622222
574,left bundle - branch block,C0023211;C0344420;C2828132
573,pancreatic cancer,C0235974;C0346647;C2984259
572,free fatty acids ( mmol / l ),C0015688;C1532563
571,smoking status at screening  n ( % ),C0037369;C0220908;C0220909;C0421330;C0453996;C1519386;C1698960;C1710031;C1710032;C1710477;C1881674;C2348164
570,community hospital ( % ),C0020003
569,joint damage outcomes ( mitt population ),C0010957;C0022417;C0032659;C0392905;C1257890;C1274040;C1706309;C1883709
568,mean platelet volume  fl,C0200665;C0344388;C1300812;C1708024
567,aspirin group ( n = nmbr nmbr ) ( nmbr nmbr person years ),C0004057;C0027361;C0053917;C0439234;C0441848;C1334884;C2347489
566,mixed chronic bronchitis and emphysema,C0008677;C0205430;C3160715
565,epa / aa ratio,C0282379;C0456603;C1235746;C1547037;C1882141;C4554792
564,metformin dose  mg,C0024671;C0025598;C0026410;C0178602;C0439269;C0869039;C1114758;C1960952;C2346927;C4321396;C4521761
563,vomiting,C0042963;C1963281;C3898969;C4084766;C4084767;C4084768;C4084769
562,thoracic cage fractures,C0222762
561,western european includinq australia  israel  and south africa,C0004340;C0022271;C0043128;C0239307;C0239312;C1535514
560,health - related quality of life,C4279947
559,ischemic aetiology  n ( % ),C0015127;C0475224;C1314792;C1524003
558,rosiglitazone,C0289313
557,history of major bleeding,C0019080;C0019664;C0019665;C0205082;C0205164;C0262512;C0262926;C1705255;C2004062;C4318856;C4521762
556,depressed and low perceived social support,C0344315;C0549249
555,limb ( sd ),C0015385;C2699239
554,mri substudy ( n = nmbr ),C0024485;C0053917;C1334884;C1824234;C3890166
553,functional assessment of chronic illness,C0008679;C0278372
552,postmenopausal  current hormone,C0019932;C0232970;C0521116;C1705970;C4521914
551,proportion of predicted normal fevnmbr value   §,C0086715;C0681842;C1709707;C1882327
550,permanently stopped study drug because of adverse events,C0041755;C0557651;C1272691;C2603343
549,rec . ischemia due worsening angina,C0002965;C0022116;C0678226;C1424025;C2606415;C3146286;C4321499
548,radius fracture,C0034628
547,all with coenzyme qnmbr ( n = nmbr  nmbr ),C0009235;C0053917;C1334884
546,abdominal aortic — no . ( % ),C0003484
545,emphysema ( % ),C0013990;C0034067
544,impaired glucose tolerance or impaired fasting glucose — no . ( % ),C0271650
543,cyclosporine ( n = nmbr ),C0010592;C0010594;C0053917;C1334884
542,rivaroxaban + aspirin,C0004057;C1739768
541,full analysis set,C0002778;C0036849;C0443225;C0936012;C1442518;C1524024;C1705195
540,nicotine pack - years,C0028040;C1277691
539,single - vessel disease  n ( % ),C0037179;C0042373;C0087136;C0205171
538,paclitaxel - eluting,C0144576
537,cv death + hf hospitalization,C0011065;C0018488;C0019993;C1306577;C1313497;C1538440;C3273279;C3538987;C4048877;C4082313;C4318503;C4552775
536,any cardiovascular disease history  n ( % ),C0007222;C0007226;C0012634;C0019664;C0019665;C0262512;C0262926;C0683519;C1705255;C1880008;C2004062;C3887460
535,caucasian ethnicity,C0007457;C0015031;C0043157;C0243103
534,hematologic,C0018943;C0205488
533,cv medication  % of patients,C0013227;C0030705;C3244316;C3538987;C4048877;C4284232;C4318503
532,heavy calcification,C0006660;C0006663;C0175895;C0439539;C1533591;C1879982;C2242558
531,psychosocial risk factors,C0033963;C0035647;C0035648;C0542298;C1458132;C1553898;C4552904
530,glomerular,C0022663;C0268731
529,no pah therapy,C0030123;C0039798;C0087111;C1363945;C3203102;C4284467
528,secondary ( change in total updrs score from baseline to final visit in phase nmbr ),C0027627;C0175668;C0205436;C0392747;C0439175;C0439810;C0443172;C1705241;C3639721;C4319952
527,aml / val nmbr / nmbr mg,C0023465;C0023467;C0024671;C0026410;C0042285;C0053917;C0439269;C0523975;C1334884;C1960952;C2346927;C4321396;C4521761
526,retinopathy — %,C0035309;C1962966
525,cardiovascular inclusion criteriat,C0007226;C0007637;C1512693;C3887460
524,non – small - cell lung cancer,C0007131;C2984258;C3539721
523,copd severity ( gold stage ),C0018026;C0024117;C0205390;C0439793;C0522510;C1300072;C1304897;C1306673;C1412502;C3714496
522,oral contraceptives,C0009905
521,difference ( tiotropium - placebo ) ml ( nmbr % ci ),C0008107;C0032042;C0053917;C0213771;C0439526;C1334884;C1696465;C1705224;C1705241;C1705242;C1706408;C3259781;C3887665
520,apolipoprotein b^,C0003593
519,coronary angiography during the index hospital stay,C0002978;C0085532;C0428776;C0600653;C0918012;C1548829;C1552854;C1637833;C2986546;C3489408
518,diltiazem or verapamil,C0012373
517,lipid - lowering agents ( % ),C0086440
516,gpiib / iiia receptor inhibitor,C0016011;C0597357;C1999216
515,involved intestinal area  n ( % ),C0021853;C1879646
514,central / eastern europe and russia hr ( nmbr % cl ),C0015177;C0205099;C0682369;C1707877;C1879652
513,fibrinolytic for qualifying event,C0040044;C0441471;C1514624;C4019010
512,ctn - l  ng / ml,C0439275;C0917591
511,ratio fp / sal : sal ( nmbr % ci ),C0008107;C0016704;C0036140;C0037494;C0053917;C0206136;C0456603;C1334884;C1419068;C1419906;C1547037;C3259781;C3541238;C3541412
510,chd + cerebral infarction,C0007785;C0280604;C3542407
509,d - dimer levelsatinclusion,C0060323
508,any immunosuppressive agent,C0021081
507,increased waist circumference,C0205217;C0442805;C0455829
507,mean ± sd waist circumference  cm,C0444504;C0455829;C2347634;C2348143;C2699239
506,enalapril,C0014025
505,glyburide,C0017628
504,left ventricular hypertrophy — no . ( % ),C0149721;C3484363
504,left ventricular hypertrophy ( % ),C0149721;C3484363
504,lv hypertrophy  n ( % ),C0149721
503,etanercept,C0717758
502,metabolizer phenotype ( % ) §,C0031437;C1285572
501,diabetic treatments !,C0087111;C0241863
500,femoral access — no . / total no . ( % ),C0015811
499,predominant type of heparin,C0019134;C0332307;C0770546;C1542147;C1547052
498,cv event  years,C0439234;C0441471;C3538987;C4019010;C4048877;C4318503
497,atrial fibrillation  n ( % ),C0004238;C0344434;C1963067
497,current atrial fibrillation or flutter on ecg,C0004238;C0344434;C0521116;C1705970;C1963067
497,atrial fibrillation  duration — no . ( % ),C0004238;C0344434;C0449238;C1963067;C2926735
496,fevnmbr reversibilityz ( pre / post ipratropium )  %,C0027235;C0332152;C0687676;C0740175;C1704687;C2257086;C3469826;C3669034
495,> nmbr years education,C0013621;C0013622;C0013658;C0039401;C0053917;C0439234;C1334884
494,selexipag ( n = nmbr ),C0053917;C1334884;C2000145
493,thrombophilia,C0398623
492,orthostatic hypotension,C0020651
491,ipf - related,C0034069;C1800706
490,antihypertensive medication or,C0003364
490,prior antihypertensive medication  n ( % ),C0003364;C0332152;C2826257
490,antihypertensive  antianginal  and other cardiovascular medications,C0003364;C1874267;C3537168
490,antihypertensive drug  %,C0003364
489,body - mass index  !  waist - to - hip ratio,C0005893;C0205682;C0578022;C1305855
