"";"terms"
"258";"(Tiotropium n=86 Non-tiotropium n=327)"
"259";"(Tiotropium n=90 Non-tiotropium n=333)"
"260";"(Tiotropium n=93 Non-tiotropium n=3 16"
"261";"(Tiotropium n=95 Non-tiotropium n=326)"
"262";"(total SES-CD score at"
"263";"(Week)"
"264";"(women only)"
"265";"(years)"
"266";"(yes/no)"
"267";"* data are expr"
"268";"* Eligibility risk factors, n (%)*"
"269";"* Hypercholesterolemia was defined as a low-density lipoprotein cholesterol level at enrollment of more than 130 mg per deciliter (3.4 mmol per liter) after an overnight fast. † Nonsustained ventricular tachycardia was defined as 3 or more consecutive ventricular beats at a heart rate of more than 100 beats per minute. ‡ To convert weight to kilograms, divide by 2.2. § To convert values for creatinine to micromoles per liter, multiply by 88.4. ¶Data for follow-up medication were available for 2500 patients (amiodarone, 840; placebo, 838; and ICD, 822). ACE de-notes angiotensin-converting enzyme, and ARB angiotensin II–receptor blocker. ¿ P<0.001 for the comparison among the groups"
"270";"* Non-Black*"
"271";"* Nonfatal Ml"
"272";"* P value"
"273";"* Patient characterization data are reproduced from Morrow et al. (16)."
"274";"* Plus-minus values are means 士SD. Race or ethnic group was self-determined. The body-mass index is the weight in kilograms divided by"
"275";"* Plus-minus values are means ±SD. There were no significant differences (at"
"276";"* Plus–minus values are means ±SD. Percentages may not total 100 because of rounding. The body-mass index is the weight in kilograms divided by the square of the height in meters. To convert the values for creatinine to micromoles per liter, multiply by 88.4. ACE denotes angiotensin-converting enzyme, CABG coronary-artery bypass grafting, NT-proBNP N-terminal pro-B–type natriuretic peptide, NYHA New York Heart Association, and PCI percutaneous coro-nary intervention. † Race was reported by the investigators. ‡ One patient in NYHA class I was mistakenly included in the placebo group. § This category includes any angina-like symptoms at any time in the past, with no confirmation of diagnosis of coro-nary heart disease required. ¶ Possible scores range from 0 to 105, with lower scores indicating a better quality of life. ∥ Anemia was defined by World Health Organization criteria as a hemoglobin level of less than 13 g per deciliter in men and less than 12 g per deciliter in women. ** NT-proBNP levels are influenced by a variety of factors, including age, sex, body-mass index, and renal function. No clinically useful normal range has been established. †† Some patients were taking both loop and thiazide diuretics."
"277";"* The P‐value is from the test statistic for testing the interaction between the treatment group and Diabetes group."
"278";"** Positive stress test"
"279";"*** Unstable angina"
"280";"*Atherosclerotic coronary heart disease, ischaemic stroke or peripheral arterial disease. †n/N = number of people in phase 3 studies only. ‡High‐intensity statins were defined as atorvastatin 40 to 80 mg, rosuvastatin 20 to 40 mg or simvastatin 80 mg daily."
"281";"*CI denotes confidence interval."
"282";"*Data are expressed as median ± SD, except"
"283";"*Data are given as percentage of subjects unless otherwise specified. PTCA indicates percutaneous transluminal coronary angioplasty; CABG, coronary artery bypass graft; ACE, angiotensin-converting enzyme; BMI, body mass index (calculated as weight in kilograms divided by square of height in meters); HDL-C, high-density lipoprotein cholesterol; LDL-C, low-density lipoprotein cholesterol; FPG, fasting plasma glucose; and FPI, fasting plasma insulin. tTo convert cholesterol values to micromoles per liter, multiply by 0.0259. To convert triglycerides to micromoles per liter, multiply by 0.0113. To convert FPG to micromoles per liter, multiply by 0.0555. To convert FPI to picomoles per liter, multiply by 6.945."
"284";"*Data reported as n (%) or median (quartiles 1, 3)."
"285";"*Determined by investigator to be possibly, probably or definitely related to study drug tMyopathy defined as CPK > 10 x ULN with associated muscle symptoms with no other plausible etiology ^Consecutive defined as two or more measurements at least one week apart or one measurement < 2 days after the last dose of study drug (presumed consecutive) §Two patients had incomplete data to assess CHD status SIMVA = simvastatin; EZE = ezetimibe; AE = adverse event; ALT = alanine aminotransferase; AST = aspartate aminotransferase; CPK = creatine phosphokinase; ULN = upper limit of normal"
"286";"*Interquartile range"
"287";"*Other - Europe (n=12), Australia (n=7) and India (n=134) - the data from these regions were collapsed due to the small numbers"
"288";"*p < 0.0001 for EZE/SIMVA (pooled across doses) vs. SIMVA (pooled across doses) for the entire cohort Data are presented as least squares mean ± standard error (†median ± SE for TG) for the entire cohort and also for each selected subgroup SIMVA = simvastatin; EZE = ezetimibe; TC = total cholesterol; TG = triglycerides; HDL-C = high-density lipoprotein-cholesterol; Non-HDL-C = non-high-density lipoprotein cholesterol; Apo = apolipoprotein"
"289";"*p < 0.05 for between-treatment difference with same dose of simvastatin for entire cohort Data are expressed as least squares mean ± standard error SIMVA = simvastatin; EZE = ezetimibe; CHD = coronary heart disease"
"290";"*P for heterogeneity of treatment effect between tertiles >0.8."
"291";"*Per 1000 participant years. Composite of first occurrence death (all cause), nonfatal Ml, or nonfatal stroke. Cardiovascular death excluding those classified as “unable to determine.”"
"292";"*Rate is number of events per 100 patient-years of follow-up. fThe p value for number of patients from log-rank, for total number of hospitalizations from permutation test. ^By treatment comparing the"
"293";"*Reported by physicians. †Data are median (IQR). All data are mean (SD) or number (%) unless otherwise indicated."
"294";"*Risk reduction, 95 percent confidence interval (CI), and P value are derived from Cox models.
For risk reductions, negative numbers indicate an increase in risk. †Diabetes and hypertension were defined by clinical history. ‡A family history was defined as having one or more first-degree relatives with either myocardial infarction or sudden death before the age of 55. §HDL cholesterol levels are shown according to the median value (31.5 mg per deciliter [0.8 mmol per liter]). ¶Triglyceride levels are shown according to the median value (151 mg per deciliter [1.7 mmol per liter]).
¿LDL cholesterol levels are shown according to the median value (112 mg per deciliter [2.9 mmol per liter]) and according to the values that divide the subjects into three equal groups (<104, 104 to 121, and >121 mg per deciliter [<2.7, 2.7 to 3.1, and >3.1 mmol per liter])."
"295";"*Subgroups were defined on the basis of variables assessed before randomization. The lipid levels represent the averages of the values measured four weeks before randomization and those measured at randomization. To convert values for cholesterol to millimoles per liter, multiply by 0.02586; to convert values for triglycerides to millimoles per liter, multiply by 0.01129. CI denotes confidence interval, LDL low-density lipoprotein, and HDL high-density lipoprotein. Tests for heterogeneity of treatment effect were undertaken across each of the subgroups. In addition, we performed tests for interaction between treatment and the following continuous base-line variables: age; total, LDL, and HDL cholesterol; and triglyceride levels. There was no evidence of significant heterogeneity of treat-ment effect in any prespecified subgroup (P»0.08). †Data were missing for three patients, two in the placebo group and one in the pravastatin group."
"296";"*The 2 substrata with baseline (BL) LDL cholesterol  100 to  130 mg/dl and  130 to  160 mg/dl were combined to make 1 group with BL LDL cholesterol  100 to  160 mg/dl because of small numbers of patients included in the substrata with  130 to  160 mg/dl. †BL HDL cholesterol cutoffs were  40 or  40 mg/dl for men and  50 or  50 mg/dl for women. Bars indicate SE. BMI   body mass index; E   ezetimibe 10 mg; HDL-C   HDL cholesterol; LDL-C   LDL cholesterol; TG   triglycerides"
"297";", 10 years (N = 1480)"
"298";", 65 years (n = 1613)"
"299";", n/N (%)"
"300";",0-blocker"
"301";",0-Blockers"
"302";",1/week"
"303";",2 step"
"304";",3 years"
"305";",3.4 mg/mmol"
"306";". 1.0 mL/s/m2(60 mL/min/ 1.73 m2), n (%)"
"307";".100 kg"
"308";".100 kg MTX use"
"309";".3 step or incident vitrectomy or photocoagulation"
"310";".33.9 mg/mmol"
"311";"/\ge category"
"312";"/’-value"""
"313";"/’-value1’"
"314";"/’interaction"
"315";"/3-Blocker"
"316";"/3-blockers"
"317";"/J-valuc!l"
"318";"/pl 655 631"
"319";": MI, Previous PCI and Chronic Obstructive Pulmonary Disease."
"320";"? f? n"
"321";"[}ifrerence vs. placebo, % (95% Cl)"
"322";"[2.6 mmol/L])"
"323";"[95% CI]*"
"324";"[95% Cl]"
"325";"[cm(female)/cm(male)]"
"326";"[cm{female)/cm{male)]"
"327";"[kg/m^]"
"328";"[Min, Max]"
"329";"[no/yes] (%)"
"330";"[SD]"
"331";"[zi = 2334] 9334 (50.7)"
"332";"[zi = 2782] 2188 (78.6)"
"333";"[zi = 52] 44 (84.6)"
"334";"[zi = 70] 281 (56.8)"
"335";"\BL-SC n/N"
"336";"^-blocker"
"337";"^-Blocker"
"338";"^-blockers"
"339";"^≥2% incidence in any treatment group in the overall safety population."
"340";"^10 days"
"341";"^12 months"
"342";"^135 mm Hg"
"343";"^30 mg/g, n (%)"
"344";"^6 hrs"
"345";"^60 mL/min"
"346";"^75 y, n (%)"
"347";"^8-cell function — %§"
"348";"^median"
"349";"^median >median"
"350";"^Numbers do not always sum to group totals due to missing information for some variables. fBody mass index was calculated as weight in kilograms divided by the square of height in meters. ^Hypertension was defined as a self-reported systolic blood pressure >140 mm Hg, a diastolic blood pressure >90 mm Hg, or physician-diagnosed hypertension. §Hyperlipidemia was defined as a self-reported total cholesterol >240 mg/dL (6.2 mmol/L) or physician-diagnosed high cholesterol. ||Diabetes was defined by self-report."
"351";"|    Interactior 1    P"
"352";"|:S blocker"
"353";"|?)-Blocker, %"
"354";"|?>-Blocker (n, %)"
"355";"■335 years"
"356";"“Off”"
"357";"“On” with troublesome dyskinesia"
"358";"“On” without troublesome dyskinesia"
"359";"“Relative risk of outcome in ACEI group iw control group. bBaseline variables for models included: logarithm of age, reciprocal of serum creatinine, SBP, UP excretion, treatment assignment and terms for studies 2, 5 10 and 11 (see footnotes of Table 1). Other baseline variables considered for analysis (P < 0.2 in univariate analysis) included DP mean arterial pressure, type of antihypertensive regimen in the control group, planned duration of follow-up, whether or not the investigators were blinded, whether or not dietary advice was given and the year of publication."
"360";"£ 47 min"
"361";"£ 62.5 yrs"
"362";"£ 74.5 min"
"363";"£ Median"
"364";"£ median (2.8)"
"365";"£ median (64)"
"366";"£1.58 mmol/L"
"367";"£100 mg/dl"
"368";"£150 mg/dl"
"369";"£3% BSA psoriasis, no. (%)"
"370";"£30 kg/m2"
"371";"£34 kg/m2"
"372";"£40 (men)/ £50 (women)"
"373";"£60 mL/min"
"374";"£65 to <75 years"
"375";"£65 years"
"376";"£65 yo (N=2739)"
"377";"£75 years"
"378";"£75 yr"
"379";"£80 m b'm in"
"380";"£90 kg"
"381";"£90 ml/minute"
"382";"£l 00 kg"
"383";"+ thienopyridine"
"384";"+ICS/+ LABA n Z 945"
"385";"+ICS/+ LABA nZ 945"
"386";"<-2.5 - VFx"
"387";"<-2.5 + VFx"
"388";"<-5.65 cm"
"389";"< 0.04 ng/ml"
"390";"< 0.6 tng>clL"
"391";"< 1 year"
"392";"< 1 years"
"393";"< 10 years"
"394";"< 100 mg"
"395";"< 150 cells/pl"
"396";"< 150 cells/ul    623    654"
"397";"< 160 mg/dL"
"398";"< 160 mg/dL EZE/SIMVA"
"399";"< 160 mg/dL EZE/SIMVA (n = 337)"
"400";"< 160 mg/dL EZE/SIMVA (n = 337}"
"401";"< 160 mg/dL SIMVA"
"402";"< 160 mg/dL SIMVA (n = 320)"
"403";"< 160 mg/dL SIMVA (n = 320]"
"404";"< 180 min"
"405";"< 1st quartile"
"406";"< 2 years"
"407";"< 20 mgday P.Eq."
"408";"< 21 mm"
"409";"< 24 hr"
"410";"< 25 kg/m2"
"411";"< 3.4 mg/mmol"
"412";"< 30 kg/m2"
"413";"< 30 ml/min"
"414";"< 30 mL/min"
"415";"< 30 mm"
"416";"< 30 years"
"417";"< 47 min"
"418";"< 5 years"
"419";"< 5 yr since menopause"
"420";"< 6 month n = 426"
"421";"< 6 month n=417"
"422";"< 60 Kg"
"423";"< 60 L/min"
"424";"< 60 yr"
"425";"< 62.5 yrs"
"426";"< 65 years"
"427";"< 65 years (%)"
"428";"< 65 Years EZE/SIMVA"
"429";"< 65 Years EZE/SIMVA (n = 917)"
"430";"< 65 Years EZE/SIMVA (n = 917}"
"431";"< 65 Years SIMVA"
"432";"< 65 Years SIMVA (n = 948)"
"433";"< 65 Years SIMVA (n = 948}"
"434";"< 65 years, n (%)"
"435";"< 65 yr"
"436";"< 65 yrs"
"437";"< 74.5 min"
"438";"< 75 mg"
"439";"< 75 years"
"440";"< 75 Years"
"441";"< 75 yr"
"442";"< 80 mg/dl"
"443";"< median"
"444";"< Median"
"445";"< median (4.5)"
"446";"< Median (81 kg)"
"447";"< median 151.13"
"448";"<= 75 yr"
"449";"<=€0 kg"
"450";"<=1 year, n (%)"
"451";"<=100 kg"
"452";"<=60 kg"
"453";"<0% predicted ARR (n = 18,524)"
"454";"<0.00 ld"
"455";"<0.03 l-g/L"
"456";"<0.04 ng/ml"
"457";"<0.94 mmol/L"
"458";"<1-35 mmol/L"
"459";"<1-42 mmol/L"
"460";"<1 mg/L (n = 1278)"
"461";"<1 week"
"462";"<1 year"
"463";"<1 years"
"464";"<1 yr"
"465";"<1.05 mmol/liter"
"466";"<1.05 mmol/liter Triglyceride level"
"467";"<1.0mg/l"
"468";"<1.30 mmol/l"
"469";"<1.5 mg/dl"
"470";"<1.5 ng/ml (n = 304)"
"471";"<1.6 mg/dl"
"472";"<1.9 ng/L (n=131) n (%)"
"473";"<1.9 ng/L (n=251)"
"474";"<10 days"
"475";"<10 days (%)"
"476";"<10 mm Hg"
"477";"<10 years"
"478";"<10 yr"
"479";"<100 kg"
"480";"<100 mg"
"481";"<100 mg/dl"
"482";"<100 mg/dL"
"483";"<100 mg/dl*"
"484";"<100 mm Hg"
"485";"<104 mg/dl"
"486";"<112 mg/dl"
"487";"<12 months"
"488";"<120 mm Hg"
"489";"<120/<75 mm Hg"
"490";"<122.5 mm Hg"
"491";"<122.5 mm Hg Diastolic blood pressure"
"492";"<125 mm Hg"
"493";"<126 mg/dL"
"494";"<129 min"
"495";"<13.1 years"
"496";"<130 mg/dL"
"497";"<130 mm Hg"
"498";"<130 mm Hg— no. (%)"
"499";"<130/80 mm Hg+"
"500";"<130/80 mmHg, LDL-C <100 mg/dL"
"501";"<133 mg/dl"
"502";"<133.83 mm Hg"
"503";"<135 mg/dl"
"504";"<135 mm Hg"
"505";"<136 mm Hg"
"506";"<140 mg/dl"
"507";"<140 ml"
"508";"<140 mm Hg"
"509";"<140 mmHg"
"510";"<140/90 mm Hg"
"511";"<15 enroll"
"512";"<15 ml/s"
"513";"<150 cells/mm^"
"514";"<150 mg/dl"
"515";"<150 mg/dL"
"516";"<150 regardless of historical count"
"517";"<150 with historical count >300"
"518";"<150 with no historical count >300"
"519";"<1500 mg"
"520";"<151 mg/dl"
"521";"<160 mm Hg"
"522";"<18 kg/m2"
"523";"<18 mg/dL"
"524";"<18 mon (N=4097)"
"525";"<180 mm Hg"
"526";"<1year"
"527";"<2 and no moderate or severe deformity (N = 6803)"
"528";"<2 days"
"529";"<2 mg/liter"
"530";"<2 mo"
"531";"<2 months"
"532";"<2 years"
"533";"<2% Blood Eosinophils at Baseline"
"534";"<2.12 mmol/liter"
"535";"<2.12 mmol/liter Estimated GFR"
"536";"<2.59 mmol/l"
"537";"<2.59 mmol/L"
"538";"<20 mg"
"539";"<20 mg/d PEq"
"540";"<20 mg/day"
"541";"<20 mm Hg"
"542";"<200 lb"
"543";"<200 mg/dl"
"544";"<21 kg/m2"
"545";"<213 mg/dl"
"546";"<24 h, n (%)"
"547";"<24 kg/m2"
"548";"<24, kg/m2"
"549";"<242 ng/mL"
"550";"<25 — no. {%)"
"551";"<25 kg/m2"
"552";"<25 kg/m2 ( n = 93)"
"553";"<25 ppb"
"554";"<25.0 kg/m2"
"555";"<250 microg/l"
"556";"<25kg/m2"
"557";"<26 mm Hg"
"558";"<27.2 kg/m2"
"559";"<277.6 pmol/liter"
"560";"<28 kg/m2"
"561";"<2xULN"
"562";"<3 — no. (%)"
"563";"<3 days"
"564";"<3 hr"
"565";"<3 mm"
"566";"<3 mo"
"567";"<3 months"
"568";"<3 Months"
"569";"<3 Months In - 1 Kill"
"570";"<3 months, n (%)"
"571";"<3 no. (%)"
"572";"<3.0 mmol/liter"
"573";"<3.12 mmol/liter"
"574";"<3.12 mmol/liter ApoB:ApoA-l ratio"
"575";"<3.36 mmol/l"
"576";"<3.4   mmol/l"
"577";"<3.4 mmol/L"
"578";"<30    kg/m2"
"579";"<30 CrCl"
"580";"<30 days (n = 7181)"
"581";"<30 kg, mJ (reference)"
"582";"<30 kg/m 2"
"583";"<30 kg/m^"
"584";"<30 kg/m2"
"585";"<30 kg/m2 (n — 274)"
"586";"<30 kg/mA2"
"587";"<30 ky/nr"
"588";"<30 mg dL (reference)"
"589";"<30 mg/dL"
"590";"<30 mg/g"
"591";"<30 mg/g, n (%)"
"592";"<30 ml/min"
"593";"<30 mL/min"
"594";"<30 mL/min per 1-73 m2"
"595";"<30 mL/min/1.73 m2"
"596";"<30 mL/min/1.73ni-"
"597";"<30 ml/minute"
"598";"<30% predicted"
"599";"<300 cells/pL"
"600";"<30mLmin) 1"
"601";"<31.5 mg/dl"
"602";"<325 meters"
"603";"<35 mg/dl"
"604";"<35 years"
"605";"<39 mg/dl"
"606";"<3mo,n (%)"
"607";"<4-01 mmol/L"
"608";"<4-1 mmol/L"
"609";"<4 hr"
"610";"<4 mmol/L"
"611";"<4 months, mean (SD)"
"612";"<4 months, median (min, max)"
"613";"<4.0 mU/L-mmol/L"
"614";"<4.0 mU/L$mmol/L"
"615";"<40 (men) / <50 (women)"
"616";"<40 mg/dl"
"617";"<40 mg/dL (<1.04 mmol/L)"
"618";"<40 mm"
"619";"<45 mL/min/1,73m2"
"620";"<45 ml/min/1.73 m2"
"621";"<5 years"
"622";"<5 yr"
"623";"<5 yr of education — no. (%)"
"624";"<5 yrs"
"625";"<5.0 mg/liter"
"626";"<5.18 mmol/l"
"627";"<5.5 mmol/liter"
"628";"<5.8 mg/liter"
"629";"<50 CrCl, n (%)"
"630";"<50 kg"
"631";"<50 ml/min"
"632";"<50 ml/min — %"
"633";"<50 mL/min (n=3374)"
"634";"<50 years"
"635";"<50 yr"
"636";"<50 yrs"
"637";"<508 ng/mL"
"638";"<50nWrrtn"
"639";"<51 ml/min/1.73 m2"
"640";"<51 ml/min/1.73 m2 NT-pro-BNP"
"641";"<54 mg/dl"
"642";"<55 vr — no. (%)"
"643";"<55 y, n (%)"
"644";"<55 years (n=824)"
"645";"<55 yr"
"646";"<6-21 mmol/L"
"647";"<6 hr"
"648";"<6 hrs"
"649";"<6 mg/L"
"650";"<6 mo"
"651";"<6 months—number/N (%)"
"652";"<6 weeks"
"653";"<60 kg"
"654";"<60 Kg"
"655";"<60 kg'i'"
"656";"<60 mi/min"
"657";"<60 mL min’1 1.73 m""2"
"658";"<60 ml/min"
"659";"<60 mL/min"
"660";"<60 ml/min per 1.73 m2, n (%)"
"661";"<60 ml/min/1,73 m^"
"662";"<60 ml/min/1.73 m^"
"663";"<60 ml/min/1.73 m^ — no. {%)"
"664";"<60 ml/min/1.73 m2"
"665";"<60 mL/min/1.73 m2"
"666";"<60 ml/min/1.73 m2— no. (%)"
"667";"<60 ml/min/1.73 m2 — no. (%)"
"668";"<60 mL/min/1.73 m2, n (%)"
"669";"<60 ml/min/1.73m2"
"670";"<60 mL/min/1.73m2"
"671";"<60 mLYmin"
"672";"<60 years"
"673";"<60 yr"
"674";"<60 yr— no. {%)"
"675";"<60kg"
"676";"<65 y (n=422)"
"677";"<65 y (n=433)"
"678";"<65 y (N=5497, 26.0%)"
"679";"<65 y ears"
"680";"<65 y, n (%)"
"681";"<65 years"
"682";"<65 Years"
"683";"<65 years (n=1757)"
"684";"<65 years (n=4031)"
"685";"<65 years (placebo n =3,941; saxagliptin n =3,990)"
"686";"<65 years n Z 1761"
