cluster,concept,cuis
59,north america hr ( nmbr % cl ),C0028405;C0053917;C0596019;C1334884
58,nmbr - h pmg ( mg / dl ),C0033727;C0053917;C0369286;C0439269;C0441932;C0564385;C1334884;C4528284
58,after nmbr h,C0033727;C0053917;C0369286;C0441932;C0564385;C1334884;C4528284
57,amlodipine nmbrmg / v = nmbr,C0051696;C0053917;C1334884
57,amlodipine / vaisartan ( n = nmbr ),C0051696;C0053917;C1334884
56,sita nmbr + pio nmbr,C0030800;C0053917;C1334884;C2347712
56,sita / pio nmbr / nmbr,C0030800;C0053917;C1334884;C2347712
55,liraglutide nmbr . nmbr mg / day ( n = nmbr ),C0053917;C0439422;C1334884;C1456408
55,liraglutide ( n = nmbr  nmbr ),C0053917;C1334884;C1456408
54,ez / simva n = nmbr n ( % ),C0053917;C0206578;C1334884
54,anmbr + ez n = nmbr,C0053917;C0206578;C1334884
53,apob : apoa - nmbr ratio,C0003592;C0003593;C0053917;C0456603;C0523508;C1334884;C1547037;C3252643;C4553344;C4553379
53,< nmbr . nmbr mmol / liter apob : apoa - l ratio,C0003592;C0003593;C0053917;C0456603;C0475211;C0523508;C1334884;C1532563;C1547037;C3252643;C4553344;C4553379
52,visit nmbr ldl cholesterol strata,C0023824;C0053917;C0202117;C0545082;C1334884;C1512346;C2826704
52,calculated ldl cholesterol ( week nmbr ),C0023824;C0053917;C0202117;C0332174;C0439230;C0444686;C1334884;C1441506
51,fibrinolysis primary pci ( n = nmbr ) ( n = nmbr ) no . of patients / total no . ( % ),C0016017;C0053917;C0205225;C0439612;C0439631;C1305868;C1334884;C4049621
51,fibrinolysis ( n = nmbr ),C0016017;C0053917;C1305868;C1334884
50,pain vas  nmbr - nmbr mm,C0042815;C0053917;C1334884;C4330985;C4554674
50,pain ( nmbr - nmbr mm vas ),C0042815;C0053917;C1334884;C4330985;C4554674
49,physician global assessment ( nmbr - nmbr mm vas ),C0042815;C0053917;C1334884;C3536884;C3827561;C4050369;C4330985;C4554674
49,patient global assessment of disease activity ( vas nmbr - nmbr mm ),C0042815;C0053917;C1334884;C3536884;C3827561;C4054228;C4330985;C4554674
48,ind nmbr gg q . d . n / n ( % ),C0017454;C0018370;C0053917;C1334884;C4049864
48,gly nmbr . nmbr gg b . i . d n / n ( % ),C0017454;C0018370;C0053917;C0152277;C1334884;C1415124
47,clopidogrel ( n = nmbr ),C0053917;C0070166;C1334884
47,clopidogrel ( n = nmbr  nmbr ),C0053917;C0070166;C1334884
46,vorapaxar placebo nmbr - yr . km % rate,C0032042;C0053917;C0439234;C0871208;C1334884;C1521828;C1696465;C1706408;C2974521;C3887676
46,vorapaxar placebo nmbr - yr %,C0032042;C0053917;C0439234;C1334884;C1696465;C1706408;C2974521
45,triglycerides > nmbr mg / dl,C0041004;C0053917;C0439269;C1334884
45,triglycerides ( week nmbr ) a,C0041004;C0053917;C0332174;C0439230;C1334884
44,non - caucasian eze / simva ( „ = nmbr },C0007457;C0043157;C0053917;C1334884;C1518422
44,caucasian simva ( „ = nmbr },C0007457;C0043157;C0053917;C1334884
43,framingham nmbr - year cv risk score,C0035647;C0053917;C0439234;C0439508;C0449820;C1334884;C3166866;C3538987;C4048877;C4050231;C4318503;C4552904
43,> nmbr additional cv risk factorsnmbr,C0035647;C0053917;C1334884;C1524062;C3538987;C4048877;C4318503;C4552904
42,crcl at baseline < nmbr ml / min,C0053917;C0168634;C0439445;C1334884;C1442488;C1846718
42,baseline albumin / creatinine ratio in nmbr classes,C0053917;C0168634;C0456387;C0486293;C1318293;C1334884;C1442488;C1518526;C1705943;C4019422
41,therapy ( asa nmbr / placebo nmbr ),C0004057;C0032042;C0039798;C0053917;C0087111;C1334884;C1363945;C1696465;C1706408;C3853627
41,therapy ( asa nmbr  nmbr / placebo nmbr ),C0004057;C0032042;C0039798;C0053917;C0087111;C1334884;C1363945;C1696465;C1706408;C3853627
40,alteplase group ( n = nmbr ),C0032143;C0053917;C0441848;C1334884
40,alteplase ( n = nmbr ),C0032143;C0053917;C1334884
39,no p - blocker intake at randomisation ( n = nmbr ),C0034656;C0053917;C0369773;C1334884;C1512806;C2603361
39,coronary revascularization nmbr days after randomization,C0034656;C0053917;C0439228;C0877341;C1334884
38,hdl cholesterol ( week nmbr ) a,C0023822;C0053917;C0332174;C0392885;C0439230;C1334884
38,> nmbr . nmbr hdl cholesterol level,C0023822;C0053917;C0201950;C0392885;C0428466;C0441889;C0456079;C1334884;C1547707;C2946261;C3715113
37,czp nmbr mg ( n nmbr nmbr ),C0024671;C0026410;C0053917;C0054841;C0439269;C1334884;C1861828;C1872109;C1960952;C2346927;C4321396;C4521761
37,czp nmbr mg  % ( n / n ),C0024671;C0026410;C0053917;C0054841;C0439269;C1334884;C1861828;C1872109;C1960952;C2346927;C4321396;C4521761
36,nmbr mg clopidogrel load,C0024671;C0026410;C0053917;C0070166;C0439269;C1334884;C1550025;C1704782;C1708715;C1960952;C2346927;C4321396;C4521761
36,intended clopidogrel dose nmbr mg,C0024671;C0026410;C0053917;C0070166;C0178602;C0439269;C0869039;C1114758;C1283828;C1334884;C1551357;C1960952;C2346927;C4321396;C4521761
35,cause of heart failure — no . ( % ),C0015127;C0018801;C0018802;C1524003;C4554158
35,cause of heart failure,C0015127;C0018801;C0018802;C1524003;C4554158
34,qualifying type of atherosclerosis — no . ( % ),C0003850;C0004153;C0332307;C1514624;C1547052
34,large - artery atherosclerosis,C0003850;C0004153;C0226003
34,atherosclerosis^  n ( % ),C0003850;C0004153
33,index event — no . ( % ),C0441471;C0600653;C0918012;C1552854;C1637833;C2986546;C4019010
33,index event asymptomatic or unconfirmed,C0441471;C0600653;C0918012;C1552854;C1637833;C2986546;C4019010
33,index event  %,C0441471;C0600653;C0918012;C1552854;C1637833;C2986546;C4019010
32,peripheral arterial disease — no . ( % ) §,C0085096;C1704436
32,peripheral arterial disease  n ( % ),C0085096;C1704436
32,any peripheral arterial disease,C0085096;C1704436
31,white / european,C0007457;C0043157;C0220938;C0239307;C1535514
31,white  n ( % ),C0007457;C0043157;C0220938
31,caucasian simva,C0007457;C0043157
30,no ascvd + additional cv risk factors  n ( % ),C0035648;C1524062;C1553898;C3538987;C3665365;C4048877;C4318503
30,cv risk factor - no . ( % ),C0035648;C3538987;C4048877;C4318503
30,cv risk factor,C0035648;C3538987;C4048877;C4318503
29,fev  at baseline,C0168634;C1442488;C3714541
29,baseline fvc  l,C0168634;C1442488;C3714541
29,baseline fev  ( l ),C0168634;C1442488;C3714541
28,receptor blockers  n ( % ) baseline lipid and apolipoprotein levels,C0023779;C0168634;C0597357;C1442488
28,metabolic syndromenmbr baseline lipids  mg / dl,C0023779;C0168634;C0311400;C0439269;C1442488;C1524026;C2707259
28,baseline lipids  mean ± sd ( mmol / l ),C0023779;C0168634;C0444504;C1442488;C1532563;C2347634;C2348143;C2699239
27,diuretic drugs ( excluding antialdosterone ),C0012798;C0013227;C3687832
27,diuretic drugs  n ( % ),C0012798;C0013227;C3687832
27,diuretic drugs,C0012798;C0013227;C3687832
26,warfarin ( n = nmbr ),C0043031;C0053917;C1334884
26,> nmbr yr warfarin experience,C0043031;C0053917;C0237607;C0439234;C0596545;C1334884
26,> nmbr days warfarin,C0043031;C0053917;C0439228;C1334884
25,standard control ( n = nmbr ) no . of patients ( percent ),C0053917;C0243148;C1334884;C1442989;C1550141;C1882979;C2587213;C2828392;C3274648;C4553389
25,control group ( n = nmbr ),C0053917;C0243148;C0441848;C1334884;C1550141;C1882979;C2587213;C3274648;C4553389
25,( % ) control ( nmbr ),C0053917;C0243148;C1334884;C1550141;C1882979;C2587213;C3274648;C4553389
24,indacaterol nmbr ug versus placebo,C0041573;C0053917;C0439211;C1334884;C1722260
24,indacaterol nmbr ug versus indacaterol nmbr ug,C0041573;C0053917;C0439211;C1334884;C1722260
24,indacaterol nmbr ug ( n = nmbr ),C0041573;C0053917;C0439211;C1334884;C1722260
23,no use of nmbr - asa compounds,C0004057;C0053917;C0205198;C1334884;C1524063;C1706082;C3853627
23,aspirin only ( n = nmbr  nmbr ),C0004057;C0053917;C0205171;C1334884;C1720467
23,aspirin - erdp ( n = nmbr  nmbr ),C0004057;C0053917;C1334884
22,clopidogrel plus aspirin ( n = nmbr ),C0004057;C0053917;C0070166;C0332287;C1334884
22,aspirin nmbr clopidogrel,C0004057;C0053917;C0070166;C1334884
22,aspirin + clopidogrel ( n = nmbr ) nmbr . nmbr,C0004057;C0053917;C0070166;C1334884
21,atenolol n = nmbr no . ( % ),C0004147;C0053917;C1334884
21,atenolol n = nmbr,C0004147;C0053917;C1334884
21,atenolol ( « = nmbr nmbr ),C0004147;C0053917;C1334884
20,events treatment ( nmbr ),C0039798;C0053917;C0087111;C0441471;C1334884;C1522326;C1533734;C1705169;C3538994;C3541888;C3887704
20,epa treatment ( n = nmbr ),C0039798;C0053917;C0087111;C1334884;C1522326;C1533734;C1705169;C3538994;C3887704
20,dpp - nmbr inhibitor therapy,C0039798;C0053917;C0087111;C1334884;C1363945;C1414174;C1999216
19,ticagrelor nmbr mg vs . placebo hr ( nmbr % ci ),C0024671;C0026410;C0053917;C0439269;C1334884;C1960952;C1999375;C2346927;C4321396;C4521761
19,ticagrelor nmbr mg nmbr yr km %,C0024671;C0026410;C0053917;C0439234;C0439269;C1334884;C1960952;C1999375;C2346927;C3887676;C4321396;C4521761
19,ticagrelor  nmbr mg ( n = nmbr ),C0024671;C0026410;C0053917;C0439269;C1334884;C1960952;C1999375;C2346927;C4321396;C4521761
18,screening prebronchodilator fevnmbr  l,C0220908;C0220909;C1698960;C1710031;C1710032;C1710477;C2348164;C2599602
18,screening % reversibility fevnmbr,C0220908;C0220909;C0449261;C1698960;C1710031;C1710032;C1710477;C2348164
18,screening % predicted fevnmbr,C0220908;C0220909;C0681842;C1698960;C1710031;C1710032;C1710477;C1882327;C2348164
18,age at screening,C0001779;C0220908;C0220909;C1698960;C1710031;C1710032;C1710477;C2348164
17,ppi use ( p = nmbr - nmbrt ),C0358591;C0871125;C3811894
17,ppi but no aspirin,C0358591;C0871125;C3811894
17,nontrial ppi,C0358591;C0871125;C3811894
17,non - study ppi use,C0358591;C0557651;C0871125;C1518422;C2603343;C3811894
16,weight ( range ) ( kg ),C0005910;C0022718;C0043100;C0439209;C1305866;C1514721;C1705104;C2348147;C3542016;C4054209
16,weight  median ( interquartile range )  kg,C0005910;C0022718;C0043100;C0439209;C0549183;C0876920;C1305866;C1705104;C1711350;C2347635;C2348144;C2939193;C4054209
16,weight  mean ± sd ( kg ),C0005910;C0022718;C0043100;C0439209;C0444504;C1305866;C1705104;C2347634;C2348143;C2699239;C4054209
16,mean weight  kg ( sd ),C0005910;C0022718;C0043100;C0439209;C0444504;C1305866;C1705104;C2347634;C2348143;C2699239;C4054209
15,gfr ( mdrd ) ( ml / min / nmbr - nmbr mnmbr ),C0017654;C0053917;C0439445;C1334884;C1424601;C3839656
15,estimated gfr ( ml / min / nmbr . nmbr mnmbr ) ^ |,C0017654;C0053917;C0439445;C0750572;C1334884;C1424601
15,estimated gfr  ml min - nmbr nmbr . nmbr m - nmbr ( sd ) a,C0017654;C0053917;C0369637;C0439445;C0441923;C0750572;C1334884;C1424601;C2699239
15,estimated gfr  < nmbr ml min - nmbr nmbr . nmbr m - nmbr  n ( % ) a,C0017654;C0053917;C0369637;C0439445;C0441923;C0750572;C1334884;C1424601
14,omega - nmbr fatty acid ( n = nmbr ),C0015684;C0053917;C1334884;C1719844
14,omega - nmbr fatty acid,C0015684;C0053917;C1334884;C1719844
14,number omega - nmbr number placeb fatty acid,C0015684;C0053917;C0237753;C0449788;C1334884;C1719844
14,b digit symbol substitution  omega - nmbr fatty acids vs placebo,C0015684;C0053917;C0582802;C0679214;C1334884;C1555721;C1698987;C1706204;C1719844;C3241971
13,nmbr to < nmbr kg / mnmbr,C0022718;C0053917;C0439209;C1334884;C4054209
13,nmbr - nmbr . nmbr kg / mnmbr,C0022718;C0053917;C0439209;C1334884;C4054209
13,bmi > nmbr kg / mnmbr ( % ),C0022718;C0053917;C0439209;C0578022;C1334884;C4054209
13,bmi ( kg / mnmbr ) < nmbr,C0022718;C0053917;C0439209;C0578022;C1334884;C4054209
12,total patients n = nmbr,C0030705;C0053917;C0439175;C0439810;C1334884
12,score > nmbr %  % of patients,C0030705;C0053917;C0449820;C1334884;C4050231
12,rate / nmbr patient - years,C0030705;C0053917;C0439234;C0871208;C1334884;C1521828
12,patients with > nmbr exacerbations resulting in hospital admission,C0030705;C0053917;C1334884;C4086268
11,sfc nmbr / nmbr mg twice daily ( n = nmbr ),C0024671;C0026410;C0053917;C0439269;C0585361;C1334884;C1960952;C2346927;C4321396;C4521536;C4521761
11,middle tertile ( range  nmbr . nmbr - nmbr . nmbr mg / dl  mean ± sd  nmbr . nmbr ± nmbr . nmbr mg / dl ),C0024671;C0026410;C0053917;C0439269;C0444504;C0444598;C0549183;C1334884;C1514721;C1552826;C1960952;C2346927;C2347634;C2348143;C2348147;C2699239;C3539687;C3542016;C4321396;C4521761
11,glycopyrronium nmbr mg ( n = nmbr ),C0024671;C0026410;C0053917;C0439269;C1334884;C1960952;C2346927;C3814772;C4321396;C4521761
11,eze / simva nmbr / nmbr mg ( n = nmbr ),C0024671;C0026410;C0053917;C0439269;C1334884;C1960952;C2346927;C4321396;C4521761
10,tofacitinib nmbr mg two times a day,C0024671;C0026410;C0053917;C0439269;C1334884;C1960952;C2346927;C2930696;C4321396;C4521761
10,tofacitinib nmbr mg twice daily n = nmbr,C0024671;C0026410;C0053917;C0439269;C0585361;C1334884;C1960952;C2346927;C2930696;C4321396;C4521761
10,tofacitinib nmbr mg bid [n = nmbr |,C0024671;C0026410;C0053917;C0439269;C1334884;C1960952;C2346927;C2930696;C4321396;C4521761
10,tofacitinib  nmbr mg ( n = nmbr ),C0024671;C0026410;C0053917;C0439269;C1334884;C1960952;C2346927;C2930696;C4321396;C4521761
9,left ventricular ejection fraction  % af history,C0019664;C0019665;C0262512;C0262926;C0344434;C0428772;C0488728;C1705255;C2004062;C4049859
9,history of symptomatic,C0019664;C0019665;C0231220;C0262512;C0262926;C1705255;C2004062
9,history of second prior mi,C0019664;C0019665;C0205436;C0262512;C0262926;C0332152;C0457385;C0565930;C1561503;C1705190;C1705255;C2004062;C2826257;C3810814
9,history of coronary revascularization,C0019664;C0019665;C0262512;C0262926;C0877341;C1705255;C2004062
9,clinical history,C0019664;C0019665;C0205210;C0262512;C0262926;C1705255;C2004062
8,with placebo ( n nmbr nmbr ),C0032042;C0053917;C1334884;C1696465;C1706408
8,placebo nmbr year km ( % ),C0032042;C0053917;C0439234;C0439508;C1334884;C1696465;C1706408;C3887676
8,placebo n = nmbr subjects,C0032042;C0053917;C1334884;C1696465;C1706408
8,placebo event rate ( n = nmbr )  %,C0032042;C0053917;C0441471;C0871208;C1334884;C1521828;C1696465;C1706408;C4019010
8,nmbr placebo n = nmbr,C0032042;C0053917;C1334884;C1696465;C1706408
7,smoking pack year ( years ) fl,C0037369;C0439234;C0439508;C0453996;C1277691;C1300812;C1708024;C1881674
7,smoking pack - years,C0037369;C0453996;C1277691;C1881674
7,smoking in the past year,C0037369;C0453996;C1881674;C4086728
7,smoking : ex - smoker,C0037369;C0453996;C1881674
7,smoking ( a ),C0037369;C0453996;C1881674
7,mean ( sd ) duration of smoking  pack years,C0037369;C0444504;C0449238;C0453996;C1277691;C1881674;C2347634;C2348143;C2699239;C2926735
6,mean ( sd ) body mass index  kg / mnmbr,C0005893;C0022718;C0439209;C0444504;C0578022;C1305855;C2347634;C2348143;C2699239;C4054209
6,body mass index ( kg / mnmbr ) - mean ± sd,C0005893;C0022718;C0439209;C0444504;C0578022;C1305855;C2347634;C2348143;C2699239;C4054209
6,body mass index ( bmi )  kg / mnmbr,C0005893;C0022718;C0439209;C0578022;C1305855;C4054209
6,body mass index  median  ( nmbrth — nmbrth percentiles )  kg / mnmbr,C0005893;C0022718;C0439209;C0549183;C0578022;C0876920;C1264641;C1305855;C2347635;C2348144;C2939193;C4054209
6,body mass index  kg / mnmbr  median ( qnmbr  qnmbr ),C0005893;C0022718;C0439209;C0549183;C0578022;C0876920;C1305855;C2347635;C2348144;C2939193;C4054209
6,body - mass index ( kg / mj ) previous diagnosis,C0005893;C0022718;C0332132;C0439209;C0439254;C0578022;C1305855;C4054209;C4284025
5,mean age  years ( nmbr % ci ),C0008107;C0053917;C0444504;C1334884;C1510829;C2347634;C2348143;C3259781
5,mean ( nmbr % ci ) difference vs saxa + dapa + met,C0008107;C0053917;C0444504;C1334884;C1705241;C1705242;C2347634;C2348143;C3259781
5,hr ( nmbr % ci ) p value for interaction *,C0008107;C0053917;C1334884;C1704675;C1709380;C3259781
5,hazard ratio for event ( nmbr % ci ),C0008107;C0053917;C0441471;C1334884;C2985465;C3259781;C4019010
5,( nmbr % ci] nmbr,C0008107;C0053917;C1334884;C3259781
5,( nmbr % ci ) p value,C0008107;C0053917;C1334884;C1709380;C3259781
4,severity of the disease ( gold nmbr )  n ( % ),C0018026;C0053917;C0521117;C1304897;C1334884
4,severity of airflow limitation ( gold nmbr - nmbr )  n ( % ),C0018026;C0053917;C0231999;C0439793;C0443288;C0449295;C0522510;C1304897;C1334884
4,severe ( gold nmbr ),C0018026;C0053917;C0205082;C1304897;C1334884;C4050465;C4050466
4,moderate ( gold nmbr ),C0018026;C0053917;C0205081;C1304897;C1334884;C1881878;C4049705;C4049706;C4085643;C4321335
4,gold nmbr groups  n ( % ),C0018026;C0053917;C1304897;C1334884
4,gold nmbr groups,C0018026;C0053917;C1304897;C1334884
3,recurrent heart failure,C0018801;C0018802;C1455761;C2945760;C4554158
3,previous heart failure,C0018801;C0018802;C0205156;C1552607;C4554158
3,hospitalized for heart failure during that time period,C0018801;C0018802;C0701159;C4554158
3,heart failure — no . ( % ),C0018801;C0018802;C4554158
3,heart failure nyha ii - iii,C0018801;C0018802;C0439070;C1275491;C1705160;C1710602;C4082587;C4554158
3,heart failure ( class l - lll ),C0018801;C0018802;C0456387;C1261077;C1518526;C1705943;C4554158
3,cardiac failure  n ( % ),C0018801;C0018802
2,treatment difference  ml,C0039798;C0087111;C0439526;C1522326;C1533734;C1705169;C1705224;C1705241;C1705242;C3538994;C3887665;C3887704
2,treatment after admission,C0039798;C0087111;C0184666;C0809949;C1522326;C1533734;C1705169;C3538994;C3887704
2,subgroup by treatment interaction p - value,C0039798;C0087111;C1079230;C1515021;C1522326;C1533734;C1704675;C1705169;C1709380;C3538994;C3887704
2,randomised treatment,C0039798;C0087111;C1522326;C1533734;C1705169;C3538994;C3887704
2,pretreatment / concomitant treatment,C0039798;C0087111;C0521115;C1522326;C1533734;C1550147;C1705169;C2709094;C3538994;C3539075;C3539076;C3887704
2,location of treatment center,C0039798;C0087111;C0205099;C1522326;C1533734;C1705169;C3538994;C3887704
2,inadequate response / intolerance to prior therapy  %,C0039798;C0087111;C0205412;C0231199;C0332152;C0439856;C0871261;C1363945;C1704632;C1706817;C1744706;C2355652;C2911692
2,antithrombotic therapy,C0039798;C0087111;C1363945
1,normal ( egfr > nmbr ),C0053917;C0205307;C0231683;C0439166;C1334884;C1739039;C2347086;C3811844;C3812682;C4553972
1,egfr nmbr - nmbr ml / min / nmbr . nmbrmnmbr n = nmbr ( nmbr . nmbr % ),C0053917;C0439445;C1334884;C1739039;C3811844;C3812682
1,egfr nmbr - nmbr ml / min / nmbr . nmbr mnmbr ( n = nmbr  nmbr ),C0053917;C0439445;C1334884;C1739039;C3811844;C3812682
1,egfr < nmbr ml / min / nmbr . nmbr mnmbr ( mdrd ),C0053917;C0439445;C1334884;C1739039;C3811844;C3812682;C3839656
1,egfr < nmbr  n ( % ),C0053917;C1334884;C1739039;C3811844;C3812682
1,egfr ( mumin / nmbr . nmbr mnmbr ),C0053917;C1334884;C1739039;C3811844;C3812682
1,egfr  ml min nmbr nmbr . nmbr m nmbr,C0053917;C0369637;C0439445;C0441923;C1334884;C1739039;C3811844;C3812682
1,> nmbr to < nmbr egfr  ml / min / nmbr . nmbr mnmbr a,C0053917;C0439445;C1334884;C1739039;C3811844;C3812682
0,≥ nmbr . nmbr to < nmbr . nmbr years,C0053917;C0439234;C1334884
0,yes  non - insulin - treated,C1549445;C1705108;C1710701
0,years since pah diagnosis,C0439234
0,years since menopause,C0439234
0,years [range],C0439234;C1514721;C2348147;C3542016
0,years  mean ( sd ),C0439234;C0444504;C2347634;C2348143;C2699239
0,wrist fracture,C0435630;C4553927
0,with revascularisation,C0581603
0,who / idf ifg,C1334085;C1708411
0,week nmbr mean 士 sd,C0053917;C0332174;C0439230;C0444504;C1334884;C2347634;C2348143;C2699239
0,week nmbr fpg  mean ( s . e . ),C0053917;C0332174;C0439230;C0444504;C1334884;C2347634;C2348143
0,vitamin k antagonist ( e . g . warfarin / coumarol ),C1096489;C2267235
0,visits nmbrenmbr,C0545082;C1512346
0,very severe n z nmbr,C0053917;C1334884;C3641272;C4050419
0,verapamil sr n = nmbr no . ( % ),C0053917;C1334884;C1527129
0,verapamil sr n = nmbr,C0053917;C1334884;C1527129
0,valvular disease ( % ),C3258293
0,urine albumin - to - creatinine ratio - no . ( % ) § §,C0455271;C1318330
0,urine albumin - to - creatinine ratio,C0455271;C1318330
0,urinary albumin / creatinine ratio  median mg / g ( range ),C0455271;C0549183;C0876920;C1300563;C1318330;C1514721;C2347635;C2348144;C2348147;C2939193;C3542016
0,urinary albumin - to - creatinine ratio^,C0455271;C1318330
0,urgent coronary revascularization,C0439609;C0877341;C3272275
0,unknown type,C0332307;C0439673;C1547052;C3541433;C4050014
0,unknown,C0439673;C3541433;C4050014
0,unbound pcsknmbr ( nmol / l ),C0439282
0,unacceptable adverse events,C0877248;C1705413;C1883420
0,uacra  mg / g  n ( % ),C1300563
0,uacr ( mgg - nmbr ),C0053917;C1334884
0,uacr  mg / mmol ( interquartile range ) b,C0567349;C1711350;C2348885
0,type of treatment  n ( % ),C0455708
0,type of mi ( % ),C0332307;C1547052;C3810814
0,type of event — no . ( % ),C1561488
0,type nmbr diabetes 一 no . ( % ),C0053917;C1320657;C1334884
0,type nmbr diabetes mellitus ’,C0053917;C1320657;C1334884
0,type nmbr diabetes duration  years,C0053917;C0439234;C0449238;C1320657;C1334884;C2926735
0,type nmbr diabetes duration  mean ( sd )  years,C0053917;C0439234;C0444504;C0449238;C1320657;C1334884;C2347634;C2348143;C2699239;C2926735
0,type nmbr diabetes,C0053917;C1320657;C1334884
0,triple - vessel disease  n ( % ),C0856738
0,trend / het . test,C1521798;C4554533
0,treatment duration  days,C0439228;C0444921;C3259042
